Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
569,-10536;-11916;-3004,2216;-648;-889,0.1196263;0.5623707;1.317186,-0.1536696;0.3055516;0.7784022,-0.1425837;0.303964;0.8705062,-0.1057577;0.289792;1.125623,-0.03920606;0.3393961;1.382034,0.1083548;0.3620524;1.403205,0.1015914;-0.09977496;1.50775,0
606,-10600;-11832;-2576,1424;-592;-1027,0.1201906;0.5601566;1.315172,-0.1591211;0.3598229;0.7733353,-0.14658;0.3544478;0.8590875,-0.1084962;0.3351133;1.102704,-0.0385139;0.3396888;1.382243,0.1087003;0.3610753;1.401677,0.1015282;-0.09971263;1.507765,0
635,-10560;-11868;-2744,827;-351;-1014,0.1206095;0.559288;1.314779,-0.1646961;0.4133473;0.8360254,-0.1459184;0.3965128;0.9256817,-0.108883;0.3565604;1.151406,-0.03797354;0.3402923;1.382706,0.1087035;0.3607546;1.40133,0.1014536;-0.09932388;1.50859,0
670,-10484;-11912;-3132,694;-388;-985,0.1211885;0.5565614;1.311313,-0.1478602;0.4305992;0.9728004,-0.1469015;0.4361692;0.9226918,-0.1061781;0.3745841;1.142676,-0.03747258;0.3411002;1.383052,0.1088312;0.3605123;1.400949,0.1013848;-0.09909648;1.508843,0
703,-10636;-12080;-3140,1157;-484;-906,0.1214995;0.5552883;1.310277,-0.1438124;0.4604628;0.9940729,-0.1423113;0.4588314;0.9125562,-0.1126203;0.4043069;1.136178,-0.03722398;0.342041;1.383004,0.1090161;0.360014;1.400295,0.1013092;-0.09889901;1.508916,0
735,-10536;-11916;-3064,1437;-552;-911,0.1220077;0.5525732;1.308669,-0.1551162;0.5213732;0.9546846,-0.1351475;0.5020959;0.9354404,-0.1128661;0.4185392;1.150466,-0.03709434;0.3431814;1.383268,0.1091904;0.3595983;1.400037,0.1012685;-0.09844753;1.509416,0
768,-10616;-11892;-2844,1162;-457;-888,0.122179;0.5522203;1.308777,-0.1285756;0.5634872;0.8510646,-0.1265997;0.5327949;0.9213575,-0.1143924;0.4357648;1.160505,-0.03685294;0.3443284;1.383492,0.1094987;0.3591249;1.399739,0.1014639;-0.09788571;1.509967,0
802,-10500;-11952;-3036,1166;-398;-873,0.1228654;0.5501581;1.306423,-0.116209;0.6055789;0.8716875,-0.1179898;0.5683528;0.9388714,-0.1157215;0.4490485;1.170648,-0.03676618;0.3456497;1.383773,0.1096907;0.3587619;1.399439,0.1014617;-0.09752523;1.510172,0
834,-10588;-11812;-2848,1127;-435;-961,0.12369;0.549329;1.305482,-0.1071361;0.6210588;0.8798704,-0.111562;0.5832514;0.9466083,-0.1157266;0.4592269;1.179547,-0.03666196;0.3475793;1.38338,0.1100421;0.3582727;1.398801,0.1014798;-0.09697164;1.510058,0
871,-10588;-11832;-3024,980;-451;-1164,0.1250903;0.5501316;1.306808,-0.2050482;0.6626808;0.968053,-0.182676;0.6144866;1.021394,-0.1164946;0.4735984;1.190262,-0.03660116;0.3491607;1.383882,0.1103116;0.3579354;1.398667,0.1015653;-0.09629689;1.510498,0
