Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-11416;-10764;-7036,-119;283;-1819,0.1063099;0.5399057;1.289006,-0.100144;-0.2010293;1.153835,-0.112107;-0.1267541;1.191378,-0.1177851;0.08618508;1.365724,-0.04411361;0.3210344;1.391917,0.1086441;0.350425;1.40186,0.09671392;-0.1034485;1.510067,0
32,-10916;-10500;-7152,2063;79;-819,0.1063043;0.5398639;1.288976,-0.1009363;-0.1932408;1.155522,-0.1123123;-0.126612;1.191325,-0.1177955;0.08622267;1.365699,-0.04411972;0.3210454;1.391883,0.1086403;0.3504267;1.401852,0.09671349;-0.1034472;1.510063,0
66,-10608;-9928;-6000,2936;-1066;-292,0.1063215;0.5400231;1.28958,-0.1032483;-0.1914697;1.151917,-0.1129515;-0.1258268;1.191805,-0.1178929;0.08625584;1.366218,-0.04411912;0.3211765;1.392329,0.1086432;0.3504562;1.401996,0.09676644;-0.1034169;1.510544,0
98,-10796;-10216;-6208,2279;-1157;-907,0.1063324;0.5400527;1.289564,-0.103453;-0.1901733;1.147887,-0.1134357;-0.1250266;1.191646,-0.1179493;0.08621904;1.366163,-0.04411137;0.3211672;1.392316,0.1086389;0.3504601;1.401986,0.09674473;-0.1034256;1.510535,0
132,-10892;-9632;-6360,813;-611;-1444,0.1063081;0.5399355;1.289296,-0.1038157;-0.1937033;1.149412,-0.1136088;-0.1253222;1.191083,-0.1181016;0.08607869;1.3659,-0.04411628;0.3211406;1.392255,0.1086338;0.3504604;1.40197,0.09667989;-0.1035086;1.510386,0
165,-10956;-10072;-6888,149;-42;-1449,0.106341;0.5400012;1.289371,-0.1042077;-0.1910491;1.147633,-0.1142939;-0.1239722;1.190837,-0.1181729;0.08610883;1.365857,-0.04411729;0.3211882;1.392266,0.1086217;0.3504705;1.401959,0.09662143;-0.1035038;1.510398,0
199,-10932;-10044;-6532,1343;6;-1060,0.1062064;0.539977;1.289056,-0.102771;-0.1988659;1.146695,-0.1147343;-0.1228843;1.188945,-0.1181867;0.08658922;1.364831,-0.04412523;0.3210189;1.391635,0.1085693;0.3504553;1.401785,0.09652177;-0.1035899;1.509935,0
234,-10772;-10004;-6168,1292;-351;-689,0.1061705;0.5400177;1.289289,-0.1042013;-0.1904131;1.150359,-0.1151459;-0.1219618;1.189189,-0.1183209;0.08664451;1.365045,-0.04415363;0.3212166;1.392144,0.1085486;0.3504831;1.401859,0.09641112;-0.1035043;1.510402,0
267,-11140;-10008;-6040,652;-281;-754,0.1061735;0.5400379;1.289293,-0.1033119;-0.1990873;1.149926,-0.115333;-0.1217933;1.188744,-0.1184031;0.08708922;1.365329,-0.04415952;0.3212393;1.39219,0.1085456;0.3504841;1.401865,0.09635882;-0.103517;1.510432,0
298,-10656;-10236;-6712,402;-736;-1231,0.106157;0.5402095;1.289592,-0.1040916;-0.1933299;1.149036,-0.1154889;-0.1217597;1.188399,-0.1184236;0.08725102;1.36575,-0.0441805;0.3213036;1.392423,0.1085355;0.3505143;1.401977,0.0964345;-0.1033519;1.511033,0
