Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
631,9620;10432;2392,-2726;-4882;11378,-0.01680506;0.2668875;1.212081,-0.04024471;0.04903376;1.306051,0.1341204;0.02054503;1.320852,0.2421622;-0.1992661;1.292874,0.2389354;-0.3945864;1.174835,0.2254445;-0.4689289;1.119522,-0.03239324;-0.4403552;1.433651,0
665,11200;9356;1880,-7516;-5650;11060,-0.01687603;0.2669041;1.212153,-0.04025859;0.04906581;1.30608,0.1339104;0.02081585;1.320956,0.2421429;-0.1991776;1.292883,0.2388934;-0.394006;1.174875,0.2361137;-0.4385825;1.116438,-0.0323542;-0.4402945;1.433719,0
699,12452;9268;1912,-9736;-4266;11461,-0.0170347;0.267031;1.212592,-0.04024403;0.04912399;1.306542,0.1340004;0.02069214;1.321052,0.2422669;-0.1989718;1.293278,0.2389162;-0.3940708;1.174724,0.2270413;-0.4672257;1.120068,-0.03231089;-0.4403627;1.434163,0
733,13800;4096;1260,-7606;-4595;9270,-0.01710815;0.2670791;1.212617,-0.04024699;0.0491276;1.306533,0.1342264;0.02038927;1.320832,0.2422603;-0.1989075;1.293271,0.238918;-0.3934813;1.174162,0.2357165;-0.4397727;1.110189,-0.03231326;-0.4403505;1.434135,0
767,15212;5460;2644,-344;-2685;7438,-0.01724212;0.2671373;1.212742,-0.04025954;0.04913829;1.306542,0.1340212;0.02062164;1.320893,0.2423213;-0.1988063;1.293212,0.2389245;-0.3933136;1.171863,0.2362343;-0.4365594;1.108384,-0.03231486;-0.440346;1.434147,0
798,14888;5164;2564,-3833;-3145;6276,-0.01736659;0.2671101;1.212542,-0.04022929;0.04918731;1.306288,0.133754;0.02084862;1.32079,0.2425897;-0.1983507;1.292372,0.2394855;-0.3916388;1.168455,0.2360539;-0.4356819;1.103834,-0.03241555;-0.440249;1.433831,0
836,14584;3788;1832,-3532;-2271;5891,-0.01744133;0.2671542;1.212592,-0.04024791;0.04920241;1.306305,0.1339935;0.0206033;1.320776,0.2431245;-0.1977085;1.292592,0.2395887;-0.3914635;1.167715,0.2368109;-0.433144;1.102935,-0.03237673;-0.4402388;1.433864,0
864,15064;2764;2260,-3015;-1784;5144,-0.01758137;0.2672682;1.212883,-0.04020127;0.04926842;1.306474,0.1342318;0.02052663;1.320909,0.244357;-0.1975233;1.29282,0.2405848;-0.3918591;1.163089,0.237222;-0.4378905;1.092254,-0.03235005;-0.4401578;1.434175,0
898,15932;1384;2696,-2555;-3052;5415,-0.01773272;0.2673501;1.213081,-0.04018957;0.04927796;1.306515,0.1345609;0.020414;1.321051,0.2452845;-0.196514;1.29254,0.2425578;-0.383556;1.156492,0.2369485;-0.432028;1.087327,-0.03230975;-0.4401652;1.4342,0
932,15484;2356;3400,325;-2424;4712,-0.01782985;0.2674097;1.213134,-0.04022101;0.04930156;1.306524,0.1347601;0.02016041;1.321094,0.2463135;-0.1952499;1.291918,0.244133;-0.3790703;1.147184,0.2392253;-0.4204173;1.083671,-0.03232606;-0.4401654;1.434183,0
