Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
599,1948;800;15888,1160;-478;-1006,-0.04682336;0.4089125;0.9725643,-0.4225065;0.06751949;0.9903341,-0.3700552;0.04721975;1.063825,-0.2170731;0.07471832;1.240742,-0.1353307;0.2067626;1.182477,0.005474196;0.2105466;1.053086,-0.02930968;-0.2524257;1.228556,0
631,1984;756;15864,1170;-476;-1023,-0.04273352;0.4103754;0.972015,-0.4869823;0.03696936;1.044495,-0.4728681;0.02674179;1.066067,-0.3218436;0.1144955;1.085121,-0.1292273;0.2194583;1.17588,0.006659449;0.2117619;1.052743,-0.03062258;-0.2471991;1.226888,0
667,1940;844;15948,1141;-499;-1013,-0.03577461;0.4125733;0.9724765,-0.4408222;0.1017823;0.9957668,-0.3913505;0.1045297;1.034015,-0.30708;0.1085393;1.137076,-0.1156759;0.2403319;1.165545,0.007958454;0.2137392;1.053191,-0.0305173;-0.2424968;1.226524,0
700,1876;916;16016,1168;-491;-1027,-0.03004427;0.4140194;0.971431,-0.4753355;0.07623263;1.003855,-0.4484827;0.09582622;1.01449,-0.2929475;0.09992543;1.190835,-0.1149057;0.2430281;1.164061,0.008453452;0.2156275;1.053141,-0.03099982;-0.239889;1.226025,0
732,1880;816;15880,1130;-468;-1020,-0.02478424;0.4141669;0.9703305,-0.4702631;0.09931011;1.000757,-0.4409406;0.1004981;1.023066,-0.2882923;0.1084095;1.201914,-0.1142832;0.2459605;1.162243,0.009171216;0.2175898;1.05265,-0.02902946;-0.2396266;1.225573,0
766,1880;712;16056,1138;-476;-996,-0.01989321;0.4170669;0.9681067,-0.4633306;0.146336;0.988327,-0.4159671;0.1197154;1.045188,-0.2532787;0.1329959;1.214525,-0.1098214;0.2583277;1.141151,0.01306065;0.2264213;1.0397,-0.02785201;-0.2400022;1.226205,0
800,1896;928;15940,1142;-447;-991,-0.01171143;0.4241508;0.9623435,-0.467115;0.1619804;0.9867906,-0.4409254;0.1435444;1.019,-0.3094316;0.1058292;1.210853,-0.1336685;0.2245071;1.174834,0.01411012;0.2259884;1.039642,-0.02631084;-0.244437;1.22776,0
833,1912;756;16040,1140;-472;-1030,0.001912738;0.4343148;0.953169,-0.4698413;0.182002;0.9848472,-0.4408694;0.1593391;1.01974,-0.3129681;0.1102173;1.211406,-0.1365479;0.2205125;1.175607,0.02867605;0.2292934;1.038928,-0.02647128;-0.2463886;1.228472,0
868,1984;876;16044,1120;-494;-1027,0.0155726;0.4387093;0.9502646,-0.4712443;0.1955914;0.9870796,-0.429237;0.1677602;1.051006,-0.3242294;0.1303857;1.259021,-0.1369762;0.2208233;1.176059,0.02218675;0.2235602;1.047066,-0.02601478;-0.2480755;1.228836,0
900,1992;872;16084,1106;-488;-1000,0.007576626;0.4179096;0.9704568,-0.4736135;0.2069162;0.9904943,-0.4534084;0.194533;1.006237,-0.3249345;0.1465792;1.197702,-0.1371359;0.2211383;1.176275,0.01374585;0.21589;1.050115,-0.02640017;-0.2509294;1.230562,0
931,1960;836;15940,1146;-490;-988,-0.01089592;0.4091235;0.965076,-0.4713667;0.2143312;0.9901845,-0.4521565;0.2010891;1.007182,-0.3245707;0.1469237;1.197532,-0.1375691;0.2219225;1.176434,0.007212854;0.2089008;1.052796,-0.02687281;-0.2519704;1.230833,0
965,1964;856;15964,1138;-493;-998,-0.02706024;0.4044513;0.9645522,-0.4828821;0.199933;1.004888,-0.4443996;0.1498079;0.9993066,-0.3256496;0.1490288;1.198162,-0.1377117;0.2221019;1.176681,0.006416632;0.2074223;1.053508,-0.02700971;-0.2531053;1.232873,0
999,2016;896;16008,1155;-494;-1034,-0.03128109;0.4034473;0.9615207,-0.4640633;0.2245519;0.9955932,-0.4430671;0.2229018;1.012512,-0.324764;0.1490569;1.199218,-0.1378744;0.222366;1.176828,0.005208916;0.2063319;1.05385,-0.02824033;-0.2543087;1.233768,0
1032,1940;876;16172,1157;-489;-1021,-0.03271409;0.4035959;0.9590084,-0.4598286;0.2187657;0.9995256,-0.41439;0.2066125;1.041493,-0.3216437;0.1476772;1.202733,-0.1378767;0.2223794;1.176841,0.003912858;0.2062165;1.05343,-0.02905997;-0.2552338;1.234583,0
1068,1884;784;16176,1158;-497;-1004,-0.03287364;0.4039695;0.9575748,-0.4539863;0.2106067;1.002564,-0.415895;0.2062293;1.040134,-0.3207113;0.1471203;1.203478,-0.1378603;0.2223807;1.176841,0.002516131;0.2077081;1.051475,-0.02905177;-0.2571844;1.235179,0
1102,1968;804;16008,1166;-490;-1014,-0.03270841;0.4027278;0.9564458,-0.4471635;0.199823;1.002366,-0.4089926;0.1916572;1.046932,-0.3206206;0.1445032;1.204365,-0.137909;0.2222688;1.177011,0.001935202;0.2084728;1.050486,-0.02986329;-0.2619045;1.236732,0
1132,1884;808;16052,1121;-480;-1028,-0.03248595;0.4010575;0.9565406,-0.4413378;0.1871569;1.005841,-0.4118634;0.1848557;1.044916,-0.318401;0.1375968;1.206661,-0.1379454;0.2219695;1.177334,0.002087842;0.208433;1.050871,-0.02984934;-0.264046;1.23757,0
1166,1984;836;15936,1138;-476;-1007,-0.03257484;0.3996463;0.9566172,-0.4364617;0.1758949;1.005488,-0.4155558;0.1730867;1.040839,-0.3010812;0.1273611;1.214967,-0.1378807;0.2218215;1.177701,0.00347657;0.2080348;1.051598,-0.02962418;-0.2642919;1.238232,0
1200,1984;836;16044,1109;-501;-989,-0.03298904;0.3984597;0.9560766,-0.4288817;0.1613256;0.9993923,-0.4165733;0.1579433;1.031529,-0.286887;0.1226527;1.219738,-0.1378358;0.2217855;1.177751,0.004569776;0.2078774;1.05147,-0.02776786;-0.2611591;1.236811,0
1231,1872;828;16072,1182;-459;-993,-0.03380701;0.3969995;0.9552182,-0.420821;0.1500469;0.9954723,-0.3860442;0.1422111;1.058525,-0.2470911;0.12224;1.248701,-0.1376086;0.2215809;1.177653,0.007960542;0.2071263;1.050168,-0.02539531;-0.2559821;1.234447,0
1266,1984;776;15888,1148;-449;-1020,-0.03406246;0.3965998;0.9552881,-0.4194101;0.1123476;1.009655,-0.3833861;0.1385362;1.056212,-0.2470844;0.1222293;1.248795,-0.1375192;0.2215143;1.177721,0.008150319;0.2071426;1.05031,-0.02594568;-0.2530026;1.23384,0
1302,1908;856;16004,1166;-470;-1016,-0.0340963;0.3964181;0.9552382,-0.4665229;0.03644703;0.9793679,-0.3800476;0.1323882;1.052397,-0.2481054;0.1212622;1.248523,-0.1380419;0.2208807;1.178399,0.008297912;0.2071593;1.050348,-0.02628932;-0.2514853;1.232893,0
1332,1888;848;15872,1137;-491;-994,-0.03384722;0.3961119;0.9550318,-0.4658086;0.02369445;0.9713579,-0.3803152;0.1252379;1.040926,-0.250225;0.1133364;1.238352,-0.1388018;0.220373;1.17875,0.00841176;0.2071601;1.050334,-0.02733018;-0.2501439;1.231012,0
1365,1940;868;16088,1183;-459;-1033,-0.03283643;0.3964377;0.9558675,-0.4624245;0.03692232;0.968515,-0.3826748;0.1252432;1.03734,-0.2541075;0.1140925;1.23584,-0.1396475;0.2204178;1.179835,0.01112326;0.2073853;1.051967,-0.02755189;-0.2494729;1.231008,0
1399,1932;808;15860,1161;-478;-1009,-0.03141141;0.3965397;0.9555418,-0.4627449;0.04464802;0.9558278,-0.3917453;0.130243;1.014291,-0.2703506;0.1218174;1.217455,-0.1400504;0.2204353;1.179979,0.01231332;0.2074504;1.051724,-0.0302807;-0.2479512;1.229796,0
1431,1976;872;16128,1164;-476;-999,-0.02868279;0.3971696;0.9562811,-0.4181927;0.165398;0.9583214,-0.3745663;0.1409537;1.044869,-0.262978;0.1438788;1.253871,-0.1400174;0.2214329;1.180106,0.01426401;0.2080603;1.052247,-0.0302049;-0.246608;1.229975,0
1466,1888;812;15984,1170;-443;-1010,-0.02503422;0.397667;0.9555753,-0.4200161;0.1783622;0.9548555,-0.3702809;0.1617469;1.053777,-0.263554;0.1759056;1.264905,-0.1378639;0.224602;1.177567,0.01423485;0.2081817;1.05214,-0.03002024;-0.245007;1.229133,0
1500,2020;780;15944,1133;-464;-982,-0.02053497;0.398846;0.95664,-0.4265707;0.2038951;0.9581816,-0.4175676;0.1942015;0.970961,-0.3095244;0.1456143;1.175942,-0.1329826;0.2320236;1.17503,0.0162087;0.2092091;1.052633,-0.02913265;-0.2427469;1.229897,0
1532,1980;868;16036,1126;-449;-1015,-0.01706238;0.3994862;0.9558357,-0.4310916;0.2145305;0.9600917,-0.4162884;0.2043135;0.9734561,-0.2986884;0.1594909;1.173971,-0.1264996;0.2424138;1.170033,0.01580853;0.2094654;1.05245,-0.0290003;-0.2418761;1.229776,0
1569,1952;780;15976,1138;-450;-998,-0.01508413;0.4001566;0.955161,-0.4283657;0.253279;0.9518772,-0.4090137;0.2083985;1.000443,-0.3242331;0.1407662;1.211123,-0.1249071;0.2450841;1.168686,0.01553163;0.2096791;1.05224,-0.02797847;-0.2414916;1.2296,0
1600,2044;828;16000,1146;-474;-1005,-0.01406392;0.4008367;0.9548926,-0.4307533;0.2627786;0.9620191,-0.3886023;0.2159668;1.050988,-0.2998007;0.1583241;1.262967,-0.1216362;0.2500112;1.163317,0.01560137;0.2111472;1.049764,-0.02752059;-0.2414622;1.229662,0
1632,1896;884;16056,1130;-498;-999,-0.01322781;0.4021803;0.9535027,-0.4315435;0.2701185;0.9668566,-0.3836602;0.2424737;1.055559,-0.2991093;0.1498453;1.256274,-0.1216576;0.2507161;1.162645,0.01399207;0.2123179;1.047028,-0.02745042;-0.2415709;1.229791,0
1666,1956;768;16060,1144;-467;-1017,-0.01310854;0.4038465;0.9519055,-0.4335243;0.2752853;0.9732775,-0.4085965;0.2660929;1.005645,-0.3195936;0.1697359;1.191087,-0.1213428;0.2510759;1.162501,0.01391626;0.2130552;1.045403,-0.02757059;-0.2421754;1.230381,0
1699,1948;924;15928,1154;-449;-1006,-0.01354798;0.4055847;0.950708,-0.4359326;0.2758229;0.9806247,-0.409539;0.2671974;1.005133,-0.3172073;0.1707089;1.19239,-0.142793;0.2235088;1.177545,0.01453692;0.2136313;1.044034,-0.02660018;-0.2460205;1.231436,0
1735,1892;804;15956,1165;-471;-1016,-0.01487561;0.4074414;0.9496067,-0.4384486;0.2698849;0.9910321,-0.4109234;0.2484774;1.021036,-0.3112158;0.1735424;1.197816,-0.1477218;0.2142154;1.179865,0.01491132;0.2137212;1.043187,-0.02492075;-0.2513487;1.232495,0
1766,1976;772;15728,1129;-500;-1012,-0.0169347;0.4090298;0.9480821,-0.4359216;0.2662213;0.9948972,-0.4041064;0.2382152;1.05174,-0.3248224;0.1620069;1.212873,-0.1498849;0.2125445;1.182131,0.01521668;0.2138346;1.041985,-0.02373105;-0.2546554;1.232826,0
1801,1996;752;15960,1143;-468;-991,-0.01950737;0.4097062;0.9473233,-0.4351085;0.2601873;1.004049,-0.4100876;0.2399717;1.038818,-0.3165289;0.1591547;1.216196,-0.1510259;0.2119323;1.184324,0.01677374;0.2154219;1.037914,-0.02375201;-0.2573471;1.234043,0
1832,1928;792;16116,1075;-541;-984,-0.02213049;0.4086817;0.9465304,-0.4315425;0.2550669;1.004089,-0.392229;0.2213753;1.072543,-0.2797453;0.1445017;1.26611,-0.1513013;0.2113174;1.184788,0.01741493;0.2162155;1.03552,-0.02383776;-0.260086;1.234408,0
1867,1880;900;15864,1107;-530;-1007,-0.02487827;0.4069133;0.9467669,-0.4312082;0.2386201;1.010243,-0.3929663;0.217213;1.071784,-0.2763931;0.1430632;1.263994,-0.1516307;0.2111775;1.18572,0.01727182;0.2161197;1.034533,-0.02376376;-0.2616568;1.23447,0
1900,1920;788;16072,1174;-466;-999,-0.02748264;0.4041732;0.9471345,-0.4299218;0.2270462;1.011472,-0.3933161;0.2058489;1.070221,-0.2750132;0.1407013;1.264707,-0.1517124;0.2151149;1.188871,0.01702079;0.2157169;1.034643,-0.02381053;-0.2620235;1.234675,0
1986,2008;912;15964,1162;-458;-1027,-0.03054682;0.3990732;0.9475093,-0.4201138;0.2122313;1.003855,-0.4039051;0.2063443;1.042117,-0.3109589;0.1204887;1.237993,-0.1500741;0.2174924;1.188241,0.01485681;0.2096228;1.040337,-0.02398391;-0.2612962;1.234196,0
2049,1912;824;16016,1134;-468;-988,-0.03154633;0.3973434;0.9483312,-0.4173813;0.2027367;0.9962592,-0.3729156;0.2091553;1.041067,-0.3023155;0.1288903;1.200738,-0.1461626;0.2217713;1.183748,0.01486483;0.2083963;1.042036,-0.02510186;-0.2554846;1.231835,0
2122,1928;708;16024,1143;-498;-1001,-0.03133319;0.3969349;0.9490517,-0.4224612;0.1940662;0.9867011,-0.3646523;0.2031161;1.049844,-0.2713394;0.1236666;1.253225,-0.1450274;0.2227604;1.181556,0.01518496;0.2082132;1.043083,-0.02583632;-0.2520838;1.23036,0
2194,1988;812;16020,1148;-482;-1002,-0.02967614;0.3969964;0.9500243,-0.4262501;0.2222122;0.9671937,-0.3907976;0.2011877;1.021967,-0.283956;0.1344329;1.223342,-0.1425102;0.2270576;1.178406,0.01550697;0.20825;1.043543,-0.02604904;-0.2493575;1.229689,0
2255,1936;832;15868,1161;-494;-1009,-0.02691238;0.3969037;0.9501827,-0.4321316;0.2325294;0.9712919,-0.4140514;0.2183041;0.989094,-0.3019891;0.1410032;1.177867,-0.1284475;0.2514549;1.164662,0.01539206;0.2084659;1.043973,-0.02654546;-0.2470764;1.228617,0
2402,1832;844;16044,1159;-484;-1019,-0.02338113;0.3966211;0.9493763,-0.4282604;0.2554268;0.9679215,-0.3987245;0.235918;1.008088,-0.3215988;0.1417459;1.18742,-0.1238392;0.2604173;1.164391,0.01512011;0.2086223;1.043353,-0.02649337;-0.2453888;1.228256,0
