Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
593,4640;9840;12576,7695;1963;-3240,0.007558802;0.3099442;1.27586,-0.02021842;0.08779023;1.351251,0.1623931;0.03719136;1.348261,0.2167823;-0.1853228;1.312493,0.200987;-0.36864;1.130196,0.2002243;-0.4148595;1.062666,0.003561154;-0.3958191;1.423878,0
627,4496;9948;11820,6628;415;-2795,0.006933012;0.3100721;1.275828,-0.02038499;0.08782826;1.351243,0.1635734;0.03601129;1.347688,0.2171896;-0.1844502;1.309381,0.202313;-0.3657241;1.126092,0.1996065;-0.4087307;1.062772,0.00348744;-0.3958845;1.423781,0
661,4708;10584;11492,5201;1314;-2114,0.006105023;0.3103747;1.276046,-0.02062076;0.08791831;1.351303,0.1613187;0.03786727;1.347329,0.2171533;-0.1843901;1.307351,0.2031114;-0.3645833;1.124561,0.1983704;-0.401699;1.062936,0.00351388;-0.3958948;1.423767,0
693,4264;10524;11588,3850;1563;-1621,0.004917437;0.3110026;1.276793,-0.02101713;0.08822501;1.351565,0.1598099;0.03898483;1.347111,0.2168288;-0.1843648;1.303995,0.2092627;-0.3477579;1.116604,0.2068015;-0.3893623;1.047527,0.003496714;-0.3958657;1.423755,0
726,4148;10652;11484,3233;1073;-1885,0.003683692;0.3116207;1.277313,-0.0214593;0.08849929;1.351899,0.1586753;0.03992893;1.346785,0.2173287;-0.1840931;1.299779,0.21476;-0.3356464;1.101923,0.2154546;-0.3923917;1.010185,0.003607231;-0.3958614;1.423714,0
760,3500;10896;11288,4058;600;-2200,0.002486241;0.3121829;1.277731,-0.02173886;0.08867284;1.352033,0.160156;0.03831757;1.345567,0.2190581;-0.1813938;1.289673,0.2186014;-0.3199107;1.089592,0.2169313;-0.3789069;0.9938153,0.003783128;-0.3959386;1.423514,0
793,3588;11024;11136,3470;611;-1983,0.0007549479;0.3129207;1.278762,-0.02195405;0.08889092;1.352226,0.1583856;0.03962119;1.345292,0.2215136;-0.1766918;1.281413,0.2213991;-0.3053187;1.083438,0.2197308;-0.3559054;0.9860706,0.004136375;-0.395937;1.423243,0
828,3504;11000;11308,4258;703;-2241,-0.0008595545;0.313949;1.279897,-0.02227113;0.08933733;1.352832,0.1571311;0.04055443;1.345022,0.2218986;-0.1729379;1.276827,0.2248058;-0.2820301;1.063733,0.2219778;-0.3365351;0.9614844,0.004324157;-0.39592;1.423135,0
864,3196;11100;11048,6944;502;-2853,-0.002359767;0.3148778;1.281323,-0.02279135;0.09007303;1.353784,0.1563223;0.04131252;1.344685,0.239562;-0.134672;1.270625,0.2276606;-0.2572456;1.062675,0.2238207;-0.313767;0.9359469,0.004411899;-0.3958359;1.423079,0
894,3028;12060;10276,8216;-373;-3548,-0.003997695;0.3159374;1.282946,-0.0236855;0.09091008;1.354925,0.1577068;0.04101716;1.343221,0.2419807;-0.1318533;1.269654,0.2309433;-0.2333267;1.030317,0.225771;-0.2890998;0.9110125,0.003131887;-0.3950913;1.423549,0
927,2928;12752;10344,9653;-1242;-3844,-0.005459873;0.3168967;1.28433,-0.02418086;0.09153751;1.355829,0.1587941;0.04165816;1.341374,0.2283145;-0.1379304;1.160742,0.2306276;-0.2319752;0.9906629,0.227434;-0.253231;0.8940272,0.002956402;-0.3948453;1.423633,0
961,2908;13880;9528,9483;-2285;-2908,-0.006750903;0.3174639;1.285286,-0.02500272;0.09247168;1.356673,0.1593019;0.04365308;1.338104,0.2355487;-0.1173374;1.142719,0.2322998;-0.1989792;0.966092,0.2297226;-0.2210168;0.8663616,-0.0003600263;-0.3933443;1.423876,0
993,2300;14728;8936,6430;-5395;-355,-0.008056335;0.3180701;1.285949,-0.02566757;0.09310981;1.357022,0.1567138;0.04614979;1.337528,0.2319827;-0.1126324;1.139876,0.2322605;-0.1755782;0.9081447,0.2309898;-0.1879368;0.8355559,-0.001673072;-0.3920491;1.424234,0
1026,3244;14288;7436,4673;-6870;1371,-0.009859736;0.3192482;1.287553,-0.02655365;0.09406973;1.357966,0.1562082;0.05014355;1.334764,0.2292151;-0.1069662;1.134839,0.2314819;-0.1405659;0.8965722,0.2309623;-0.1471452;0.8186545,-0.002657974;-0.3899683;1.425658,0
1063,3188;15044;6156,5547;-8071;3184,-0.01157091;0.3205882;1.289257,-0.02738884;0.09514943;1.359342,0.1543046;0.05487347;1.332034,0.2428782;-0.05891602;1.197205,0.2411429;-0.06588098;1.002345,0.2303547;-0.1060617;0.8085145,-0.003160571;-0.3881959;1.426843,0
1094,3188;18344;6020,1726;-7622;7050,-0.0130042;0.3214158;1.290878,-0.02821936;0.0962996;1.360407,0.1503973;0.05969327;1.330483,0.2448604;-0.03108907;1.119127,0.2336111;-0.05397642;0.8908957,0.2303548;-0.06354591;0.7948614,-0.003085597;-0.386943;1.427703,0
1127,5856;16920;5140,-2182;-7503;14356,-0.0139174;0.3217958;1.291101,-0.02874448;0.09696691;1.360404,0.1459186;0.06441858;1.326782,0.2501946;-0.03376371;1.190898,0.2198996;-0.02395188;0.9325966,0.230578;-0.02327383;0.7835761,-0.002730022;-0.3855281;1.427864,0
1160,6608;15640;5004,2812;-1861;16126,-0.01553168;0.3229394;1.292704,-0.02932389;0.09802696;1.361657,0.1428534;0.06851581;1.327672,0.2425183;-0.01769653;1.104209,0.2343092;0.003387719;0.8756722,0.2325469;0.01703972;0.7897647,-0.002371059;-0.3836199;1.429487,0
1192,7588;12468;4160,912;569;17135,-0.01716811;0.3239335;1.294114,-0.02986792;0.09899463;1.362414,0.1402004;0.07357306;1.328973,0.2386362;0.007088086;1.09197,0.2353247;0.04750423;0.8525137,0.2348679;0.05865154;0.7930001,-0.001643653;-0.3816032;1.430781,0
1226,8228;9872;3908,442;6645;17268,-0.0185801;0.3249048;1.295353,-0.03047927;0.1001093;1.363226,0.1375398;0.07797848;1.330428,0.2345344;0.03357372;1.087685,0.2366073;0.06329492;0.8919613,0.2344562;0.1047349;0.7901366,-0.001436585;-0.3797401;1.431662,0
1264,7412;9356;6196,-864;11396;16935,-0.01967629;0.3253854;1.295812,-0.03163825;0.1010444;1.363403,0.1353741;0.0808896;1.330985,0.2337746;0.05913522;1.085725,0.2351243;0.1209079;0.8676951,0.2355439;0.1484986;0.7900324,-0.001374944;-0.3786547;1.431811,0
1295,12292;8048;7984,-1563;10823;15184,-0.02129856;0.3263803;1.296803,-0.03247415;0.1019629;1.364012,0.1344435;0.08335592;1.331556,0.2334572;0.07739049;1.085655,0.2360881;0.151514;0.8671711,0.2363371;0.1912703;0.7939052,-0.001338682;-0.3771536;1.432378,0
1327,9360;8560;10016,2115;14248;13375,-0.02241095;0.3269431;1.297268,-0.03355694;0.1029721;1.364365,0.1335926;0.08580265;1.33199,0.2308405;0.100384;1.085752,0.2354633;0.1961417;0.8616644,0.2345898;0.2328258;0.7961262,-0.001302485;-0.3759868;1.432568,0
1361,11260;8996;11464,4643;8804;10739,-0.0241093;0.3278565;1.298753,-0.03527781;0.1027312;1.365584,0.1338799;0.08132964;1.336043,0.229571;0.1222386;1.092218,0.2377042;0.22931;0.8608133,0.2346511;0.2720454;0.8044229,-0.001730053;-0.3755099;1.433133,0
1393,10372;7808;9568,9682;9537;9364,-0.02529338;0.3283516;1.299222,-0.0365058;0.1042974;1.365837,0.1340088;0.08000737;1.337328,0.2292873;0.1363795;1.096492,0.2360774;0.2588259;0.8667624,0.2340843;0.3049487;0.8148006,-0.002311228;-0.3748936;1.433143,0
1427,8016;8132;8448,11481;9433;9160,-0.02637613;0.3284833;1.299296,-0.03759595;0.1052899;1.36597,0.1340933;0.07964654;1.337747,0.2264929;0.1562877;1.101506,0.2345777;0.2846017;0.8751255,0.2334488;0.3381953;0.8254836,-0.002909445;-0.3741553;1.432892,0
1460,8536;8104;8644,9997;11216;10194,-0.02770067;0.3289863;1.299865,-0.03858481;0.1048866;1.366583,0.1343163;0.07963686;1.33839,0.2241212;0.1714168;1.106674,0.2335266;0.31896;0.8926423,0.233621;0.3727369;0.8407179,-0.003534304;-0.3734175;1.433002,0
1495,7304;7204;8816,9824;14622;10339,-0.02879621;0.3291269;1.300832,-0.03967398;0.1046127;1.367288,0.1346319;0.08436432;1.339426,0.2228357;0.1896997;1.113048,0.2318939;0.337604;0.9043256,0.2330819;0.3976537;0.859769,-0.00512288;-0.3711803;1.433514,0
1529,6716;5884;10416,8076;14976;10792,-0.02929422;0.3292022;1.300869,-0.04007891;0.1052397;1.367311,0.134605;0.08765224;1.339895,0.2391658;0.2023325;1.146592,0.2322994;0.3570749;0.9379277,0.2316818;0.4181704;0.8808202,-0.0056455;-0.3702712;1.4332,0
