Time_Stamp,ShoulderElevationAngle,Trimming_Id
0,126.424861634917,0
34,125.05141938817,0
65,125.38933423414,0
98,124.365260240143,0
131,124.991662713628,0
169,125.538072305526,0
199,126.030388833919,0
232,126.219047771096,0
267,126.42545612307,0
299,126.650909836007,0
331,126.81167277811,0
366,126.976086534382,0
399,127.005397736137,0
434,127.03712535266,0
467,127.026012623055,0
499,127.017477956654,0
532,125.070428762376,0
566,125.49424191479,0
599,124.692486515132,0
632,125.170417968647,0
668,115.929122781376,0
699,115.311614451276,0
732,112.715956434168,0
767,110.716340626363,0
799,109.774656352186,0
832,108.978065653747,0
866,105.269883529123,0
899,103.891318475278,0
932,102.402487446459,0
966,103.174104983062,0
998,101.522535976151,0
1031,100.938122812173,0
1067,100.871280067356,0
1099,100.941197887864,0
1133,103.526065897717,0
1166,104.109220975576,0
1198,105.726068169799,0
1231,107.02847729714,0
1267,111.200967313618,0
1299,115.470000468663,0
1333,120.180823113338,0
1368,121.142887038455,0
1399,127.196582824761,0
1431,132.417210117424,0
1466,136.688463469584,0
1498,220.466647447683,0
1533,218.696422274176,0
1568,218.88445066979,0
1598,217.197051927628,0
1632,217.400971891312,0
1666,218.055856812823,0
1698,226.788001502209,0
1732,222.16233737718,0
1767,221.795401120934,0
1799,221.387634455653,0
1831,220.409852040703,0
1867,218.879279125922,0
1898,217.906997487054,0
1931,216.481352702233,0
1969,214.534593905481,0
2000,213.041941992455,0
2031,208.004309235628,0
2065,204.067339011868,0
2099,200.905893417509,0
2132,198.738228114185,0
2166,151.56250135699,0
2199,146.032781088024,0
2232,145.06729906128,0
2266,134.821792726254,0
2298,134.166568567071,0
2331,130.897201594127,0
2367,124.670600699719,0
2399,125.434571091538,0
2434,124.619652412297,0
2468,124.212794184276,0
2531,121.595542463549,0
2567,117.530329089185,0
2599,118.102937419084,0
2634,117.426464486406,0
2667,124.894030056786,0
2698,126.079188153763,0
2731,126.630078675937,0
2767,126.912860904845,0
2798,125.158914151941,0
2831,125.308149498302,0
2868,125.452916487093,0
2899,125.512497887004,0
2931,125.575959224028,0
2965,125.99210844149,0
2998,125.85700302526,0
3031,125.24213038148,0
3067,125.896953496146,0
3100,126.244740128038,0
3132,126.419468182905,0
3166,126.510986533137,0
3198,126.596536530959,0
3231,126.095727392529,0
3266,126.181157529797,0
3300,126.291436503374,0
3333,126.328111784228,1
3367,126.507791035708,1
3399,126.561861112869,1
3431,125.952218047079,1
3467,126.099466595284,1
3498,125.852595617506,1
3533,126.591099821755,1
3569,126.553249788087,1
3600,126.541857806621,1
3631,126.542571959562,1
3668,126.512181427653,1
3699,126.481373792247,1
3732,124.059546771443,1
3770,125.375301339007,1
3800,124.235266519884,1
3832,125.116630912684,1
3868,125.504766561154,1
3899,125.3464165026,1
3933,124.845427090714,1
3969,124.724157080853,1
4000,125.398913535566,1
4033,126.780889124162,1
4067,126.801328681582,1
4099,126.103334251993,1
4132,125.294882567863,1
4168,125.274695911382,1
4200,124.250586280104,1
4232,124.360874122529,1
4268,126.509683969918,1
4299,132.260338838041,1
4332,133.73386431463,1
4369,126.403147789497,1
4401,117.523903738718,1
4433,116.973464065655,1
4467,115.216973803908,1
4500,114.464558290972,1
4533,112.416158871306,1
4567,110.246865491364,1
4601,108.354134399083,1
4635,107.668614503156,1
4668,105.718554529415,1
4699,109.4953722192,1
4732,108.3301385215,1
4768,103.383481837643,1
4799,105.93675796498,1
4833,104.31657855336,1
4867,102.736984964362,1
4899,102.753614430633,1
4932,102.934391987573,1
4966,102.656989929956,1
4999,102.903898341922,1
5034,103.597248271952,1
5069,105.3984693305,1
5101,105.225209356899,1
5133,107.961360733611,1
5169,113.856906628319,1
5199,116.245065634369,1
5234,119.177382278673,1
5269,120.569146273907,1
5306,124.181444160738,1
5335,127.921890958285,1
5368,128.922162744583,1
5400,132.245135071382,1
5434,225.804123400477,1
5468,223.744562811212,1
5500,223.142540484431,1
5534,223.430437990943,1
5569,220.890111415668,1
5600,221.390912673476,1
5633,221.46943101426,1
5666,219.945763651623,1
5700,219.143962563057,1
5733,216.592295057157,1
5767,215.94319591865,1
5800,215.311637770236,1
5833,216.927799751142,1
5868,217.203532170902,1
5899,214.320326787232,1
5935,212.152589541446,1
5967,203.709937556368,1
6000,204.537260751904,1
6033,152.159437706575,1
6067,149.991437017906,1
6100,147.591150760031,1
6134,141.397030500107,1
6167,138.970698566286,1
6200,137.382893103457,1
6233,133.7110188215,1
6266,132.07671439356,1
6299,131.150488239329,1
6334,129.619535366384,1
6367,129.300509250799,1
