Time_Stamp,ShoulderElevationAngle,Trimming_Id
0,110.91999934618,0
33,111.366025679427,0
67,113.938492721485,0
100,113.662127887094,0
134,113.272452549345,0
167,112.840006359277,0
201,112.327991354552,0
232,111.822203945564,0
266,111.768147809108,0
301,111.470585851527,0
335,111.356949847455,0
367,111.727460673863,0
400,111.899053721653,0
433,111.751968920961,0
465,107.818521411345,0
500,108.399952190378,0
533,108.958499399307,0
567,107.277001572075,0
601,108.495567710903,0
634,107.99261062823,0
665,109.054402625665,0
700,110.249530054172,0
732,111.263573662994,0
766,112.042588948799,0
799,113.370492494997,0
833,113.926585697966,0
866,114.326039756667,0
899,114.677225566784,0
933,114.156269385084,0
966,113.919447727953,0
1000,113.428911778799,0
1033,112.29515451667,0
1066,112.278606582912,0
1102,112.06577907836,0
1135,111.895653750664,0
1167,111.504312791069,0
1199,111.31624790096,0
1236,111.181134172428,0
1267,112.184103130348,0
1299,112.819819588469,0
1333,114.010363850098,0
1366,115.664968631152,0
1400,117.908400832897,0
1432,119.921551401585,0
1468,121.351694202277,0
1501,124.007121538906,0
1533,126.876267210374,0
1567,131.116308768443,0
1599,134.921458078855,0
1633,138.212375525345,0
1668,141.456023427048,0
1700,142.206098677532,0
1734,143.097993561629,0
1768,144.440749764384,0
1800,145.832144136339,0
1832,146.78443728348,0
1867,145.76403237505,0
1901,145.2404227592,0
1934,144.842692827689,0
1967,143.619009451056,0
1999,142.860787511212,0
2034,142.401685335161,0
2067,139.478382129034,0
2100,131.244464992263,0
2135,133.357668142717,0
2168,133.611184330308,0
2201,131.580394379122,0
2233,121.414905809792,0
2267,121.631379058678,0
2301,120.939478725426,0
2333,120.362577364361,0
2369,119.368961311426,0
2400,118.635044685762,0
2434,111.439239380245,0
2466,110.794427083565,0
2499,110.03759401473,0
2533,108.419812830179,0
2567,107.770657377314,0
2601,108.845053205401,0
2632,108.009505755956,0
2667,106.907902997484,0
2700,105.266218754125,0
2731,104.473612178499,0
2766,99.8211151393532,0
2800,99.5216096290712,0
2833,110.355142498792,0
2866,108.010382269624,0
2900,108.84044295688,0
2933,108.094742245725,0
2967,108.383585300919,0
3000,109.253773010791,0
3032,109.226325609761,0
3066,107.634316648056,0
3098,106.913043660969,0
3138,107.778680855261,0
3166,107.921732461969,0
3200,106.660313486301,0
3234,107.118477626062,0
3272,107.237066210488,0
3299,107.382352238996,0
3332,106.119574672073,0
3367,106.387043389744,0
3401,105.284129424169,0
3432,105.158708171739,0
3468,105.661128784351,0
3500,105.397721832427,0
3532,105.298417733887,0
3567,105.840355768409,0
3599,106.370469055522,0
3633,105.614667806676,0
3667,106.564121783167,0
3700,106.709869612931,0
3733,106.720970542176,0
3766,106.838357044969,0
3800,105.885235563285,0
3832,106.023566642645,0
3868,107.179922565462,0
3901,107.443850372317,0
3934,107.734995171513,0
3966,107.563387417207,0
3998,107.404235612919,0
4033,107.388021016529,0
4066,107.272944994048,0
4099,107.305580960377,0
4135,107.453884168032,0
4166,108.030758375392,0
4200,105.990466803846,0
4232,106.185006479963,1
4267,106.350381322882,1
4299,106.381197597156,1
4333,106.553015526257,1
4365,106.690005732327,1
4400,107.394388274235,1
4432,107.625634526252,1
4466,107.963737376102,1
4499,106.758479753724,1
4532,106.603696822284,1
4566,110.2996882744,1
4600,111.321078930389,1
4632,110.404391259014,1
4666,110.331522572616,1
4698,112.563481727703,1
4733,112.285449043872,1
4766,112.318314465956,1
4799,112.319850934943,1
