Time_Stamp,ShoulderElevationAngle,Trimming_Id
0,112.544112696184,0
38,112.536118786583,0
77,112.439307894864,0
114,112.302086104594,0
191,111.648828105419,0
215,111.396564748802,0
253,111.288602528436,0
292,111.107446094027,0
332,111.055143045197,0
369,110.994783848356,0
406,110.92834895254,0
459,110.990830585185,0
484,110.989439888713,0
522,110.956754246411,0
562,111.040407724483,0
598,112.583844993268,0
636,112.979095494111,0
672,112.859128749919,0
712,113.244614915643,0
752,113.53485531082,0
794,113.646104726163,0
829,113.169055937509,0
867,104.256040883664,0
903,104.36418169474,0
944,104.922997551551,0
983,104.985242919985,0
1022,111.632064631173,0
1062,111.377686254029,0
1103,111.186699012907,0
1157,111.10298264282,0
1201,110.574996500357,0
1242,109.986475167579,0
1277,110.815756757921,0
1308,112.837285306631,0
1346,115.401489269304,0
1386,117.85641041667,0
1415,115.593709342836,0
1447,114.845603788627,0
1476,119.074171401841,0
1511,120.029409788049,0
1550,120.366330846757,0
1586,120.513179332447,0
1624,119.28960505107,0
1673,118.466705191206,0
1706,117.460657641039,0
1742,117.243120823319,0
1779,118.307557842906,0
1815,119.532142883039,0
1856,119.253074010652,0
1900,119.242604453933,0
1940,118.773757409666,0
1983,118.81639650604,0
2024,118.980787631361,0
2067,118.743092535414,0
2116,118.873504250412,0
2161,119.180266910501,0
2201,118.874838635216,0
2237,118.495104342399,0
2270,118.041732654702,0
2307,117.59432006976,0
2351,115.348392264297,0
2386,109.129833509897,0
2424,106.35097868689,0
2461,97.7709336499862,0
2498,97.9019268541178,0
2541,98.1880077735617,0
2577,84.3298498650248,0
2617,84.8331663180972,0
2655,86.1354315288502,0
2692,91.15853998538,0
2732,92.1035943067053,0
2776,92.105107096814,0
2837,91.6886130812289,0
2868,91.7805090192637,0
2906,91.2546447450125,0
2929,89.8086050353746,0
2963,92.9184073562045,0
3007,90.2473546329095,0
3045,89.4375408004222,0
3078,89.0088778988775,0
3116,89.1842133530396,0
3156,89.371097149949,0
3200,89.4749262767248,0
3253,89.7519455989315,0
3293,89.9442455110813,0
3322,90.3006092625167,0
3363,90.7578692473776,0
3398,91.1217367030136,0
3441,91.4012209502487,0
3482,92.9200468879014,0
3520,95.0757651883452,0
3557,96.7449393663507,0
3594,104.396235921754,0
3632,104.487755153301,0
3676,104.781845310148,0
3729,105.376136631534,0
3769,107.551286959887,0
3803,108.102272536168,0
3834,108.764667845955,0
3872,109.144518266636,0
3924,111.727372485593,0
3970,111.771409242553,0
3992,111.96383761639,0
4022,112.379593264137,0
4058,112.698087186181,0
4096,112.670857152949,0
4138,112.858739170748,0
4181,112.943364497028,0
4221,112.664798389312,0
4260,112.617177672649,0
4299,112.565755748649,0
4340,112.54529247798,0
4383,112.52153604638,0
4421,112.409312790449,0
4459,112.43476133223,0
4493,112.415741394048,0
4530,112.642648340718,0
4571,112.481510453372,0
4613,112.382441325336,0
4652,112.331199686245,0
4691,112.27846080322,0
4726,112.2363140629,0
4761,112.293427211018,0
4799,112.300518497067,0
4845,112.308467826744,0
4888,112.274790030626,0
4922,112.232999312427,0
4958,112.212292207865,0
4992,112.183941103594,0
5155,112.397946155232,0
5186,112.52323899392,0
5217,112.471895527053,1
5249,112.444196546128,1
5291,112.704635937071,1
5332,112.751480310266,1
5371,112.647732072601,1
5408,112.55666340758,1
5451,112.435758718394,1
5489,112.471964284247,1
5529,112.332432818258,1
5572,112.253336541508,1
5611,112.709148369996,1
5646,112.708653339875,1
5688,112.615579488975,1
5728,112.547482633436,1
5770,112.471739300712,1
5808,112.409661746362,1
5848,112.407971591152,1
5885,112.088679032242,1
5927,111.431877053576,1
5967,111.828220988713,1
6009,112.016886495233,1
6044,111.97813950761,1
6083,112.034226287559,1
6121,112.221749173303,1
6158,112.138241370522,1
6197,111.959290741128,1
6236,111.968167407738,1
6273,111.801966649352,1
6310,111.764434320909,1
6342,111.750452424858,1
6385,111.643338269244,1
