Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
6674,5200,330,System.Double[],2
6703,5208,329,System.Double[],2
6734,5360,329,System.Double[],2
6769,5256,327,System.Double[],2
6800,5064,330,System.Double[],2
6834,5104,329,System.Double[],2
6869,4208,326,System.Double[],2
6901,2708,328,System.Double[],2
6935,3508,330,System.Double[],2
6969,4912,322,System.Double[],2
7003,6852,320,System.Double[],2
7034,6168,319,System.Double[],2
7069,7656,317,System.Double[],2
