Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
766,0.03402961;-0.06604834;1.450967,-0.002182461;-0.08977485;1.416045,-0.1793193;-0.2785026;1.432716,-0.174645;-0.1292586;1.56242,-0.03105611;-0.09913372;1.589942,-0.05259757;-0.5100248;1.576504,0
798,0.04160275;-0.07737435;1.448727,-0.00431316;-0.09124938;1.416605,-0.1882063;-0.2735409;1.430547,-0.1745919;-0.1273681;1.563287,-0.03104235;-0.09885371;1.590233,-0.05488565;-0.5128732;1.577906,0
830,0.04001518;-0.09189275;1.448196,-0.006258985;-0.09120964;1.4165,-0.1994766;-0.2636936;1.425858,-0.1742156;-0.1241544;1.564298,-0.03384319;-0.1017396;1.592785,-0.05511201;-0.5133871;1.578799,0
864,0.02691175;-0.1127563;1.441604,-0.04484069;-0.1598319;1.428969,-0.2171015;-0.2486557;1.41984,-0.1733158;-0.1204262;1.564836,-0.03281255;-0.1011141;1.593265,-0.05563267;-0.5134559;1.579166,0
899,0.05377743;-0.1122998;1.438861,0.0009373302;-0.1326453;1.428718,-0.2370391;-0.2325008;1.416366,-0.1720189;-0.1168067;1.564014,-0.03264681;-0.1026413;1.59487,-0.05576285;-0.5134104;1.579386,0
931,0.04561371;-0.1211934;1.432114,-0.007400017;-0.1405822;1.422573,-0.2557543;-0.2112868;1.412367,-0.1715308;-0.1140114;1.56374,-0.03171485;-0.1034748;1.595511,-0.05589608;-0.5131565;1.579312,0
964,0.03780903;-0.1265543;1.432807,-0.01419619;-0.1399411;1.421428,-0.2675146;-0.1910072;1.414632,-0.1700356;-0.1070573;1.566019,-0.0302477;-0.1040673;1.596802,-0.05656879;-0.5121177;1.580035,0
998,0.01694409;-0.1379322;1.430943,-0.02639217;-0.1421939;1.421929,-0.2831101;-0.1729635;1.418035,-0.1679602;-0.1062696;1.565239,-0.02669189;-0.1047643;1.598639,-0.05715108;-0.5114007;1.581441,0
1031,0.003025442;-0.1422894;1.42524,-0.0351136;-0.1371376;1.422287,-0.293401;-0.1504071;1.420663,-0.1665166;-0.1043879;1.566012,-0.02301056;-0.1051542;1.598906,-0.0578078;-0.5095883;1.582281,0
1065,-0.01358387;-0.144344;1.426857,-0.04809484;-0.1332297;1.424208,-0.3067378;-0.1249605;1.429745,-0.1652597;-0.1038558;1.566557,-0.01968775;-0.1051054;1.599578,-0.05796104;-0.5085869;1.583026,0
1098,-0.01553378;-0.1436389;1.424336,-0.05747353;-0.1374822;1.411638,-0.313097;-0.1020352;1.438021,-0.1640822;-0.1032613;1.567799,-0.01748622;-0.105018;1.599421,-0.05768862;-0.5079383;1.58338,0
1132,-0.02618102;-0.1422999;1.423815,-0.0636604;-0.1352387;1.411003,-0.3161932;-0.08549473;1.444743,-0.1637263;-0.1030521;1.568792,-0.015096;-0.1046228;1.598508,-0.05777448;-0.5069329;1.583687,0
1166,-0.03659891;-0.1404023;1.427513,-0.06960214;-0.115406;1.419241,-0.320031;-0.06499872;1.458469,-0.1661381;-0.09660321;1.577449,-0.01321007;-0.1033055;1.598297,-0.05836901;-0.504894;1.584841,0
1199,-0.05561149;-0.1346008;1.420243,-0.1147405;-0.1040976;1.424854,-0.3221109;-0.04690913;1.470464,-0.1676825;-0.08653506;1.585972,-0.0121356;-0.1022633;1.597692,-0.05972743;-0.5024189;1.585744,0
1232,-0.07167631;-0.1309008;1.419389,-0.1312968;-0.09756397;1.425552,-0.3245734;-0.03485114;1.480268,-0.1679331;-0.0830083;1.58867,-0.01085147;-0.1018671;1.597508,-0.06053218;-0.5008337;1.58625,0
1264,-0.09249336;-0.1252557;1.419106,-0.1333807;-0.09715068;1.425249,-0.3284369;-0.01304532;1.501751,-0.1683455;-0.07916938;1.592336,-0.009893282;-0.1013684;1.598132,-0.06125122;-0.4987154;1.588041,0
1298,-0.1088135;-0.1210975;1.416197,-0.1399402;-0.09380529;1.424798,-0.3295168;-0.002920059;1.511877,-0.1693692;-0.07600415;1.595929,-0.008960035;-0.1009029;1.59898,-0.06172925;-0.4970244;1.58952,0
1332,-0.1246518;-0.1194875;1.415331,-0.1223715;-0.1026568;1.419281,-0.3348813;0.007142466;1.524162,-0.1709079;-0.06479515;1.605843,-0.009325388;-0.09931698;1.599338,-0.06219621;-0.4947875;1.591125,0
1365,-0.1378793;-0.1171031;1.409155,-0.1243769;-0.1064258;1.418752,-0.3331312;0.009077567;1.525074,-0.1707067;-0.05935083;1.608353,-0.007443534;-0.09949785;1.600704,-0.06213787;-0.4934893;1.591533,0
1399,-0.1520975;-0.1147284;1.408312,-0.1745652;-0.09327862;1.409379,-0.3242391;0.06343067;1.540895,-0.1697265;-0.05886045;1.608274,-0.006836801;-0.09966592;1.601363,-0.06187741;-0.4925887;1.591702,0
1431,-0.1625122;-0.111444;1.407543,-0.1854301;-0.08712593;1.415057,-0.3630146;0.05205338;1.547667,-0.1689796;-0.05806064;1.607986,-0.007629797;-0.09849668;1.600702,-0.06191018;-0.4918878;1.591468,0
1466,-0.1704364;-0.1072805;1.410987,-0.1793435;-0.09241877;1.41055,-0.3387508;0.04788121;1.5534,-0.1686169;-0.05767665;1.608172,-0.008146261;-0.09761491;1.600667,-0.0616716;-0.4912194;1.592022,0
1498,-0.1749579;-0.09996965;1.411877,-0.1819582;-0.09051736;1.410993,-0.3350273;0.04938756;1.555588,-0.1682102;-0.05722658;1.608406,-0.00766603;-0.09823097;1.601748,-0.06149118;-0.4910065;1.592068,0
