Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.009679228;-0.4409998;1.309166,-0.0633401;-0.4104018;1.373958,-0.2069827;-0.3080895;1.509001,-0.215119;-0.1620615;1.650795,-0.05221524;-0.1091183;1.679605,-0.02456872;-0.5173758;1.58939,0
32,0.01274532;-0.44249;1.305413,-0.06231567;-0.4112336;1.373153,-0.2070231;-0.3078875;1.509505,-0.2151276;-0.1620629;1.650765,-0.05223905;-0.1091313;1.67961,-0.02458731;-0.5174069;1.589368,0
65,0.002796266;-0.4412296;1.315924,-0.06214341;-0.4116301;1.373119,-0.207121;-0.3076779;1.510881,-0.2151351;-0.1620661;1.650763,-0.05223278;-0.1091328;1.679782,-0.02462558;-0.5174336;1.589383,0
98,-0.001225179;-0.4406019;1.321469,-0.06207447;-0.4123837;1.373383,-0.2177546;-0.3097916;1.513655,-0.2151663;-0.1620606;1.65083,-0.05228461;-0.1091612;1.680568,-0.02466487;-0.5174134;1.589425,0
132,0.008016828;-0.4425098;1.309218,-0.06156094;-0.4128419;1.372773,-0.2152778;-0.3090835;1.513698,-0.2151724;-0.1620584;1.650817,-0.05227992;-0.109158;1.680567,-0.02469011;-0.5173885;1.589247,0
180,0.009640957;-0.4441216;1.308037,-0.06118283;-0.4132977;1.372432,-0.2142569;-0.3090894;1.513856,-0.2151805;-0.1620484;1.650803,-0.05226436;-0.1091369;1.680547,-0.02469781;-0.5174061;1.58922,0
199,0.01075125;-0.4428371;1.302352,-0.06063555;-0.4135591;1.371052,-0.2127707;-0.3091922;1.512944,-0.2151877;-0.1620263;1.650533,-0.05202717;-0.1089796;1.679866,-0.02474312;-0.5174841;1.588587,0
231,0.01208915;-0.4454763;1.306209,-0.06047357;-0.4138057;1.370997,-0.2120284;-0.3095771;1.512674,-0.215186;-0.1620246;1.650528,-0.05195381;-0.1089311;1.6799,-0.02476729;-0.517494;1.588581,0
265,0.03700631;-0.4585055;1.287559,-0.0387611;-0.4309335;1.354519,-0.2118695;-0.3091646;1.514016,-0.2152366;-0.1620025;1.65066,-0.05188181;-0.108818;1.680488,-0.02487574;-0.5174239;1.588742,0
298,-0.01273989;-0.4420068;1.329805,-0.05523546;-0.4218391;1.366513,-0.2117923;-0.3091529;1.514048,-0.2152344;-0.161998;1.65066,-0.05186342;-0.1088097;1.680574,-0.02487719;-0.5174505;1.588769,0
