Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,313,-380;14000;-7160,59;-1103;-2047,-0.1682847;-0.08717249;1.315132,-0.004931095;-0.1033273;1.349887,0.1196914;-0.3254269;1.315123,0.05850594;-0.3697641;1.129186,-0.02910497;-0.358762;1.090845,-0.1452103;-0.5512776;1.377145,0
32,314,-248;14716;-7892,3255;-1148;-2027,-0.1684264;-0.08723706;1.314762,-0.005049685;-0.1033456;1.349503,0.119501;-0.3254975;1.314861,0.05486753;-0.3678469;1.122436,-0.02949909;-0.3581312;1.087501,-0.1452032;-0.5512074;1.377066,0
65,309,-676;14444;-8220,2090;-861;-1108,-0.1685456;-0.08728795;1.314317,-0.005166143;-0.1036172;1.348962,0.1192893;-0.3258747;1.314971,0.05301246;-0.3681426;1.119037,-0.03045723;-0.3578163;1.084913,-0.1452444;-0.5511349;1.376986,0
139,312,-1028;13920;-8216,2193;-719;-1292,-0.1687478;-0.08733467;1.313219,-0.006104131;-0.1035113;1.348281,0.09992812;-0.3344173;1.307166,0.02640183;-0.357906;1.095972,-0.02746572;-0.3572377;1.067541,-0.1455027;-0.5507613;1.376294,0
167,315,-412;14104;-7900,1923;-1208;-1532,-0.1689865;-0.08731243;1.313122,-0.006858844;-0.1033015;1.34813,0.09994064;-0.3337995;1.306439,0.02679128;-0.3584209;1.095182,-0.02447452;-0.3597027;1.060637,-0.1456947;-0.5505433;1.376241,0
199,311,-528;14644;-7960,657;-680;-2056,-0.1691235;-0.0872793;1.313061,-0.007355416;-0.1032208;1.348072,0.09747884;-0.3344938;1.305294,-0.01940438;-0.3896388;1.079059,-0.02666098;-0.3612843;1.048192,-0.1459571;-0.5504553;1.376276,0
232,311,-608;14372;-8164,268;-881;-2178,-0.169396;-0.08725766;1.312676,-0.007711935;-0.103223;1.347897,0.09264807;-0.3356941;1.299147,-0.008382062;-0.3444798;1.058937,-0.03223852;-0.3635608;1.016127,-0.1461196;-0.5503789;1.376104,0
266,310,-1088;15168;-8380,1441;-773;-1718,-0.169492;-0.0872436;1.312598,-0.008011038;-0.1033184;1.34779,0.06840464;-0.3135265;1.345894,0.04652064;-0.3637909;1.091011,0.006098813;-0.3627149;1.02245,-0.1465292;-0.5502966;1.376126,0
300,313,-856;14080;-8556,1459;-936;-788,-0.169576;-0.08725748;1.312635,-0.008247219;-0.1034397;1.347772,0.08307796;-0.3384622;1.291832,0.06773985;-0.3701583;1.100004,0.02914119;-0.362282;1.020341,-0.1480689;-0.5506606;1.37718,0
334,313,-928;13796;-8708,1818;-1058;-1369,-0.169627;-0.08727461;1.31267,-0.007891585;-0.1044774;1.347445,0.08151076;-0.3407534;1.294739,0.06643078;-0.3736512;1.103107,0.05135805;-0.3625211;1.032342,-0.1488083;-0.5512555;1.378098,0
365,313,-596;13860;-9020,1895;-238;-1683,-0.1697393;-0.08726589;1.312721,-0.007846599;-0.1049815;1.347254,0.07362343;-0.3435978;1.291535,0.08194814;-0.3815309;1.100491,0.06303681;-0.3758356;1.033687,-0.1490571;-0.5512556;1.37875,0
400,313,-1012;14080;-8448,773;-68;-2007,-0.1698039;-0.08724093;1.312654,-0.008198192;-0.1048952;1.347154,0.06218321;-0.3454961;1.283302,0.08621256;-0.4383135;1.053039,0.08677676;-0.3774349;1.011272,-0.1490302;-0.55085;1.379382,0
433,313,-1144;13856;-8424,1171;-635;-1630,-0.1699279;-0.08724818;1.312487,-0.008566266;-0.1048585;1.346863,0.05384562;-0.3458893;1.275013,0.114193;-0.3684877;1.022347,0.1118551;-0.3670554;1.005757,-0.1489883;-0.5506728;1.379539,0
465,316,-856;14080;-8284,2065;-270;-1369,-0.1700891;-0.08726513;1.312566,-0.008474508;-0.1052206;1.346657,0.04252213;-0.3547066;1.345928,0.0777183;-0.3841024;1.089277,0.1214675;-0.3640736;1.017183,-0.1489582;-0.5505965;1.38006,0
499,312,-1128;14320;-8204,1447;-580;-1555,-0.170324;-0.08722778;1.313154,-0.008787453;-0.1051941;1.346857,0.05077191;-0.3490105;1.284683,0.1340575;-0.3672603;1.03966,0.1364088;-0.3621686;1.032388,-0.1488941;-0.5501795;1.381712,0
534,310,-1416;14212;-8404,1433;-366;-1136,-0.1704118;-0.08721866;1.313102,-0.009196335;-0.1051442;1.346644,0.04679575;-0.3509936;1.291196,0.09168989;-0.3702388;1.070624,0.1366527;-0.3610817;1.040544,-0.1488771;-0.5501563;1.381789,0
567,315,-1212;14640;-8484,1431;-235;-1119,-0.1705189;-0.08716956;1.313046,-0.00951356;-0.1050922;1.346518,0.03889055;-0.3535312;1.297822,0.1285781;-0.3707874;1.111277,0.1525484;-0.3610527;1.047385,-0.148868;-0.5500897;1.381872,0
599,313,-1188;14120;-8520,1510;-682;-1147,-0.1707527;-0.08710138;1.313285,-0.009741601;-0.1050252;1.346666,0.03753237;-0.3543167;1.303204,0.1593147;-0.3702966;1.077561,0.1617346;-0.3616889;1.059001,-0.149025;-0.5499661;1.382667,0
633,312,-1328;14500;-8748,1241;-398;-903,-0.1708698;-0.08704792;1.313227,-0.009903907;-0.1049752;1.346632,0.02389905;-0.3549434;1.367618,0.1323984;-0.3827034;1.132396,0.1656734;-0.3619988;1.063549,-0.1489531;-0.5500298;1.382807,0
