Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
4831,1023,6896;-8992;2844,-612;-144;4520,-0.1654987;-0.2731539;1.080386,-0.1523374;-0.2891277;1.140668,-0.09365711;-0.3002162;1.392057,-0.07535954;-0.03603093;1.396455,0.09470787;0.00580711;1.387786,0.1084677;-0.5007852;1.440979,1
4864,1021,5672;-9900;2500,-3166;142;6372,-0.1845829;-0.2751605;1.070139,-0.160248;-0.2740277;1.109674,-0.1095252;-0.2629272;1.36998,-0.07535253;-0.03604759;1.396431,0.09471028;0.005799739;1.387777,0.1084497;-0.5006996;1.441097,1
4900,1018,5496;-11132;3028,-954;-166;8446,-0.1684913;-0.2719624;1.075626,-0.1774253;-0.2740221;1.111893,-0.1170945;-0.248738;1.374381,-0.0753389;-0.03606163;1.396353,0.09473068;0.005768093;1.387717,0.1083944;-0.5006247;1.441113,1
4932,1023,3940;-13300;2324,-4447;-462;9028,-0.1813758;-0.2746667;1.071037,-0.1605845;-0.2728631;1.111464,-0.1168559;-0.2520742;1.372441,-0.07531811;-0.03608337;1.396383,0.0947388;0.005758855;1.387746,0.1083904;-0.5006405;1.441159,1
4967,1023,3096;-13624;2472,-2035;-1030;9946,-0.1607619;-0.2699928;1.076047,-0.160459;-0.2716975;1.114059,-0.121944;-0.2438785;1.3752,-0.07529175;-0.03609286;1.396384,0.09474117;0.005753058;1.38775,0.1083637;-0.5006255;1.44124,1
5000,1022,2500;-13448;936,-4660;-964;12473,-0.1619704;-0.2699403;1.068261,-0.1599406;-0.2727611;1.11198,-0.1172293;-0.2539404;1.373308,-0.07529704;-0.03611062;1.396361,0.09473988;0.005693312;1.387671,0.1083579;-0.500616;1.441199,1
5032,1023,76;-17940;1820,-723;-771;12772,-0.1612381;-0.2676481;1.055075,-0.1442191;-0.2689094;1.100944,-0.1184518;-0.2548321;1.369857,-0.07530323;-0.03612393;1.396341,0.09473106;0.005631978;1.387514,0.108418;-0.5005922;1.441049,1
5065,1023,-552;-17388;700,-2661;-877;12341,-0.1525163;-0.2648599;1.045597,-0.1245111;-0.2727455;1.097682,-0.1194422;-0.2550458;1.36756,-0.07532199;-0.03617873;1.396438,0.09473059;0.00561207;1.387523,0.1083999;-0.5005958;1.441078,1
5100,1023,-2072;-19708;868,-2521;-641;12229,-0.1357113;-0.2595861;1.04324,-0.1114956;-0.2729875;1.114361,-0.1302309;-0.2342117;1.381406,-0.07535774;-0.03620333;1.396522,0.09473331;0.005594274;1.387513,0.1084476;-0.5005895;1.441094,1
5131,1015,-2328;-18716;648,-1986;-1261;10359,-0.110448;-0.253188;1.063866,-0.1173354;-0.2572913;1.108391,-0.1382319;-0.2353183;1.372256,-0.07605497;-0.03659262;1.397305,0.09473796;0.005580781;1.387519,0.1084794;-0.5005835;1.44111,1
5166,1023,-3376;-20144;832,-1298;-959;10003,-0.1014329;-0.2518073;1.038305,-0.1176522;-0.2596092;1.10008,-0.1433354;-0.2364251;1.368365,-0.07602826;-0.03657955;1.397307,0.09474973;0.005561621;1.387507,0.1086425;-0.5005461;1.441108,1
5199,1023,-5008;-20216;204,1654;-1210;8222,-0.07643553;-0.2533621;1.039214,-0.09481234;-0.2501734;1.103621,-0.1475592;-0.238831;1.363717,-0.07577811;-0.03642038;1.397866,0.09482187;0.005569366;1.387761,0.1089228;-0.500644;1.440944,1
5232,1016,-4680;-18612;-40,-101;-844;6081,-0.05543414;-0.254458;1.051259,-0.06355304;-0.2422807;1.140201,-0.1452914;-0.2241019;1.397403,-0.07562925;-0.0360707;1.398096,0.09475352;0.005638503;1.387873,0.1085116;-0.5007723;1.439676,1
5264,1020,-5244;-18832;96,-271;-660;4365,-0.03418176;-0.2546386;1.058862,-0.03658642;-0.2562841;1.146506,-0.1463244;-0.2213629;1.391204,-0.07556385;-0.03567948;1.397844,0.09467848;0.0056651;1.387845,0.1073532;-0.5011352;1.435512,1
5299,1023,-5108;-18496;156,-418;-721;2704,-0.01824502;-0.2570817;1.076676,-0.02955904;-0.2596083;1.147396,-0.1487563;-0.219336;1.386759,-0.07552523;-0.03529825;1.397979,0.0946599;0.005633428;1.38785,0.1068765;-0.5014233;1.434555,1
5332,1023,-5656;-18196;-172,325;-675;1505,-0.01374296;-0.2566794;1.094278,-0.03784654;-0.2506271;1.107341,-0.1731109;-0.2461345;1.341548,-0.07560159;-0.03488145;1.398325,0.09466971;0.0056129;1.387899,0.1069083;-0.5014856;1.434463,1
5366,1017,-5572;-17268;-460,329;-238;452,0.005622264;-0.2585385;1.104076,0.01243569;-0.268324;1.162364,-0.176749;-0.2426184;1.35344,-0.07559985;-0.03466189;1.398191,0.09460876;0.005658629;1.387883,0.1069064;-0.501581;1.433611,1
5401,1019,-5336;-16544;16,871;-321;-226,0.00491199;-0.2580867;1.113487,-0.003398654;-0.2732305;1.171276,-0.18301;-0.2397499;1.370314,-0.07557053;-0.03445431;1.397866,0.09456836;0.005679856;1.387875,0.1069638;-0.5015997;1.433182,1
5432,1023,-5528;-16540;152,617;-404;-856,0.006046438;-0.2564831;1.115438,-0.009118994;-0.2730902;1.179557,-0.1858044;-0.2383375;1.381014,-0.07558742;-0.03423394;1.397581,0.09453676;0.005700054;1.387867,0.1072407;-0.5015969;1.432727,1
5476,1023,-5552;-16356;204,715;-473;-969,-0.003662119;-0.2555007;1.117437,-0.02347549;-0.2513605;1.145547,-0.1638097;-0.2225797;1.374956,-0.07562844;-0.03414334;1.397527,0.09451428;0.005720702;1.387871,0.1074908;-0.5016052;1.432401,1
5498,1023,-6016;-16652;-228,528;-677;-1812,-0.01167379;-0.25259;1.114987,-0.06675152;-0.2564527;1.151892,-0.1821075;-0.2319376;1.392811,-0.07559551;-0.03395766;1.397292,0.0944974;0.005738593;1.387854,0.1077418;-0.5015107;1.432085,1
5532,1006,-5644;-16344;-308,820;-707;-2150,-0.01358816;-0.2516426;1.113593,-0.07208586;-0.2514612;1.151535,-0.1851226;-0.2345924;1.393981,-0.07613306;-0.03418268;1.397519,0.09454376;0.005632828;1.387493,0.1079747;-0.5014154;1.431753,1
5566,1023,-5672;-16596;-484,1032;-497;-2398,-0.006970547;-0.2530038;1.1226,-0.06419245;-0.2922324;1.162498,-0.1864572;-0.2357169;1.39701,-0.07610636;-0.03401236;1.397843,0.09458471;0.005628414;1.387797,0.1080098;-0.5014359;1.431987,1
5600,1023,-6008;-17764;-264,1631;-664;-3387,-0.01759936;-0.2496645;1.11339,-0.1324818;-0.2619808;1.178168,-0.1867976;-0.2362893;1.390035,-0.07601214;-0.03373754;1.397007,0.0945783;0.005589088;1.387422,0.1080976;-0.5013492;1.431403,1
5632,1020,-5472;-18804;-276,881;-413;-4967,-0.01153781;-0.2517494;1.118228,-0.06869552;-0.2546469;1.152874,-0.1870545;-0.2362971;1.390249,-0.07652284;-0.03410647;1.397559,0.09459637;0.00556987;1.387447,0.1083543;-0.5013353;1.431417,1
5665,1022,-4508;-19108;-392,259;-113;-6460,-0.01125826;-0.2512826;1.118121,-0.06635026;-0.255987;1.153578,-0.1881528;-0.2365522;1.394401,-0.07650385;-0.03404422;1.397589,0.09461156;0.005566481;1.387449,0.108369;-0.5013195;1.431437,1
5699,1023,-3428;-17988;-248,3695;-531;-7202,-0.009525776;-0.2519978;1.121509,-0.06351823;-0.2570693;1.152119,-0.1604182;-0.2168775;1.380172,-0.07641696;-0.03379275;1.397935,0.09466013;0.005605784;1.387652,0.1084232;-0.5012518;1.431788,1
