Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
4032,314,0;0;0,0;0;0,-0.01148122;-0.139085;1.714939,0.1399744;-0.1706093;1.641102,0.2304031;-0.3820943;1.516036,0.1159406;-0.4290352;1.285058,0.09484521;-0.4407494;1.248755,0.0116142;-0.5781623;1.698306,1
4065,315,0;0;0,0;0;0,-0.01147423;-0.1390662;1.714954,0.1388905;-0.1703873;1.64064,0.2306412;-0.3817609;1.516434,0.1259366;-0.4174689;1.278809,0.09639056;-0.4036487;1.232375,0.01163005;-0.5781352;1.698314,1
4098,316,0;0;0,0;0;0,-0.0114942;-0.1390378;1.71497,0.1417092;-0.1706796;1.641798,0.2313032;-0.3822837;1.516299,0.1263211;-0.3807273;1.276004,0.1003457;-0.39858;1.253381,0.01165562;-0.5780893;1.698305,2
4133,317,0;0;0,0;0;0,-0.01145864;-0.1388753;1.715062,0.1431384;-0.1707737;1.642618,0.2540902;-0.3327401;1.589399,0.1513558;-0.3968416;1.357082,0.102593;-0.4143458;1.266159,0.01166956;-0.5780491;1.698317,2
4166,317,0;0;0,0;0;0,-0.01143078;-0.1388563;1.715075,0.1408783;-0.170304;1.641611,0.2288426;-0.3810648;1.513263,0.1179424;-0.376901;1.275684,0.1003242;-0.3974361;1.253304,0.0116795;-0.5780372;1.698314,2
4197,318,0;0;0,0;0;0,-0.01143451;-0.1388143;1.715064,0.1396823;-0.170168;1.640952,0.2532253;-0.333989;1.587442,0.1388348;-0.430863;1.373001,0.1020432;-0.4292344;1.2745,0.01168535;-0.5780185;1.698307,2
4233,319,0;0;0,0;0;0,-0.01141375;-0.1387587;1.714953,0.1386325;-0.1700169;1.640176,0.2334582;-0.3790693;1.514183,0.1282848;-0.4156585;1.276902,0.09646896;-0.4010247;1.230523,0.01169665;-0.577992;1.698263,2
4265,319,0;0;0,0;0;0,-0.01140605;-0.1387483;1.714966,0.1379419;-0.1699138;1.639924,0.2547154;-0.3344848;1.587436,0.1889725;-0.4086818;1.419003,0.1028764;-0.4203415;1.269709,0.01170095;-0.5779806;1.698274,2
4297,319,0;0;0,0;0;0,-0.01137418;-0.1387101;1.715331,0.1374137;-0.1698301;1.639886,0.2318759;-0.3810713;1.517712,0.1189951;-0.3775971;1.281066,0.1003309;-0.3977419;1.255333,0.01170214;-0.5779851;1.698339,2
4333,320,0;0;0,0;0;0,-0.01137909;-0.1384665;1.716048,0.1421328;-0.1705692;1.643859,0.2549492;-0.3324777;1.593308,0.1420058;-0.4316274;1.379165,0.1014879;-0.4294084;1.277128,0.01166738;-0.5778302;1.698643,2
