Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,12480,305,120.746745935413,0
31,12024,305,117.315536568459,0
113,3500,303,117.269672267042,0
130,3332,303,117.198405674926,0
165,3656,303,117.258737318827,0
196,3828,303,117.170219911374,0
230,3900,303,117.171069640652,0
264,3964,303,117.189022625452,0
300,4028,303,117.194478954291,0
331,3744,303,117.194579598963,0
364,3444,303,117.207224522092,0
398,3308,303,117.205670840323,0
430,3320,303,117.200452299849,0
464,3424,303,117.180038922186,0
498,3696,302,117.181064914765,0
549,4052,303,120.890236836217,0
564,3636,303,116.835451255418,0
596,3616,303,116.897217084296,0
630,3256,303,116.947973898193,0
662,3312,303,116.941967934033,0
698,3380,303,116.922293163413,0
731,3676,303,116.915658150689,0
763,3740,303,116.897817925261,0
797,3744,304,116.87493926524,0
830,3372,305,116.823014678444,0
863,3600,306,116.835532258957,0
896,3712,305,120.78138526186,0
932,4048,307,120.941806631471,0
964,4256,308,120.961745137164,0
997,4148,308,121.00243506714,0
1029,4092,310,116.647910492367,0
1064,4132,311,116.624399256723,0
1097,4296,313,116.592194054849,0
1131,3996,315,117.173816255039,0
1167,4220,316,120.620262725565,0
1198,3828,318,121.187961093364,0
1230,3980,320,119.029270666442,0
1263,3840,323,119.733390244914,0
1296,3340,327,120.258191488659,0
1330,3644,329,116.904434963988,0
1363,2972,332,120.921431944718,0
1398,3808,334,116.157176233415,0
1430,3300,335,120.870492185479,0
1462,4392,337,120.929019551162,0
1503,3420,338,118.351148785597,0
1530,3916,340,116.671619020928,0
1564,3276,342,116.581309220264,0
1600,3588,344,116.525738843271,0
1631,3340,345,116.424473279934,0
1663,3908,346,116.151302518637,0
1698,3404,346,116.653074297049,0
1729,3472,347,116.83997313112,0
1764,3364,348,116.75219948878,0
1798,3224,349,116.782771747621,0
1832,3420,349,116.904302968493,0
1866,3068,351,116.15584961612,0
1897,3408,349,116.65680399095,0
1930,3196,350,116.728127270768,0
1965,3092,349,116.748961638256,0
2000,3748,349,116.995540666375,0
2032,3304,348,117.102356593241,0
2065,3220,347,116.6695453963,0
2097,3424,346,116.619876459452,0
2130,2900,345,116.458437543054,0
2163,3252,345,120.480291381727,0
2196,3220,345,120.588185412929,0
2231,3004,345,120.632523585621,0
2266,3292,345,117.068768652642,0
2298,3084,345,120.924003050996,0
2332,3180,344,120.841410767785,0
2365,3324,345,120.90713621251,0
2397,3468,344,116.19262379374,0
2430,3392,342,116.377186406279,0
2466,3848,339,116.524515403486,0
2499,3820,334,115.161005311682,0
2533,3428,329,121.091888948576,0
2563,5056,325,117.920324243261,0
2595,3436,324,117.283068547714,0
2629,4868,319,117.25305834307,0
2667,4004,317,117.33823720579,0
2698,3984,313,117.717736754031,0
2731,5144,311,117.936984467375,0
2763,4188,309,117.688770755547,0
2796,4800,307,117.939968797939,0
2829,4204,307,118.717418849786,0
2863,3576,306,118.759145516835,0
2896,4788,305,118.731143284802,0
2930,4204,305,118.173399416012,0
2964,3764,305,117.172843261013,0
2997,3748,305,117.12208593055,0
3029,3692,305,119.336576912181,0
3063,3720,304,116.173926279399,0
3098,4108,305,116.349502431233,0
3131,4348,304,117.265576031561,0
3166,3512,305,116.808657094659,0
3197,4820,305,116.765121276194,0
3230,4388,306,116.702691522748,0
3264,4800,308,116.947974374355,0
3296,4164,307,117.127014293939,0
3331,3944,306,116.290543130901,0
3364,4208,307,117.399706873745,0
3396,4448,306,119.097972699559,0
3429,4392,306,119.103668053275,0
3464,4068,306,117.335768217408,0
3496,4460,305,117.461952277456,0
3530,4380,305,117.539468030726,0
3567,4196,305,117.517986301044,0
3597,4372,305,116.899422324903,0
3628,4328,306,116.86781724595,0
3665,4332,305,116.806025476878,0
3696,4492,305,116.733352130033,0
3729,4232,305,117.486361562924,0
3766,4104,305,119.636833726487,0
3798,4308,305,118.414032387717,0
3830,4232,306,118.107391890441,0
3864,4164,305,118.128490232131,1
3898,4040,306,116.812750420419,1
3929,4392,305,116.897069415491,1
3963,4216,305,117.047342441376,1
4001,4124,305,117.048977680894,1
4029,4012,305,116.97939116676,1
4064,4200,305,116.989582302748,1
4096,4192,305,119.261800488536,1
4130,4096,305,119.246196018892,1
4165,4276,305,119.207935393117,1
4198,4176,305,116.455935038271,1
4233,4168,305,116.41448646966,1
4265,3996,305,116.36718075107,1
4297,4188,305,119.115626025047,1
4329,4192,305,119.102479766021,1
4363,4016,306,116.040597645411,1
4397,4232,305,116.074555695128,1
4432,4340,305,117.919254565027,1
4464,4392,305,118.474535909781,1
4496,4428,306,117.430172579343,1
4533,4424,307,118.289223823822,1
4562,4368,306,118.405425153098,1
4596,4380,308,118.420081517103,1
4630,4388,309,118.453940798145,1
4665,4296,309,118.211132093803,1
4700,4356,310,118.24387737442,1
4729,4612,310,118.365781235169,1
4763,4452,313,118.407688474831,1
4798,4792,317,118.0473037822,1
4829,4432,320,117.955524962375,1
4865,4256,323,117.866736482271,1
4897,4212,322,117.956201856134,1
