Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,2592,310,System.Double[],0
35,1608,310,System.Double[],0
68,1320,309,System.Double[],0
104,748,310,System.Double[],0
135,1520,310,System.Double[],0
167,2232,310,System.Double[],0
200,2284,310,System.Double[],0
233,1160,310,System.Double[],0
267,1684,309,System.Double[],0
300,1624,309,System.Double[],0
336,856,309,System.Double[],0
367,1596,309,System.Double[],0
399,696,309,System.Double[],0
433,1388,309,System.Double[],0
467,3580,309,System.Double[],0
500,1904,309,System.Double[],0
536,1348,308,System.Double[],0
569,1704,308,System.Double[],0
600,540,308,System.Double[],0
634,1412,308,System.Double[],0
666,2028,307,System.Double[],0
699,1140,307,System.Double[],0
734,1360,307,System.Double[],0
767,-576,307,System.Double[],0
799,1396,307,System.Double[],0
833,524,307,System.Double[],0
868,-92,307,System.Double[],0
899,1384,307,System.Double[],0
934,2244,307,System.Double[],0
968,536,306,System.Double[],0
1001,1572,307,System.Double[],0
1034,-40,307,System.Double[],0
1066,316,307,System.Double[],0
1099,1724,306,System.Double[],0
1133,212,306,System.Double[],0
1168,544,305,System.Double[],0
1200,864,305,System.Double[],0
1234,996,307,System.Double[],0
1266,1404,306,System.Double[],0
1300,1408,306,System.Double[],0
1333,1868,305,System.Double[],0
1367,1872,305,System.Double[],0
1401,520,306,System.Double[],0
1433,2120,305,System.Double[],0
1467,1624,306,System.Double[],0
1500,2092,306,System.Double[],0
1532,2452,305,System.Double[],0
1567,1616,306,System.Double[],0
1600,2256,306,System.Double[],0
1634,2788,305,System.Double[],0
1666,2336,306,System.Double[],0
1700,1792,305,System.Double[],0
1733,2592,305,System.Double[],0
1766,1816,305,System.Double[],0
1800,1796,305,System.Double[],0
1833,2140,305,System.Double[],0
1867,1748,306,System.Double[],0
1899,1724,307,System.Double[],0
1933,1756,306,System.Double[],0
1968,1912,306,System.Double[],0
1999,2040,306,System.Double[],0
2033,1828,305,System.Double[],0
2068,2176,305,System.Double[],0
2100,2264,306,System.Double[],0
2132,1852,306,System.Double[],0
2166,1716,306,System.Double[],0
2199,1724,306,System.Double[],0
2232,1648,306,System.Double[],0
2266,1772,306,System.Double[],0
2299,1872,306,System.Double[],0
2334,1844,306,System.Double[],0
2372,1784,306,System.Double[],0
2399,1800,306,System.Double[],0
2433,1744,306,System.Double[],0
