Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
798,-4648;-13052;8400,-453;-93;-1713,-0.265341;-0.08449527;1.068341,-0.2799147;0.0209699;1.279975,-0.1667827;0.1980298;1.220341,-0.008687943;0.1964047;1.217853,-0.02308219;-0.1958454;1.387774,0
832,-4660;-12944;8288,-359;42;-1632,-0.2662383;-0.08350259;1.070222,-0.2799056;0.02095488;1.279961,-0.1667835;0.1980136;1.220309,-0.008687639;0.1963988;1.217849,-0.02297488;-0.1959104;1.387662,0
865,-4644;-13000;8236,-877;238;-1821,-0.2663735;-0.0834806;1.069011,-0.2798876;0.02084193;1.27957,-0.1667657;0.1979218;1.219964,-0.008704825;0.1963648;1.21777,-0.02295104;-0.195997;1.387326,0
904,-4576;-13092;8008,-2999;593;-2175,-0.2664939;-0.0835049;1.069025,-0.27991;0.02089133;1.27976,-0.1667725;0.1979157;1.220055,-0.008729282;0.1963705;1.217837,-0.0230777;-0.1959409;1.387739,0
934,-4740;-13676;7740,-3400;428;-2230,-0.2669346;-0.08354934;1.06863,-0.2799083;0.02087064;1.279734,-0.1667817;0.1979048;1.220035,-0.008724669;0.1963656;1.217834,-0.0229903;-0.1959876;1.38766,0
967,-4476;-13468;6872,-2073;-48;-2054,-0.2670334;-0.08352261;1.068401,-0.2799149;0.02078407;1.279668,-0.1668153;0.1978233;1.219941,-0.008729368;0.1963483;1.217784,-0.02292192;-0.1962626;1.387153,0
1002,-4756;-14276;6684,-4299;598;-2291,-0.2672395;-0.08343513;1.068328,-0.2798852;0.02067103;1.279414,-0.1668457;0.1977338;1.219652,-0.008734194;0.1963143;1.217709,-0.02283491;-0.196368;1.386843,0
1033,-4196;-13840;5520,-5044;782;-2822,-0.2675174;-0.08328832;1.068163,-0.279834;0.02071318;1.279328,-0.1669826;0.1980114;1.21981,-0.00873456;0.1963117;1.217692,-0.02280673;-0.1964523;1.386604,0
1066,-4352;-15092;5572,-9147;1752;-3494,-0.2680184;-0.08335367;1.068639,-0.2798059;0.0208111;1.279812,-0.1670231;0.1979876;1.219922,-0.008741785;0.1963034;1.217739,-0.02281164;-0.1964586;1.386718,0
1100,-3968;-14964;4108,-9358;1660;-3649,-0.268189;-0.08342206;1.06807,-0.2797385;0.02065059;1.279445,-0.1670291;0.1978342;1.219462,-0.008740296;0.1962742;1.217583,-0.02273917;-0.1965232;1.386357,0
1135,-4324;-16236;3508,-6053;845;-2300,-0.2685694;-0.08342708;1.068383,-0.2796884;0.02076457;1.279567,-0.1671725;0.1981859;1.219827,-0.008743041;0.1962779;1.217591,-0.02270546;-0.1964963;1.386405,0
1168,-3760;-15088;2228,-2895;493;-1838,-0.268975;-0.08309006;1.068833,-0.2796856;0.02049753;1.279106,-0.1671896;0.1979242;1.219351,-0.008759901;0.1962188;1.2174,-0.02284791;-0.1968048;1.385348,0
1200,-3700;-15488;2036,-6921;1828;-2277,-0.2691919;-0.08329616;1.069036,-0.27964;0.02034406;1.278757,-0.1671647;0.197691;1.218793,-0.008775905;0.1962019;1.217276,-0.02275107;-0.1968088;1.385136,0
1233,-3808;-15772;876,-11164;2113;-3629,-0.2701451;-0.08313461;1.069662,-0.2795884;0.0203087;1.278805,-0.1671774;0.1976696;1.218778,-0.008780096;0.1962;1.217265,-0.02274829;-0.1968104;1.385134,0
1266,-3376;-16344;-380,-12350;1702;-4692,-0.2717983;-0.08388901;1.072268,-0.2795208;0.02051241;1.279544,-0.1672029;0.1977025;1.219001,-0.008786576;0.1962107;1.217312,-0.02270266;-0.1967599;1.385459,0
1300,-2688;-16572;-2400,-13650;1802;-5547,-0.2719485;-0.08393122;1.072265,-0.279534;0.02046902;1.279546,-0.1672298;0.1976817;1.219036,-0.008787734;0.1962109;1.217309,-0.02272481;-0.1967815;1.385432,0
1333,-2584;-16800;-3328,-12258;1789;-5176,-0.2723847;-0.08376187;1.072258,-0.2794837;0.02038391;1.279369,-0.1671826;0.1976415;1.218953,-0.008778293;0.1962014;1.217276,-0.02270432;-0.1967871;1.385408,0
1367,-1972;-16452;-4884,-8799;941;-4089,-0.2732917;-0.08400986;1.073991,-0.2794775;0.02031776;1.279445,-0.1672182;0.1976126;1.219054,-0.008774303;0.1962011;1.217291,-0.02266851;-0.1967909;1.385472,0
1402,-1768;-15804;-5948,-5791;600;-3444,-0.2739397;-0.08446835;1.073626,-0.2794658;0.0203099;1.279445,-0.1672185;0.1976128;1.219054,-0.008773091;0.1962024;1.217288,-0.02267331;-0.1968039;1.385452,0
1435,-1100;-15096;-7092,-5862;541;-3441,-0.2742787;-0.08408703;1.073101,-0.2794387;0.02021189;1.279015,-0.1671546;0.1974688;1.218574,-0.00876655;0.1961676;1.217177,-0.02259933;-0.1967857;1.385286,0
1467,-920;-14936;-7560,-9422;1094;-4152,-0.2748215;-0.08483142;1.073378,-0.2794859;0.02016855;1.279207,-0.1672203;0.1974639;1.218828,-0.008775005;0.1961685;1.217214,-0.02260056;-0.1967988;1.385341,0
1501,-604;-14620;-8872,-11382;1735;-4313,-0.2749838;-0.08446047;1.073645,-0.2794582;0.02015513;1.279217,-0.1672088;0.197473;1.218864,-0.008777348;0.196169;1.217219,-0.02258288;-0.1967956;1.385405,0
1533,-144;-14060;-9780,-12058;1383;-4852,-0.2752025;-0.08495425;1.07338,-0.2795016;0.02009571;1.279039,-0.167211;0.1974599;1.218851,-0.008775407;0.1961633;1.217199,-0.02257063;-0.196879;1.385213,0
1568,316;-13260;-11328,-11534;1388;-4360,-0.2752923;-0.08536997;1.072921,-0.279535;0.02009656;1.278993,-0.1672087;0.1974532;1.21884,-0.008775418;0.1961599;1.217191,-0.02252312;-0.1968832;1.385216,0
1601,396;-13040;-12276,-9605;1313;-3873,-0.2753376;-0.08567912;1.072567,-0.279552;0.02007892;1.278979,-0.1671931;0.1974371;1.218879,-0.008775023;0.1961597;1.21719,-0.02246353;-0.1968772;1.385223,0
1634,820;-12224;-12712,-6440;984;-3043,-0.2755241;-0.08557902;1.07198,-0.2795645;0.02001452;1.278808,-0.1671788;0.1974026;1.218814,-0.008772532;0.1961493;1.217146,-0.0224456;-0.196947;1.384955,0
1669,1232;-11360;-13140,-5115;1021;-2639,-0.2756725;-0.08539492;1.071306,-0.2795808;0.01996472;1.278728,-0.1671865;0.1973855;1.218821,-0.008773646;0.1961485;1.217144,-0.02247798;-0.1969595;1.384933,0
1702,1284;-11260;-13328,44;-480;-1403,-0.2757473;-0.08549381;1.071411,-0.2796308;0.019996;1.278833,-0.1672103;0.1973705;1.218862,-0.008788465;0.1961534;1.217189,-0.022443;-0.1969486;1.385088,0
