Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
836,-1320;13608;-8880,12618;2656;-2053,0.01010215;0.2262563;1.274652,0.1586045;0.2010447;1.272024,0.285026;0.03952856;1.307033,0.1984956;-0.05993287;1.097742,0.01645642;-0.1641852;1.431528,0
869,-540;12728;-9704,13899;3342;-1871,0.009923475;0.2264224;1.274487,0.1588732;0.2010354;1.272265,0.2688345;0.005777027;1.285971,0.1925995;-0.06701719;1.084414,0.01645073;-0.1641591;1.431542,0
900,-1104;11668;-11000,16628;3957;-1433,0.009764891;0.2264957;1.274328,0.1575353;0.2007507;1.271537,0.2685265;0.002154337;1.280602,0.1929722;-0.06743883;1.085565,0.01645761;-0.1645583;1.430845,0
934,-692;10788;-12380,18987;3654;-553,0.009650938;0.2265769;1.27425,0.1578474;0.2007786;1.271792,0.2827503;0.04020011;1.303956,0.1971459;-0.06258746;1.095902,0.01636583;-0.1646008;1.430745,0
971,-872;10732;-13976,19230;3134;1508,0.009790264;0.2264896;1.274346,0.1581063;0.2008018;1.272003,0.2663455;-0.003708928;1.269335,0.1930103;-0.06809812;1.08674,0.01653599;-0.1649178;1.429948,0
1004,-688;9484;-14104,15133;1373;2514,0.009661765;0.2265878;1.274257,0.1583303;0.2008209;1.27214,0.2664212;-0.003050053;1.270497,0.1927131;-0.06855113;1.08653,0.01651882;-0.1648196;1.430038,0
1038,-196;8340;-15560,9331;-589;2186,0.009549969;0.2266703;1.274076,0.1584956;0.2008323;1.272251,0.266444;-0.003048005;1.270444,0.1924241;-0.06894681;1.086353,0.01652073;-0.165132;1.429426,0
1068,-36;7616;-15968,5847;-1138;2023,0.00944407;0.2267768;1.27411,0.1587183;0.2009436;1.272576,0.2665378;-0.003093053;1.270661,0.192366;-0.06933883;1.086999,0.01628139;-0.1651391;1.429728,0
1100,216;7560;-16088,1226;-1659;81,0.009382015;0.2268253;1.274068,0.1588327;0.2009932;1.272717,0.2666682;-0.002609087;1.271675,0.1920988;-0.06963766;1.086976,0.01637205;-0.1653;1.42951,0
1133,224;6960;-16176,-2794;-1767;-1405,0.009297718;0.2268759;1.274038,0.1570683;0.2008799;1.272013,0.2668019;-0.002097073;1.27194,0.1920734;-0.0697249;1.08706,0.0162349;-0.1651485;1.429764,0
1167,36;7984;-15772,-5627;-885;-853,0.00924337;0.2269335;1.274063,0.156243;0.2009296;1.272011,0.2822963;0.0429866;1.312728,0.1988532;-0.06108953;1.104445,0.01629886;-0.165141;1.429916,0
1203,88;7968;-15240,-7635;-1284;-1747,0.009127978;0.2269746;1.273945,0.156631;0.200942;1.272136,0.2660711;0.001893063;1.27398,0.1910286;-0.07080963;1.086119,0.01587317;-0.1652639;1.42934,0
1237,-380;9872;-14752,-9959;-2316;-1590,0.009033994;0.2270176;1.273914,0.1570064;0.2009176;1.272397,0.2660761;0.001756174;1.274137,0.1907352;-0.0712261;1.085875,0.01573176;-0.1653396;1.429269,0
1272,128;9440;-14392,-21124;-3779;-1464,0.008973932;0.2270507;1.273926,0.1560633;0.2008632;1.272343,0.2662785;0.001605331;1.274188,0.1905583;-0.07142219;1.086812,0.01564763;-0.1652862;1.429529,0
1300,-376;12572;-11796,-18994;-3551;1151,0.008808177;0.2271262;1.273937,0.156483;0.2009199;1.272592,0.2820516;0.04233268;1.311752,0.197657;-0.06249899;1.104237,0.01487386;-0.1642695;1.430478,0
1337,208;10812;-10636,-23830;-4045;-1962,0.008731043;0.2271492;1.273879,0.1556479;0.2008191;1.272388,0.2688991;0.00131153;1.273327,0.1902365;-0.07199252;1.086721,0.01512482;-0.1646813;1.430022,0
1367,-688;14248;-7600,-14466;-4266;698,0.008633381;0.2271885;1.273909,0.1561916;0.2009198;1.272791,0.2850456;0.04292518;1.310761,0.1978277;-0.06256651;1.10476,0.01505623;-0.1646892;1.430088,0
1400,-132;13748;-6968,-19866;-4273;-2425,0.008543341;0.2271863;1.273847,0.1565398;0.2009546;1.272976,0.2684206;-0.0002672125;1.27333,0.1899024;-0.07239439;1.086724,0.01514732;-0.1651058;1.429618,0
1436,-936;15104;-4680,-8123;-2548;-414,0.008445545;0.2272303;1.273918,0.1555793;0.2009623;1.273109,0.2845386;0.04354737;1.312718,0.1981007;-0.06211346;1.106475,0.01525652;-0.1652921;1.429678,0
1469,-972;16660;-3544,-14063;-3573;-3009,0.008321276;0.2272283;1.27383,0.1543474;0.2010409;1.272246,0.2841943;0.04341765;1.312152,0.1977201;-0.06234257;1.105976,0.01550145;-0.1653633;1.429489,0
1499,-1248;15228;-2476,-10308;-2970;-334,0.008176806;0.2272578;1.273916,0.153777;0.2011869;1.272323,0.284054;0.04341298;1.312183,0.1975747;-0.06240921;1.106041,0.01544139;-0.1653385;1.429979,0
1534,-1160;17968;-716,-18361;-3612;-1118,0.008097563;0.2272679;1.273939,0.1533188;0.2012567;1.272197,0.2837906;0.04343244;1.312298,0.1973909;-0.06239041;1.106123,0.01555113;-0.1653805;1.43004,0
1567,-1024;13684;440,-17581;-2216;-1972,0.00799997;0.2272775;1.273955,0.1528341;0.2013571;1.272273,0.2837741;0.04348069;1.31205,0.1972999;-0.06246504;1.10597,0.01552323;-0.1654534;1.430028,0
1600,-1112;15372;3244,-10716;-1044;-2235,0.007893451;0.2273023;1.274019,0.1539127;0.2014582;1.272914,0.283614;0.04356137;1.312239,0.1972433;-0.06239377;1.10612,0.01554007;-0.1654063;1.430305,1
1636,-1360;14632;4384,-11338;-266;-1503,0.007712834;0.2272895;1.273842,0.152762;0.2014306;1.271907,0.2830365;0.04374385;1.31104,0.1966084;-0.06250401;1.105096,0.01547254;-0.165436;1.430161,1
1670,-1468;15120;6312,-8769;-2239;34,0.007724324;0.2269989;1.274786,0.1538195;0.2015308;1.27261,0.2828182;0.04376479;1.311359,0.1965795;-0.06241907;1.105302,0.01550804;-0.1655791;1.43006,1
1699,-1332;14484;7468,-9462;-2234;-325,0.007644641;0.2270134;1.274727,0.1544944;0.2016333;1.272882,0.2825893;0.04380031;1.311538,0.1964857;-0.06239615;1.105431,0.01567927;-0.1659014;1.429652,1
1734,-1252;14124;8156,-7758;-2754;104,0.00754149;0.2270274;1.274683,0.1536348;0.2016543;1.272497,0.2824002;0.04376125;1.311491,0.1963274;-0.0624109;1.105358,0.0157305;-0.1659374;1.429629,1
1769,-624;13180;8380,-9730;-3250;-61,0.007389273;0.2270447;1.274546,0.1526048;0.2016965;1.27181,0.2822637;0.04376487;1.311453,0.1961694;-0.0622991;1.105274,0.0156525;-0.1659119;1.429606,1
1800,-244;11960;9096,-4629;-1555;459,0.007323666;0.2270592;1.274538,0.1537976;0.2017787;1.272566,0.2820233;0.04389727;1.31174,0.1961521;-0.06223301;1.105502,0.01554899;-0.1662527;1.429287,1
