Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,6832;6016;13536,1129;-390;-996,0.01390752;0.2260699;1.265248,0.1659599;0.1959002;1.27044,0.2745151;0.01606148;1.310415,0.2135914;-0.1092238;1.105917,0.01816504;-0.1672703;1.427497,0
15,6880;6060;13520,1134;-408;-977,0.01390991;0.2260043;1.265282,0.165995;0.195956;1.27046,0.2745776;0.01611888;1.310269,0.2132399;-0.1093892;1.106029,0.01814838;-0.1672719;1.427419,0
50,6820;5984;13708,1173;-388;-999,0.01389575;0.22587;1.265539,0.1657881;0.1956759;1.269994,0.2746115;0.01612094;1.310284,0.203659;-0.1097723;1.115967,0.01817064;-0.1672933;1.427467,0
79,6752;6016;13548,1182;-408;-977,0.01389394;0.2258428;1.265556,0.1658881;0.1957937;1.270081,0.274611;0.01610412;1.310241,0.2047893;-0.1107159;1.109581,0.01817367;-0.1672919;1.427444,0
112,6888;6040;13548,1161;-417;-981,0.01390751;0.2257499;1.265833,0.1660834;0.1960116;1.270525,0.274885;0.01602351;1.310567,0.2090449;-0.112177;1.109439,0.01834559;-0.1672977;1.427579,0
142,6884;6080;13544,1153;-409;-968,0.01391387;0.2257348;1.265828,0.1661338;0.1960519;1.270585,0.2749398;0.01604852;1.310414,0.209068;-0.1117779;1.109052,0.01827596;-0.1672831;1.427391,0
176,6892;5968;13636,1171;-419;-982,0.0139236;0.2256787;1.266072,0.1662553;0.196222;1.270861,0.2750009;0.01607491;1.310646,0.2025228;-0.1122029;1.114845,0.01829132;-0.1672426;1.427562,0
210,6932;6064;13640,1181;-422;-963,0.01392513;0.2256572;1.266132,0.1663249;0.1963087;1.270915,0.2750632;0.016111;1.310563,0.2037524;-0.1112976;1.114868,0.01832278;-0.167222;1.427584,0
243,6808;6108;13488,1143;-481;-954,0.01394926;0.2256136;1.266226,0.1660752;0.1959914;1.270352,0.2752293;0.01623533;1.310645,0.2049649;-0.1101063;1.115068,0.01832798;-0.1672305;1.427598,0
279,6812;6076;13516,1163;-425;-974,0.01396333;0.2255866;1.26625,0.1661702;0.1960681;1.27041,0.2754575;0.01631723;1.310513,0.204881;-0.1095431;1.113989,0.01833135;-0.167237;1.427571,0
313,6768;6080;13700,1137;-461;-958,0.01398289;0.2255644;1.266342,0.166302;0.1962119;1.270593,0.2757666;0.0163909;1.310706,0.2521954;-0.1001136;1.124769,0.01838029;-0.1672779;1.427521,0
343,6920;6036;13500,1120;-505;-957,0.01397828;0.2255859;1.266471,0.1663746;0.1963749;1.270802,0.2759689;0.0165758;1.31087,0.2522748;-0.09994627;1.124959,0.01841826;-0.1672172;1.427694,0
