Time_Stamp,ShoulderElevationAngle,Trimming_Id
0,81.6751502038729,0
35,81.5550310658632,0
65,81.5094254989101,0
99,81.4701029059934,0
183,81.9360070892515,0
199,81.7127474275542,0
234,81.7729580498508,0
265,81.7073478259114,0
298,81.7266381329105,0
333,81.7166805831078,0
365,81.728668123729,0
399,81.6413720896648,0
435,81.621478568757,0
465,81.5812010149344,0
499,81.5568536749688,0
533,81.5542101301461,0
565,81.5542191817378,0
599,81.5173604880916,0
632,81.5021930091251,0
671,81.4782380748141,0
698,81.4092732138038,0
732,81.4109987320414,0
765,81.4446039662308,0
798,81.4105457468169,0
837,81.3912111194693,0
865,81.1626896398111,0
899,81.0441683224321,0
933,81.0884140524809,0
965,81.3890966034825,0
998,81.3125809704936,0
1032,81.3341337191347,0
1066,81.3293388697565,0
1101,81.2041235979625,0
1132,81.3009538074413,0
1165,81.4719563235336,0
1198,80.7217665685696,0
1232,81.0171146562266,0
1265,80.7349899267975,0
1299,80.5922406386906,0
1334,80.8227660555381,0
1365,81.1329345034666,0
1398,81.0630528381673,0
1432,81.1960585178559,0
1465,81.7821789199718,0
1499,81.8593951115317,0
1535,81.8370874366709,0
1567,81.8624477327603,0
1598,81.9055615453862,0
1632,82.0102919840683,0
1665,82.062347323413,0
1698,86.4677767096682,0
1734,85.9942715339055,0
1766,83.7733305240596,0
1798,82.8094086696646,0
1832,81.8506605153976,0
1865,81.6416733846241,0
1898,80.7844587157308,0
1934,80.7154387364455,0
1968,80.5053199737587,0
2001,80.4315102028845,0
2035,80.4611528304952,0
2066,85.0359261462933,0
2098,81.0813613083931,0
2134,81.102525276373,0
2166,81.230391989347,0
2201,81.2416681098701,0
2233,93.1722644375616,0
2266,93.2536961471982,0
2298,87.5139672278241,0
2334,87.3984357620847,0
2367,87.3486001443914,0
2400,87.9960437485937,0
2433,87.7601633796736,0
2465,89.4697736816575,0
2499,95.3777658840029,0
2534,100.895555700744,0
2567,111.913225103888,0
2600,113.849050846268,0
2633,125.617164146049,0
2667,133.48228077042,0
2699,142.805902414908,0
2734,211.044423746814,0
2767,208.167833818547,0
2801,207.682288698414,0
2835,207.761395539578,0
2866,208.241572058872,0
2900,208.816534590907,0
2934,210.492768625491,0
2967,210.508629389616,0
3000,211.774542806709,0
3034,212.277759892888,0
3074,212.247644191067,0
3100,212.059125633818,0
3133,211.573325269338,0
3166,209.875046850375,0
3199,208.927377637502,0
3235,208.05698962171,0
3268,206.85828905093,0
3301,205.318825950711,0
3335,204.520772487331,0
3367,202.074064150253,0
3400,200.840890156191,0
3434,199.046405280842,0
3469,197.283434643197,0
3500,196.234345982607,0
3535,196.11434366798,0
3567,197.079544813388,0
3598,161.316186599708,0
3635,158.819063323477,0
3666,155.284362315092,0
3699,148.630582050704,0
3735,145.786930185544,0
3767,143.113104254157,0
3799,139.381171243418,0
3835,132.588967477072,0
3868,126.707628751764,0
3899,121.339604881097,0
3934,116.117878082563,0
3967,110.108931222662,0
3999,113.940012642233,0
4033,106.152949552967,0
4065,106.722044778632,0
4099,101.780621835466,0
4132,98.4353051361396,0
4167,90.8681937436559,0
4200,88.9707178030038,0
4232,81.3380034686099,0
4265,83.3590676099928,0
4298,74.6607956858673,0
4332,77.6669211872455,0
4368,78.8111329932192,0
4399,80.3034802872991,0
4435,81.085455448525,0
4465,81.2609658609672,0
4498,81.9488051673979,0
4533,82.0123414933693,0
4569,82.1222434350157,0
4602,82.0777275780706,0
4633,80.0791021777667,0
4667,79.3816416227439,0
4699,78.859737710726,0
4733,79.8027945779532,0
4766,79.0810525415098,0
4799,79.7838955957356,0
4833,80.0767730211719,0
4865,80.6445491774177,0
4898,79.4427561656623,0
4933,78.9000138151709,0
4966,79.5209117778561,1
4999,79.9074670059487,1
5032,80.2306101223713,1
5067,80.8269207392822,1
5099,80.9649768225818,1
5133,81.014910867777,1
5166,81.1618754725754,1
5199,81.1888531471649,1
5235,81.2078016726849,1
5266,81.2352933421093,1
5298,81.3563873046723,1
5332,81.3563821573104,1
5367,81.3776982483961,1
5398,79.149283689867,1
5435,79.402119857645,1
5465,78.7072775882689,1
5499,79.3232115529064,1
5532,78.5495868626044,1
5568,78.0641353755851,1
5599,77.8450773491994,1
5635,78.2336766429738,1
5666,79.2324906814799,1
5700,79.5016085338155,1
5733,79.9861164360155,1
5766,78.9406222324608,1
5800,79.4486333044581,1
5833,80.1637237906742,1
5866,80.416316590746,1
5901,80.5185018126268,1
5934,80.680952932632,1
5965,81.0643226460725,1
5999,81.2783732126544,1
6033,81.6259109778861,1
6065,81.6845141352999,1
6101,81.8487761359089,1
6134,82.0595360944373,1
6167,82.2625321317589,1
6199,82.3327760794022,1
6232,81.8205365927194,1
6265,81.9865563443456,1
6299,81.763563578215,1
6334,81.9078295800873,1
6366,82.03896092106,1
