Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-14720,4716,9584,163.0861752,131.5098694,0
33,-14700,5964,12504,163.0949845,131.4951056,0
66,-12744,6768,15022,163.112419,131.4653982,0
99,-11148,7796,7401,157.6762422,135.51981,0
132,-11908,8792,1580,163.4604691,131.3010284,0
166,-12532,9032,1406,163.3446584,131.3168864,0
200,-12104,8940,764,164.9717403,130.6137579,0
232,-12368,9096,378,164.8966525,130.6585535,0
265,-12336,9184,627,164.0644689,131.0632341,0
299,-12260,8964,706,163.5062679,131.2945125,0
331,-12316,9156,179,163.8607157,131.1453344,0
365,-12196,9140,155,164.1445322,130.9302122,0
399,-12248,8980,263,165.296173,130.3793102,0
433,-12124,9012,267,164.392444,129.1982655,0
466,-12116,8896,72,164.6138957,127.4910659,0
499,-12084,8980,-72,161.4358044,126.0824822,0
531,-12236,8996,-125,163.4573672,122.1854841,0
565,-12360,8916,-389,159.8132753,122.3679669,0
598,-12544,8800,110,161.7367278,111.1326665,0
632,-12392,8648,93,163.3277113,106.3818849,0
666,-12472,8732,20,157.0819182,103.7097318,0
699,-12376,8668,93,148.9263623,101.4519538,0
731,-12420,8764,103,152.1560894,102.1671898,0
764,-12456,8592,205,150.5162641,104.9020989,0
798,-12436,8632,111,149.8765248,99.5173548,0
832,-12328,8716,449,144.4897297,94.09661357,0
866,-12360,8936,8,154.3951594,82.94693272,0
900,-12504,8684,-258,151.1363884,80.52195183,0
932,-12284,8584,45,152.0051569,74.86123395,0
965,-11884,8072,-2651,152.1952902,69.86171546,0
999,-11720,7720,-9023,152.0658098,66.88644721,0
1032,-11896,6188,-19501,151.8770995,62.32875869,0
1066,-14536,4328,-23211,152.0629116,57.80473842,0
1100,-14632,1748,-24930,151.5605821,54.41120875,0
1133,-15768,-572,-21531,151.779676,49.31893128,0
1165,-15400,-3084,-17649,150.9506312,48.02962892,0
1199,-14196,-5120,-13838,152.1115443,44.50707135,0
1233,-13992,-6396,-12089,151.779185,40.72185436,0
1266,-12748,-7796,-9574,152.9570272,37.86525409,0
1299,-11776,-8968,-14381,151.9955378,33.84333168,0
1334,-11600,-10104,-16294,153.0795911,31.04236694,0
1365,-10324,-11500,-16806,150.7123199,36.14100215,0
1399,-10584,-12140,-10978,155.8831406,27.81091926,0
1432,-9368,-12808,-6991,154.4721503,27.30031277,0
1465,-9060,-13820,-417,156.6474239,21.95126702,0
1498,-8900,-14188,3818,155.9830282,21.08593858,0
1534,-9488,-13732,6969,156.1642532,18.89216802,0
1568,-10824,-12440,12577,156.0829317,18.2159127,0
1606,-10716,-11372,14934,156.0016671,18.00559065,0
1632,-11432,-10028,11114,156.0136852,17.49319532,0
1666,-11348,-8932,7500,155.8789267,17.45420357,0
1699,-12160,-8180,1672,156.0451401,17.51547758,0
1733,-13396,-7876,4314,156.4563849,19.04585677,0
1767,-13260,-7536,6483,156.6951332,20.2763317,0
1800,-14240,-6504,10382,156.8293987,22.95543568,0
1869,-13800,-5464,15302,157.4755678,28.44476082,0
1925,-13612,-3616,14509,157.3102246,34.46420105,0
2048,-13680,-2180,10414,153.9523849,54.72354324,0
2079,-14792,-968,12587,155.5958994,58.71198029,0
2098,-14596,56,10383,154.3191955,64.79814612,0
2131,-15436,1744,13506,154.2824139,69.50513106,0
2166,-14428,2940,15255,146.8996608,75.56153763,0
2200,-15356,5292,17757,151.5613674,76.51935449,0
2232,-13820,7348,24388,150.1966197,80.57288277,0
2282,-10616,8612,20754,152.3461693,85.87749245,0
2331,-9308,10212,8973,148.1485913,92.04359793,0
2364,-9896,10820,2198,149.1163913,95.6381495,0
2399,-10464,10892,324,149.7605133,98.48315179,0
2432,-10388,10732,256,148.6775691,102.271443,0
2465,-10552,10868,-306,153.399425,101.1257593,0
2498,-10560,11104,147,155.2142204,100.6645229,0
2530,-10520,11372,460,156.3827841,100.9858384,0
2564,-10620,11204,-271,156.8163055,100.780442,0
2709,-10608,10924,-322,154.1814915,120.2943794,0
2731,-10772,10908,-473,161.0938114,121.8654431,0
2764,-10848,10836,-347,155.1459368,125.9415537,0
2797,-10808,11152,198,154.7613371,127.0070137,0
2835,-10828,11056,394,161.093716,126.8449571,0
2867,-10748,11056,167,150.4603568,136.7079157,0
2902,-10876,10972,210,165.4227716,127.8959781,0
2930,-10820,10860,173,150.6368493,139.4275898,0
2965,-10992,10744,239,151.709914,140.7063377,0
2998,-10968,10784,229,160.9212805,130.8251906,0
3032,-11000,11200,289,157.3421416,133.3251664,0
3065,-10960,11160,246,164.7617058,129.417495,0
3100,-11316,11672,643,163.4882382,129.4257549,0
3133,-10820,11820,1193,161.31471,130.2198473,0
3164,-9864,11420,-131,160.0569636,130.3435013,0
3197,-9324,11676,-100,159.7484473,130.6002233,0
3232,-8716,11636,1367,130.8701378,146.7462155,0
3265,-8428,11792,2117,161.4455854,130.9450553,0
3300,-8144,11332,1719,156.7042179,133.0956876,0
3332,-8568,11468,993,159.3533403,131.852404,0
3366,-8688,11320,1550,161.5143585,130.8533897,0
3399,-8844,11100,649,161.3603489,130.936777,0
3431,-9576,11136,83,161.4558563,130.9609779,0
3466,-9768,10716,-1192,161.1209986,131.0477967,0
