Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
797,-0.02692586;0.07583059;1.348614,0.1468817;0.03113772;1.323517,0.1507343;-0.1664976;1.281197,-0.02332361;-0.3156756;1.165642,-0.09233229;-0.3792592;1.130865,-0.006528278;-0.3917481;1.442055,0
831,-0.02668934;0.07571199;1.347957,0.1468175;0.03125645;1.323486,0.1502471;-0.1663837;1.280986,-0.02277435;-0.3123597;1.159504,-0.09254073;-0.3747622;1.126804,-0.00640001;-0.39157;1.441765,0
865,-0.02653969;0.07568259;1.347736,0.1466761;0.03150493;1.323554,0.1499765;-0.1664137;1.280843,0.02614158;-0.2966333;1.193483,-0.03346499;-0.3339556;1.171031,-0.005063975;-0.3916534;1.441427,0
898,-0.02646632;0.07559645;1.347082,0.1469971;0.03089295;1.32229,0.1493798;-0.166282;1.280241,0.005219654;-0.3007528;1.179203,-0.06333511;-0.3480114;1.147446,-0.005379958;-0.3915533;1.441003,0
930,-0.02638205;0.07553466;1.346871,0.1468866;0.03129119;1.322487,0.1492984;-0.1660704;1.28009,-0.02947335;-0.3046435;1.158062,-0.1005995;-0.3630125;1.126585,-0.0051567;-0.3915615;1.440872,0
966,-0.02633079;0.07554872;1.347014,0.1467258;0.03172509;1.32299,0.1493782;-0.1657507;1.280648,9.310778E-05;-0.2873927;1.178372,-0.0685569;-0.3230673;1.146299,-0.005100114;-0.391565;1.440909,0
997,-0.02628554;0.07555109;1.34691,0.1466904;0.03186937;1.323104,0.1500332;-0.164099;1.280553,-0.03369762;-0.2878785;1.149593,-0.1017118;-0.3213351;1.124265,-0.004980742;-0.3915115;1.440795,0
1029,-0.02694909;0.07600479;1.347165,0.1466606;0.03212215;1.323327,0.1519355;-0.161179;1.281216,-0.004299612;-0.2595289;1.165769,-0.06707244;-0.2724259;1.131069,-0.005047463;-0.3913059;1.440814,0
1068,-0.02682799;0.0758712;1.346915,0.146648;0.03231017;1.323392,0.1504388;-0.1615503;1.278517,-0.004041345;-0.2492665;1.160686,-0.05607713;-0.2435881;1.130883,-0.005382831;-0.3911411;1.440637,0
1098,-0.02676609;0.07583994;1.346909,0.1467054;0.03278195;1.323642,0.1519848;-0.1569808;1.275463,0.006722919;-0.2170466;1.158183,-0.04031483;-0.210611;1.131431,-0.005686566;-0.3905367;1.439634,0
1132,-0.02716578;0.07619058;1.347032,0.1466921;0.0333385;1.323824,0.1513972;-0.1535629;1.270211,0.001246743;-0.1923396;1.148546,-0.0462264;-0.1797224;1.12012,-0.004354083;-0.3889492;1.439343,0
1167,-0.0269941;0.0762555;1.347335,0.1468575;0.03394109;1.324177,0.1513363;-0.1489918;1.264082,0.002268797;-0.1625741;1.142553,-0.0442542;-0.1445853;1.116889,-0.005923041;-0.3845778;1.443657,0
1198,-0.02670714;0.07595713;1.347077,0.1470162;0.03435069;1.324057,0.1515583;-0.1440881;1.249015,-0.04134076;-0.1071751;1.107062,-0.09705584;-0.07199257;1.069148,-0.01344743;-0.3794709;1.447142,0
1231,-0.02796355;0.07676934;1.34797,0.1471085;0.03488569;1.323989,0.1516485;-0.1417039;1.243891,-0.01816349;-0.09262832;1.119905,-0.07077305;-0.04793555;1.090542,-0.02203377;-0.3761679;1.454219,0
1266,-0.02773164;0.07675582;1.348026,0.1472141;0.03530923;1.323736,0.1408838;-0.1354964;1.22078,-0.0141789;-0.06199211;1.122907,-0.06222792;-0.01126859;1.098381,-0.02565079;-0.3763081;1.457231,0
1299,-0.02282231;0.07790987;1.345948,0.1508948;0.03472894;1.316868,0.1370109;-0.1339838;1.209859,-0.02222596;-0.01897012;1.123704,-0.06593801;0.03683813;1.101327,-0.0251963;-0.3769427;1.457797,0
1335,-0.022805;0.07844053;1.345747,0.1507701;0.03516283;1.316976,0.1362687;-0.1322003;1.204078,-0.01518624;-0.001419313;1.127966,-0.0553847;0.06248854;1.116328,-0.0247886;-0.3779208;1.458781,0
1367,-0.02257036;0.07822383;1.34535,0.1505882;0.03596399;1.31686,0.1371539;-0.1292573;1.197912,-0.03125729;0.05217851;1.129558,-0.06050465;0.1061927;1.129752,-0.0243476;-0.3781766;1.459244,0
1399,-0.01983472;0.07517967;1.343031,0.1504389;0.03690302;1.31647,0.1385065;-0.1208642;1.189501,0.01855226;0.01922429;1.141149,-0.02906587;0.07838871;1.141941,-0.02096225;-0.380132;1.458591,0
1431,-0.01885748;0.07330504;1.342092,0.1503135;0.03782285;1.316143,0.1409005;-0.1161109;1.187517,0.01821707;0.02266133;1.143064,-0.02169858;0.08182096;1.154538,-0.01850891;-0.381756;1.459102,0
