Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,363,5964;14224;-4284,-1200;-5786;-269,0.03031568;0.07202064;1.259295,0.2074259;0.02905194;1.282738,0.2453489;-0.215818;1.332115,0.2208625;-0.1851425;1.058182,0.2434086;-0.1458609;1.046393,0.02474877;-0.4402223;1.397809,0
34,364,5756;15200;-5028,1195;-4300;-863,0.03027059;0.07202142;1.259173,0.2073995;0.02909648;1.28263,0.2512355;-0.2182781;1.342958,0.2793932;-0.1268216;1.100655,0.247462;-0.1364586;1.047322,0.0247944;-0.4401746;1.397776,0
67,363,5308;15160;-4688,-364;-3249;131,0.03025568;0.07200658;1.259159,0.2073596;0.02911326;1.282567,0.2574668;-0.1539694;1.33048,0.2504046;-0.153772;1.060625,0.2434147;-0.1407232;1.041274,0.02464112;-0.4402126;1.397685,0
100,361,5828;14748;-5120,-752;2332;-397,0.03024082;0.07199536;1.259111,0.2073499;0.02911865;1.282542,0.2440113;-0.2198837;1.325016,0.2190772;-0.181051;1.052161,0.2446336;-0.1442666;1.044135,0.02459534;-0.4402501;1.397619,0
134,359,6588;15140;-3724,550;-2502;-450,0.03023003;0.07198954;1.259122,0.2073438;0.02915445;1.282527,0.2440699;-0.2198497;1.325087,0.252266;-0.1550443;1.061347,0.2467238;-0.1415639;1.047611,0.02465254;-0.4402383;1.397683,0
164,360,5816;14300;-4708,927;242;-1510,0.03022927;0.07199202;1.259091,0.207316;0.02913382;1.282473,0.2423678;-0.2298716;1.307045,0.2525479;-0.1546591;1.061227,0.2470213;-0.1404034;1.047092,0.02467537;-0.4402174;1.397691,0
201,359,5824;14548;-3584,2390;-727;-2001,0.03014108;0.07189105;1.258558,0.2071958;0.02918762;1.282145,0.2610503;-0.1540775;1.326426,0.2523769;-0.1547231;1.061043,0.2431921;-0.1400159;1.037665,0.02471491;-0.4401999;1.397448,0
233,358,6060;15708;-3604,1134;-1505;-583,0.03010609;0.07188339;1.258531,0.2071873;0.02920556;1.28209,0.2452235;-0.2184727;1.326882,0.2226478;-0.1855197;1.053049,0.2430999;-0.1453495;1.044349,0.02454076;-0.4402134;1.397362,0
267,358,6096;14256;-4628,2088;-403;-1755,0.03006948;0.07184486;1.258447,0.2071545;0.02918864;1.281999,0.2682221;-0.1488724;1.333638,0.2518874;-0.1519913;1.063068,0.241925;-0.1412804;1.040202,0.02447359;-0.4403151;1.397194,0
301,357,5904;15292;-4196,2389;-4;-1620,0.03004257;0.07192997;1.25897,0.207144;0.02919159;1.282042,0.2607151;-0.1506682;1.335513,0.2261461;-0.1773507;1.062232,0.2252925;-0.1619611;1.018691,0.02415547;-0.4402699;1.397745,0
334,357,5848;14800;-4340,431;-315;-303,0.02999232;0.07194039;1.258958,0.207109;0.02922781;1.281983,0.258722;-0.1516005;1.335657,0.2456725;-0.1554204;1.061863,0.2405027;-0.1419603;1.043146,0.02411342;-0.4402856;1.397716,0
364,357,6788;14588;-4376,1577;1308;-1498,0.02997499;0.07193889;1.258966,0.2070856;0.02924071;1.281956,0.2586431;-0.1513913;1.335366,0.2456827;-0.1554107;1.061785,0.2401007;-0.1427027;1.043777,0.02399597;-0.4403367;1.397636,0
399,355,5680;14664;-4556,2451;2792;-2646,0.02998924;0.07192856;1.25896,0.2070581;0.02926814;1.281905,0.2615313;-0.1498351;1.336508,0.2457963;-0.1553738;1.061641,0.2397436;-0.1423393;1.04319,0.02418701;-0.440346;1.397612,0
