Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
7362,308,812;14940;-4628,3349;5115;-2674,0.03020223;0.07591991;1.251402,0.2081157;0.0260847;1.270197,0.2401255;-0.1912186;1.306553,0.2991983;-0.1417828;1.07918,0.3099594;-0.1370803;1.041763,0.02037036;-0.4362478;1.395572,1
7397,307,168;16436;-4096,2792;5320;-3969,0.03020048;0.07592326;1.251404,0.2081301;0.02607428;1.270218,0.2400743;-0.1914116;1.306653,0.2991477;-0.1418788;1.079302,0.3094343;-0.1382719;1.041829,0.02031744;-0.4362272;1.39558,1
7429,305,-680;16528;-4444,-2145;4429;-3665,0.03020207;0.07593817;1.251436,0.2081461;0.0260689;1.270259,0.2393041;-0.1972416;1.309387,0.2980194;-0.1437371;1.082847,0.306982;-0.1384957;1.042972,0.02035179;-0.4362131;1.395632,1
7465,306,-672;15236;-5008,777;4268;-2410,0.03019808;0.07594164;1.251436,0.2081233;0.02605431;1.270244,0.2400259;-0.1964288;1.306562,0.2983921;-0.1433132;1.079837,0.3044422;-0.138632;1.043404,0.02034338;-0.4362268;1.395584,1
7496,305,-804;15020;-3588,1711;6403;-1965,0.03022946;0.07602072;1.251789,0.2081078;0.02604458;1.270314,0.240487;-0.197981;1.307122,0.297822;-0.1439433;1.080349,0.3036628;-0.1389061;1.045472,0.02055801;-0.4362242;1.396064,1
7530,305,-284;14988;-2680,-803;5572;-2051,0.03022549;0.07602779;1.251799,0.2080666;0.02612782;1.270285,0.2410599;-0.1988911;1.306803,0.3053314;-0.1466189;1.065943,0.3002002;-0.13938;1.045505,0.02059426;-0.4362195;1.39605,1
7565,304,-128;14636;-3324,295;4967;-3422,0.03022562;0.07602276;1.251774,0.2080464;0.02616907;1.270247,0.241915;-0.1978439;1.304553,0.303142;-0.1468331;1.067104,0.2973939;-0.1407322;1.047193,0.02057209;-0.4362133;1.396033,1
7597,305,-1100;16088;-4384,3088;2178;-3532,0.03025102;0.07603785;1.251841,0.2080418;0.02619497;1.270255,0.2432685;-0.1980463;1.301289,0.2974571;-0.1459388;1.078538,0.2960666;-0.1405585;1.051008,0.02039544;-0.4361633;1.396124,1
7629,306,-1616;16516;-3740,1714;-970;-2589,0.03024745;0.07604333;1.251839,0.2080191;0.02622018;1.270252,0.2455525;-0.1991047;1.299496,0.2954529;-0.145778;1.081172,0.292953;-0.1404373;1.05088,0.02010851;-0.4362589;1.396133,1
7664,310,64;14996;-3684,780;1722;-2914,0.03025859;0.07605413;1.251837,0.2079833;0.02626139;1.270212,0.2475132;-0.1992464;1.296632,0.293888;-0.1455917;1.083085,0.2906503;-0.1404727;1.053232,0.02013546;-0.4362566;1.396152,1
