Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
8164,-0.1793462;-0.3122952;1.092667,-0.1873872;-0.2512797;1.129659,-0.198948;-0.05040042;1.281162,-0.1757112;0.1966152;1.297951,-0.01828884;0.2124784;1.311149,-0.08485657;-0.1962816;1.398548,-0.01507117;-0.198895;1.432044,0.1241572;-0.283725;1.140166,2
8198,-0.1803489;-0.3083836;1.088178,-0.1876228;-0.2506047;1.129674,-0.1980278;-0.05172566;1.27928,-0.1761666;0.1931957;1.297299,-0.01818149;0.2124953;1.310505,-0.08502756;-0.1966154;1.398558,-0.01508461;-0.1990033;1.432127,0.1240787;-0.2838006;1.14002,2
8231,-0.1903956;-0.3118664;1.078459,-0.1876571;-0.2502955;1.12995,-0.197098;-0.05384757;1.278474,-0.1762872;0.1914211;1.29732,-0.01815261;0.2124804;1.310165,-0.08532257;-0.1971939;1.398652,-0.01524254;-0.1995145;1.432301,0.1240825;-0.2837853;1.140015,2
8481,-0.2050366;-0.3200739;1.084503,-0.1760815;-0.2774985;1.123382,-0.1947882;-0.06021657;1.275801,-0.1784734;0.1857419;1.296838,-0.02118613;0.2082658;1.310392,-0.08813954;-0.1996682;1.40042,-0.01702743;-0.2015444;1.434485,0.1242323;-0.2839643;1.140267,2
8517,-0.2126598;-0.2997895;1.083002,-0.1898204;-0.254588;1.133687,-0.1947347;-0.06078983;1.275674,-0.1787174;0.185216;1.296688,-0.02242495;0.2067549;1.310453,-0.08879602;-0.1999223;1.400287,-0.01758999;-0.2018112;1.434386,0.1229728;-0.2908083;1.140367,2
8533,-0.2112379;-0.3155367;1.078226,-0.1951219;-0.2731284;1.111116,-0.194762;-0.06180564;1.27523,-0.1788892;0.1845738;1.296297,-0.02190448;0.20756;1.309425,-0.08911198;-0.1999212;1.400176,-0.01779421;-0.2017661;1.434344,0.123566;-0.2890795;1.139662,2
8565,-0.2145485;-0.3156277;1.079737,-0.1932479;-0.2603841;1.12448,-0.1947406;-0.06223058;1.275355,-0.1790348;0.1843449;1.296379,-0.02164724;0.208017;1.30906,-0.0896729;-0.2000034;1.400248,-0.01825642;-0.2018636;1.434431,0.1236426;-0.2883967;1.13978,2
8596,-0.2136682;-0.3155818;1.083005,-0.1929338;-0.2582344;1.127924,-0.1947832;-0.06274989;1.27548,-0.179168;0.1841778;1.296614,-0.02141656;0.2083537;1.308892,-0.0899583;-0.2000356;1.400376,-0.01850283;-0.2018947;1.434646,0.123783;-0.2876214;1.140151,2
8631,-0.2180731;-0.29897;1.08244,-0.1917749;-0.2559035;1.130903,-0.1946749;-0.06306776;1.275659,-0.1792324;0.1840328;1.296806,-0.02126119;0.2087959;1.308683,-0.09359501;-0.1985375;1.401854,-0.02091355;-0.2008543;1.43604,0.1238293;-0.2871936;1.140199,2
8663,-0.2183976;-0.2991207;1.080898,-0.1922547;-0.2561914;1.130323,-0.194456;-0.06348296;1.275748,-0.1792364;0.1839878;1.296867,-0.02110406;0.2091197;1.308444,-0.09353703;-0.1986849;1.401721,-0.02091876;-0.2009461;1.435974,0.123874;-0.2870238;1.140106,2
8698,-0.2198742;-0.2987587;1.08002,-0.194585;-0.2538663;1.130551,-0.194271;-0.06384654;1.275646,-0.1792917;0.183861;1.296952,-0.02084989;0.2094357;1.308227,-0.09269646;-0.1991052;1.40164,-0.02037394;-0.2011704;1.435898,0.1239591;-0.2866507;1.140071,2
8730,-0.2185775;-0.2975717;1.081619,-0.1928499;-0.2534953;1.132062,-0.1941322;-0.06398771;1.275643,-0.1792445;0.1838372;1.297008,-0.02079646;0.2097063;1.308065,-0.09586564;-0.1991624;1.399515,-0.02393519;-0.2018122;1.433862,0.1240354;-0.2863382;1.140041,2
8765,-0.2183717;-0.2978637;1.081,-0.1921127;-0.2531872;1.132711,-0.1940313;-0.06392469;1.275642,-0.1792166;0.1838076;1.297056,-0.02149883;0.2084797;1.309141,-0.09338596;-0.2011247;1.396762,-0.02249803;-0.2032813;1.431665,0.1240354;-0.2861733;1.140077,2
8799,-0.2179414;-0.2971639;1.081391,-0.192516;-0.2521401;1.133246,-0.1938281;-0.06400244;1.27564,-0.1791017;0.1838496;1.297195,-0.02106772;0.2091398;1.308753,-0.09262045;-0.2013797;1.396379,-0.0219214;-0.203512;1.431308,0.1240805;-0.285964;1.140116,2
8831,-0.2176017;-0.2972312;1.080274,-0.192383;-0.2521771;1.133295,-0.193574;-0.06367209;1.275342,-0.1790123;0.1839205;1.297254,-0.0207521;0.2097112;1.308631,-0.09236634;-0.200933;1.397146,-0.02137639;-0.2029336;1.432235,0.1241596;-0.2858105;1.14003,2
8864,-0.2172991;-0.2975046;1.080997,-0.1912915;-0.2516655;1.134012,-0.1933861;-0.06292948;1.275255,-0.1789087;0.1840839;1.297494,-0.02171297;0.2089873;1.309849,-0.09404451;-0.2010838;1.394643,-0.02349406;-0.2035156;1.429828,0.124147;-0.2858156;1.140083,2
8896,-0.214999;-0.2955847;1.080629,-0.1896359;-0.2506474;1.135311,-0.1931404;-0.06266766;1.2749,-0.1787799;0.1841155;1.297602,-0.02119996;0.2096951;1.309319,-0.09275737;-0.2018127;1.393436,-0.02269776;-0.2040497;1.429002,0.1242079;-0.2855515;1.140126,2
8931,-0.2142422;-0.2952514;1.078923,-0.1888978;-0.2503994;1.135108,-0.1928234;-0.06202723;1.274629,-0.1786678;0.1842234;1.297709,-0.02071316;0.2102531;1.309003,-0.09155625;-0.2020799;1.393207,-0.0217082;-0.2042731;1.428678,0.1241826;-0.2855094;1.140113,2
8963,-0.2131234;-0.2948995;1.078273,-0.188792;-0.2502405;1.134166,-0.1925409;-0.06149541;1.274411,-0.1785512;0.1843229;1.297746,-0.02036834;0.2108164;1.308657,-0.09096841;-0.2022018;1.392896,-0.02121847;-0.2044387;1.428249,0.1242488;-0.2853433;1.140088,2
9001,-0.2125641;-0.2954766;1.075108,-0.1897301;-0.2508186;1.131235,-0.192045;-0.06040696;1.274448,-0.178457;0.1845178;1.297856,-0.02006824;0.2113466;1.308386,-0.0904326;-0.2023148;1.392635,-0.02083951;-0.2044795;1.428061,0.1242755;-0.2852686;1.140073,2
9031,-0.2160321;-0.3034972;1.065349,-0.2099808;-0.2352527;1.107185,-0.1914328;-0.05869238;1.274486,-0.1782429;0.1848159;1.2979,-0.01981439;0.2117904;1.308157,-0.08982679;-0.2023012;1.392339,-0.0202864;-0.204416;1.42778,0.1242896;-0.2852519;1.140031,2
9064,-0.2188032;-0.2833754;1.058726,-0.2084204;-0.235675;1.107558,-0.1908318;-0.05771676;1.274365,-0.1778482;0.1850562;1.297757,-0.01950391;0.2122154;1.307757,-0.08886019;-0.2023249;1.391672,-0.01946485;-0.20432;1.427143,0.124278;-0.2851056;1.139884,2
