Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-6224;7156;12420,1123;-444;-926,-0.03419492;0.05344097;1.328024,0.1403783;0.03157241;1.3596,0.243706;-0.1374171;1.395368,0.2170024;-0.2096529;1.166498,-0.0326825;-0.4387491;1.458913,0
32,-6212;7136;12528,1136;-431;-935,-0.03417029;0.05345986;1.32806,0.1404044;0.031499;1.359651,0.2453793;-0.1380336;1.394963,0.217263;-0.2098935;1.166142,-0.03259963;-0.4387573;1.459012,0
66,-6156;7128;12380,1082;-436;-895,-0.03410035;0.05351746;1.328225,0.1403102;0.03154993;1.359707,0.2418015;-0.1374716;1.396634,0.2167287;-0.2094898;1.167512,-0.0326245;-0.43876;1.459031,0
97,-6208;7108;12540,1113;-428;-919,-0.03404883;0.05342671;1.327997,0.1401743;0.03162595;1.359595,0.2449618;-0.137949;1.394488,0.2170951;-0.2100161;1.165702,-0.03281219;-0.4386874;1.458594,0
132,-6224;7100;12436,1111;-418;-931,-0.03405735;0.05343833;1.327979,0.1400833;0.03160872;1.359627,0.2411935;-0.1371379;1.396358,0.216534;-0.2094601;1.167288,-0.03291846;-0.4386688;1.458584,0
164,-6048;7192;12492,1094;-398;-930,-0.03410603;0.05369959;1.32879,0.140245;0.03162182;1.360166,0.2390661;-0.1359619;1.398835,0.2163221;-0.2088274;1.169744,-0.03249667;-0.4386281;1.45997,0
196,-6136;7044;12384,1092;-416;-949,-0.03410774;0.05370213;1.328793,0.1402643;0.03161453;1.36018,0.2410913;-0.1365698;1.39777,0.2166135;-0.2092076;1.168783,-0.03256802;-0.4385937;1.459975,0
230,-6220;7108;12396,1062;-408;-955,-0.03410522;0.05370709;1.328796,0.140288;0.03156944;1.3602,0.2394063;-0.1361931;1.397996,0.2162971;-0.2091324;1.168964,-0.03258339;-0.438595;1.459974,0
264,-6296;7056;12380,1116;-420;-944,-0.03410647;0.05370885;1.3288,0.1403248;0.03166201;1.360183,0.2386917;-0.1360531;1.398115,0.2161698;-0.2090786;1.169052,-0.03250252;-0.4385247;1.460059,0
300,-6208;7060;12312,1061;-369;-939,-0.03409673;0.05371394;1.328831,0.1403589;0.03164153;1.360201,0.2424227;-0.1369513;1.396418,0.216722;-0.2096837;1.167594,-0.03249899;-0.4385222;1.460064,0
331,-6180;7020;12508,1127;-429;-851,-0.03412928;0.05378785;1.329184,0.1403942;0.03164807;1.360453,0.2433317;-0.1375629;1.396498,0.2169091;-0.209942;1.167643,-0.03256526;-0.4384961;1.460357,0
366,-6116;7092;12344,1108;-367;-982,-0.03412275;0.05378494;1.329154,0.1404343;0.03178346;1.360282,0.2444424;-0.1373737;1.396676,0.2171396;-0.2098185;1.167945,-0.03254645;-0.4384764;1.460254,0
396,-6296;7184;12364,1040;-361;-947,-0.03412313;0.05378437;1.329154,0.1404418;0.03177249;1.360274,0.2411362;-0.1360778;1.397558,0.2166099;-0.2093488;1.16878,-0.03248962;-0.4385199;1.460242,0
429,-6080;6976;12488,1052;-336;-931,-0.03412427;0.0537807;1.329152,0.1404658;0.03183055;1.360258,0.2393516;-0.1355257;1.398226,0.2163146;-0.2090938;1.169391,-0.03250317;-0.438522;1.460217,0
