Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
812,-5588;-13392;8792,2515;999;5522,-0.09182133;0.01983181;1.183209,-0.1406243;0.1258917;1.381136,-0.04471278;0.3072333;1.359521,0.1153279;0.3187259;1.337802,0.1043726;-0.1523575;1.524603,0
847,-5120;-13192;7816,1378;502;2547,-0.09218895;0.02038982;1.184165,-0.1400461;0.1265959;1.382246,-0.04459424;0.3071877;1.359638,0.1157476;0.3189221;1.338343,0.1043529;-0.1523827;1.524588,0
881,-6500;-12772;8192,5807;-984;2751,-0.09302168;0.01987458;1.184011,-0.1402052;0.1265707;1.381987,-0.04452107;0.3071334;1.359679,0.1158634;0.3189854;1.338593,0.104347;-0.152392;1.524598,0
914,-5732;-11560;8724,7931;-2475;3134,-0.09321452;0.02003038;1.183869,-0.1402916;0.1266083;1.381936,-0.0443874;0.3070054;1.359803,0.1160777;0.3190545;1.338845,0.1043514;-0.1523915;1.52461,0
947,-6268;-10544;9632,6527;-776;2078,-0.09463255;0.02049365;1.185396,-0.1403679;0.1273904;1.383605,-0.04430634;0.3069345;1.359793,0.1161029;0.3190799;1.338915,0.1042621;-0.1524504;1.524562,0
979,-6736;-10348;10588,5661;-172;2843,-0.09556649;0.01949871;1.186991,-0.1404901;0.1277316;1.384651,-0.04424382;0.3068421;1.359784,0.1162229;0.3190839;1.339023,0.1042264;-0.1524525;1.524584,0
1013,-6616;-10184;10984,3989;-527;1648,-0.09624472;0.02054349;1.189024,-0.1407226;0.1287295;1.386811,-0.04409714;0.3067659;1.360094,0.1165374;0.3191847;1.339738,0.1041126;-0.1523689;1.525025,0
1046,-7128;-9632;10608,2348;1007;1001,-0.09651298;0.02029654;1.189247,-0.1404535;0.1286619;1.387055,-0.0440688;0.3066947;1.360075,0.1165812;0.3191467;1.339735,0.1041308;-0.1525;1.524862,0
1081,-7600;-10248;10464,1326;611;447,-0.09684334;0.01980842;1.18849,-0.1405537;0.1283711;1.386241,-0.04401146;0.3066014;1.360099,0.1166384;0.3191479;1.339844,0.1041237;-0.1524873;1.524982,0
1113,-7180;-8996;9032,3443;-198;938,-0.09727436;0.01827498;1.190285,-0.1403822;0.1287068;1.387117,-0.04393006;0.3065166;1.360497,0.1167904;0.3192384;1.340403,0.1040834;-0.1522605;1.525818,0
1147,-7288;-10056;10480,4107;2582;927,-0.0975246;0.01822627;1.190348,-0.1405027;0.1288612;1.387093,-0.04378263;0.3062442;1.360245,0.1168256;0.3192009;1.34029,0.1040873;-0.1522782;1.525762,0
1181,-7140;-8720;10092,8644;2904;1613,-0.09832539;0.01795154;1.190374,-0.1406125;0.1288472;1.387122,-0.04374005;0.306119;1.360316,0.1168922;0.3191418;1.340376,0.1040812;-0.152298;1.525866,0
1215,-7972;-8012;9916,15952;1963;3946,-0.09894218;0.01764588;1.190871,-0.1405259;0.1289371;1.387542,-0.04365528;0.3060356;1.36068,0.1170188;0.3191483;1.341014,0.1040657;-0.1522092;1.526669,0
1247,-8240;-5880;11008,20023;-1332;5626,-0.1000245;0.01824357;1.190652,-0.1405483;0.1291215;1.387783,-0.04362091;0.3059865;1.360712,0.1170231;0.3191095;1.341101,0.1040144;-0.152215;1.526789,0
1280,-8112;-4524;12960,22426;-2471;5841,-0.1006656;0.01844069;1.189633,-0.1406286;0.1289952;1.387064,-0.04351993;0.3057772;1.36046,0.1170099;0.3189811;1.341028,0.1038342;-0.1523949;1.526467,0
1314,-7280;-300;11760,21293;1998;3018,-0.1014096;0.0190789;1.190274,-0.1402616;0.1294353;1.388041,-0.04350825;0.3057267;1.360464,0.1170165;0.3189554;1.341056,0.1038296;-0.1523938;1.526514,0
1350,-8184;3208;11212,9454;10159;646,-0.1018248;0.01897968;1.190023,-0.1400452;0.1294085;1.387873,-0.0434832;0.3056147;1.360423,0.1170254;0.3189287;1.341084,0.1037763;-0.1524086;1.526579,0
1382,-9748;1504;11220,-1682;11304;2808,-0.1019889;0.01794595;1.1881,-0.1402214;0.1292014;1.385479,-0.04346162;0.3054695;1.360316,0.1170135;0.3188743;1.341079,0.1037077;-0.1524437;1.526557,0
1414,-11672;-468;12808,-2588;7505;5744,-0.1024452;0.01802488;1.187879,-0.1400451;0.1289236;1.385583,-0.04344025;0.3053109;1.360131,0.1170569;0.3187837;1.340989,0.1036965;-0.1524497;1.52656,0
1449,-11984;-152;13624,2975;1066;4773,-0.1028447;0.01791881;1.188064,-0.1399338;0.1289334;1.3858,-0.04344636;0.3052483;1.360366,0.1171133;0.3187932;1.341303,0.1036677;-0.1524386;1.526884,0
1481,-10572;716;12456,880;-1298;3808,-0.1029087;0.01777563;1.187957,-0.1401818;0.1288165;1.385642,-0.04342112;0.3052107;1.360569,0.1170973;0.3188287;1.341596,0.1035676;-0.1523071;1.527458,0
1514,-11260;-1048;12816,1853;478;3977,-0.1041442;0.01695575;1.188809,-0.1399246;0.1286219;1.386414,-0.04341026;0.3051993;1.360647,0.1170161;0.3188556;1.341748,0.1034428;-0.1521966;1.527816,0
