Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
743,-11984;-5092;8760,-182;-1204;-850,-0.2023617;-0.3594797;1.396098,-0.2920674;-0.3508964;1.647619,-0.2228006;-0.1738262;1.687047,-0.04117008;-0.1129273;1.674644,-0.06106846;-0.5129281;1.603433,0
780,-11684;-5144;8484,20;-1159;-877,-0.250089;-0.3896046;1.309072,-0.2959492;-0.366055;1.542514,-0.2228234;-0.1738965;1.686943,-0.04089411;-0.1131561;1.674743,-0.06114479;-0.5129576;1.603463,0
813,-11284;-4928;8484,449;-1077;-609,-0.1990622;-0.3607929;1.396402,-0.2922694;-0.3507081;1.646574,-0.222826;-0.173836;1.686852,-0.04076045;-0.1132907;1.674708,-0.06118082;-0.5129939;1.603508,0
844,-11396;-5064;8520,653;-812;-234,-0.2504532;-0.3898413;1.312004,-0.2954293;-0.3567547;1.559533,-0.2227128;-0.173706;1.686858,-0.04070387;-0.1134064;1.674721,-0.06118375;-0.5130033;1.603525,0
877,-11776;-5212;8616,541;-876;-141,-0.2056746;-0.3569641;1.402147,-0.2906185;-0.3500408;1.648572,-0.2210353;-0.1730191;1.68747,-0.04053339;-0.1136534;1.674753,-0.06125828;-0.5130881;1.603647,0
910,-11920;-5344;8644,447;-853;-360,-0.2081659;-0.3580508;1.40214,-0.29588;-0.3572327;1.590451,-0.2210595;-0.1730995;1.687449,-0.04047382;-0.1137357;1.674728,-0.06128578;-0.5131438;1.603698,0
944,-12548;-5528;9012,514;-916;-510,-0.247005;-0.4170384;1.381338,-0.3042293;-0.3419328;1.631037,-0.2210612;-0.1731385;1.687462,-0.04041313;-0.1138684;1.674701,-0.0612915;-0.51318;1.603751,0
978,-12440;-5640;8536,57;-1024;-1189,-0.2517295;-0.4600686;1.40878,-0.2929152;-0.3493221;1.64782,-0.2212849;-0.173254;1.687566,-0.04022761;-0.1141273;1.674802,-0.06132858;-0.513216;1.603813,0
1010,-11768;-6036;7852,266;-917;-1899,-0.264658;-0.3838778;1.318838,-0.2937576;-0.3676402;1.556069,-0.2202564;-0.1728058;1.68802,-0.04011983;-0.1142829;1.674873,-0.06137876;-0.5133145;1.603881,0
1045,-10904;-5512;8116,936;-233;-2328,-0.2327133;-0.3812001;1.401219,-0.2899172;-0.3506093;1.65558,-0.2203241;-0.1728307;1.688193,-0.04001343;-0.1143902;1.674993,-0.06130215;-0.5132633;1.603957,0
