Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
801,-2456;14556;4616,13014;1058;793,-0.006715046;-0.1178639;1.708407,0.1691728;-0.1434762;1.672157,0.2607836;-0.3528694;1.594577,0.1852533;-0.3759259;1.392242,-0.0419803;-0.5552609;1.672861,0
834,-2500;15004;3672,12155;1767;437,-0.006609449;-0.1179312;1.70848,0.1692707;-0.1434691;1.67218,0.2606238;-0.3531932;1.593979,0.1853099;-0.3758356;1.392352,-0.04203447;-0.5552519;1.672855,0
866,-2196;14032;2136,17942;2425;1474,-0.006409164;-0.1180168;1.708619,0.1695184;-0.1435365;1.672376,0.2608696;-0.3532156;1.593706,0.1853141;-0.3758026;1.39243,-0.04206136;-0.5551946;1.672783,0
899,-2564;15724;344,22036;2770;1003,-0.006367892;-0.1180568;1.708628,0.1696169;-0.1435323;1.67239,0.2610233;-0.3531045;1.593818,0.1854247;-0.3757393;1.392423,-0.04208763;-0.5552044;1.672777,0
933,-2120;15932;-1956,23541;2778;1991,-0.006228253;-0.1181975;1.708501,0.1699492;-0.1437019;1.672022,0.2606884;-0.3532585;1.592684,0.1853815;-0.3757073;1.390827,-0.0421316;-0.5551594;1.672498,0
966,-2300;16748;-4144,18862;1476;1618,-0.00608363;-0.1184021;1.708876,0.170202;-0.1437116;1.672346,0.2607773;-0.3533425;1.59353,0.1854335;-0.375771;1.390846,-0.0421876;-0.5551852;1.672548,0
1000,-1664;15096;-5644,16538;889;1450,-0.006011758;-0.1185306;1.709178,0.1704415;-0.143808;1.672766,0.2613742;-0.3530684;1.594315,0.1868361;-0.3759599;1.394081,-0.04223737;-0.5551824;1.672639,0
1035,-1508;15020;-7064,15298;514;1062,-0.005876511;-0.1186212;1.709037,0.1706444;-0.1438487;1.672528,0.2625859;-0.3520861;1.59574,0.187298;-0.37604;1.393901,-0.04225944;-0.5552043;1.672585,0
1066,-1156;13476;-8712,13279;150;854,-0.005767867;-0.1187653;1.709464,0.1709582;-0.1439447;1.673108,0.2637717;-0.3510603;1.598312,0.1881901;-0.3764507;1.394947,-0.0423014;-0.5552397;1.672717,0
1099,-1268;14184;-9632,13714;-299;480,-0.005690464;-0.118775;1.709175,0.1710665;-0.1438534;1.67271,0.2632393;-0.3513534;1.597037,0.1887806;-0.3763408;1.393686,-0.04231372;-0.5551534;1.672198,0
1132,-892;11960;-10796,9559;-1054;119,-0.00557413;-0.1187957;1.709024,0.1687248;-0.1429948;1.667041,0.2634313;-0.3512152;1.596636,0.1889595;-0.3762912;1.39366,-0.04229477;-0.5550985;1.671955,0
1165,-1192;12872;-11600,12146;-680;608,-0.005453106;-0.1189265;1.709862,0.1698509;-0.1431854;1.670819,0.2647816;-0.3501654;1.600313,0.1896708;-0.3764296;1.394459,-0.04192555;-0.5548161;1.672569,0
1198,-792;11408;-12520,10140;-700;925,-0.005439848;-0.1189744;1.709945,0.1703295;-0.1433587;1.671258,0.2651545;-0.3501779;1.600786,0.1898255;-0.3764202;1.394389,-0.04182985;-0.5547878;1.672711,0
1234,-712;10884;-13156,10526;-241;1020,-0.005332131;-0.1190548;1.709947,0.1704965;-0.1434185;1.671347,0.2652185;-0.3500358;1.600937,0.1902738;-0.3763311;1.394178,-0.04171232;-0.5547414;1.6728,0
1266,-332;9300;-13764,10614;-455;759,-0.005331216;-0.119057;1.709947,0.1707136;-0.1435376;1.671443,0.2655131;-0.3498092;1.601074,0.1908826;-0.3762366;1.393837,-0.04154206;-0.5546368;1.672888,0
1320,-736;10024;-13960,10279;-710;885,-0.005329366;-0.1190678;1.709948,0.1708743;-0.1435893;1.67159,0.2656094;-0.3497007;1.601139,0.1913101;-0.376191;1.393585,-0.04142229;-0.5546828;1.673018,0
1333,-296;6656;-14584,16362;-977;706,-0.005325348;-0.1190895;1.709973,0.1709077;-0.1436049;1.671682,0.2656553;-0.3496128;1.601198,0.19198;-0.3761088;1.393176,-0.04133289;-0.5546922;1.673118,0
1366,-324;7080;-15412,17306;-1324;387,-0.005310513;-0.1191031;1.709972,0.1709571;-0.1436144;1.671771,0.2656871;-0.3496253;1.601229,0.1927621;-0.376268;1.392646,-0.04120712;-0.5546288;1.673163,0
1399,-556;4692;-16552,17714;-1304;1427,-0.005299143;-0.119106;1.709894,0.1711258;-0.1437244;1.67163,0.2657467;-0.3496427;1.601141,0.1936707;-0.3762341;1.392174,-0.04109427;-0.5545727;1.673116,0
1433,200;1944;-17252,23168;-765;2555,-0.005205315;-0.119121;1.709984,0.1711583;-0.1437338;1.671718,0.266177;-0.3493953;1.601433,0.194001;-0.3763392;1.391786,-0.04096769;-0.5544935;1.673181,0
1466,-152;4944;-18612,19676;2005;3690,-0.005097918;-0.1192374;1.709989,0.1711553;-0.1437354;1.671737,0.2661752;-0.349404;1.601469,0.1941407;-0.3763538;1.391521,-0.04088387;-0.554551;1.673286,0
1499,-2388;-388;-21488,9151;2873;3472,-0.005097336;-0.1192369;1.710008,0.171191;-0.1437702;1.671912,0.2665296;-0.3488573;1.603553,0.1947231;-0.3764369;1.392123,-0.04082305;-0.5545495;1.673386,0
