Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2166,312,-2452;13172;8048,862;-341;-1081,-0.09401634;0.02770725;1.343452,0.06572329;0.009869186;1.34352,0.1715861;-0.08983593;1.260482,0.1442393;-0.1327913;1.042768,0.1127977;-0.1541613;0.9092608,-0.1040726;-0.399867;1.459798,1
2200,311,-2412;13312;8008,1003;-377;-1052,-0.09399965;0.02770999;1.343444,0.06572858;0.009868584;1.343528,0.1539048;-0.1042518;1.224437,0.1370228;-0.1421248;1.004712,0.1138207;-0.1531791;0.9089918,-0.1040517;-0.3997795;1.459832,1
2232,312,-2472;13252;8200,1080;-483;-993,-0.09396879;0.02768582;1.343388,0.06575273;0.00982933;1.343531,0.1640044;-0.09061272;1.25131,0.1412333;-0.134296;1.033279,0.1131619;-0.1525752;0.9065449,-0.1040575;-0.3997321;1.459779,1
2266,312,-2576;13320;8092,1076;-459;-1014,-0.09391576;0.02768478;1.343376,0.06576168;0.009828304;1.343532,0.155627;-0.1024394;1.226793,0.1371662;-0.141425;1.007457,0.1130411;-0.153364;0.9084319,-0.1040631;-0.3996994;1.459798,1
2295,312,-2484;13264;8124,1031;-468;-1026,-0.09373979;0.02764203;1.342756,0.06580036;0.009804589;1.343415,0.1553062;-0.1029065;1.224632,0.1369175;-0.1418232;1.005277,0.1136325;-0.152799;0.9056582,-0.1040025;-0.3995265;1.459021,1
2329,312,-2488;13128;8108,981;-487;-972,-0.09371132;0.02765232;1.342788,0.06580479;0.009802759;1.343417,0.1565477;-0.1036629;1.221755,0.1370855;-0.1424257;1.002465,0.1136523;-0.1540423;0.9084074,-0.1039826;-0.3991077;1.460389,1
2367,312,-2360;13152;8004,1122;-435;-999,-0.09359331;0.02766712;1.343171,0.06581403;0.009821403;1.343513,0.1715883;-0.09035652;1.261122,0.1444763;-0.1328965;1.043364,0.1135586;-0.1543636;0.9099913,-0.1039358;-0.3989914;1.460917,1
2399,312,-2516;13252;8020,1134;-458;-953,-0.09357704;0.02767798;1.343574,0.06584352;0.009827711;1.343648,0.1560774;-0.1037428;1.228971,0.1375332;-0.1416994;1.009462,0.1139311;-0.1548942;0.9107955,-0.1038003;-0.3989191;1.462621,1
2432,312,-2552;13240;8180,1106;-422;-940,-0.09356178;0.02761802;1.343356,0.06586084;0.009832036;1.343601,0.1578544;-0.1051158;1.221898,0.1378072;-0.1429405;1.002497,0.114728;-0.1523011;0.9049055,-0.1037105;-0.399012;1.462386,1
2466,313,-2544;13248;8128,1105;-483;-945,-0.0934622;0.02755746;1.343086,0.0658812;0.009822823;1.343555,0.1585888;-0.105499;1.218991,0.1378766;-0.1434157;0.9996662,0.1143058;-0.1526509;0.9056153,-0.1035744;-0.3991455;1.461364,1
2499,312,-2412;13148;8012,1166;-419;-1010,-0.09346349;0.02756163;1.343105,0.06588098;0.009826045;1.343577,0.1586918;-0.1055709;1.218467,0.137922;-0.1435183;0.9991531,0.1150137;-0.1527939;0.9082642,-0.1035555;-0.3991416;1.46138,1
2532,312,-2616;13344;8012,1299;-516;-895,-0.09346226;0.02756721;1.343123,0.06589129;0.009828672;1.343577,0.1588285;-0.1054904;1.218408,0.138066;-0.1435326;0.9991104,0.1147799;-0.1533432;0.9069961,-0.1035501;-0.3987159;1.46251,1
2568,312,-2520;13324;8036,1175;-528;-909,-0.09342961;0.02755115;1.343325,0.06590802;0.009838871;1.34366,0.1736117;-0.0890319;1.262374,0.1459997;-0.1322695;1.044818,0.1148291;-0.1537232;0.9082816,-0.1035497;-0.3986622;1.462761,1
2602,310,-2356;13324;7988,1036;-452;-918,-0.09342781;0.0275494;1.343278,0.06591553;0.00980085;1.343645,0.1597109;-0.1052842;1.215417,0.1385451;-0.1437568;0.9962333,0.1149451;-0.1523748;0.9042588,-0.1035366;-0.398616;1.462823,1
2631,311,-2588;13132;8272,1214;-449;-967,-0.09336443;0.02755061;1.343225,0.06592268;0.009797343;1.343637,0.1597522;-0.1052794;1.215409,0.1391591;-0.1435291;0.9961311,0.1169025;-0.1529549;0.8999118,-0.1034774;-0.3985275;1.463002,1
2667,312,-2456;13236;8220,1327;-502;-913,-0.09334168;0.02755127;1.343227,0.06592363;0.009803034;1.343636,0.1597647;-0.1054263;1.215031,0.1407105;-0.1430424;0.995505,0.1199854;-0.1527766;0.8973885,-0.1034244;-0.3985824;1.46302,1
2700,312,-2492;13304;8116,1279;-584;-928,-0.09332994;0.02755865;1.34322,0.06593066;0.009789047;1.343644,0.1730706;-0.08863679;1.26087,0.140923;-0.1378613;1.045229,0.1234111;-0.1530588;0.8929342,-0.1033605;-0.3985461;1.463209,1
2732,312,-2512;13336;8052,1309;-603;-914,-0.09332977;0.02755934;1.343227,0.06593331;0.009780507;1.343651,0.1616615;-0.1067135;1.206121,0.1332137;-0.1554638;0.9898369,0.1301934;-0.1518025;0.890299,-0.1033205;-0.3985243;1.463501,1
2767,311,-2440;13376;8060,1176;-553;-874,-0.09333289;0.02757123;1.343282,0.06594294;0.009757454;1.343675,0.1739511;-0.09027252;1.264563,0.1443534;-0.1410596;1.048925,0.1375192;-0.1497228;0.8905133,-0.1031141;-0.3984299;1.464047,1
2801,312,-2492;13280;8076,1198;-462;-972,-0.09330536;0.02753484;1.343127,0.06594278;0.009722691;1.343621,0.1732441;-0.0905464;1.263731,0.1602302;-0.1172557;1.042175,0.1443052;-0.1476725;0.8872294,-0.1030388;-0.3986045;1.463836,1
2832,312,-2524;13320;8016,1234;-419;-978,-0.09332322;0.02754457;1.343194,0.06594862;0.009733745;1.343629,0.1720526;-0.09225131;1.264403,0.1696989;-0.1162407;1.042171,0.1524784;-0.1471238;0.8947763,-0.1027171;-0.3984977;1.46442,1
2865,312,-2500;13436;8060,1105;-441;-911,-0.09334029;0.02753261;1.343258,0.06594878;0.009732192;1.343634,0.1687315;-0.09629531;1.265476,0.1542449;-0.1371935;1.046208,0.158589;-0.147226;0.8971763,-0.1027317;-0.3985122;1.464322,1
2899,312,-2556;13304;7916,1121;-534;-875,-0.09334783;0.0275379;1.343263,0.06594769;0.009734435;1.343633,0.1661505;-0.1197851;1.233872,0.1751349;-0.1161493;1.010535,0.164235;-0.1478672;0.9008586,-0.1026744;-0.398485;1.464375,1
2929,312,-2468;13216;7980,1106;-473;-1000,-0.09338289;0.02754842;1.343212,0.06592242;0.00975045;1.343605,0.1666247;-0.1207014;1.224263,0.1738169;-0.1161124;1.000875,0.1713596;-0.1497403;0.9037789,-0.1026531;-0.3984814;1.464377,1
2963,312,-2436;13272;7976,1334;-480;-934,-0.09336729;0.0275438;1.343187,0.06592698;0.009752231;1.343562,0.1676271;-0.1235086;1.213472,0.1660767;-0.1514626;0.9916955,0.1777122;-0.1539093;0.9009068,-0.1026131;-0.3984958;1.464126,1
3001,311,-2480;13424;7888,1262;-553;-912,-0.0934013;0.02755602;1.343195,0.06591461;0.009768458;1.343563,0.1675629;-0.1169201;1.246083,0.167265;-0.14793;1.02472,0.1845935;-0.1583497;0.9070592,-0.1024771;-0.3984882;1.464144,1
3032,312,-2480;13376;8024,956;-478;-984,-0.09347746;0.02754587;1.3433,0.06590801;0.009764942;1.343563,0.1677714;-0.1245087;1.192587,0.1680457;-0.1493251;0.9831819,0.1904539;-0.1598961;0.9094242,-0.1023403;-0.3981221;1.465365,1
3063,311,-2436;13328;8096,1155;-455;-1007,-0.09353316;0.02756078;1.343319,0.06590753;0.00976496;1.343563,0.1691818;-0.1197383;1.249573,0.1799202;-0.1522122;1.028697,0.1960556;-0.1624021;0.9088715,-0.1023045;-0.3981166;1.465442,1
3098,311,-2352;13380;7996,1105;-533;-875,-0.09354676;0.02757099;1.343438,0.06588002;0.009772672;1.343576,0.1691859;-0.1196959;1.249541,0.1965528;-0.1498398;1.029794,0.202315;-0.165539;0.908825,-0.1022089;-0.3980996;1.465673,1
3131,311,-2260;14160;8144,-229;-476;-422,-0.09357274;0.02753073;1.343095,0.06584516;0.009815853;1.34349,0.1693433;-0.1196347;1.2486,0.1919139;-0.1544506;1.028998,0.2041455;-0.1659674;0.9049217,-0.1021855;-0.3980885;1.465659,1
3165,312,-2540;12712;7856,-66;69;-242,-0.09358215;0.02754321;1.343234,0.06582742;0.009811181;1.343543,0.1695288;-0.1197047;1.248948,0.1917366;-0.1547021;1.029338,0.2076783;-0.1687051;0.9079404,-0.1021372;-0.398077;1.46583,1
3196,315,-2252;13924;8208,-1108;259;52,-0.0935768;0.0275388;1.343232,0.06579776;0.009842089;1.343531,0.1695324;-0.1197294;1.248962,0.1912145;-0.1545474;1.02927,0.20789;-0.1692791;0.9061413,-0.10202;-0.3980039;1.465988,1
