Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
5202,1020,520;-18780;2332,7939;-4804;-13888,-0.1771244;0.03129875;1.046321,-0.1623453;0.02063343;1.04966,-0.05878871;0.1175846;1.269937,-0.02892845;0.2969709;1.359108,0.1071848;0.3071172;1.340508,0.09671564;-0.07862051;1.513415,1
5235,1023,2300;-16420;1852,12818;-4840;-14135,-0.1775241;0.03271936;1.044379,-0.1640552;0.02013826;1.048932,-0.05864447;0.1163556;1.268648,-0.02879895;0.2969844;1.35905,0.1072356;0.3070981;1.340439,0.09665839;-0.0786439;1.513416,1
5268,1020,2640;-16688;3428,18485;-5315;-11253,-0.1776346;0.0328923;1.040563,-0.1671134;0.01920347;1.049042,-0.05859966;0.1157297;1.267095,-0.02861551;0.2969559;1.358822,0.1073439;0.3068925;1.339979,0.09649541;-0.0787362;1.513168,1
5302,1023,4636;-15024;3132,26958;-5355;-8869,-0.1729438;0.03315754;1.040397,-0.1633055;0.02001514;1.042655,-0.04287254;0.09728818;1.247212,-0.02850571;0.2968819;1.358636,0.1074877;0.3068243;1.339609,0.09636909;-0.07885206;1.512914,1
5335,1023,4268;-9608;3808,25681;-4919;-8228,-0.1732539;0.03455415;1.041015,-0.1607379;0.02135875;1.041268,-0.05142208;0.1073718;1.256779,-0.0284532;0.2968971;1.358631,0.107535;0.3068172;1.339574,0.09641951;-0.0788879;1.512843,1
5368,1020,5944;-2976;3268,9140;-3129;-7380,-0.1706075;0.03457927;1.038963,-0.159922;0.02234977;1.039635,-0.05298999;0.1091309;1.258534,-0.02840558;0.2968996;1.358612,0.1075592;0.3067891;1.339577,0.09641703;-0.07889273;1.512849,1
5399,1023,7452;-3872;3944,-948;-369;-5018,-0.1692538;0.0336072;1.034249,-0.1632825;0.0226258;1.039738,-0.05400866;0.1108479;1.260238,-0.02835049;0.296919;1.358608,0.1075997;0.3067879;1.339579,0.09643129;-0.07888699;1.51285,1
5435,1023,7972;-4956;4576,4713;2121;388,-0.1720139;0.03096291;1.029351,-0.1677676;0.0243435;1.044549,-0.05449425;0.1130377;1.263504,-0.02826124;0.2969675;1.358648,0.107692;0.3068391;1.339699,0.09646209;-0.07881916;1.513047,1
5469,1023,7792;-3668;4192,11094;3800;6008,-0.1743425;0.02440181;1.018163,-0.1702628;0.02206828;1.037289,-0.04916903;0.1047164;1.254413,-0.02816707;0.2970206;1.358618,0.1077169;0.3068412;1.339677,0.0964728;-0.07882151;1.513052,1
5555,1022,6116;-3012;4620,12606;6756;10723,-0.175774;0.01130872;0.9941969,-0.1595501;0.0193483;1.027337,-0.05006802;0.1033849;1.250067,-0.02806256;0.2970659;1.3587,0.107864;0.3068941;1.339864,0.09654925;-0.07886785;1.513225,1
5584,1023,3652;-2704;4236,12982;9328;14732,-0.1608747;0.005268441;0.9772871,-0.1494472;0.01097226;1.012959,-0.05375206;0.1011273;1.23965,-0.02799504;0.2970268;1.358623,0.1079005;0.3068049;1.339643,0.09655878;-0.07902371;1.512937,1
5600,1023,152;-6124;5396,18928;12444;18361,-0.1474279;-0.0006363146;0.9721833,-0.1273004;0.02244295;1.042773,-0.05852866;0.1203062;1.275924,-0.02796735;0.2970297;1.358783,0.1081143;0.3069378;1.340171,0.09667179;-0.07897048;1.513447,1
5635,1020,-1876;-6168;8408,32767;16580;18454,-0.1257685;-0.002039708;0.9653005,-0.1286138;0.0007035186;0.9980539,-0.06406529;0.08739216;1.220469,-0.02795423;0.2969933;1.358775,0.1081195;0.3069247;1.340162,0.09669562;-0.07897557;1.513435,1
5668,1023,-6368;-1732;7532,28371;19853;13155,-0.1043556;0.004838051;0.9655936,-0.09905261;0.0207858;1.043575,-0.06232043;0.1177086;1.284252,-0.02794201;0.2969692;1.358872,0.1082432;0.3070535;1.340447,0.09684572;-0.07892286;1.513819,1
5702,1023,-6372;-528;11556,11593;20248;145,-0.08737922;0.009456838;0.9724639,-0.09854481;0.02115279;1.025543,-0.06791753;0.1098901;1.243443,-0.02790892;0.2968878;1.35878,0.108246;0.3068178;1.339644,0.09767324;-0.07966253;1.511617,1
5736,1020,-10192;1712;10124,-2760;17423;-6779,-0.06140165;0.006753439;0.9912997,-0.09158295;0.01849763;1.028256,-0.07817694;0.112295;1.239026,-0.02771311;0.298254;1.358765,0.1082589;0.3068558;1.339786,0.09931023;-0.07959589;1.510628,1
5767,1023,-12096;-1144;16456,-2509;19427;-5062,-0.03817603;0.01126777;1.003998,-0.07497501;0.02043121;1.034803,-0.08092822;0.1148184;1.23765,-0.02769159;0.2982812;1.358829,0.1082968;0.3068811;1.339811,0.0994456;-0.07949063;1.510302,1
5800,1020,-12524;440;12504,-14875;14493;-4470,-0.03611193;0.0227096;1.01988,-0.03887155;0.009417415;1.026803,-0.105857;0.09842665;1.220331,-0.02776052;0.3015959;1.357766,0.1082723;0.3068815;1.339713,0.09888412;-0.07886779;1.509204,1
5835,1023,-15432;-4032;15088,-17803;16046;-531,-0.01535934;0.02301224;1.023308,-0.03642033;0.02383422;1.049964,-0.0791171;0.1262363;1.287358,-0.02794171;0.3029936;1.35759,0.1082656;0.3068856;1.339698,0.09831578;-0.07820569;1.508911,1
5868,1020,-14316;-8944;10236,-23952;10223;116,-0.0102131;0.0238097;1.028966,-0.02771211;0.02296322;1.052596,-0.07885335;0.1269889;1.287603,-0.02808767;0.3039051;1.357734,0.1082546;0.3069204;1.33979,0.09805827;-0.07757688;1.508974,1
5901,1023,-16232;-14220;10252,-10162;9789;1054,-0.007821508;0.02553475;1.025815,-0.0246542;0.02629586;1.052177,-0.07877704;0.1273884;1.287796,-0.02820348;0.3047531;1.356802,0.1080021;0.3068408;1.339274,0.0972826;-0.0767203;1.507939,1
5936,1021,-32768;-8092;32767,32767;-30731;-21109,-0.003615582;0.02547538;1.028354,-0.02256744;0.02856935;1.052998,-0.07898751;0.1276255;1.288942,-0.02833478;0.3053569;1.356791,0.1079588;0.306849;1.339259,0.09708513;-0.07622218;1.507727,1
5969,1023,-5228;-2812;7188,-25387;-3901;-10449,-0.002067742;0.02568679;1.028697,-0.02126124;0.02934799;1.053131,-0.07885752;0.1280183;1.288952,-0.02834889;0.3059111;1.35645,0.1079697;0.306802;1.339037,0.09700651;-0.07588097;1.507363,1
6027,1023,-7548;-11384;8752,-10001;3198;-2954,0.001714284;0.02688505;1.03166,-0.0197213;0.03007492;1.05331,-0.0787067;0.1283848;1.288939,-0.02840285;0.3063272;1.356473,0.107939;0.3068397;1.339031,0.09696438;-0.07554386;1.507302,1
6044,1021,-9956;-11332;5012,-2319;1754;-2402,0.001546679;0.02767403;1.033818,-0.01565653;0.02498022;1.038205,-0.120971;0.1055674;1.234033,-0.02846894;0.3067601;1.356493,0.1075714;0.3067411;1.340227,0.09688881;-0.07522661;1.507274,1
6067,1023,-10028;-12000;5996,-131;-862;-1914,0.003456692;0.02857025;1.034289,-0.0205358;0.03320095;1.056273,-0.08133679;0.1286836;1.292602,-0.02850643;0.307037;1.356508,0.1073347;0.3066718;1.341081,0.09688144;-0.07495987;1.507276,1
6101,1021,-9804;-10696;6188,737;-1545;-1058,0.003057527;0.02889427;1.037045,-0.02118839;0.03427176;1.058785,-0.08256079;0.1288446;1.29533,-0.02862664;0.3075333;1.356992,0.1073542;0.3068395;1.341183,0.09690503;-0.07463267;1.507555,1
6135,1023,-9536;-10800;7200,487;-1958;-1241,-0.0001073476;0.02926271;1.036471,-0.02153717;0.03461348;1.058761,-0.08264211;0.1289108;1.295486,-0.02872072;0.3076382;1.357029,0.1073747;0.3068707;1.341144,0.09682895;-0.07443839;1.507642,1
6168,1023,-9492;-10004;6992,310;-1146;-1478,-0.001984315;0.03037896;1.036163,-0.02258721;0.03549923;1.059977,-0.08326219;0.1286231;1.297275,-0.0288014;0.3076991;1.357015,0.1073746;0.3068758;1.341113,0.09683908;-0.07433908;1.507666,1
6200,1022,-9520;-10612;7204,-651;-105;-1585,-0.002882649;0.03057294;1.036737,-0.02377887;0.03550028;1.05918,-0.08310209;0.1286856;1.296796,-0.02890707;0.3077129;1.357001,0.1073626;0.3068742;1.341082,0.09680832;-0.07426863;1.507684,1
6233,1022,-9748;-10592;6740,-632;-143;-1501,-0.008834526;0.0307582;1.037951,-0.04271246;0.02710883;1.057654,-0.08284136;0.1289362;1.29574,-0.02894961;0.307758;1.35699,0.1073488;0.3068912;1.341052,0.0967668;-0.07417184;1.507742,1
6267,1023,-9488;-11016;6372,-344;-536;-1091,-0.009256871;0.03100212;1.03824,-0.03894442;0.02932068;1.057411,-0.08313843;0.1290421;1.295668,-0.02898376;0.3077644;1.356983,0.1073431;0.3069045;1.34102,0.09670806;-0.07413767;1.507739,1
6300,1023,-9572;-11152;6372,772;-782;-778,-0.01020808;0.03041998;1.036809,-0.04338615;0.02676845;1.055849,-0.08278603;0.1295228;1.29366,-0.02904969;0.3077823;1.356973,0.1073351;0.3068818;1.340926,0.09672474;-0.07407158;1.507703,1
6336,1016,-9708;-11068;6512,1659;-511;-688,-0.007681329;0.03027946;1.040553,-0.03959161;0.02931805;1.058946,-0.08381498;0.1291296;1.297159,-0.02920638;0.308041;1.357321,0.1073494;0.30706;1.341127,0.09679412;-0.07387163;1.507993,1
6369,1023,-9492;-10452;6508,1777;-296;-644,-0.01285995;0.02966819;1.037315,-0.04478583;0.02702903;1.059342,-0.08401313;0.129171;1.297443,-0.02926217;0.3081139;1.357336,0.1073429;0.3070775;1.341094,0.09676377;-0.07382707;1.508005,1
6400,1023,-9404;-9632;7308,-538;1091;-1214,-0.01524805;0.02920843;1.036608,-0.04698425;0.02594729;1.059474,-0.08401342;0.1292173;1.297439,-0.02929361;0.3081761;1.357312,0.1073327;0.3070885;1.341056,0.09676038;-0.07379267;1.507974,1
6434,1023,-9000;-9588;6316,-12321;747;-2776,-0.01572218;0.02890129;1.035702,-0.04824198;0.02508006;1.058633,-0.0845128;0.1279591;1.296886,-0.02931508;0.3064872;1.357707,0.10731;0.3070991;1.340951,0.09671353;-0.07389839;1.507876,1
6467,1022,-14224;-21624;15596,-7640;-8118;-7407,-0.01592612;0.02912942;1.034956,-0.04942955;0.02477468;1.05838,-0.08415682;0.1281705;1.296639,-0.02936051;0.3068037;1.35754,0.1072645;0.3070885;1.340861,0.09663809;-0.07382028;1.507853,1
6536,1023,-9336;-19248;8636,-27733;-17508;-20784,-0.01641087;0.02894028;1.035766,-0.0490608;0.03004219;1.055905,-0.08449549;0.1273722;1.296602,-0.02952833;0.3057287;1.35824,0.1072682;0.3072609;1.341049,0.09689321;-0.07373587;1.508129,1
6567,1022,-5200;-28608;5300,-17179;-11487;-21357,-0.01473856;0.02862785;1.035895,-0.04293286;0.02654233;1.045432,-0.08403297;0.1214191;1.255225,-0.02962747;0.3060027;1.358349,0.1072909;0.3073704;1.34121,0.09702611;-0.07364399;1.508306,2
6601,1023,-5588;-22816;2000,-3695;-4296;-21127,-0.01412025;0.02945039;1.029577,-0.04110344;0.03209796;1.054631,-0.08701669;0.1293209;1.293596,-0.02978972;0.3061549;1.35789,0.1071923;0.3072616;1.340807,0.09688053;-0.07369094;1.507958,2
6635,1019,-5648;-20204;1100,1808;-1951;-25944,-0.01436478;0.02862171;1.028299,-0.03971403;0.03279844;1.054736,-0.08679958;0.1295069;1.293682,-0.02988939;0.3065366;1.357689,0.1071645;0.3072463;1.340631,0.09679457;-0.07364632;1.507818,2
6667,1023,-2952;-16836;832,2961;-3468;-22740,-0.01520659;0.02911997;1.029329,-0.03889522;0.03324039;1.055032,-0.08685335;0.1296058;1.293943,-0.02989289;0.3066647;1.357802,0.107186;0.3072645;1.340724,0.09681436;-0.07358985;1.507963,2
6700,1023,-560;-15032;-476,4803;-5124;-17729,-0.01497984;0.0291479;1.020327,-0.03829719;0.03448;1.054548,-0.08676726;0.1294204;1.293925,-0.03001689;0.3067014;1.35729,0.1070784;0.3071592;1.340397,0.09667779;-0.07360575;1.507675,2
6733,1023,1836;-12740;-920,12165;-5251;-14678,-0.01544937;0.0291291;1.018982,-0.03841165;0.03504758;1.054176,-0.08623196;0.1292966;1.293957,-0.03004424;0.3067525;1.357344,0.1070937;0.3072284;1.340454,0.09669953;-0.07356158;1.507741,2
6767,1019,3112;-12840;960,9683;-4160;-17547,-0.01667364;0.03022768;1.020111,-0.03825375;0.03545414;1.054323,-0.08554912;0.1291175;1.294437,-0.03004821;0.3068945;1.35749,0.107113;0.3073582;1.340684,0.09672216;-0.07348809;1.50792,2
6800,1023,6408;-12276;1668,15663;-4647;-14911,-0.01957524;0.03162736;1.020575,-0.03808827;0.03570419;1.054142,-0.08524716;0.1290271;1.294415,-0.03006034;0.3069017;1.357474,0.107097;0.3073893;1.34069,0.09666412;-0.07345702;1.507999,2
6835,1023,10372;-7904;1348,8006;-3724;-13286,-0.01876074;0.03196909;1.021407,-0.03811745;0.03580655;1.05402,-0.08536729;0.1290936;1.294289,-0.0300989;0.3069263;1.357404,0.1070729;0.3074017;1.340666,0.09658295;-0.07344069;1.507973,2
6867,1021,9592;-7988;2780,3219;-823;-10170,-0.01861778;0.03128625;1.023497,-0.03810507;0.03583517;1.05395,-0.08531699;0.1290496;1.294255,-0.03016145;0.3069296;1.357331,0.1070623;0.3074172;1.340604,0.09658544;-0.07343905;1.507963,2
6900,1023,9188;-7396;3012,7373;-1025;-6418,-0.01767174;0.03110731;1.027028,-0.03817625;0.03595246;1.054259,-0.0855315;0.1290363;1.294586,-0.03017457;0.3069711;1.35727,0.1070481;0.3074279;1.34059,0.09656202;-0.07341092;1.507984,2
