Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
600,-0.0936981;-0.09965744;1.262935,0.06042032;-0.1159855;1.271092,0.1247666;-0.3363003;1.185103,0.1024164;-0.08429353;1.137115,0.1006802;-0.05398002;1.145462,-0.1781454;-0.5110843;1.033527,-0.05488025;-0.5646789;1.33601,0.01278679;-0.5437931;1.321925,0
633,-0.0937155;-0.09971235;1.262896,0.05990792;-0.1141074;1.269894,0.1236272;-0.3024449;1.20231,0.0993175;-0.06747019;1.146634,0.09800122;-0.05209006;1.159492,-0.1781352;-0.5111561;1.033628,-0.05495304;-0.564606;1.335994,0.01273928;-0.5437082;1.321876,0
664,-0.09379642;-0.09976796;1.262615,0.05955369;-0.1125859;1.268736,0.1190182;-0.3255954;1.188703,0.09870939;-0.07170193;1.153861,0.09465024;-0.05017988;1.166431,-0.1780691;-0.511171;1.033666,-0.05500961;-0.5644038;1.335945,0.01266571;-0.5433192;1.321704,0
698,-0.09395125;-0.09978636;1.262745,0.05932223;-0.1109639;1.268128,0.1198466;-0.3065471;1.201677,0.09733713;-0.06653078;1.159435,0.09410281;-0.04852728;1.171603,-0.1780763;-0.5112214;1.033839,-0.05508951;-0.5642286;1.336055,0.01255589;-0.5430205;1.321774,0
731,-0.09398328;-0.09980047;1.26272,0.05909242;-0.1099576;1.267655,0.1193712;-0.3045545;1.203073,0.09696655;-0.06641252;1.161202,0.09287557;-0.04857023;1.17134,-0.1780597;-0.5112275;1.033835,-0.05516427;-0.5641009;1.336046,0.01249754;-0.5428712;1.321722,0
771,-0.09408817;-0.09985679;1.262529,0.05888562;-0.1088917;1.266998,0.1191255;-0.3035233;1.203367,0.09676114;-0.06596071;1.161611,0.09151601;-0.04851227;1.169757,-0.1780507;-0.5112233;1.033804,-0.05527242;-0.5638024;1.3358,0.01235295;-0.5423896;1.321341,0
801,-0.09438785;-0.09984495;1.262809,0.058656;-0.1082581;1.266987,0.1192533;-0.2979707;1.204276,0.0964016;-0.06608906;1.163296,0.09226765;-0.04753685;1.173315,-0.1781974;-0.5113162;1.034002,-0.05558149;-0.5635831;1.336068,0.01203578;-0.5421193;1.321541,0
831,-0.09453956;-0.09984878;1.262906,0.05841872;-0.1079227;1.266936,0.1192952;-0.2971764;1.204005,0.09600493;-0.06583133;1.163679,0.09085359;-0.04763296;1.170901,-0.1782079;-0.5113312;1.034014,-0.0557719;-0.5633972;1.336058,0.01183272;-0.5418741;1.321494,0
865,-0.09480199;-0.09981645;1.2631,0.05819465;-0.1073508;1.26677,0.1190746;-0.2972379;1.204542,0.09577042;-0.06577159;1.16384,0.09031931;-0.04666581;1.169577,-0.1782372;-0.5113496;1.034015,-0.05591064;-0.5632722;1.33606,0.01173861;-0.5417711;1.321454,0
898,-0.09506333;-0.09979234;1.263271,0.05806534;-0.1072896;1.266724,0.1189983;-0.296732;1.2044,0.09545521;-0.06538474;1.163525,0.0911392;-0.04493717;1.166466,-0.1783075;-0.5113571;1.034084,-0.05609816;-0.5631959;1.336046,0.01162811;-0.5417346;1.321439,0
931,-0.09538196;-0.09982835;1.263837,0.05785003;-0.1071948;1.266981,0.1190505;-0.2958238;1.204629,0.09522156;-0.06508947;1.163279,0.09293633;-0.04296577;1.16279,-0.1783764;-0.5115038;1.03425,-0.05629059;-0.5630778;1.33628,0.0114937;-0.5416642;1.321587,0
964,-0.09556221;-0.09982667;1.264091,0.05751757;-0.1073918;1.26738,0.1192183;-0.2946228;1.204554,0.09490571;-0.06450534;1.161479,0.09238016;-0.0420552;1.157038,-0.1783645;-0.5115043;1.034286,-0.05641374;-0.5630476;1.336283,0.01141467;-0.541662;1.321586,0
