Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
799,-840;-13448;5956,-12406;1457;-2496,-0.1422602;0.03689054;1.121848,-0.12349;0.1200407;1.2959,-0.01617874;0.3063276;1.367888,0.123359;0.3099772;1.329627,0.09614825;-0.07132978;1.514267,0
833,-1556;-16240;5172,-12853;1285;-2833,-0.1422814;0.03700321;1.122002,-0.1233593;0.1199339;1.296145,-0.01637811;0.3061746;1.368093,0.1234481;0.3100618;1.329351,0.09618831;-0.07146602;1.514012,0
866,-996;-14840;3076,-18529;1988;-2866,-0.1425269;0.03729344;1.122804,-0.1232841;0.1198504;1.297092,-0.01637733;0.3062081;1.368005,0.1233685;0.3100062;1.329462,0.09633823;-0.07133633;1.514138,0
899,-804;-15468;776,-24316;2289;-3418,-0.1427117;0.03729641;1.122872,-0.1233267;0.1199391;1.297104,-0.01638157;0.3062125;1.367929,0.1232719;0.3099677;1.329502,0.09642141;-0.07128957;1.514131,0
934,-748;-16888;-2196,-30541;2300;-3882,-0.1429402;0.03734277;1.122899,-0.1234841;0.1199291;1.29715,-0.01637751;0.3062359;1.367815,0.1231648;0.3099266;1.329591,0.09642465;-0.07129579;1.51413,0
968,-380;-16356;-4904,-21706;80;-3165,-0.1432414;0.03723346;1.122397,-0.1236416;0.1198259;1.29663,-0.01639129;0.3062207;1.367278,0.1229767;0.3095898;1.329142,0.09635357;-0.07133561;1.513613,0
1000,-628;-16276;-7052,-16632;-636;-2203,-0.1437986;0.03736082;1.12238,-0.1238978;0.119628;1.296736,-0.01640704;0.3062639;1.367234,0.1228929;0.3095916;1.329337,0.09638048;-0.07128826;1.513662,0
1033,-372;-15204;-8696,-10576;-1045;-1093,-0.144471;0.03762273;1.122514,-0.1240716;0.1196227;1.296938,-0.01704709;0.3061966;1.368667,0.1226876;0.3096267;1.329663,0.09636237;-0.07133382;1.513736,0
1067,92;-12444;-10420,-6520;-1049;-590,-0.1449219;0.03736945;1.121741,-0.1246462;0.1195293;1.296106,-0.01730628;0.3060534;1.368811,0.1224619;0.3095858;1.329622,0.09638856;-0.0713525;1.513535,0
1099,-708;-15492;-10528,-6031;-1610;-1050,-0.1465501;0.03720237;1.122124,-0.1249638;0.1195564;1.296235,-0.01728057;0.3061319;1.368778,0.1222973;0.3096187;1.330228,0.09661942;-0.07117409;1.513921,0
1136,-976;-17768;-10480,21013;-6680;-676,-0.147154;0.03736034;1.121926,-0.1252291;0.1198361;1.295936,-0.01762582;0.3060216;1.369293,0.1221651;0.3095856;1.330255,0.09653838;-0.07138664;1.513618,0
1169,-732;-16380;-9640,32767;-6564;1215,-0.1481152;0.0376326;1.122238,-0.1254392;0.1199033;1.296248,-0.01807145;0.3063206;1.371737,0.1219385;0.3096079;1.330777,0.09652148;-0.07145045;1.514098,0
1199,-1180;-18196;-6296,32767;-5174;-208,-0.1480523;0.03872032;1.123285,-0.1246575;0.1201822;1.297584,-0.01814347;0.3062893;1.371814,0.1218623;0.309561;1.330748,0.09637902;-0.07162216;1.513958,0
1232,-784;-16616;-3120,32767;-4074;-893,-0.1484515;0.03951452;1.12266,-0.1253153;0.1196176;1.297633,-0.01824983;0.3062977;1.372232,0.1217924;0.3095918;1.331083,0.0963559;-0.07166714;1.514021,0
1267,-52;-12964;2312,26037;710;-1862,-0.1484267;0.04362079;1.121357,-0.1252879;0.1196773;1.298155,-0.01803649;0.30643;1.371435,0.1217454;0.3096156;1.331124,0.09630436;-0.0716858;1.514073,0
1298,-600;-13360;5524,11788;2701;-2020,-0.1485509;0.04695784;1.122492,-0.1243294;0.1197296;1.300538,-0.0181118;0.306365;1.371754,0.1217166;0.309624;1.331155,0.0962664;-0.07175026;1.514125,0
