Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
5535,1228;15260;5688,1138;-371;-1029,-0.1691902;-0.09627577;1.268729,-0.006259306;-0.1011417;1.33279,0.09508829;-0.2868441;1.37007,0.1505945;-0.3238949;1.118568,-0.1266734;-0.5522325;1.383835,2
5568,1316;14888;5704,1006;-547;-889,-0.1692594;-0.09628976;1.268869,-0.004288903;-0.0995997;1.337653,0.09502952;-0.2868388;1.370187,0.1510895;-0.3252378;1.119014,-0.1266045;-0.5521343;1.383999,2
5601,1164;14996;5736,1069;-558;-837,-0.1692139;-0.09631286;1.268724,-0.005230364;-0.1002595;1.33477,0.09495124;-0.2868715;1.369904,0.1510296;-0.3254068;1.118755,-0.1266579;-0.5521644;1.383762,2
5633,1280;14792;5532,1060;-517;-817,-0.169242;-0.09634543;1.268741,-0.005878649;-0.1004246;1.333701,0.09498045;-0.2868126;1.369887,0.1508;-0.3245605;1.118557,-0.126662;-0.5521598;1.383773,2
5777,1180;14704;5604,1213;-382;-903,-0.1693041;-0.09627244;1.268843,-0.005407627;-0.1001233;1.334821,0.09493907;-0.2866257;1.369849,0.1483617;-0.32176;1.117603,-0.1266626;-0.5520966;1.383883,2
5800,1188;14852;5444,1346;-547;-946,-0.1693292;-0.09616794;1.269079,-0.003690597;-0.09895146;1.339244,0.09490461;-0.2864104;1.369957,0.1492608;-0.3239687;1.118266,-0.126604;-0.5520706;1.384053,2
5831,1156;14976;5704,1003;-508;-1039,-0.1693348;-0.09614839;1.269027,-0.004722508;-0.09966792;1.336487,0.09519582;-0.2861027;1.369715,0.1480568;-0.3223134;1.117501,-0.1265949;-0.5520606;1.384052,2
5865,1248;15004;5884,1136;-359;-1125,-0.1693349;-0.09614174;1.269016,-0.0053281;-0.09999797;1.335216,0.09526997;-0.2860083;1.369582,0.1480993;-0.3226899;1.117429,-0.1266117;-0.5520599;1.384045,2
5898,1136;15060;5900,1078;-471;-1037,-0.1691997;-0.09622756;1.268558,-0.005953743;-0.1006303;1.332178,0.09531417;-0.2859205;1.368854,0.1479838;-0.3211432;1.116455,-0.1265629;-0.5519489;1.383548,2
5938,1068;14908;6440,1129;-796;-1024,-0.169189;-0.09624234;1.268449,-0.006193713;-0.1008626;1.331124,0.09548433;-0.2858056;1.36858,0.1483536;-0.3222164;1.116393,-0.126544;-0.5519475;1.383372,2
5967,1336;15176;5704,1067;-556;-887,-0.1691741;-0.09623407;1.268411,-0.006378701;-0.1009744;1.330365,0.09546739;-0.2857694;1.368577,0.1436278;-0.3131781;1.17879,-0.1264961;-0.5519351;1.383235,2
6001,1268;14988;5568,1092;-462;-841,-0.1692862;-0.09620754;1.26861,-0.00403427;-0.09945663;1.33677,0.09549924;-0.285689;1.368876,0.1452335;-0.3167827;1.116187,-0.126468;-0.5518453;1.383584,2
6032,1372;14848;5524,881;-461;-849,-0.1692768;-0.0962044;1.268617,-0.004902902;-0.1001343;1.334648,0.0954911;-0.285658;1.368891,0.1452798;-0.3189306;1.115629,-0.1265534;-0.551861;1.383539,2
6065,1232;14876;5724,1048;-317;-794,-0.1692801;-0.09619765;1.268614,-0.005494633;-0.1004521;1.333351,0.09571785;-0.2852347;1.368525,0.1452406;-0.318895;1.115644,-0.1265523;-0.5518568;1.383547,2
