Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
2267,904;12988;-10136,7932;152;-594,-0.1682124;-0.09613962;1.268482,-0.00409199;-0.09974648;1.336664,0.1243438;-0.3061589;1.318434,0.1499503;-0.329296;1.104254,-0.1257875;-0.5519287;1.383585,1
2299,688;13680;-10240,5144;-354;-786,-0.1682241;-0.09611903;1.268502,-0.002994944;-0.09901314;1.339296,0.1245922;-0.3058306;1.319195,0.1499231;-0.3291688;1.105004,-0.1257623;-0.5518988;1.383615,1
2332,1132;11328;-11048,3705;-472;-788,-0.1682295;-0.09614253;1.268498,-0.004249051;-0.09971541;1.33646,0.1246447;-0.3057994;1.319153,0.1553164;-0.3293165;1.128448,-0.1257521;-0.5519015;1.383614,1
2367,408;14292;-10676,1439;-651;-915,-0.1682525;-0.09610903;1.268413,-0.003240757;-0.09910716;1.338396,0.1245183;-0.3058175;1.31892,0.1553817;-0.3292272;1.128233,-0.1257402;-0.5518378;1.383584,1
2399,960;13128;-11168,-9335;-2816;-367,-0.168259;-0.09614692;1.26849,-0.004003197;-0.1000268;1.336681,0.124526;-0.305893;1.318928,0.150011;-0.3289037;1.104719,-0.1257668;-0.5518339;1.383661,1
2433,936;13524;-10108,-6190;-1527;-908,-0.1682545;-0.09617002;1.268487,-0.00441574;-0.1003508;1.335671,0.1244063;-0.3060075;1.318983,0.1500387;-0.3288839;1.104776,-0.1257704;-0.5518392;1.383664,1
2466,448;15672;-9028,-16843;-3746;-326,-0.1682765;-0.09619632;1.268504,-0.004944586;-0.1006056;1.334387,0.1243164;-0.3062748;1.31837,0.2085352;-0.3762811;1.089047,-0.12578;-0.5518478;1.383647,1
2500,792;14932;-7692,-20672;-3861;-391,-0.1682803;-0.09619257;1.268503,-0.005325671;-0.1008758;1.333478,0.09444071;-0.2855039;1.370419,0.1450708;-0.3340724;1.130783,-0.1257765;-0.5518534;1.383656,1
2532,660;16044;-5312,-22000;-3362;-440,-0.1683282;-0.09613159;1.268669,-0.003617107;-0.09953897;1.337864,0.1344294;-0.3132765;1.306601,0.153621;-0.3315082;1.090749,-0.1257017;-0.5518136;1.383833,1
2565,880;15596;-3080,-19811;-2779;-21,-0.1683264;-0.09613445;1.268723,-0.002815496;-0.09879484;1.339793,0.1047258;-0.2882454;1.369415,0.1515645;-0.3172206;1.115173,-0.1256798;-0.5517026;1.383935,1
2599,848;15888;-580,-19236;-2395;-202,-0.1683172;-0.09611969;1.268716,-0.003699997;-0.09974054;1.336786,0.1334903;-0.3135726;1.304271,0.1573087;-0.3419044;1.113255,-0.1256769;-0.5517026;1.383934,1
2657,716;16588;1232,-23327;-2923;-72,-0.1683196;-0.09612913;1.268758,-0.004126801;-0.1001376;1.33573,0.1300548;-0.313033;1.308164,0.1676918;-0.3194839;1.064284,-0.1256889;-0.5517129;1.383944,1
2685,1256;13736;3320,-19571;-1348;-462,-0.1682933;-0.09611111;1.268822,-0.00459505;-0.1005465;1.334906,0.09787033;-0.2855071;1.369437,0.1521687;-0.3346261;1.135717,-0.1256725;-0.5517367;1.384118,1
2707,884;14712;6128,-13232;-225;-791,-0.1682935;-0.09612345;1.268813,-0.004863441;-0.1008346;1.33389,0.1387101;-0.3083771;1.281885,0.1651946;-0.3085289;1.073144,-0.1256882;-0.5517532;1.384104,1
2732,936;13700;7268,-14940;-1083;-674,-0.1682572;-0.09607998;1.268755,-0.005191211;-0.1011533;1.332593,0.0979416;-0.2842862;1.363576,0.1518354;-0.3463435;1.157125,-0.1257009;-0.5517476;1.384059,1
2765,1136;12928;8216,-12200;-604;-947,-0.1682442;-0.09604774;1.268891,-0.005290625;-0.1012764;1.332492,0.1365607;-0.3126944;1.30358,0.1704255;-0.3199826;1.063296,-0.125715;-0.5518153;1.38424,1
2799,792;12732;9568,-4600;154;-1349,-0.168215;-0.09603968;1.268763,-0.005313169;-0.1015738;1.33184,0.1365212;-0.3130218;1.303264,0.1698251;-0.3180662;1.065422,-0.1257138;-0.551833;1.384112,1
2832,1004;12112;10132,-4209;-302;-1080,-0.1683316;-0.09593723;1.269042,-0.005378561;-0.1016431;1.331843,0.1365761;-0.313072;1.304382,0.1690921;-0.329123;1.090674,-0.1258011;-0.5519203;1.384401,1
2865,924;11784;10244,1361;-89;-1322,-0.1683423;-0.09592266;1.269027,-0.005478561;-0.1017244;1.331526,0.1365345;-0.3131293;1.304335,0.1687726;-0.3292749;1.093909,-0.1257877;-0.5519184;1.384383,1
2902,648;13856;10408,-1877;-909;-1200,-0.1683615;-0.09590393;1.269036,-0.005559817;-0.1017818;1.331448,0.1365222;-0.3131405;1.304252,0.1691215;-0.3295863;1.095112,-0.1257964;-0.551929;1.38442,1
2933,1176;11396;9896,328;-430;-886,-0.1683621;-0.09589512;1.268987,-0.00560913;-0.1018573;1.331197,0.1370175;-0.3128785;1.304536,0.169226;-0.3297087;1.09508,-0.1258849;-0.5519342;1.384381,1
2965,816;12532;10468,2846;-127;-983,-0.1683935;-0.09588339;1.268915,-0.005606184;-0.1021377;1.330405,0.13706;-0.3131422;1.303958,0.1703779;-0.317869;1.097262,-0.1259516;-0.5518999;1.384163,1
3001,784;12132;10032,-203;-735;-906,-0.1683817;-0.09587868;1.268921,-0.005692097;-0.1021118;1.330268,0.1373038;-0.3129482;1.304991,0.1705875;-0.3211369;1.097319,-0.1259507;-0.5518963;1.384166,1
3076,1216;12264;10100,1920;-517;-640,-0.1683741;-0.09587101;1.268912,-0.005704377;-0.1022473;1.330001,0.1369272;-0.3133803;1.306083,0.1706007;-0.3255174;1.098595,-0.1259497;-0.5519103;1.384117,1
3101,1032;12780;10096,905;-706;-521,-0.1683746;-0.09585743;1.268899,-0.005773823;-0.102243;1.329682,0.1347919;-0.3137195;1.307079,0.198661;-0.3697374;1.121723,-0.1259567;-0.5519094;1.384093,1
3134,1124;11756;10016,748;-464;-888,-0.1683653;-0.09586228;1.268885,-0.005830313;-0.1023111;1.329406,0.1321644;-0.3138129;1.307852,0.1704442;-0.3274812;1.104349,-0.1259812;-0.5519177;1.383998,1
3166,904;12380;10052,1778;-283;-1050,-0.1683554;-0.09580326;1.268754,-0.005826506;-0.1023775;1.329172,0.1330783;-0.3144411;1.306475,0.1705046;-0.327899;1.103762,-0.1259888;-0.5519267;1.383927,1
3201,1004;12332;9944,1028;-521;-863,-0.1681937;-0.09578297;1.268491,-0.00581973;-0.1024093;1.328835,0.1317869;-0.3119583;1.308954,0.1704704;-0.3285565;1.101603,-0.1260075;-0.5518733;1.383684,1
3231,1096;12624;10360,1462;-502;-494,-0.1681426;-0.0957647;1.268372,-0.005786356;-0.1023787;1.328549,0.132741;-0.3128974;1.306652,0.1704708;-0.3288506;1.099595,-0.1259608;-0.5518525;1.383375,1
3266,1060;12160;10076,873;-526;-895,-0.1682049;-0.09559425;1.268858,-0.005781565;-0.1023939;1.328926,0.09923866;-0.2857475;1.371389,0.1640101;-0.3146248;1.121132,-0.1259359;-0.5519069;1.383809,1
3300,1008;12096;9876,803;-319;-784,-0.1682153;-0.09556919;1.268973,-0.005793044;-0.1024202;1.328955,0.09919356;-0.2856122;1.371271,0.1638172;-0.3125687;1.120756,-0.1259649;-0.5519143;1.383923,1
3332,940;12456;10156,337;-428;-789,-0.1682008;-0.09559458;1.269071,-0.005795628;-0.1024205;1.328975,0.09915271;-0.2855614;1.371186,0.1633156;-0.3157724;1.12093,-0.1259618;-0.5518938;1.38398,1
3365,1180;11832;10152,113;-685;-406,-0.1681762;-0.09557885;1.269055,-0.005811308;-0.1024225;1.328952,0.0992358;-0.2854569;1.370887,0.1630902;-0.3174924;1.12078,-0.1259605;-0.5518947;1.383985,1
3400,1156;11628;10292,-588;-373;-765,-0.1681942;-0.09554715;1.269084,-0.005826945;-0.1024229;1.328931,0.09914647;-0.2854744;1.370747,0.1620844;-0.3189731;1.1206,-0.1260146;-0.5518946;1.383959,1
3432,1328;12152;10552,1204;-705;-842,-0.1681272;-0.09554917;1.268925,-0.005780445;-0.1023899;1.328757,0.09902774;-0.2856181;1.37035,0.1560961;-0.3375087;1.142542,-0.1260183;-0.5519016;1.383841,1
3465,1160;12380;10480,659;-827;-993,-0.1680814;-0.09550085;1.268772,-0.00577466;-0.1025268;1.328459,0.09889611;-0.2856404;1.369423,0.1582216;-0.3275868;1.119678,-0.1259946;-0.5519324;1.383637,1
3499,1012;12536;10212,64;-847;-1068,-0.1681041;-0.0954818;1.268759,-0.005795781;-0.1025094;1.328472,0.09884612;-0.2856951;1.369327,0.1579608;-0.3275584;1.119516,-0.1260052;-0.5519476;1.383625,1
3532,1184;12324;10592,2010;-581;-378,-0.1680569;-0.09550125;1.268805,-0.005808981;-0.1024995;1.328482,0.09875679;-0.2857089;1.369289,0.15741;-0.3275175;1.119358,-0.1260068;-0.5519559;1.38362,1
3566,1332;12152;10268,1920;-416;-724,-0.1680544;-0.09548151;1.268811,-0.005833901;-0.102489;1.32847,0.09860565;-0.2856334;1.369175,0.1562806;-0.3271606;1.118964,-0.1260081;-0.5519539;1.38361,1
3599,1228;12344;10396,1859;-234;-452,-0.1680538;-0.09548068;1.268814,-0.005849356;-0.1025352;1.328486,0.09837011;-0.2856417;1.369262,0.1561149;-0.3271227;1.119058,-0.1260171;-0.5519736;1.383611,1
3632,1240;11992;10096,2795;-51;-441,-0.1680426;-0.09546933;1.268804,-0.005879534;-0.102536;1.328474,0.0980511;-0.2856912;1.369356,0.1557597;-0.3272946;1.119162,-0.1260161;-0.5519809;1.383602,1
3664,1176;12796;10648,2157;-606;-54,-0.1680416;-0.09547062;1.268809,-0.003307732;-0.1000935;1.335716,0.09745581;-0.2859919;1.369595,0.1552821;-0.3271472;1.119353,-0.1259927;-0.5519332;1.383624,1
3701,1476;12400;10176,1999;-591;-614,-0.168042;-0.09550768;1.268819,-0.003858143;-0.1005912;1.334369,0.09731818;-0.2859001;1.369363,0.1527703;-0.3278139;1.118704,-0.1259959;-0.5519448;1.383623,1
3732,1192;12788;10076,2601;-788;-497,-0.1680646;-0.0955013;1.268802,-0.004220846;-0.1008998;1.333462,0.09719799;-0.2859998;1.369246,0.1527844;-0.3278519;1.118605,-0.1261343;-0.5519426;1.383516,1
3767,1208;12852;9704,2764;-706;-270,-0.1680828;-0.09553549;1.268784,-0.004535593;-0.1009869;1.332802,0.09698633;-0.2860013;1.369035,0.1521727;-0.3289592;1.118494,-0.1262715;-0.5519481;1.383455,1
3802,1492;12512;9268,4052;-561;-501,-0.168104;-0.0955338;1.268737,-0.004833318;-0.101267;1.332049,0.09692597;-0.2859104;1.36888,0.1520841;-0.3286486;1.118292,-0.1262715;-0.5520142;1.383406,1
3833,1456;13120;8856,4206;-486;-505,-0.1681328;-0.09551743;1.268695,-0.005037865;-0.1014353;1.331658,0.09665457;-0.286082;1.369006,0.1520718;-0.3286497;1.118445,-0.1264402;-0.5520719;1.38339,1
3866,1652;12524;9144,4062;-770;-151,-0.1681385;-0.09551206;1.268689,-0.005181761;-0.1014913;1.331474,0.09654684;-0.2861043;1.368927,0.1520729;-0.3286625;1.118387,-0.1264661;-0.5520911;1.383388,1
3899,1772;12952;9168,5392;-131;-762,-0.1681318;-0.09559399;1.268558,-0.005494488;-0.1016045;1.330601,0.09650946;-0.2860814;1.368692,0.1517349;-0.3294056;1.118217,-0.1264329;-0.5520957;1.38328,1
3932,1592;13168;9096,2839;-868;-982,-0.1682117;-0.09557821;1.268633,-0.005601655;-0.101638;1.330571,0.09651818;-0.2861225;1.368685,0.1507718;-0.331815;1.118423,-0.1264569;-0.5521156;1.383321,1
