Time_Stamp,ShoulderElevationAngle,Trimming_Id
0,110.866676169132,0
34,110.756653785716,0
64,110.615995099254,0
96,110.459177204525,0
130,110.390046089034,0
165,110.39291484541,0
200,110.28988831395,0
232,110.199787889597,0
266,110.259814300092,0
299,110.182468764198,0
329,110.035639803039,0
364,109.935008309014,0
398,109.645442529229,0
433,109.408172062842,0
466,109.231665906628,0
497,108.953890882779,0
530,108.783345724137,0
565,108.652304082712,0
598,108.423314753317,0
632,108.14821081165,0
667,107.843512221837,0
697,107.45351531882,0
732,106.970976666589,0
764,106.915332967759,0
797,106.76226032407,0
831,106.566034762782,0
865,106.456316285285,0
898,106.360191299616,0
930,106.2302076212,0
966,106.167066974826,0
997,106.33259331005,0
1029,106.915312281375,0
1068,106.43455023966,0
1098,106.807383340022,0
1132,106.665725431271,0
1167,106.571691340211,0
1198,106.561071615509,0
1231,106.683057215714,0
1266,103.535645911903,0
1299,102.7009224964,0
1335,102.558808038039,0
1367,102.617681549907,0
1399,101.891553503851,0
1431,101.848634495511,0
1467,102.314804650506,0
1498,103.532660916663,0
1538,104.484616615765,0
1572,105.9401440443,0
1604,112.133553180243,0
1636,116.461063514962,0
1667,129.808270319826,0
1698,127.700354871818,0
1731,133.813977338864,0
1768,139.153056767997,0
1796,142.207697355319,0
1829,146.102367798384,0
1878,214.75467425673,0
1897,213.476965873644,0
1929,211.139376164757,0
1967,208.554625151144,0
2000,157.077447037416,0
2033,198.026345586031,0
2067,198.301781405345,0
2098,199.832858618538,0
2129,199.567457007538,0
2168,198.383929492343,0
2203,200.768945409582,0
2231,200.713802819273,0
2267,200.085329775683,0
2296,199.859571097823,0
2330,199.277068991875,0
2365,198.468777857694,0
2399,198.954837187,0
2495,158.709778661499,0
2508,158.617452262161,0
2530,154.321311178231,0
2564,143.066763595986,0
2598,138.797851445113,0
2632,131.010696037637,0
2666,129.671841695896,0
2697,130.489952873961,0
2729,125.007176446635,0
2767,121.187534223258,0
2797,111.968798888447,0
2832,111.925447567715,0
2871,125.446992943943,0
2902,121.405930256203,0
2928,116.831060843126,0
2964,110.428920271406,0
2998,105.027074112052,0
3031,99.7366346044436,0
3067,100.491896927619,0
