Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2603,319,-6372;11708;8056,631;-618;-1007,-0.07715607;0.01640732;1.201915,0.08854092;-0.01311891;1.19034,0.1339629;-0.2016172;1.148477,0.09770767;-0.2436651;0.9016206,0.05349065;-0.2519993;0.815236,-0.0791908;-0.45302;1.265325,1
2635,319,-6276;11652;8124,660;-444;-1019,-0.07720215;0.0164476;1.202003,0.08855506;-0.01317053;1.190381,0.1338749;-0.2017458;1.148554,0.0969189;-0.2439035;0.9018202,0.05357872;-0.2535029;0.8171839,-0.07911772;-0.4529589;1.265446,1
2668,319,-6524;11624;8092,654;-551;-1014,-0.07717016;0.01632985;1.201634,0.08856703;-0.01320535;1.190334,0.1339793;-0.2017549;1.148117,0.09485911;-0.243959;0.9017242,0.05313763;-0.2524679;0.8154116,-0.07898528;-0.4532081;1.264873,1
2705,320,-6520;11332;8428,712;-658;-954,-0.07715517;0.01630224;1.201617,0.08858262;-0.01322141;1.190338,0.1341041;-0.2018223;1.147977,0.09474999;-0.2440702;0.9016291,0.05288323;-0.2527814;0.815992,-0.07875977;-0.4532689;1.264896,1
2735,319,-6452;11136;8380,1118;-680;-851,-0.07720658;0.0163142;1.201623,0.08857558;-0.01328866;1.190361,0.1339436;-0.2019346;1.147906,0.0964984;-0.2437538;0.9011889,0.05247454;-0.2522874;0.8165141,-0.07873981;-0.4532684;1.264901,1
2770,319,-6120;11572;8372,1300;-719;-917,-0.07728084;0.01629423;1.20163,0.0885492;-0.01338788;1.190367,0.134048;-0.2019427;1.147796,0.09415789;-0.2440079;0.9015031,0.05239506;-0.2523749;0.8167568,-0.07968954;-0.4533098;1.264911,1
2803,320,-6100;11556;8320,1183;-900;-990,-0.07732468;0.01628544;1.201638,0.08855782;-0.0134034;1.19036,0.1341135;-0.2020182;1.147752,0.09406632;-0.2438912;0.901453,0.05286501;-0.2524842;0.8162302,-0.07979023;-0.4533299;1.264951,1
2835,318,-6176;11792;8064,1160;-747;-956,-0.07734009;0.01628163;1.20164,0.0885676;-0.01340616;1.190362,0.1340871;-0.2019645;1.147756,0.09407869;-0.2439162;0.9014638,0.05282706;-0.252067;0.8156957,-0.07956355;-0.4533821;1.264922,1
2869,319,-6216;11608;8268,1209;-718;-930,-0.07734163;0.0162771;1.201644,0.08858211;-0.01339828;1.190364,0.1342791;-0.2019789;1.147761,0.09413949;-0.2439255;0.9014896,0.05377882;-0.252436;0.8158502,-0.07956613;-0.4533051;1.264988,1
2903,320,-6328;11932;7976,1013;-407;-1055,-0.0773356;0.0162584;1.20165,0.08858219;-0.01340987;1.190359,0.1343421;-0.201977;1.147859,0.09470559;-0.2436802;0.9014652,0.0555185;-0.2514668;0.815331,-0.07959068;-0.4532178;1.265045,1
2935,320,-6168;11348;8492,1199;-573;-920,-0.07736101;0.0162977;1.20187,0.08857706;-0.0134492;1.190395,0.1348098;-0.2020998;1.148054,0.09667654;-0.2436493;0.9013975,0.05722486;-0.2515528;0.8147717,-0.07917292;-0.4534774;1.265568,1
2966,320,-6084;11684;8276,1128;-319;-1016,-0.07735025;0.0163228;1.201985,0.0885575;-0.01353769;1.190443,0.1348594;-0.2021638;1.148337,0.0985582;-0.2439728;0.901449,0.06120547;-0.2508318;0.8153483,-0.07926901;-0.4533645;1.266132,1
3004,320,-6256;11416;8424,1209;-482;-907,-0.07732821;0.01631051;1.201921,0.08854524;-0.01360408;1.190407,0.1349414;-0.2022341;1.14819,0.09965293;-0.2437269;0.9011015,0.06586728;-0.2480409;0.8129099,-0.07887661;-0.453571;1.266147,1
3036,320,-6308;11752;8348,1279;-376;-992,-0.07732087;0.01630498;1.201957,0.08854571;-0.01360707;1.190414,0.1349071;-0.2022855;1.148178,0.1120876;-0.2431632;0.9209957,0.07033572;-0.248972;0.8124029,-0.07820772;-0.4540078;1.266612,1
3067,320,-6296;11400;8180,1185;-541;-870,-0.07730112;0.0162934;1.201999,0.08855296;-0.01365831;1.190416,0.1350934;-0.2024038;1.148219,0.1145463;-0.242286;0.9309906,0.07449568;-0.2472843;0.811313,-0.07791678;-0.4545177;1.267023,1
3105,320,-6504;11688;8116,1585;-447;-748,-0.07728571;0.01629397;1.202036,0.08855695;-0.01365942;1.190417,0.1353501;-0.2023883;1.148035,0.1170887;-0.2373829;0.9628081,0.07957719;-0.2470597;0.8120313,-0.07754602;-0.4546261;1.267341,1
3134,321,-6324;11688;8308,1510;-464;-467,-0.0772813;0.0162764;1.202069,0.08855286;-0.01371038;1.190419,0.1371797;-0.2020495;1.148767,0.1137466;-0.2364052;0.9639994,0.08562033;-0.249733;0.8151458,-0.07754848;-0.454673;1.267449,1
3169,320,-6112;11404;8344,1592;-758;-349,-0.07724723;0.01643672;1.202469,0.08856561;-0.01368131;1.190549,0.1371557;-0.2026557;1.148877,0.1142425;-0.2361011;0.9638734,0.0923553;-0.2516176;0.816195,-0.07758189;-0.4545881;1.268399,1
3200,320,-5908;11704;8268,2089;-660;-503,-0.07720017;0.01643178;1.202434,0.08857743;-0.01370077;1.190537,0.1366799;-0.2039955;1.148531,0.1019312;-0.2973826;0.9159802,0.09704412;-0.2531693;0.8144935,-0.07756702;-0.4545771;1.268409,1
3232,320,-5924;11776;7820,2068;-534;-501,-0.07721176;0.01648733;1.20252,0.08859316;-0.01368234;1.190561,0.1349905;-0.2050283;1.1482,0.105411;-0.2654328;0.9042685,0.105989;-0.2508764;0.8070549,-0.07750716;-0.454519;1.268627,1
3265,319,-5716;12476;7692,1542;-232;-823,-0.07707795;0.01662929;1.20285,0.0886116;-0.01366181;1.190636,0.1340344;-0.2054682;1.148915,0.1080258;-0.2657452;0.9045466,0.1112029;-0.2541993;0.8098593,-0.07675453;-0.4543898;1.269358,1
3304,320,-6040;12176;7792,968;-138;-1013,-0.07706975;0.01663854;1.202719,0.08860978;-0.01367893;1.190582,0.1325027;-0.2062596;1.14793,0.1025898;-0.2279155;0.9621226,0.09434262;-0.2648255;0.8618317,-0.07633767;-0.4542103;1.269084,1
3330,320,-6412;12416;7656,697;-290;-983,-0.0770504;0.01660223;1.202509,0.08860911;-0.0136699;1.190533,0.1318048;-0.2062995;1.147684,0.1029467;-0.2281094;0.9617279,0.1080568;-0.2685567;0.8314098,-0.07543438;-0.454359;1.268825,1
3364,320,-6044;11556;8024,-9;-445;-514,-0.0770382;0.01663473;1.202586,0.08861943;-0.01367146;1.190575,0.131395;-0.2062997;1.148731,0.1087914;-0.3654492;0.954133,0.1082095;-0.3274433;0.8720586,-0.07509383;-0.454418;1.269126,1
3399,320,-6536;11724;8200,1027;-94;-787,-0.07703757;0.01664873;1.202583,0.08861873;-0.01366828;1.190579,0.1310312;-0.2063453;1.148655,0.1170991;-0.2715524;0.9045629,0.1162932;-0.2623315;0.816854,-0.07525845;-0.4542274;1.26916,1
3431,320,-6252;11216;8316,414;-308;-442,-0.07708991;0.01667286;1.202465,0.08861143;-0.0136859;1.190551,0.1322929;-0.2039353;1.148245,0.1173491;-0.2708836;0.904684,0.1154312;-0.2620012;0.8150266,-0.07531257;-0.4541011;1.268982,1
3466,320,-5624;11456;8560,1656;-554;-271,-0.07707566;0.0166871;1.202485,0.08861555;-0.01370926;1.190575,0.1334102;-0.2021904;1.149197,0.1046337;-0.2309755;0.9642056,0.1119969;-0.2707157;0.8327955,-0.07530606;-0.4541317;1.26902,1
3503,321,-5820;12504;7728,1648;-732;-1146,-0.07703751;0.01670496;1.202523,0.08861437;-0.0137117;1.190591,0.1053246;-0.2454549;1.142827,0.1092492;-0.2881504;0.8934516,0.1171012;-0.2659239;0.8118128,-0.07522135;-0.454127;1.269306,1
