Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1021,2788;-16076;-4728,1291;-149;-688,-0.2225026;-0.02727353;1.009857,-0.254421;-0.01026099;1.080705,-0.1752785;-0.05371711;1.305061,-0.1728143;0.1958486;1.288808,-0.003879553;0.2230271;1.262771,0.01964447;-0.23489;1.302493,0
34,1023,2640;-16344;-4612,1673;-160;-713,-0.2223166;-0.02512199;1.009849,-0.2567483;-0.01021568;1.083742,-0.175152;-0.05407849;1.30527,-0.1728538;0.1958804;1.288816,-0.004103619;0.2229944;1.262704,0.01960834;-0.2348748;1.302403,0
65,1023,2784;-16116;-4640,1277;-258;-925,-0.2230689;-0.02585269;1.01003,-0.2578113;-0.01048152;1.084974,-0.175359;-0.05392569;1.304127,-0.1728877;0.1958515;1.288747,-0.004198039;0.2229573;1.262605,0.01972115;-0.2348728;1.302226,0
98,1020,2748;-16140;-4676,1044;-387;-1139,-0.222561;-0.02710712;1.010043,-0.2589479;-0.01045464;1.086847,-0.1744918;-0.05431916;1.306766,-0.1729744;0.1959323;1.288814,-0.004372032;0.2230227;1.262673,0.01970845;-0.2348766;1.302228,0
134,1023,2716;-16016;-4608,1354;-407;-925,-0.22357;-0.0271155;1.010586,-0.2597271;-0.01022134;1.087685,-0.173336;-0.05498495;1.309233,-0.1731171;0.1960443;1.289009,-0.004597032;0.223001;1.262619,0.01968084;-0.2348827;1.302197,0
171,1023,2768;-16184;-4700,1052;-546;-1039,-0.2225011;-0.02576543;1.008041,-0.2601309;-0.009833448;1.088222,-0.1744449;-0.05471856;1.306154,-0.173144;0.1960583;1.288998,-0.004763861;0.223013;1.262495,0.01955872;-0.2348781;1.301902,0
198,1019,2752;-16080;-4496,1076;-248;-808,-0.2228006;-0.02719533;1.006662,-0.2718186;-0.03542112;1.085571,-0.1744367;-0.05473401;1.306201,-0.1732755;0.1961551;1.289169,-0.004854292;0.2229966;1.262509,0.01957387;-0.2348519;1.301903,0
233,1022,2596;-16404;-4472,1680;-640;-916,-0.2248611;-0.02637215;1.009263,-0.2344085;-0.01359565;1.103326,-0.1775693;-0.05577369;1.298723,-0.1733551;0.1962093;1.289233,-0.004955314;0.2230034;1.262479,0.01955423;-0.2347919;1.301871,0
266,1023,2676;-16364;-4692,1222;-466;-1167,-0.2279864;-0.02405058;1.012978,-0.2341276;-0.01399856;1.103459,-0.1752791;-0.05873473;1.30678,-0.1733799;0.1962182;1.289229,-0.005087289;0.222988;1.262487,0.01957303;-0.2347986;1.301835,0
300,1020,2696;-16008;-4448,1175;-353;-1060,-0.2305829;-0.02270986;1.022259,-0.233157;-0.02058212;1.107584,-0.1737081;-0.0628095;1.311634,-0.1734629;0.1961898;1.289222,-0.005228885;0.2230326;1.262509,0.01964934;-0.2347206;1.301872,0
334,1022,2700;-16220;-4496,1440;-657;-1127,-0.2383603;-0.02392578;1.032139,-0.2439443;-0.01861173;1.070018,-0.1694041;-0.06607221;1.322261,-0.1735519;0.1961706;1.289283,-0.005697599;0.2231399;1.263008,0.01969295;-0.2346075;1.302307,0
367,1023,2592;-16088;-4416,1137;-559;-1150,-0.2461244;-0.02750454;1.020289,-0.2441482;-0.01573341;1.065019,-0.1678702;-0.06660801;1.323768,-0.1736273;0.1961779;1.289336,-0.005802613;0.2231196;1.262948,0.01970832;-0.2346181;1.302237,0
399,1022,2036;-15724;-4628,840;-961;-1608,-0.2539293;-0.02733792;1.017107,-0.2403666;-0.02327589;1.08383,-0.1676727;-0.06654078;1.323749,-0.1736561;0.1961673;1.289315,-0.005946008;0.223097;1.26288,0.01975042;-0.2346354;1.302132,0
433,1022,2832;-15988;-4360,586;-2067;-1829,-0.259306;-0.02523622;1.015999,-0.2462448;-0.0199006;1.094729,-0.1676173;-0.06652295;1.323728,-0.1737035;0.1961593;1.289322,-0.006129324;0.2230275;1.262742,0.01977248;-0.2346401;1.302029,0
465,1023,2656;-15364;-5848,1321;-846;-805,-0.2625984;-0.02456028;1.016776,-0.253298;-0.02926142;1.061905,-0.1674746;-0.06647064;1.323751,-0.173732;0.1961669;1.289328,-0.006215128;0.2230002;1.262708,0.01982399;-0.2346156;1.302022,0
501,1022,2364;-17152;-1760,5060;-36;-810,-0.2653203;-0.02460233;1.013188,-0.2533789;-0.02923458;1.061997,-0.167222;-0.06643795;1.323734,-0.1737558;0.1961668;1.289322,-0.006329853;0.2229337;1.262272,0.01982519;-0.2346375;1.301797,0
535,1019,2696;-16468;-4952,653;-1368;-985,-0.2681228;-0.02446558;1.014104,-0.253751;-0.02823751;1.062746,-0.1667584;-0.06661905;1.324035,-0.1738049;0.1961644;1.289345,-0.006378941;0.2229257;1.262216,0.01986289;-0.2346517;1.301698,0
567,1023,2672;-16192;-3004,2777;-1730;-2149,-0.26901;-0.02460812;1.013573,-0.2539204;-0.02851108;1.063023,-0.1665606;-0.06645037;1.324253,-0.1738378;0.1961607;1.289364,-0.006450676;0.2229185;1.262198,0.01985602;-0.234656;1.301651,0
600,1023,3148;-16344;-4896,2385;-640;-1631,-0.2671905;-0.02430173;1.013038,-0.2541414;-0.02774505;1.063559,-0.1660129;-0.06658729;1.324396,-0.1738722;0.1961169;1.289337,-0.006668425;0.2227366;1.261623,0.01979502;-0.2347672;1.301246,0
633,1021,3040;-15596;-3344,3567;-1972;-1842,-0.2676938;-0.02502602;1.012762,-0.254115;-0.02777749;1.064381,-0.1658218;-0.06731331;1.325058,-0.173919;0.1961183;1.289312,-0.006800023;0.222669;1.261342,0.0198173;-0.2347634;1.30106,0
666,1023,3200;-16696;-3724,2541;-320;-2193,-0.2678189;-0.02532313;1.014181,-0.2545461;-0.02753638;1.064952,-0.1656487;-0.06754314;1.32535,-0.1739455;0.1961207;1.289318,-0.006848399;0.2226721;1.261371,0.01984503;-0.2346087;1.301279,0
699,1023,3004;-15980;-2604,2752;-2796;-2122,-0.2653156;-0.02461488;1.015096,-0.2545006;-0.02716887;1.065687,-0.1651939;-0.06829359;1.32577,-0.1739811;0.1961235;1.289338,-0.006899915;0.2226781;1.261379,0.01986544;-0.234655;1.301186,0
732,1023,3124;-16128;-3344,1051;-1689;-1266,-0.2633267;-0.02427802;1.018405,-0.2543005;-0.02713673;1.066621,-0.1647642;-0.06848347;1.326589,-0.1740462;0.1961359;1.289413,-0.006971864;0.2226564;1.261448,0.01980643;-0.2346909;1.301257,0
766,1023,3188;-16548;-3088,1589;-2250;-1342,-0.2571508;-0.02256617;1.017011,-0.2515385;-0.02655846;1.068834,-0.164724;-0.06856251;1.326469,-0.1740737;0.1960977;1.289385,-0.007051556;0.222548;1.261009,0.01983938;-0.2348457;1.30053,0
801,1022,3652;-16292;-3660,1190;-1348;-1225,-0.2521302;-0.02000016;1.024596,-0.2480942;-0.02523289;1.078755,-0.1637374;-0.06834804;1.326381,-0.1741189;0.196104;1.289425,-0.007120845;0.2225479;1.261043,0.01984861;-0.234838;1.300548,0
832,1022,3372;-16264;-3752,284;-165;-997,-0.2445367;-0.01642604;1.026237,-0.2303101;-0.03962158;1.120452,-0.1640878;-0.06803562;1.326975,-0.1742161;0.1961641;1.289543,-0.007270553;0.2225969;1.261248,0.01983368;-0.2347921;1.300777,0
867,1008,3428;-15968;-3544,377;-816;-1163,-0.2414194;-0.01502248;1.022941,-0.2428811;-0.007120028;1.067981,-0.1657631;-0.06843638;1.327298,-0.1742451;0.1961764;1.289543,-0.007290801;0.2226037;1.261245,0.01983035;-0.234729;1.300824,0
899,1021,3112;-16452;-3116,-1367;-805;-1944,-0.2321439;-0.0222015;1.000968,-0.2293234;-0.03255983;1.065619,-0.1916665;-0.05553861;1.268849,-0.1742989;0.1962069;1.28956,-0.007321068;0.2226095;1.26124,0.01976523;-0.2347015;1.300841,0
932,1023,3588;-16296;-4108,-2923;744;-693,-0.227539;-0.02366905;1.002741,-0.2812645;-0.04428237;1.078075,-0.1909506;-0.05350137;1.27461,-0.1743759;0.1962242;1.289625,-0.007467124;0.2226657;1.261442,0.01970678;-0.2346919;1.301242,0
966,1023,3236;-16832;-4864,-2127;739;-587,-0.22568;-0.02189311;1.009578,-0.2761689;-0.03014108;1.081031,-0.1809933;-0.05614682;1.298558,-0.1744105;0.1962175;1.28957,-0.007551748;0.2226885;1.261371,0.01971761;-0.2347105;1.301169,0
1001,1021,3916;-15724;-5788,-998;-418;-1050,-0.2214371;-0.02261975;1.010744,-0.2749025;-0.03065796;1.080747,-0.1755195;-0.05699603;1.308578,-0.1744562;0.1961917;1.28944,-0.007609153;0.222628;1.261013,0.01961712;-0.2346576;1.300943,0
1036,1023,3492;-15476;-4928,-385;-514;-1488,-0.2186275;-0.02418786;1.012757,-0.2728218;-0.03135998;1.080434,-0.1696166;-0.05930899;1.317178,-0.174473;0.1962053;1.289369,-0.007702588;0.22263;1.260714,0.01955101;-0.2346174;1.300791,0
1067,1023,3120;-16436;-3700,1011;-554;-734,-0.2160979;-0.02552996;1.018117,-0.2693125;-0.02957062;1.080485,-0.1667666;-0.05951108;1.322556,-0.1744795;0.1962;1.289354,-0.007753769;0.2226532;1.260825,0.01952485;-0.2345638;1.300898,0
1099,1022,3240;-15752;-5456,8;-1630;-1175,-0.2134932;-0.02542935;1.017089,-0.2548592;-0.01905002;1.081181,-0.1645622;-0.05990632;1.325183,-0.1744959;0.1962205;1.289359,-0.007789032;0.2226516;1.260858,0.01951333;-0.2345542;1.300908,0
1131,1020,2844;-16048;-5140,142;-763;-1496,-0.2121839;-0.02562387;1.017087,-0.2536826;-0.01743058;1.082326,-0.1628118;-0.05973229;1.326317,-0.1744972;0.1962248;1.289346,-0.007797297;0.2226638;1.260859,0.01950821;-0.2345614;1.300905,0
1166,1021,2240;-16992;-6052,18;-1802;-1297,-0.2115907;-0.02654627;1.017895,-0.2530248;-0.01678454;1.082559,-0.1617589;-0.0602535;1.326773,-0.1744986;0.1962266;1.289347,-0.007827335;0.2226937;1.26097,0.01955946;-0.2343373;1.301227,0
1199,1023,3096;-16032;-5708,894;438;-1455,-0.2107325;-0.02587325;1.018706,-0.2510629;-0.01488149;1.083387,-0.1597566;-0.06192185;1.325587,-0.1745;0.1962279;1.289349,-0.007874742;0.2227194;1.261154,0.01951087;-0.2343908;1.301409,0
1233,1022,3940;-15520;-5264,740;321;-834,-0.2091139;-0.027063;1.013665,-0.2473557;-0.01356125;1.080015,-0.157589;-0.06299027;1.323802,-0.1745116;0.1962003;1.289197,-0.007873385;0.222699;1.261061,0.01956921;-0.2344412;1.301267,0
1267,1021,3320;-15456;-5856,1248;481;-727,-0.2094573;-0.02701659;1.018333,-0.247095;-0.01302571;1.080299,-0.1560168;-0.06286745;1.323257,-0.1745128;0.1962138;1.289185,-0.007875037;0.2227047;1.26106,0.01956943;-0.234441;1.301267,0
1299,1023,3232;-15992;-4892,1657;207;-879,-0.2067135;-0.02764858;1.01729,-0.2353893;-0.01833539;1.064345,-0.1513481;-0.06512243;1.318713,-0.174509;0.1962288;1.289173,-0.007854754;0.2227441;1.261092,0.01959392;-0.2343459;1.30133,0
1332,1023,3336;-15704;-5148,1366;26;-631,-0.2073926;-0.02716926;1.018057,-0.2392114;-0.01295421;1.071665,-0.1508432;-0.06490958;1.319025,-0.1745108;0.1962487;1.289145,-0.007851106;0.2227989;1.261132,0.01965453;-0.2341305;1.301526,0
1366,1023,3228;-15988;-5080,917;-309;-784,-0.2030622;-0.02873822;1.011818,-0.239018;-0.01243929;1.072027,-0.1772549;-0.006969203;1.300057,-0.1745136;0.1962523;1.289122,-0.007863506;0.2228049;1.261131,0.019656;-0.2341089;1.301529,0
1398,1021,3468;-15888;-5240,853;-216;-702,-0.2026971;-0.02861268;1.011425,-0.2389058;-0.01225698;1.072365,-0.1772;-0.006969269;1.30002,-0.1745163;0.1962559;1.2891,-0.007875902;0.2228072;1.261132,0.01968701;-0.2340749;1.301553,0
1434,1020,3372;-16244;-5424,1753;191;-120,-0.2073848;-0.02852254;1.020132,-0.2381111;-0.01217028;1.071355,-0.1433344;-0.07482475;1.298422,-0.1745225;0.1962692;1.289099,-0.007880496;0.2228129;1.26113,0.01968565;-0.2340745;1.30155,0
1467,1023,3212;-15712;-5192,1860;36;-533,-0.2018424;-0.02968284;1.011882,-0.2379368;-0.01152782;1.072129,-0.1772199;-0.006943143;1.300862,-0.1745244;0.1962829;1.289098,-0.007905494;0.2228121;1.26115,0.01964737;-0.2340821;1.301556,0
1499,1021,3268;-15968;-5036,825;-63;-1022,-0.2059006;-0.02873204;1.016614,-0.2379889;-0.01129382;1.072804,-0.1467174;-0.0677668;1.313027,-0.1745266;0.1963029;1.289098,-0.007907492;0.2228142;1.261164,0.01972163;-0.2340416;1.30157,1
1538,1014,3304;-16004;-5128,1120;-412;-887,-0.2054573;-0.02695651;1.013475,-0.2360664;-0.01385084;1.068771,-0.1455532;-0.06897893;1.309669,-0.1745517;0.1962996;1.288972,-0.00795112;0.2226744;1.260799,0.01975487;-0.2340987;1.301104,1
1567,1023,3392;-15672;-5332,1191;-570;-958,-0.2060709;-0.03009619;1.016964,-0.2338769;-0.01552163;1.065384,-0.1454437;-0.06890511;1.309713,-0.1745532;0.196312;1.288966,-0.007979367;0.2226737;1.260829,0.01975078;-0.2340933;1.301103,1
1598,1023,3316;-15908;-5164,896;-395;-928,-0.2022793;-0.03123613;1.014446,-0.2360093;-0.01326731;1.071966,-0.1790773;-0.00841376;1.305741,-0.1745643;0.1963115;1.288976,-0.007973071;0.222779;1.261373,0.01998761;-0.2338546;1.301839,1
1632,1023,3332;-16056;-5236,1224;-387;-722,-0.2021093;-0.0307073;1.010694,-0.236055;-0.01320171;1.071864,-0.1786506;-0.008337298;1.304142,-0.1745701;0.1963249;1.288956,-0.007968938;0.2227599;1.261331,0.01996472;-0.2338694;1.301755,1
1668,1021,3372;-15864;-5180,1011;-228;-843,-0.2027105;-0.03152375;1.011082,-0.2365423;-0.01304012;1.07219,-0.1785215;-0.008202518;1.303566,-0.174568;0.1963254;1.288941,-0.007974984;0.2227558;1.261339,0.01985778;-0.2339217;1.301736,1
1698,1023,3128;-16104;-5128,1125;-239;-849,-0.2014961;-0.03147965;1.010516,-0.2347287;-0.01654202;1.068187,-0.1781376;-0.008577252;1.303138,-0.174567;0.1963353;1.288951,-0.007984313;0.2227589;1.261351,0.01983396;-0.2339007;1.301754,1
1733,1023,3040;-15924;-5084,1102;-675;-1104,-0.2067183;-0.0288004;1.014207,-0.2328262;-0.01875018;1.063133,-0.1442077;-0.06188453;1.316201,-0.1745573;0.196337;1.288791,-0.007975871;0.2226976;1.261133,0.01989535;-0.2338484;1.301525,1
1766,1022,3324;-16012;-5100,1034;-908;-933,-0.2061202;-0.02980378;1.014046,-0.2348108;-0.01591725;1.067293,-0.1443891;-0.0618621;1.316324,-0.1745331;0.1963356;1.288731,-0.007940644;0.2226808;1.260944,0.01994275;-0.2338535;1.301319,1
1798,1022,3272;-15796;-5472,1040;-379;-940,-0.2070371;-0.03114462;1.019249,-0.2360984;-0.01446506;1.070812,-0.1458176;-0.06123164;1.319773,-0.1745351;0.196349;1.288748,-0.007926879;0.2227403;1.261294,0.01998889;-0.2337407;1.301867,1
1833,1023,3080;-16000;-5300,797;54;-1018,-0.2055895;-0.03044671;1.015153,-0.235556;-0.01664532;1.069515,-0.1457405;-0.06119297;1.319734,-0.174535;0.1963512;1.288746,-0.007948304;0.2226969;1.26125,0.01999468;-0.2337429;1.301834,1
1866,1023,3240;-15748;-5100,1233;-220;-793,-0.2059706;-0.02979046;1.015784,-0.2360751;-0.01573041;1.070855,-0.1465547;-0.06076152;1.321408,-0.1745351;0.1963515;1.288746,-0.007960344;0.2226821;1.261245,0.01996452;-0.2337511;1.301798,1
1900,1020,3104;-15856;-5192,1705;-434;-605,-0.205836;-0.03048432;1.017236,-0.2372695;-0.01484598;1.072816,-0.1468653;-0.06057215;1.322101,-0.1745355;0.1963552;1.288749,-0.007945968;0.2227262;1.261318,0.02003374;-0.2337486;1.301875,1
1972,1023,3352;-16056;-5060,1121;-250;-777,-0.2056633;-0.03045708;1.01345,-0.2398301;-0.01573492;1.076335,-0.1485448;-0.05823781;1.326079,-0.1745343;0.1963406;1.288705,-0.008016821;0.2226898;1.261446,0.02003129;-0.2337142;1.301956,1
1999,1023,3176;-16136;-5212,1036;-386;-1063,-0.2060671;-0.03021488;1.015887,-0.2353038;-0.01971873;1.067554,-0.1485564;-0.05828772;1.326067,-0.1745331;0.1963484;1.28871,-0.008031773;0.2226896;1.261486,0.01997222;-0.2336998;1.301956,1
2032,1020,3184;-15964;-5264,1195;-264;-1030,-0.2051835;-0.03128413;1.01229,-0.234448;-0.02033162;1.065592,-0.1486739;-0.05844745;1.325782,-0.1745299;0.1963514;1.288685,-0.00803444;0.2226914;1.261478,0.01999052;-0.2337175;1.301871,1
2066,1022,3116;-15840;-5124,789;-455;-1219,-0.2061386;-0.03031997;1.012422,-0.2336892;-0.02162676;1.063519,-0.1488931;-0.05840802;1.325764,-0.1745313;0.1963531;1.288677,-0.008034432;0.2227102;1.261468,0.01999206;-0.2337039;1.301856,1
2100,1023,3324;-16072;-5232,1038;-516;-1103,-0.2061572;-0.02996928;1.012545,-0.2367563;-0.01803736;1.068682,-0.1494369;-0.05882648;1.32563,-0.1745321;0.196352;1.28868,-0.008039569;0.2227827;1.2616,0.02004194;-0.2336776;1.301937,1
2133,1022,3356;-15724;-5320,739;-222;-1033,-0.2073042;-0.02960698;1.008586,-0.2370037;-0.01893948;1.067791,-0.1512967;-0.05875133;1.326696,-0.1745303;0.1963544;1.288673,-0.008046791;0.2228185;1.261639,0.02001395;-0.2336963;1.301934,1
2166,1023,3284;-16044;-5456,896;-223;-805,-0.2100432;-0.02986592;1.003012,-0.2482247;-0.02142053;1.075556,-0.158695;-0.0578177;1.32392,-0.1745169;0.196085;1.288123,-0.008038545;0.2228222;1.261626,0.02002097;-0.2337177;1.301874,1
2198,1023,3320;-15900;-5556,1543;-41;-716,-0.2138733;-0.02956183;1.000367,-0.2473828;-0.0190412;1.078314,-0.1699606;-0.05653326;1.3101,-0.1745149;0.1960581;1.288072,-0.008020422;0.2228682;1.261488,0.02006368;-0.2336638;1.301737,1
2231,1023,3184;-15844;-5196,677;277;-922,-0.2192943;-0.0292421;1.004423,-0.2433767;-0.0171641;1.086472,-0.1720533;-0.05638203;1.308978,-0.1745218;0.1960674;1.288094,-0.008037532;0.223011;1.26171,0.02003595;-0.233668;1.30175,1
