Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,8912;3040;-14496,1251;-533;-1254,-0.1524463;-0.05512248;1.032072,-0.1429766;-0.05017561;1.032858,-0.2434827;0.002010786;1.27575,-0.1781817;0.1945066;1.271615,-0.01264121;0.2234745;1.25722,0.02404455;-0.2278226;1.317196,0
33,1022,9032;3188;-14740,1162;-544;-1046,-0.1527108;-0.05491732;1.029087,-0.142896;-0.05024376;1.032918,-0.2450499;0.002694175;1.276339,-0.1780891;0.1945162;1.271471,-0.01262817;0.223446;1.257157,0.02402789;-0.2277826;1.317266,0
68,1023,8936;2880;-14780,1032;-539;-1018,-0.1536622;-0.05442039;1.026342,-0.1427321;-0.05017158;1.032603,-0.2444118;0.0026154;1.277738,-0.1778605;0.1943612;1.270867,-0.01259388;0.2233613;1.256898,0.0241097;-0.2277748;1.317068,0
100,1023,8904;2928;-14668,1045;-497;-1022,-0.151526;-0.05553653;1.031569,-0.1425715;-0.05025686;1.032777,-0.2433382;0.002769121;1.280501,-0.1779509;0.1946622;1.271456,-0.01271406;0.2244182;1.259326,0.02411856;-0.2276978;1.317152,0
133,1023,9048;2904;-14876,1028;-598;-1189,-0.1509182;-0.05527039;1.029513,-0.142546;-0.05028583;1.032822,-0.2432776;0.002856301;1.280985,-0.177898;0.1946819;1.271404,-0.01269078;0.2242772;1.25897,0.02409298;-0.2276824;1.317144,0
166,1023,8912;3024;-14964,1050;-454;-1097,-0.1510329;-0.05598558;1.029937,-0.1425124;-0.05029124;1.032803,-0.2429326;0.00284937;1.281526,-0.177893;0.194732;1.271471,-0.01267944;0.2241539;1.258612,0.02410434;-0.2276595;1.31714,0
199,1023,8864;3136;-14728,1017;-409;-1051,-0.1517746;-0.05561697;1.029995,-0.1424871;-0.05033364;1.03285,-0.2424252;0.002747257;1.281575,-0.1779466;0.1948507;1.271686,-0.01274762;0.2247056;1.259793,0.02409373;-0.2275148;1.317373,0
234,1023,8800;2844;-14532,973;-508;-1145,-0.1519154;-0.05526126;1.028364,-0.1422797;-0.05027154;1.032804,-0.2422922;0.002779532;1.281988,-0.1779471;0.1948769;1.271709,-0.0126858;0.2245499;1.259364,0.02409011;-0.2274994;1.317371,0
268,1020,8808;3132;-14908,844;-581;-1168,-0.1525419;-0.05397793;1.026368,-0.1419028;-0.05021358;1.032436,-0.2420876;0.002684186;1.281095,-0.177834;0.1949002;1.271437,-0.01262191;0.2243476;1.25881,0.02410193;-0.227488;1.317316,0
302,1022,8896;3108;-14844,1118;-542;-1003,-0.152208;-0.05463775;1.029634,-0.1419876;-0.0503468;1.03273,-0.2432474;0.003186495;1.281542,-0.17784;0.1949471;1.271535,-0.01261604;0.224229;1.258568,0.02411228;-0.2274623;1.317366,0
332,1023,8800;3156;-14804,991;-645;-1124,-0.1507098;-0.05459208;1.028601,-0.14161;-0.05049222;1.032855,-0.2429011;0.00315297;1.281792,-0.1777521;0.1949634;1.271469,-0.0126067;0.2241336;1.258343,0.02411828;-0.2274625;1.317367,0
368,1023,8848;3136;-14856,1064;-619;-987,-0.1512509;-0.05478774;1.028122,-0.1416134;-0.05048916;1.032844,-0.2427264;0.003176813;1.28217,-0.1777578;0.1950075;1.27153,-0.01255214;0.2240283;1.258032,0.02414561;-0.2274236;1.317182,0
398,1022,8936;3004;-15024,961;-526;-1086,-0.1516039;-0.05495297;1.029286,-0.1416912;-0.05055959;1.032856,-0.2425686;0.003214976;1.282501,-0.1776797;0.1950098;1.271399,-0.0124997;0.2243279;1.258571,0.02417328;-0.2274226;1.317163,0
433,1022,8912;3020;-14928,1147;-375;-1009,-0.1505271;-0.05532886;1.028074,-0.1417433;-0.05064736;1.032823,-0.2422869;0.00310472;1.282565,-0.1774519;0.1948697;1.271116,-0.01243874;0.2241719;1.258247,0.02419765;-0.2274324;1.317141,0
468,1023,8988;3168;-15016,1119;-527;-1019,-0.1513303;-0.0555234;1.028579,-0.1418523;-0.05078567;1.032781,-0.2416418;0.002924993;1.282739,-0.1773314;0.1948211;1.270913,-0.0123594;0.2245139;1.258937,0.02422319;-0.2274345;1.317137,0
500,1023,8776;2920;-14916,1138;-191;-960,-0.1520195;-0.05585811;1.028798,-0.142018;-0.05075155;1.032743,-0.2414194;0.003059295;1.284192,-0.1773516;0.1948307;1.270971,-0.01235374;0.2243579;1.258588,0.02398224;-0.2272784;1.317517,0
534,1021,8936;3024;-14732,1165;-245;-974,-0.1530432;-0.05637868;1.028112,-0.1417358;-0.05085389;1.032524,-0.2421353;0.003274568;1.283825,-0.1773754;0.1948679;1.271032,-0.01234492;0.2242059;1.258309,0.0239638;-0.2272467;1.317558,0
568,1022,8776;3180;-14732,1163;-393;-1003,-0.1524306;-0.05688897;1.028593,-0.1416541;-0.0510455;1.0325,-0.2419438;0.003059407;1.282845,-0.1773846;0.1948731;1.271056,-0.01233292;0.224474;1.258796,0.02397757;-0.2272452;1.317545,0
598,1023,8808;3180;-14664,1152;-457;-973,-0.1523262;-0.05721917;1.02895,-0.1416842;-0.05114108;1.032483,-0.2406085;0.002541584;1.282409,-0.17741;0.1949048;1.271143,-0.01231915;0.2246452;1.259331,0.02399547;-0.2272412;1.317539,0
631,1023,8896;2948;-14844,1044;-471;-1045,-0.1530576;-0.05691484;1.028191,-0.141784;-0.05131655;1.032396,-0.2405252;0.00228657;1.280802,-0.1774379;0.1949202;1.271222,-0.01231891;0.2247124;1.259418,0.02400015;-0.227242;1.317522,0
665,1021,8888;3072;-14668,821;-581;-1109,-0.1523947;-0.05711441;1.027824,-0.1417617;-0.05133277;1.03239,-0.2407409;0.00231715;1.280572,-0.1774467;0.1949097;1.271219,-0.01231217;0.2247178;1.259467,0.02405814;-0.227286;1.317345,0
700,1023,8864;3288;-14912,1073;-388;-970,-0.1522454;-0.05715502;1.028843,-0.141867;-0.05137417;1.032424,-0.2402266;0.002230261;1.281164,-0.1774179;0.1949062;1.271187,-0.01224381;0.2249208;1.259859,0.02408375;-0.2273153;1.317272,0
736,1023,8988;3200;-14800,985;-320;-918,-0.1523155;-0.05696758;1.029772,-0.142001;-0.05149715;1.032531,-0.2399071;0.002125263;1.281238,-0.1774417;0.1949111;1.27121,-0.01218371;0.2246192;1.259302,0.02409579;-0.2273123;1.317274,0
768,1023,8952;3216;-14632,843;-377;-908,-0.1529959;-0.05664973;1.028999,-0.1422694;-0.05169979;1.032662,-0.2393718;0.002034449;1.281213,-0.1773638;0.1949789;1.271205,-0.01227117;0.224868;1.259938,0.02410101;-0.2273103;1.317276,0
800,1017,8892;3056;-14736,872;-490;-1038,-0.1529153;-0.05654909;1.029453,-0.1423909;-0.0517638;1.032741,-0.2395889;0.002105129;1.281045,-0.1773359;0.1949894;1.271202,-0.01233053;0.2250801;1.260491,0.02407821;-0.2272661;1.31741,0
833,1023,9004;3184;-14868,980;-340;-991,-0.1537019;-0.05671167;1.025115,-0.1421036;-0.05195341;1.032393,-0.2402708;0.002236349;1.280278,-0.1773365;0.1949902;1.271201,-0.01233515;0.2250844;1.260497,0.0240674;-0.2272724;1.31726,0
867,1023,8940;3224;-14744,929;-391;-915,-0.1546984;-0.05670615;1.025493,-0.1426089;-0.05195932;1.032041,-0.2399147;0.001994785;1.279478,-0.1772876;0.1949435;1.271101,-0.01227821;0.2251335;1.260752,0.02403823;-0.2272915;1.317295,0
899,1023,8916;3052;-14676,1027;-350;-1013,-0.1561719;-0.05646473;1.022877,-0.1442071;-0.05227111;1.030894,-0.23959;0.001784429;1.278628,-0.1772959;0.1949541;1.271123,-0.01228494;0.2251533;1.260756,0.02403696;-0.2272825;1.317188,0
934,1023,9048;3300;-14696,1020;-407;-958,-0.1525648;-0.05723603;1.019593,-0.1319421;-0.05898255;1.028097,-0.2387364;0.001379236;1.277627,-0.1772992;0.1949557;1.271128,-0.01225545;0.2251693;1.260791,0.02407368;-0.2273582;1.317089,0
968,1020,8912;3356;-14640,1106;-352;-872,-0.1546163;-0.05780388;1.017577,-0.13647;-0.05867705;1.028727,-0.2384381;0.001707853;1.280257,-0.1772893;0.1950767;1.271276,-0.0122219;0.2253288;1.26127,0.02408895;-0.2273509;1.317092,0
1035,1021,8960;4284;-14436,1568;-516;-1278,-0.1593151;-0.05865989;1.006477,-0.1495278;-0.05686476;1.023682,-0.2385241;0.001891833;1.280455,-0.1770984;0.1951362;1.271211,-0.01218208;0.2254101;1.261461,0.02426758;-0.2273801;1.317023,0
1066,1023,8824;3972;-14256,1528;-466;-1110,-0.1383034;-0.06985578;0.9857399,-0.1493785;-0.06482958;1.032549,-0.2350679;0.002180326;1.288427,-0.1768641;0.1953199;1.271577,-0.01202966;0.2255859;1.262098,0.02445964;-0.2273705;1.317457,0
1100,1023,8964;3880;-14260,1716;-711;-1163,-0.1483906;-0.06913791;0.9745241,-0.1550052;-0.0643936;1.031101,-0.2342203;0.002067405;1.289194,-0.1767266;0.1952828;1.271495,-0.01203318;0.225587;1.262114,0.02448875;-0.2274213;1.317449,0
1134,1021,9024;3824;-14816,1747;-668;-1422,-0.1719665;-0.06122991;0.9827148,-0.1601199;-0.07736374;1.033323,-0.2317215;0.001542921;1.290142,-0.1765819;0.1952654;1.271242,-0.0120385;0.2255921;1.262129,0.0244427;-0.2274777;1.317428,0
1169,1023,8892;3972;-14224,2006;-721;-1238,-0.1797463;-0.05896123;0.9767906,-0.2122207;-0.04350774;1.028014,-0.1681762;-0.04923659;1.302111,-0.176632;0.1952723;1.271357,-0.01202962;0.2255915;1.262193,0.02438496;-0.2275626;1.31744,0
1200,1023,8736;3716;-14616,1898;-731;-1194,-0.1848182;-0.05962333;0.9668786,-0.2129814;-0.04234696;1.028512,-0.1686771;-0.05230102;1.302048,-0.1765628;0.1952214;1.271347,-0.01204042;0.2256153;1.262261,0.02428985;-0.2276773;1.317487,0
1233,1023,8916;3568;-14668,1653;-708;-1187,-0.1916779;-0.05723227;0.9606554,-0.2196406;-0.03594844;1.034246,-0.1689075;-0.05404758;1.300271,-0.1765936;0.1951184;1.271313,-0.01200279;0.2255647;1.261983,0.02404151;-0.2287661;1.315871,0
1267,1023,8768;3740;-14872,1223;-624;-1183,-0.1979926;-0.05560333;0.9597084,-0.2220545;-0.03389085;1.040753,-0.1723933;-0.06043658;1.289851,-0.1766087;0.1951151;1.271375,-0.01203122;0.2255578;1.262023,0.02395287;-0.2288214;1.316134,0
1299,1023,8780;3652;-14500,1663;-661;-1116,-0.2054231;-0.04790301;0.9698861,-0.2198902;-0.03829245;1.043319,-0.1774655;-0.06627447;1.272691,-0.1764104;0.194727;1.27116,-0.01203373;0.225548;1.26201,0.02395668;-0.2288905;1.316182,0
1334,1023,8664;3680;-14704,1029;-605;-1106,-0.2114621;-0.0520701;0.9768866,-0.2053267;-0.05987824;1.072622,-0.1768714;-0.06930012;1.278445,-0.1764456;0.1946761;1.271286,-0.01204503;0.2255649;1.262111,0.02392383;-0.2288459;1.316541,0
1368,1019,8816;3636;-14628,1144;-464;-1005,-0.2225225;-0.0551932;0.9685599,-0.205985;-0.06066784;1.072758,-0.1767564;-0.06918774;1.278509,-0.176469;0.1946133;1.271339,-0.01207561;0.2255874;1.262156,0.02384967;-0.2289085;1.316899,0
