Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
602,0.06463083;-0.006317109;1.220904,0.2141758;-0.03436095;1.224905,0.3068191;-0.1593965;1.11954,0.1572993;0.01623019;1.023141,0.1404509;0.06309461;1.001129,-0.06388897;-0.4421785;0.9328876,0.09653434;-0.4486242;1.287836,0.1555031;-0.436561;1.267363,0
635,0.06057828;-0.004320798;1.220644,0.2150366;-0.02844333;1.225332,0.2988617;-0.1517983;1.109842,0.1456963;0.01200815;0.9988071,0.1159496;0.04937376;0.9729977,-0.06411992;-0.4416415;0.9329837,0.09651361;-0.4486004;1.287809,0.1554481;-0.4363201;1.267037,0
669,0.06034018;-0.004958781;1.220451,0.2152231;-0.02342398;1.225441,0.2948138;-0.1483652;1.10783,0.1432634;-0.02276253;0.9903489,0.09203175;0.03096179;0.9524069,-0.06392449;-0.4418266;0.9329885,0.09642006;-0.4485152;1.287877,0.1553027;-0.436053;1.267068,0
704,0.06252965;-0.00507308;1.220226,0.2160264;-0.01740712;1.224338,0.2839266;-0.1365953;1.079398,0.1062656;-0.02278754;0.9600002,0.06205925;0.01597019;0.9296385,-0.06383039;-0.4419286;0.9330209,0.09641249;-0.4485391;1.2879,0.155295;-0.4360096;1.267083,0
738,0.06918454;-0.005021993;1.219193,0.2154559;-0.01234203;1.222044,0.2158523;-0.09883831;1.033885,0.07437635;-0.02536692;0.9364638,0.02676422;0.001693167;0.9024836,-0.06402089;-0.4416188;0.9331878,0.0969223;-0.4487312;1.287757,0.1559601;-0.4357766;1.266764,0
767,0.06967415;-0.00517063;1.219244,0.2144981;-0.001179963;1.217509,0.2186237;-0.1077051;1.030714,0.04851232;-0.04801985;0.920258,-0.007462219;-0.01849303;0.883875,-0.06419911;-0.4411371;0.9338822,0.09762985;-0.4487591;1.287817,0.1568541;-0.4349658;1.266574,0
802,0.07062309;-0.001747609;1.223062,0.2129876;0.01075034;1.211658,0.2116438;-0.1134696;1.025909,0.03438191;-0.05926424;0.9145756,-0.03631099;-0.04461362;0.8712442,-0.06447349;-0.4411562;0.9346888,0.09900699;-0.4470215;1.287833,0.1581438;-0.4313483;1.266027,0
835,0.0667623;0.0008755351;1.227551,0.2129158;0.01305195;1.211293,0.1562598;-0.1176925;1.00336,0.001756214;-0.08840702;0.9025345,-0.07792535;-0.06734546;0.8525882,-0.06377259;-0.4436731;0.9379127,0.09954777;-0.4391761;1.28861,0.157781;-0.4233187;1.264608,0
868,0.06378325;0.001898651;1.229156,0.2128042;0.01249943;1.211235,0.1189207;-0.1113868;1.008858,-0.02526962;-0.1110174;0.8897659,-0.1008267;-0.09954442;0.8436481,-0.06467723;-0.4435581;0.9385775,0.09950265;-0.4379578;1.288425,0.157537;-0.4216651;1.26361,0
903,0.06323189;0.002210861;1.229376,0.211975;0.009834678;1.210663,0.09787435;-0.1109755;1.017069,-0.05913402;-0.146433;0.8833339,-0.119744;-0.1319538;0.8376835,-0.06478927;-0.4435691;0.9385349,0.09864292;-0.4370688;1.28823,0.15632;-0.4208901;1.263104,0
