Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,HipLeft,SpineBase,KneeRight,TrimmingId
568,-0.1366579;-0.3008521;1.012792,-0.1328317;-0.2539814;1.036612,-0.1601923;-0.06633232;1.149531,-0.1588168;0.200091;1.271062,-0.0006717891;0.2421165;1.278716,-0.05992647;-0.2455597;1.291585,0.0163141;-0.2493166;1.328832,0.2142706;-0.2925465;1.021401,0
600,-0.1356143;-0.3020259;1.012738,-0.1333037;-0.2535693;1.036067,-0.1601851;-0.06624533;1.149683,-0.158848;0.20027;1.271202,-0.000644778;0.2422412;1.278847,-0.05990871;-0.2455425;1.291602,0.01632616;-0.2493047;1.328849,0.2143032;-0.2926007;1.021397,0
633,-0.1373533;-0.3009826;1.011456,-0.128849;-0.2573883;1.044465,-0.1601691;-0.06623018;1.149693,-0.1588501;0.2003186;1.271187,-0.00063422;0.2423467;1.27892,-0.05994578;-0.245507;1.291599,0.01628811;-0.2492814;1.328835,0.2143085;-0.2926005;1.021396,0
667,-0.1322259;-0.300469;1.016032,-0.1315136;-0.254798;1.038797,-0.1601456;-0.06618026;1.149633,-0.158844;0.2003362;1.271187,-0.0005903952;0.2425935;1.278758,-0.05999453;-0.2454406;1.2913,0.01622393;-0.2492469;1.328599,0.2142989;-0.2925791;1.02131,0
701,-0.1339101;-0.3012179;1.016513,-0.1314756;-0.2547758;1.039222,-0.1600883;-0.0660169;1.149805,-0.15888;0.2005287;1.271364,-0.0005436873;0.2427288;1.278869,-0.05998212;-0.2453668;1.29139,0.01624896;-0.2491724;1.32872,0.2143048;-0.2925903;1.021332,0
732,-0.1313305;-0.3022023;1.015952,-0.1315216;-0.2540708;1.039164,-0.160003;-0.06540128;1.149954,-0.15889;0.2005522;1.271272,-0.000519647;0.242789;1.278762,-0.05994321;-0.2453599;1.290882,0.01622198;-0.2491949;1.328172,0.2142211;-0.2924958;1.021071,0
769,-0.1772099;-0.2576815;0.9610962,-0.1598875;-0.2224647;0.9976723,-0.1597639;-0.06319962;1.152199,-0.1589012;0.2005893;1.271284,-0.0004854005;0.2428667;1.278766,-0.05994073;-0.2453343;1.290873,0.0162212;-0.2491711;1.328141,0.2142114;-0.2924929;1.021057,0
800,-0.180879;-0.2384263;0.9583364,-0.1603136;-0.2056702;1.008988,-0.1591958;-0.04962333;1.166897,-0.159041;0.2008464;1.271653,-0.0004778909;0.242928;1.278789,-0.05997414;-0.2452866;1.290903,0.01616419;-0.2491463;1.328137,0.2142145;-0.2925008;1.021061,0
832,-0.1794092;-0.2036322;0.9499732,-0.1699895;-0.1825767;0.9820509,-0.1593623;-0.0433151;1.173489,-0.1590827;0.2008916;1.271715,-0.0004840718;0.2429741;1.27879,-0.06003003;-0.2452758;1.290892,0.01604312;-0.2491601;1.32808,0.2142084;-0.2925017;1.021064,0
867,-0.1706083;-0.1697481;0.9498561,-0.1698977;-0.1721174;0.9661202,-0.1605415;-0.03351303;1.181975,-0.1590929;0.2008714;1.271704,-0.0004635728;0.2430052;1.27874,-0.05989354;-0.245443;1.290818,0.01610973;-0.2493691;1.32785,0.214181;-0.2925077;1.020917,0
901,-0.1721276;-0.1434789;0.9336977,-0.1697994;-0.1272405;0.9877788,-0.1620354;-0.02620986;1.18616,-0.1591619;0.2009625;1.271851,-0.0004509159;0.2430289;1.278736,-0.05983255;-0.2454674;1.290883,0.01612189;-0.2493853;1.327857,0.2141616;-0.2925093;1.020915,0
934,-0.1719894;-0.109843;0.9121739,-0.1575562;-0.1070055;0.9837427,-0.162764;-0.01912155;1.188471,-0.1592802;0.2009459;1.27195,-0.0004477972;0.2430453;1.278723,-0.05971785;-0.2455211;1.290928,0.01619297;-0.2494147;1.327841,0.2141092;-0.292532;1.020724,0
967,-0.1681066;-0.07166492;0.9006541,-0.1641747;-0.06649437;0.9726186,-0.1621552;-0.01424426;1.189333,-0.159375;0.2008695;1.272013,-0.0004388026;0.2430617;1.278694,-0.05971777;-0.2455398;1.291141,0.01625516;-0.2494219;1.328019,0.2140878;-0.2925504;1.02068,0
1000,-0.1666829;-0.03325392;0.8883241,-0.1527377;-0.03711941;0.9713451,-0.1215441;-0.01784661;1.191256,-0.1597473;0.2005195;1.272292,-0.0004137013;0.2430999;1.278756,-0.05916424;-0.245709;1.29361,0.01738171;-0.2493305;1.330355,0.2140834;-0.2925386;1.020675,0
1033,-0.1610933;0.005022781;0.8927173,-0.1572957;-0.01301156;0.9575723,-0.1386907;-0.03078502;1.179042,-0.1597326;0.2009462;1.272464,-0.0003974925;0.2431239;1.278777,-0.05933741;-0.2454105;1.294552,0.01740317;-0.2491176;1.331045,0.2140902;-0.2925535;1.020668,0
1068,-0.15725;0.04779596;0.8995137,-0.1613838;0.01309214;0.9802039,-0.1705051;-0.02652755;1.087614,-0.1594497;0.201967;1.272559,-0.0003884827;0.2431508;1.278808,-0.05918612;-0.2449955;1.296024,0.01773309;-0.2487944;1.332175,0.2141015;-0.2925779;1.02066,0
1099,-0.1533164;0.09336465;0.9042361,-0.1567722;0.05134458;0.9760947,-0.1648449;0.01137408;1.056921,-0.1573685;0.2048405;1.272452,-0.0003942458;0.2431685;1.278835,-0.05884885;-0.2449007;1.296555,0.01816778;-0.2487226;1.332636,0.2141413;-0.2926606;1.020599,0
1133,-0.15022;0.1468297;0.9011286,-0.1542728;0.1031228;0.9531526,-0.1622557;0.0291615;1.054276,-0.1513216;0.2079125;1.273786,-0.0003284015;0.2433553;1.278987,-0.05869905;-0.2444719;1.297614,0.01855933;-0.2483884;1.333491,0.2141485;-0.2926635;1.020611,0
1169,-0.1452456;0.1896853;0.9104584,-0.1503448;0.1390324;0.9550663,-0.1585689;0.05508046;1.052273,-0.1513033;0.2078886;1.273741,-0.000371239;0.243512;1.279016,-0.05845878;-0.2441786;1.298624,0.01926251;-0.2479544;1.33467,0.2139851;-0.2927529;1.020685,0
1200,-0.1395729;0.2244551;0.9227046,-0.1468603;0.1679201;0.9613395,-0.1588977;0.06879905;1.054373,-0.1516703;0.2074108;1.273566,-0.0003971438;0.243589;1.279077,-0.05817618;-0.2441124;1.299242,0.01974347;-0.2477777;1.335237,0.2138432;-0.2928713;1.020788,0
1233,-0.1343836;0.2524224;0.9343437,-0.1447357;0.19487;0.9701506,-0.1568591;0.1131561;1.046042,-0.1525767;0.2066972;1.273162,-0.0005561403;0.243784;1.279115,-0.05805068;-0.243983;1.299726,0.02010852;-0.2474899;1.335837,0.2139326;-0.2929606;1.020738,0
1266,-0.1305136;0.2803903;0.9450015,-0.1422519;0.2213729;0.9733213,-0.1573161;0.1219898;1.046592,-0.1533149;0.2060667;1.273009,-0.0007218291;0.2440802;1.279387,-0.05790729;-0.2438094;1.300341,0.02061422;-0.247065;1.336897,0.2140105;-0.2929214;1.020785,0
1300,-0.126295;0.2933393;0.9525846,-0.1402764;0.2318277;0.9769542,-0.1564942;0.1376644;1.044828,-0.1541436;0.20534;1.272537,-0.0009339129;0.2442595;1.279391,-0.05832456;-0.2437523;1.300806,0.02050756;-0.2469413;1.337462,0.2140473;-0.2928546;1.020603,0
1336,-0.1234993;0.3142658;0.9628288,-0.1371728;0.250526;0.9836048,-0.1555043;0.151186;1.044071,-0.1549251;0.2048708;1.272047,-0.001475503;0.2447383;1.279174,-0.05886408;-0.2436624;1.301506,0.02027358;-0.2467742;1.338499,0.214097;-0.2928254;1.020555,0
1369,-0.1199885;0.3234528;0.9710893,-0.1354235;0.2597423;0.9885446,-0.1549273;0.1609157;1.044166,-0.1553088;0.204369;1.271945,-0.001634292;0.2448343;1.279207,-0.05936626;-0.2435726;1.302131,0.02010673;-0.2466455;1.339202,0.2141541;-0.2926291;1.020478,0
1400,-0.1176482;0.3346159;0.9781331,-0.1329529;0.2731193;0.9924474,-0.1546436;0.1657753;1.045746,-0.1555443;0.2041914;1.271866,-0.001819144;0.2451801;1.279261,-0.0596545;-0.2436478;1.302865,0.02011641;-0.2466354;1.339992,0.2142021;-0.2923989;1.020402,0
1433,-0.114991;0.3403277;0.9839723,-0.131597;0.2792246;0.9958871,-0.1545406;0.1692873;1.046363,-0.1558893;0.2038485;1.271763,-0.002048509;0.2453619;1.279313,-0.06016632;-0.243576;1.303911,0.02003369;-0.2464874;1.3408,0.2140591;-0.2924693;1.020485,0
1467,-0.1150788;0.3467835;0.9890074,-0.1316916;0.2825776;0.9984456,-0.1560002;0.1710497;1.046118,-0.1560409;0.2036365;1.271815,-0.002171145;0.2455785;1.279614,-0.06037552;-0.2434561;1.3045,0.01996126;-0.2463814;1.341123,0.2141047;-0.2924728;1.02048,0
1500,-0.1185231;0.3503218;0.9924169,-0.1330486;0.2844862;1.001209,-0.1585478;0.1713042;1.046031,-0.1561647;0.2034083;1.271782,-0.002189348;0.2456532;1.279753,-0.06045371;-0.2434859;1.304844,0.01993789;-0.2463816;1.34118,0.2141366;-0.2924869;1.02042,0
1532,-0.1233613;0.346911;0.9970337,-0.1389443;0.2802023;1.002758,-0.1704109;0.1616916;1.040646,-0.1459023;0.1989273;1.264258,-0.002145201;0.2457975;1.279969,-0.06045312;-0.2436754;1.304991,0.01998984;-0.246483;1.341184,0.2141968;-0.2925078;1.02028,0
1570,-0.1246962;0.3488002;1.008126,-0.1420109;0.2815513;1.007326,-0.1784189;0.1589658;1.040552,-0.1387682;0.1986334;1.261528,-0.002174099;0.2460714;1.280331,-0.06047083;-0.2437213;1.305394,0.01998768;-0.2465142;1.341243,0.2142374;-0.2925176;1.020267,0
1602,-0.1228645;0.3616523;1.016691,-0.1438828;0.2935368;1.013743,-0.1824688;0.1713112;1.039205,-0.1368865;0.1989022;1.260857,-0.002175772;0.2464148;1.280956,-0.06058703;-0.2436575;1.30607,0.01996738;-0.2464844;1.341348,0.2142847;-0.2925361;1.020253,0
1633,-0.123042;0.3688242;1.020205,-0.1445893;0.3005435;1.017326,-0.1854283;0.1850916;1.038245,-0.1358166;0.1991714;1.260279,-0.002155095;0.2464826;1.281061,-0.06060893;-0.2436548;1.30621,0.01995893;-0.2464881;1.341323,0.2143327;-0.2925271;1.020132,0
1667,-0.1252087;0.3721579;1.02448,-0.1451626;0.3043081;1.02049,-0.1879467;0.1885111;1.039114,-0.1352966;0.1995669;1.260603,-0.002229834;0.2468718;1.281701,-0.06093083;-0.2433363;1.307576,0.01982158;-0.2462925;1.341775,0.2143948;-0.292558;1.020158,0
1699,-0.1270779;0.3734888;1.023736,-0.1462878;0.3073402;1.022315,-0.1899873;0.1905096;1.039905,-0.1349949;0.1998582;1.26089,-0.002156571;0.2468627;1.281956,-0.06108222;-0.2433041;1.307881,0.01974474;-0.2462579;1.341882,0.2144381;-0.2925921;1.020163,0
1732,-0.1297636;0.3764497;1.026504,-0.1482686;0.3095341;1.024626,-0.1927245;0.1917611;1.041255,-0.134777;0.2002316;1.261503,-0.001933212;0.2469108;1.282627,-0.06125429;-0.2432293;1.308512,0.01954059;-0.2462095;1.342247,0.2144789;-0.2926027;1.020261,0
1768,-0.131661;0.3753209;1.024182,-0.1492112;0.3100397;1.025297,-0.1943437;0.1914632;1.042007,-0.1346686;0.2006973;1.261755,-0.001771498;0.247023;1.282881,-0.06127996;-0.2432053;1.308518,0.01950921;-0.246193;1.342241,0.2144862;-0.2925975;1.020242,0
