Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-9724;-4852;10704,-3484;140;-1579,-0.03834094;0.4401063;1.250571,-0.1417234;-0.2093455;1.129309,-0.1500234;-0.1603127;1.150441,-0.1960285;0.004158051;1.262894,-0.1841804;0.1987116;1.306374,-0.02987478;0.2459938;1.326494,-0.02267832;-0.1654982;1.356887,0
32,-9900;-6560;9148,-5779;-1665;-1719,-0.03829443;0.4401077;1.250518,-0.1421133;-0.2069725;1.125612,-0.1497877;-0.1603797;1.15035,-0.1967665;0.004168572;1.262618,-0.1843734;0.1986119;1.30633,-0.02988056;0.2460016;1.326491,-0.02272437;-0.1655061;1.356883,0
67,-9296;-8544;11592,-2752;-2453;-2290,-0.03807205;0.4410669;1.251383,-0.1417229;-0.2089129;1.121915,-0.1500796;-0.1621278;1.148552,-0.1980224;0.004373129;1.263097,-0.1839815;0.1987866;1.306181,-0.02995925;0.2460435;1.326491,-0.02278359;-0.1655114;1.356919,0
99,-9092;-7988;9992,-4223;-1674;-1995,-0.03794756;0.4413982;1.251675,-0.1404681;-0.2071345;1.123698,-0.152218;-0.1589182;1.149267,-0.1992891;0.00490802;1.263508,-0.1841379;0.198678;1.306182,-0.02996677;0.246078;1.326519,-0.02275252;-0.1655246;1.356982,0
132,-9156;-8500;9708,-870;-1191;-1104,-0.03784851;0.4417269;1.252053,-0.140691;-0.2108048;1.120422,-0.1532893;-0.159421;1.148608,-0.2009307;0.005307195;1.263522,-0.1842974;0.1986209;1.306273,-0.02759407;0.2464474;1.327134,-0.02323802;-0.1656562;1.357212,0
167,-9136;-7636;10404,900;-1467;-983,-0.03778215;0.4417428;1.25196,-0.1397883;-0.2103275;1.115841,-0.1542205;-0.1618035;1.145003,-0.2019875;0.005502198;1.26231,-0.1844682;0.1984425;1.306121,-0.02782374;0.24645;1.326812,-0.02319076;-0.1657161;1.357034,0
201,-9104;-7552;10424,817;-1802;-541,-0.03758251;0.4423767;1.252832,-0.1403762;-0.2138557;1.114751,-0.1551659;-0.1634706;1.14329,-0.2029308;0.0058928;1.262072,-0.1845394;0.1983998;1.306124,-0.02804155;0.2465407;1.326876,-0.02483997;-0.1658866;1.357785,0
232,-8784;-7772;10548,540;-1356;-416,-0.03736668;0.4429571;1.253509,-0.1413066;-0.2140882;1.111256,-0.1568219;-0.1657711;1.140177,-0.2037128;0.005938696;1.261282,-0.1845796;0.1983693;1.306111,-0.02816643;0.246584;1.326804,-0.02480967;-0.1659074;1.35777,0
266,-9188;-6708;10496,-78;-2384;756,-0.03723726;0.4430381;1.253628,-0.1418362;-0.2137565;1.109151,-0.1579176;-0.166152;1.139185,-0.2041565;0.006140325;1.261012,-0.1846406;0.1983181;1.306074,-0.02831529;0.2466277;1.32678,-0.02470009;-0.1659269;1.357727,0
299,-8724;-7596;10536,-1377;-1612;555,-0.03713714;0.4431266;1.253699,-0.1424634;-0.2135766;1.107521,-0.1590037;-0.1671782;1.137857,-0.2046016;0.00564887;1.260279,-0.1846782;0.198298;1.306064,-0.02853474;0.2466812;1.326756,-0.02525996;-0.1661088;1.357682,0
