Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
631,-12416;-5096;5164,-4838;4126;3339,-0.02862096;0.4404288;1.250015,-0.1567018;-0.2422815;1.047169,-0.1610297;-0.2033447;1.093842,-0.2039285;0.002401542;1.251207,-0.1733386;0.2045811;1.297964,-0.03105715;0.2432863;1.321039,-0.02499484;-0.1669937;1.355535,0
666,-10144;-8144;5016,-274;-359;331,-0.02845292;0.4405358;1.250101,-0.1575254;-0.2416636;1.047537,-0.1617512;-0.2020418;1.092249,-0.2044403;0.002349621;1.251477,-0.1733735;0.2045826;1.297987,-0.03101034;0.2433234;1.321072,-0.02484538;-0.1669394;1.355588,0
698,-10288;-7900;17260,6242;-4405;-1343,-0.02812586;0.4410042;1.250692,-0.158347;-0.2422213;1.0466,-0.1620274;-0.2015738;1.09278,-0.2053764;0.002110952;1.252751,-0.1736294;0.2048067;1.298698,-0.03081561;0.243558;1.321593,-0.02483949;-0.1667852;1.356051,0
733,-9156;-2608;10128,4090;900;-980,-0.0278316;0.4412698;1.25079,-0.1587863;-0.2382358;1.047243,-0.1624909;-0.2009789;1.092366,-0.2062495;0.001990354;1.253157,-0.1701533;0.2085738;1.301164,-0.03078492;0.2435826;1.321573,-0.02480183;-0.1667292;1.35601,0
764,-10880;-3372;10240,831;2863;-596,-0.02766004;0.4414203;1.25086,-0.1553533;-0.246745;1.0366,-0.1627694;-0.1999467;1.091244,-0.2068367;0.002039338;1.253218,-0.1685805;0.2101792;1.302021,-0.03074839;0.2436057;1.321518,-0.02478772;-0.1666755;1.355986,0
798,-11796;-6152;9944,5081;1663;946,-0.02752254;0.4414694;1.250885,-0.1559864;-0.2458048;1.036312,-0.1630417;-0.1994001;1.090941,-0.2074584;0.002048636;1.253504,-0.169436;0.209781;1.301554,-0.03071363;0.2436421;1.321528,-0.02475517;-0.1666562;1.355982,0
833,-11308;-5352;11056,8511;807;2079,-0.02734111;0.4415063;1.250913,-0.1563668;-0.2408561;1.037771,-0.163915;-0.1972833;1.088873,-0.2082372;0.002207222;1.253923,-0.1701072;0.2095023;1.301059,-0.03070631;0.2436624;1.32154,-0.02482062;-0.1666112;1.356037,0
896,-9716;-2140;10960,7950;488;1939,-0.02707096;0.4418427;1.25158,-0.1575812;-0.2394821;1.03651,-0.1647547;-0.1956517;1.088436,-0.2093372;0.002624109;1.25491,-0.1705896;0.2094306;1.301121,-0.03062997;0.2438967;1.322158,-0.02493489;-0.1664388;1.356778,0
917,-9192;668;10352,5722;-1799;1067,-0.02694369;0.4419656;1.251654,-0.1568497;-0.2280215;1.037719,-0.1658753;-0.1917885;1.083747,-0.2097881;0.002904094;1.254679,-0.1711403;0.2090684;1.300558,-0.03064924;0.2439103;1.322127,-0.02493321;-0.1664146;1.356766,0
935,-10032;400;10384,-2162;-1785;-1400,-0.02681519;0.4423492;1.252095,-0.1576516;-0.2246335;1.034788,-0.166817;-0.1891355;1.081337,-0.2104596;0.003646332;1.254543,-0.171479;0.2088444;1.300393,-0.03066118;0.2440367;1.322315,-0.02505004;-0.1662699;1.357003,0
964,-11648;-2644;11392,-1602;-1419;-1786,-0.02668584;0.4425634;1.252216,-0.1578273;-0.2190562;1.030241,-0.1673173;-0.1868042;1.078823,-0.2109343;0.004193205;1.25405,-0.1693827;0.2111337;1.301868,-0.03066842;0.2440955;1.322341,-0.02533086;-0.166048;1.357138,0
