Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.1141212;-0.2275968;1.096494,0.09201154;-0.1876892;1.103578,-0.02777294;-0.0340477;1.161444,-0.1089123;0.2274791;1.210872,0.01776635;0.2451305;1.20947,0.01640274;-0.1337487;1.384259,0
32,0.1163805;-0.2356215;1.094429,0.08992265;-0.1901655;1.102518,-0.02824014;-0.03417396;1.161311,-0.109105;0.2274317;1.210783,0.01702153;0.2446497;1.208878,0.01626525;-0.1338298;1.38426,0
62,0.1156642;-0.2353686;1.095568,0.08933496;-0.1893112;1.103312,-0.02852564;-0.03425051;1.161364,-0.1093257;0.2273862;1.210763,0.01662293;0.2444169;1.208848,0.01617464;-0.1346775;1.387172,0
97,0.1141984;-0.2348649;1.092687,0.08918531;-0.1892683;1.103005,-0.02924764;-0.03454832;1.160774,-0.1096093;0.227182;1.210456,0.01597049;0.2436063;1.207621,0.01630773;-0.1348227;1.386959,0
127,0.114577;-0.2349392;1.093847,0.0890419;-0.1892802;1.102984,-0.02971629;-0.03475049;1.160574,-0.1098154;0.227052;1.210313,0.01555811;0.2431755;1.207141,0.01642282;-0.1349363;1.386799,0
162,0.1139809;-0.2327955;1.095617,0.08920886;-0.1891347;1.103335,-0.03013219;-0.03490941;1.160477,-0.1100207;0.2269507;1.210259,0.01526425;0.2429041;1.206889,0.01664026;-0.135032;1.386598,0
196,0.1139263;-0.2325294;1.093141,0.08898621;-0.189159;1.102901,-0.03032007;-0.03497685;1.160267,-0.1102197;0.2268672;1.210138,0.01497299;0.2425788;1.206459,0.01669441;-0.1350668;1.386557,0
234,0.1158062;-0.2320597;1.094419,0.08898603;-0.1890779;1.102768,-0.03035657;-0.03495612;1.160238,-0.1103308;0.2268585;1.210154,0.01484682;0.2424693;1.206516,0.01673565;-0.1350624;1.386575,0
264,0.1137072;-0.22721;1.088847,0.08859016;-0.188279;1.099737,-0.02994605;-0.03370235;1.157772,-0.1104482;0.2267997;1.210028,0.01467808;0.242254;1.206188,0.01676559;-0.1350422;1.386535,0
297,0.1149259;-0.225299;1.084831,0.08831169;-0.1874283;1.096868,-0.02928239;-0.03203161;1.154637,-0.1105262;0.2267335;1.20988,0.01460494;0.2421792;1.206063,0.01681777;-0.1349656;1.386551,0
326,0.115566;-0.2244875;1.082125,0.08833265;-0.1869956;1.095218,-0.02868709;-0.03102129;1.152561,-0.1105511;0.2266702;1.209795,0.01455623;0.2421342;1.205881,0.01688688;-0.134849;1.386572,0
363,0.115365;-0.2194003;1.076738,0.08893528;-0.1858044;1.090856,-0.02731553;-0.02898975;1.147417,-0.1106398;0.2265375;1.209332,0.01455222;0.2419047;1.204864,0.01697098;-0.1346187;1.385657,0
394,0.1179836;-0.2146413;1.077309,0.08979989;-0.1852151;1.090213,-0.02626185;-0.02801096;1.145974,-0.1106411;0.2265184;1.209295,0.01611747;0.2406233;1.202818,0.01698904;-0.1346047;1.385516,0
427,0.1203807;-0.2078448;1.076345,0.0915453;-0.184316;1.088831,-0.02406421;-0.02650466;1.143691,-0.1106198;0.2264985;1.209256,0.01610588;0.2407571;1.202861,0.01713376;-0.1343475;1.385419,0
462,0.1252616;-0.1989233;1.068964,0.09500561;-0.179378;1.084136,-0.02218301;-0.02339207;1.14124,-0.1105826;0.2264841;1.209189,0.01617927;0.2409277;1.202847,0.01765821;-0.1341568;1.383659,0
494,0.1662782;-0.2287908;1.051537,0.1583569;-0.1952159;1.060346,-0.02013983;-0.02111385;1.139424,-0.1104956;0.226469;1.209076,0.01777526;0.2402626;1.201549,0.0188942;-0.1337946;1.382736,0
527,0.1574779;-0.207824;1.048876,0.1121814;-0.1595985;1.066829,-0.01739688;-0.01879762;1.137112,-0.1102899;0.2264433;1.208841,0.01807809;0.2408074;1.201881,0.02001829;-0.1334357;1.381673,0
561,0.1783337;-0.2229666;1.04312,0.1679159;-0.1968327;1.057386,-0.01541999;-0.0165594;1.136194,-0.1101438;0.2264722;1.208696,0.01929094;0.2404138;1.200952,0.02040125;-0.1329896;1.38136,0
