Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
862,0.03802264;-0.01095723;1.221639,0.1824084;-0.04986867;1.22009,0.1073807;-0.2428435;1.075866,0.00627512;-0.3679211;0.9765248,-0.02201234;-0.4285518;0.9284118,0.07547351;-0.4479513;1.273834,0
888,0.03781056;-0.01071349;1.221845,0.1823059;-0.04982108;1.22006,0.1052699;-0.2424897;1.076394,0.008138;-0.3637042;0.9777305,-0.02023042;-0.4321553;0.9289222,0.07539424;-0.4477522;1.274231,0
919,0.03803653;-0.0115816;1.222723,0.1821978;-0.04975384;1.220055,0.1037373;-0.2419321;1.076495,-0.0068583;-0.3803662;0.9649812,-0.01946342;-0.4352849;0.9287866,0.0752958;-0.4475543;1.27458,0
956,0.0381556;-0.01217903;1.223527,0.1821088;-0.0497192;1.220051,0.102753;-0.2419266;1.077048,0.0288131;-0.4135673;0.9910712,-0.01416095;-0.4498743;0.9320832,0.07524122;-0.4473268;1.27504,0
996,0.03780828;-0.01170472;1.223369,0.1818968;-0.04965724;1.219858,0.1018902;-0.2417984;1.077137,0.02875494;-0.4134255;0.9908601,-0.01419089;-0.4478938;0.9287569,0.07510235;-0.4471942;1.275103,0
1040,0.03791124;-0.01212763;1.223739,0.1817922;-0.04960244;1.219787,0.1014836;-0.241659;1.077122,0.02865853;-0.4133392;0.9905625,-0.01441358;-0.4467581;0.9284238,0.075018;-0.4470618;1.275219,0
1070,0.03758845;-0.01164105;1.223754,0.1816837;-0.04957922;1.219722,0.1010528;-0.2414525;1.076984,0.02863859;-0.4133327;0.9905385,-0.01487972;-0.4461777;0.9289224,0.07492791;-0.4469774;1.275306,0
1104,0.03709833;-0.01085578;1.224481,0.1768922;-0.04313344;1.219022,0.1012572;-0.2391306;1.079356,0.02857493;-0.4134734;0.9905962,-0.01552627;-0.4502109;0.9336509,0.07472637;-0.4460913;1.276042,0
1149,0.03694364;-0.01051833;1.224688,0.1772611;-0.04393294;1.21921,0.1005983;-0.2393929;1.079338,0.02857417;-0.4136278;0.9907579,-0.01548008;-0.4489554;0.9314389,0.07468852;-0.4460284;1.276281,0
1177,0.03672757;-0.01024864;1.224844,0.1775286;-0.04441582;1.21934,0.1005063;-0.2396645;1.079366,0.009857817;-0.3678177;0.9837465,-0.02048006;-0.4362493;0.929327,0.07459655;-0.4459842;1.276337,0
1209,0.03659423;-0.0099621;1.225075,0.1753789;-0.04038785;1.218925,0.1009444;-0.2375407;1.080293,0.01023777;-0.364492;0.9829615,-0.02207875;-0.4345281;0.9291245,0.07443599;-0.445347;1.276595,0
1255,0.03647541;-0.009790188;1.225174,0.1740788;-0.03790352;1.218698,0.101545;-0.2363361;1.080934,0.008952314;-0.3603103;0.9813163,-0.02621447;-0.4276488;0.9266772,0.07432461;-0.4447931;1.276738,0
1290,0.0362802;-0.009448444;1.22549,0.173412;-0.03666982;1.218897,0.1021048;-0.2351348;1.080502,-0.02771971;-0.3642506;0.9478402,-0.03325837;-0.4163632;0.9272056,0.07399482;-0.4441643;1.276966,0
1313,0.03597047;-0.008818061;1.226722,0.1731204;-0.03542918;1.219957,0.1025605;-0.2335002;1.080558,-0.029005;-0.3637396;0.9454104,-0.03664607;-0.4119413;0.9288635,0.07353969;-0.4432659;1.277474,0
1340,0.03580914;-0.008525199;1.227049,0.1729726;-0.03447293;1.22022,0.1031322;-0.2309544;1.078068,-0.02770188;-0.3560492;0.9396299,-0.04177427;-0.3961206;0.9208375,0.07303245;-0.442432;1.277728,0
1371,0.03561861;-0.007979768;1.228071,0.1731055;-0.03291468;1.221068,0.1036656;-0.229554;1.078933,-0.02797386;-0.3519704;0.9344788,-0.04500001;-0.3834944;0.9178942,0.07241967;-0.441348;1.278237,0
1406,0.03537653;-0.007633917;1.228776,0.1730864;-0.03216077;1.221044,0.1042657;-0.2275628;1.076791,-0.03774371;-0.34488;0.9152101,-0.05307805;-0.3636595;0.9050083,0.07176711;-0.4404705;1.278457,0
1444,0.03534447;-0.007484322;1.228859,0.1731902;-0.03111803;1.220227,0.1040835;-0.2262869;1.075765,0.003919413;-0.3228469;0.9536023,-0.04989965;-0.35953;0.8985121,0.07149703;-0.439511;1.278659,0
1476,0.03530048;-0.006697705;1.230494,0.1734194;-0.03015552;1.22018,0.1037936;-0.2253693;1.076032,0.00387765;-0.3203327;0.9523303,-0.05429469;-0.3492745;0.8893613,0.07115591;-0.4384102;1.279433,0
1513,0.03528585;-0.006523837;1.230744,0.1734494;-0.02939436;1.219224,0.1033746;-0.2246308;1.07532,0.003786564;-0.3163539;0.9487727,-0.04891131;-0.3423292;0.8782295,0.0709769;-0.4378587;1.279568,0
1550,0.03567701;-0.005907611;1.233061,0.1736207;-0.02870162;1.219547,0.102798;-0.2229623;1.074624,0.003620745;-0.3172696;0.9497584,-0.04473862;-0.3477282;0.8781816,0.07085901;-0.4369199;1.280749,0
1579,0.03572526;-0.005628267;1.23351,0.173586;-0.0279932;1.219089,0.1013467;-0.220425;1.072313,0.002605847;-0.3176403;0.9494569,-0.03931728;-0.349898;0.8747381,0.07077035;-0.4364623;1.280994,0
1611,0.03574591;-0.005298253;1.23406,0.1737748;-0.0272762;1.218825,0.1006731;-0.2200052;1.0729,0.000599818;-0.3180383;0.9478575,-0.03648982;-0.3554421;0.8814474,0.07073604;-0.4360513;1.281281,0
1648,0.03574954;-0.005039255;1.234503,0.1739072;-0.02667687;1.218727,0.09996881;-0.2188819;1.072503,-0.0008202647;-0.3200696;0.9471259,-0.03429728;-0.3611406;0.8860554,0.07074749;-0.4357561;1.281564,0
1684,0.03578681;-0.004772368;1.23501,0.1740496;-0.02597102;1.218633,0.0991693;-0.2179276;1.072555,-0.001735951;-0.3231674;0.9477232,-0.03124345;-0.3670925;0.8927862,0.07070131;-0.4355046;1.281756,0
1719,0.03574275;-0.004465785;1.235629,0.1742506;-0.02514726;1.218794,0.09789489;-0.2167879;1.073067,-0.001516718;-0.3265511;0.9513487,-0.02990344;-0.3747447;0.8989853,0.0707379;-0.4350739;1.282151,0
1753,0.03570781;-0.004128082;1.236528,0.1744537;-0.02444122;1.219181,0.09428515;-0.2177688;1.078019,-0.001337395;-0.3305318;0.9564744,-0.02763123;-0.380699;0.90696,0.07082859;-0.4347421;1.282613,0
1787,0.03567223;-0.00406439;1.236691,0.174516;-0.02399446;1.219063,0.09131777;-0.2179417;1.080661,-0.0009978332;-0.3330329;0.9609681,-0.01730127;-0.4033045;0.918083,0.07082486;-0.4346016;1.282697,0
1820,0.03566388;-0.003900021;1.236878,0.1744969;-0.0239013;1.219011,0.0869363;-0.2182328;1.084051,-0.0001302485;-0.3363712;0.969047,-0.01623522;-0.4095134;0.9234392,0.07082503;-0.4344887;1.28282,0
1854,0.03563482;-0.003832936;1.236865,0.1744965;-0.02376226;1.218666,0.08529168;-0.2180352;1.084749,0.0002425947;-0.3382362;0.973529,-0.01751146;-0.4076216;0.9229888,0.07080629;-0.4344162;1.282815,0
1888,0.03560291;-0.003669386;1.237142,0.1745056;-0.02372988;1.218672,0.0843148;-0.2183221;1.085952,0.0001980601;-0.3408065;0.9766958,-0.01749002;-0.409688;0.9281716,0.07078785;-0.4343051;1.283009,0
1923,0.03561629;-0.003513192;1.237369,0.1745079;-0.02370775;1.218655,0.08319429;-0.2183845;1.08688,-0.0001742333;-0.3426354;0.9791911,-0.01753663;-0.4113168;0.9297425,0.07075807;-0.4342085;1.28311,0
1960,0.03563992;-0.003411135;1.237424,0.1744394;-0.02367307;1.218496,0.08243514;-0.2184665;1.087414,-0.0004268736;-0.3438192;0.9807021,-0.01767829;-0.411676;0.9300157,0.07071473;-0.434129;1.283205,0
1993,0.03564671;-0.003259805;1.237629,0.1744251;-0.02366428;1.218485,0.0818467;-0.218469;1.087849,-0.0006890551;-0.3444474;0.9816716,-0.01772042;-0.412056;0.9306925,0.07066333;-0.434044;1.283343,0
2031,0.03563743;-0.003170684;1.237878,0.1744261;-0.02364307;1.218494,0.08128712;-0.2184272;1.088247,-0.0007816401;-0.3447452;0.9821247,-0.0178105;-0.4121174;0.9305716,0.0705878;-0.4339802;1.283412,0
2065,0.03563058;-0.003035406;1.238027,0.1743738;-0.02364823;1.218476,0.08045496;-0.2180644;1.088231,-0.0008740709;-0.3448853;0.9821528,-0.01785625;-0.4114503;0.9290294,0.07053345;-0.4339029;1.283501,0
2103,0.03562788;-0.002921139;1.238004,0.1742733;-0.02368822;1.218325,0.08024126;-0.2180997;1.088158,-0.000957796;-0.3450123;0.9820936,-0.01748735;-0.409394;0.9266622,0.07049077;-0.4338459;1.283517,0
2137,0.03563518;-0.002897272;1.237993,0.1742107;-0.02371779;1.2182,0.08001019;-0.2176448;1.087388,-0.001296943;-0.3441955;0.9809376,-0.01698058;-0.4054057;0.9229292,0.07048093;-0.4338361;1.283525,0
2180,0.03564716;-0.00277;1.238067,0.1741962;-0.0236573;1.218353,0.08075683;-0.217772;1.087263,-0.001579974;-0.3414111;0.9779876,-0.01887637;-0.4031718;0.9212892,0.07042686;-0.4337586;1.283594,0
2209,0.03567734;-0.002695472;1.238123,0.1743013;-0.02341684;1.218467,0.08248346;-0.2178505;1.086673,-0.00435257;-0.3356204;0.967609,-0.01979124;-0.3973652;0.9204352,0.07038522;-0.4336352;1.283649,0
2245,0.03568057;-0.002569507;1.238251,0.174567;-0.0229272;1.218855,0.08686776;-0.2180743;1.085242,-0.03591957;-0.3396575;0.9059221,-0.03960965;-0.3554002;0.889578,0.07027973;-0.4333903;1.283791,0
2290,0.03583922;-0.002261986;1.238982,0.1749134;-0.0225488;1.219905,0.0893767;-0.2172216;1.084101,-0.03615736;-0.3247707;0.8976271,-0.04748166;-0.3358515;0.8804059,0.07002289;-0.4328267;1.28432,0
2324,0.03591285;-0.002083851;1.239065,0.1750945;-0.02237431;1.220269,0.09096159;-0.214286;1.079456,-0.04278164;-0.306448;0.8903256,-0.06338567;-0.3128149;0.8630463,0.06978045;-0.4323882;1.284444,0
2353,0.03597341;-0.002014574;1.238997,0.1751928;-0.02241558;1.220251,0.09324028;-0.2111001;1.0736,-0.05004968;-0.2895204;0.8851891,-0.07021023;-0.2776921;0.8695843,0.06954303;-0.4321192;1.284471,0
2393,0.03610615;-0.001934577;1.23902,0.1754961;-0.02254335;1.220476,0.1128813;-0.2043917;1.056009,-0.05504911;-0.2561579;0.9064094,-0.0826928;-0.247914;0.8762625,0.06913808;-0.4318732;1.28456,0
2431,0.03641487;-0.001985566;1.239058,0.1760474;-0.02241036;1.220858,0.106554;-0.1975712;1.05779,-0.04034865;-0.1881796;0.9444814,-0.09910993;-0.1848643;0.9003219,0.0690613;-0.4306835;1.286258,0
2476,0.03660343;-0.002236019;1.239163,0.1803095;-0.03266148;1.221793,0.1122151;-0.189909;1.065246,-0.03573494;-0.1759641;0.9524611,-0.1048225;-0.1522788;0.9173538,0.06865897;-0.4306079;1.287277,0
2501,0.03671574;-0.002354721;1.239249,0.1816034;-0.03551907;1.22218,0.1126073;-0.1860301;1.066361,-0.04689237;-0.1432803;0.9667178,-0.1104185;-0.1200674;0.9365726,0.06863077;-0.430416;1.288466,0
2533,0.03656043;-0.002387708;1.239476,0.1820859;-0.03068659;1.223592,0.1136478;-0.1790174;1.068187,-0.04548392;-0.1176593;0.9836693,-0.1118398;-0.09266696;0.9602278,0.06862936;-0.4295441;1.289549,0
2564,0.03636776;-0.002328382;1.239534,0.1828545;-0.02697836;1.2239,0.1171073;-0.172097;1.066318,-0.04922738;-0.1016224;0.9993402,-0.1165462;-0.067032;0.9837518,0.06867711;-0.4293069;1.289879,0
2602,0.03630808;-0.002261301;1.239579,0.1842139;-0.03073448;1.224019,0.1183116;-0.1651275;1.068954,-0.0855792;-0.06979335;1.019244,-0.1186326;-0.04583711;1.010251,0.06872451;-0.4302296;1.290563,0
2643,0.03636036;-0.002007061;1.239918,0.1850363;-0.03250083;1.224564,0.1242157;-0.1616463;1.070391,-0.05994221;-0.05968656;1.04234,-0.1142152;-0.02914081;1.041927,0.06876723;-0.4314845;1.291452,0
2677,0.03641937;-0.001878251;1.2399,0.1853468;-0.03326625;1.224535,0.1253113;-0.1539452;1.074383,-0.05703488;-0.05301323;1.057112,-0.1076118;-0.01906428;1.064096,0.06880917;-0.4329723;1.291752,0
2716,0.03664179;-0.001657283;1.239875,0.1854346;-0.03192936;1.224535,0.1256207;-0.1467931;1.076952,-0.07153814;-0.03047617;1.078197,-0.1166453;-0.003258442;1.091242,0.06907691;-0.4337316;1.291958,0
2747,0.03687321;-0.001450828;1.239754,0.1855033;-0.0307657;1.224535,0.1260347;-0.1420102;1.078879,-0.08882435;-0.02487957;1.091352,-0.1119919;0.002519035;1.113289,0.06922232;-0.4345866;1.291767,0
2783,0.03708409;-0.00123603;1.239556,0.185439;-0.02988613;1.224407,0.1264036;-0.1384478;1.07987,-0.08961308;-0.02367871;1.093167,-0.1059533;0.005787069;1.131434,0.06932665;-0.4355422;1.291444,0
2815,0.03727926;-0.001041442;1.239462,0.1851067;-0.02914632;1.224109,0.1267043;-0.1370128;1.078758,-0.01853746;-0.02945827;1.122858,-0.05751684;0.01019293;1.157858,0.06947141;-0.4362069;1.291264,0
2851,0.03750066;-0.0008211856;1.239191,0.1845628;-0.02821251;1.223579,0.1263291;-0.1339939;1.076555,-0.01847099;-0.02961794;1.123199,-0.05716557;0.01336546;1.161761,0.06956042;-0.4367391;1.290995,0
2898,0.03768434;-0.0004966435;1.23924,0.1843447;-0.02668008;1.223748,0.1249764;-0.1296117;1.075075,-0.01871948;-0.02889357;1.124024,-0.05535564;0.01482467;1.166159,0.06976874;-0.4368932;1.291376,0
2927,0.03819551;-0.002424027;1.238678,0.1841243;-0.02491909;1.224175,0.1243741;-0.1241285;1.073029,-0.01894323;-0.02682796;1.124184,-0.05483246;0.01828202;1.166848,0.06989083;-0.4370422;1.291754,0
2974,0.03821853;-0.001643413;1.238603,0.1839397;-0.02325412;1.22451,0.1244096;-0.1195743;1.071334,-0.0190179;-0.02417824;1.123654,-0.05398013;0.02144398;1.164582,0.06997418;-0.4371059;1.291987,0
3000,0.03820136;-0.001156031;1.238499,0.1838812;-0.02161155;1.224781,0.1259316;-0.1127974;1.067758,-0.01758405;-0.01834523;1.12201,-0.05336494;0.0252364;1.15995,0.06998248;-0.4373062;1.291903,0
3027,0.03824403;-0.0009529327;1.238614,0.1839124;-0.01986716;1.225385,0.1278182;-0.1073509;1.065509,-0.0156867;-0.01301265;1.120984,-0.05249098;0.02564914;1.159122,0.06998024;-0.4376757;1.291857,0
3101,0.03903266;-0.003464173;1.23826,0.1827854;-0.005162753;1.229134,0.1477856;-0.09536929;1.064749,0.00207855;-0.01315277;1.126005,-0.03896934;0.01668893;1.137447,0.07014909;-0.4378858;1.292002,0
