Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
8266,0.1820173;-0.2207689;1.065783,0.1432448;-0.1648081;1.09086,0.0258475;-0.03225328;1.199528,-0.02139598;0.2098463;1.269899,0.1110652;0.2234867;1.245222,0.1199927;-0.1400243;1.409266,2
8299,0.1839349;-0.2136556;1.058161,0.1413875;-0.1623287;1.087592,0.02497737;-0.02950352;1.197105,-0.02140268;0.2098887;1.269808,0.1110514;0.2235328;1.245228,0.1206613;-0.1397834;1.409026,2
8334,0.1869382;-0.2065776;1.050814,0.1401559;-0.1609946;1.084712,0.02443125;-0.02810342;1.194964,-0.02141013;0.20991;1.26973,0.1110078;0.223639;1.245258,0.1208826;-0.1385672;1.409917,2
8366,0.193087;-0.1998494;1.040262,0.1597248;-0.1705136;1.059541,0.02412135;-0.02572773;1.19291,-0.02140965;0.2098313;1.269602,0.1110065;0.2237915;1.245315,0.1213477;-0.1377825;1.410527,2
8400,0.1964866;-0.1940829;1.034561,0.1622754;-0.1709255;1.058379,0.023915;-0.02383912;1.191046,-0.02142716;0.2098173;1.269566,0.1109695;0.2239659;1.245429,0.1211801;-0.1355223;1.413215,2
8433,0.2003331;-0.1948823;1.036881,0.1660347;-0.1731119;1.056952,0.02487377;-0.02150459;1.190289,-0.02142625;0.2098206;1.269578,0.1109846;0.2242391;1.245739,0.1217417;-0.1347767;1.413901,2
8465,0.2010494;-0.1976369;1.039152,0.1668541;-0.1721615;1.058694,0.02542918;-0.01927919;1.190158,-0.0214124;0.2098318;1.269544,0.1110014;0.2245356;1.246004,0.1214869;-0.133004;1.416251,2
8499,0.2021853;-0.2047807;1.043393,0.1700778;-0.1751712;1.059506,0.02869521;-0.0190899;1.188142,-0.02138822;0.2098651;1.269444,0.1110098;0.2247382;1.246113,0.1215368;-0.1324027;1.417008,2
8533,0.2018812;-0.2150869;1.0534,0.1718625;-0.1768;1.060379,0.02919964;-0.01748273;1.188421,-0.02134259;0.2099178;1.2693,0.1109702;0.2249166;1.246183,0.1214175;-0.1318254;1.417685,2
8568,0.199468;-0.2219204;1.062641,0.1732707;-0.1778017;1.062123,0.03139937;-0.01614023;1.189153,-0.02130282;0.2099784;1.269207,0.1109598;0.2251438;1.246308,0.1212971;-0.131539;1.417968,2
8600,0.1962976;-0.2263683;1.074837,0.1751975;-0.1800968;1.066753,0.03257779;-0.01457618;1.191419,-0.02125776;0.2100658;1.269258,0.1109676;0.2254957;1.246668,0.121151;-0.1311747;1.418565,2
8633,0.1926977;-0.229276;1.077828,0.1754466;-0.1797498;1.069337,0.03287993;-0.01429139;1.191737,-0.02119512;0.2101167;1.269127,0.1109422;0.2255987;1.24668,0.1210481;-0.1310986;1.418618,2
8666,0.1912311;-0.2308889;1.083208,0.17552;-0.1793895;1.07164,0.03341421;-0.01379572;1.192403,-0.02115153;0.2101545;1.269051,0.1109263;0.2256582;1.246703,0.1210031;-0.1311265;1.418638,2
8701,0.1915122;-0.2313035;1.088909,0.1753958;-0.1785937;1.075761,0.03427169;-0.01313617;1.194603,-0.02110962;0.2102037;1.26908,0.1109204;0.2258876;1.246944,0.120956;-0.1310642;1.418769,2
8733,0.1912603;-0.2292767;1.08591,0.1753217;-0.1781713;1.076864,0.03476886;-0.01271881;1.195091,-0.02107796;0.2102387;1.269056,0.1109002;0.225991;1.247031,0.1209203;-0.1310103;1.418795,2
8767,0.193686;-0.2277003;1.082079,0.175242;-0.1778313;1.077166,0.03502083;-0.01251881;1.195298,-0.02105454;0.2102515;1.269021,0.1108903;0.2260425;1.247061,0.1208576;-0.1310093;1.418871,2
8803,0.1976687;-0.2256349;1.080552,0.1752824;-0.1777647;1.077632,0.03507484;-0.01219567;1.195891,-0.02102249;0.2103329;1.26908,0.110912;0.2262744;1.247385,0.1207809;-0.1308042;1.419174,2
8834,0.2016563;-0.2220457;1.072948,0.1752615;-0.1773985;1.0774,0.03534944;-0.01207277;1.195785,-0.02101019;0.2103564;1.269074,0.1108982;0.2263938;1.24749,0.1206536;-0.130679;1.419304,2
