Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
798,0.138805;-0.1647106;1.021159,0.08263238;-0.1228235;1.044308,-0.01301701;-0.0551937;1.114918,-0.1302278;0.1652258;1.198856,0.02321842;0.2114268;1.233586,0.04962695;-0.2614782;1.329882,0
831,0.201386;-0.2373663;0.992841,0.152861;-0.1953437;1.012399,-0.01232711;-0.05502868;1.118909,-0.1302206;0.1652013;1.198874,0.02322093;0.2113923;1.233723,0.04956279;-0.2614694;1.330222,0
867,0.1946143;-0.2607509;0.9986707,0.1502325;-0.199367;1.016526,-0.01301206;-0.05548052;1.122873,-0.1301984;0.1651476;1.198866,0.02318061;0.2113293;1.233775,0.04876412;-0.2615889;1.330806,0
898,0.1941415;-0.2631314;0.9963799,0.1494126;-0.2035571;1.019203,-0.01288277;-0.05733125;1.125713,-0.1301002;0.1649242;1.198653,0.02315864;0.2112518;1.233745,0.04862125;-0.2617123;1.330925,0
932,0.1939154;-0.2649452;0.9981666,0.1487361;-0.2068374;1.022073,-0.01291969;-0.05937468;1.129067,-0.1300551;0.1647976;1.198601,0.02316706;0.2111047;1.233694,0.04883765;-0.2625552;1.330443,0
965,0.1933723;-0.2762824;0.9964873,0.1509061;-0.2346096;1.03749,-0.01262941;-0.05958466;1.129605,-0.1300317;0.1647177;1.198561,0.02315478;0.2110147;1.233702,0.04880546;-0.2626821;1.330583,0
997,0.1941036;-0.277417;1.000023,0.1516898;-0.2366267;1.040037,-0.0121367;-0.05988818;1.130298,-0.1300306;0.1647045;1.198571,0.02314758;0.2109351;1.233748,0.04886881;-0.2628982;1.330517,0
1031,0.1402721;-0.293754;1.065006,0.1355548;-0.2591708;1.087423,-0.01098626;-0.06068181;1.130727,-0.1299816;0.1646247;1.19853,0.0231279;0.2109007;1.233765,0.04882683;-0.2629359;1.330638,0
1066,0.1406325;-0.2899761;1.06191,0.1348775;-0.2555673;1.084444,-0.01032557;-0.06101301;1.130628,-0.1299628;0.1645873;1.198414,0.02340667;0.2109874;1.232992,0.04885576;-0.2630458;1.330475,0
1098,0.1395194;-0.2918154;1.06409,0.1344781;-0.2563106;1.085877,-0.009688033;-0.06156834;1.13027,-0.1299497;0.1645366;1.198305,0.02336878;0.2109146;1.232968,0.04885449;-0.2631481;1.330292,0
1131,0.1492765;-0.2838792;1.042432,0.1417024;-0.2531235;1.06893,-0.009123734;-0.06217369;1.129483,-0.1299149;0.1644083;1.197952,0.02329499;0.2107197;1.232735,0.0487811;-0.2632962;1.329807,0
1165,0.146067;-0.2847296;1.054446,0.1354233;-0.250855;1.076899,-0.008748028;-0.06264914;1.129753,-0.1299101;0.1643856;1.197945,0.02323874;0.2106343;1.232779,0.04879297;-0.2633885;1.329864,0
1197,0.1412259;-0.2878842;1.060711,0.1341527;-0.2548362;1.082723,-0.008674444;-0.06276138;1.129761,-0.1299106;0.1643309;1.19787,0.02341328;0.2106151;1.232284,0.04881577;-0.2634282;1.329857,0
1230,0.1399764;-0.288579;1.061078,0.1342291;-0.2550651;1.082854,-0.008449805;-0.06304337;1.129602,-0.1299167;0.1642617;1.197794,0.02334909;0.2105112;1.232286,0.04895342;-0.2635549;1.329636,0
1265,0.1591572;-0.2790185;1.030087,0.1471065;-0.2476969;1.059388,-0.008373519;-0.06307279;1.129614,-0.1299132;0.1642167;1.197731,0.02330067;0.2104306;1.232295,0.04901511;-0.2635669;1.329586,0
1298,0.1458778;-0.283145;1.053835,0.1352462;-0.2483641;1.076027,-0.008539361;-0.06290094;1.129887,-0.1299132;0.1642035;1.197721,0.02351356;0.2103084;1.231982,0.04901481;-0.2636119;1.329577,0
1334,0.1663054;-0.2760904;1.02043,0.1496931;-0.2447926;1.052546,-0.00850748;-0.06294135;1.129922,-0.1299047;0.1641703;1.19769,0.02368992;0.2101888;1.231795,0.04871742;-0.2634546;1.330215,0
1365,0.1693675;-0.2759238;1.017894,0.1501361;-0.2441462;1.051063,-0.008585428;-0.06288684;1.129966,-0.1298984;0.1640949;1.197623,0.02365451;0.2100344;1.231831,0.04877776;-0.2635773;1.330063,0
1397,0.1358692;-0.2989787;1.073045,0.1321009;-0.2607549;1.092342,-0.008528486;-0.06296381;1.130007,-0.1299018;0.1640783;1.197614,0.02378093;0.2099343;1.231577,0.04866462;-0.2637434;1.329876,0
1429,0.1363366;-0.2967485;1.070596,0.1327471;-0.2600439;1.090878,-0.00851963;-0.06299473;1.130032,-0.1299014;0.164055;1.19759,0.02364422;0.2097651;1.231744,0.04860887;-0.263738;1.330018,0
1464,0.1360485;-0.2923159;1.071514,0.1289529;-0.2546824;1.090721,-0.008527194;-0.06298415;1.13003,-0.1299064;0.1640205;1.197542,0.02353721;0.2095934;1.231824,0.04857837;-0.2637927;1.32997,0
1499,0.1402389;-0.2733462;1.062502,0.1175901;-0.2336252;1.078233,-0.008579728;-0.06282514;1.130023,-0.1299069;0.1639856;1.197497,0.02349725;0.2095322;1.231839,0.04858583;-0.26379;1.329963,0
1532,0.1365046;-0.2743894;1.065944,0.1177512;-0.2345743;1.08117,-0.00866615;-0.06200593;1.129462,-0.1299704;0.1640419;1.197204,0.02343369;0.2094635;1.231736,0.04872475;-0.2637709;1.329339,0
1565,0.1441088;-0.270995;1.061354,0.1174201;-0.2323101;1.077962,-0.008756908;-0.06149185;1.129718,-0.1300226;0.164108;1.19716,0.02327699;0.2094741;1.231995,0.04824541;-0.2632039;1.330271,0
1596,0.14161;-0.2695762;1.055304,0.1168938;-0.2304989;1.072309,-0.009020244;-0.06055078;1.128316,-0.1300955;0.1641883;1.196466,0.0232102;0.2094351;1.231842,0.04824531;-0.263117;1.329446,0
1630,0.1447205;-0.2688318;1.054872,0.1168971;-0.2301696;1.071577,-0.008881418;-0.06023001;1.127999,-0.1301451;0.164259;1.196245,0.02316224;0.2094505;1.231851,0.04826606;-0.2630515;1.329432,0
1666,0.1446752;-0.2688672;1.054505,0.1166459;-0.2297078;1.071382,-0.009166307;-0.05981211;1.127898,-0.1301714;0.164311;1.196058,0.02310808;0.2094662;1.231875,0.04804138;-0.2625373;1.330365,0
1697,0.1758085;-0.2592692;1.014581,0.1286065;-0.2061096;1.038432,-0.009477099;-0.05946162;1.127711,-0.1301994;0.1643178;1.19577,0.02305117;0.2094626;1.231836,0.04800314;-0.2625299;1.330289,0
1733,0.1559498;-0.2608263;1.036506,0.1197756;-0.2218948;1.056434,-0.009663595;-0.05928449;1.127039,-0.1302133;0.1642628;1.195367,0.02297899;0.2094298;1.231723,0.04794623;-0.2625061;1.329962,0
1767,0.152153;-0.2575971;1.041646,0.1186014;-0.2235141;1.059978,-0.009973635;-0.05900782;1.127218,-0.1302454;0.1642928;1.195328,0.02290002;0.2094476;1.231801,0.04787261;-0.2622358;1.330642,0
1797,0.1497493;-0.2595929;1.042231,0.118107;-0.2237273;1.060908,-0.01031545;-0.05870189;1.127,-0.1303191;0.1643375;1.195126,0.02281019;0.209433;1.23171,0.0478504;-0.2622476;1.330102,0
1833,0.1501664;-0.2609065;1.044255,0.1176773;-0.2241088;1.062055,-0.01049501;-0.05847697;1.126925,-0.1303592;0.1643439;1.195077,0.02277332;0.2094412;1.231709,0.04793004;-0.2621803;1.330219,0
1865,0.1508452;-0.2603773;1.04628,0.11715;-0.2243326;1.063481,-0.0106835;-0.05803737;1.127128,-0.1304213;0.1643777;1.195043,0.02269246;0.2094802;1.231791,0.04800932;-0.2618604;1.330851,0
1897,0.171827;-0.2590106;1.020226,0.1255617;-0.2082883;1.043936,-0.01120625;-0.05723717;1.12711,-0.1304902;0.164411;1.194987,0.02258597;0.2095097;1.231791,0.048034;-0.2618524;1.330818,0
1933,0.1507284;-0.2542703;1.038974,0.118283;-0.2201801;1.058436,-0.01147685;-0.05677708;1.126269,-0.1306419;0.1644438;1.194745,0.0224506;0.2095102;1.231742,0.04792678;-0.2618118;1.330717,0
1967,0.1501755;-0.2582416;1.042786,0.1172577;-0.2218633;1.061157,-0.01160881;-0.05677767;1.126134,-0.13076;0.1645003;1.194628,0.02225915;0.209588;1.23184,0.04707245;-0.2610596;1.332003,0
1999,0.1487057;-0.2608196;1.042636,0.1168933;-0.2223107;1.061448,-0.01166381;-0.05677863;1.125804,-0.1308757;0.1645191;1.194439,0.02212152;0.2095771;1.231763,0.04699972;-0.2612111;1.331188,0
2031,0.1497833;-0.2589971;1.045286,0.1161842;-0.2230237;1.062589,-0.01173083;-0.05663048;1.125816,-0.1310168;0.1646175;1.194454,0.02188791;0.2096834;1.232075,0.04749369;-0.2612451;1.332949,0
2065,0.1488441;-0.2607706;1.045045,0.116292;-0.2227464;1.061784,-0.01168131;-0.05656277;1.12553,-0.1311117;0.1646838;1.194363,0.02161241;0.209738;1.232164,0.0466908;-0.2609629;1.333163,0
2098,0.1330531;-0.3070613;1.07967,0.1306837;-0.2628595;1.097196,-0.01168992;-0.05644048;1.125451,-0.1311984;0.1647536;1.194307,0.02138413;0.2098207;1.232255,0.04644737;-0.2608643;1.333133,0
2130,0.1893656;-0.2601813;1.001428,0.1373651;-0.1987621;1.019216,-0.01175173;-0.05616097;1.125256,-0.1313127;0.1648142;1.194251,0.02115683;0.209923;1.232409,0.04608733;-0.2601267;1.334178,0
2167,0.1464856;-0.2652344;1.051165,0.1134489;-0.2259192;1.066895,-0.01174114;-0.05599106;1.125184,-0.1314152;0.16487;1.194225,0.0209358;0.2100124;1.232589,0.04589261;-0.2597004;1.334937,0
2201,0.1889029;-0.2592247;1.003408,0.1378582;-0.1983813;1.021172,-0.01179741;-0.05584868;1.12512,-0.1315247;0.164942;1.194249,0.0206912;0.2101056;1.232765,0.04567704;-0.259564;1.335098,0
2230,0.1912436;-0.2628251;1.003896,0.1408274;-0.2011719;1.02171,-0.01176431;-0.05573537;1.125309,-0.131614;0.1650167;1.194356,0.02043037;0.2102913;1.233188,0.045447;-0.2593183;1.335634,0
2267,0.1896661;-0.2612844;1.000219,0.1404445;-0.2007417;1.021653,-0.0117997;-0.05556358;1.12506,-0.131668;0.1650464;1.194333,0.01996607;0.2110984;1.232926,0.04532365;-0.2592103;1.335658,0
2299,0.1890362;-0.259849;1.000105,0.1403055;-0.2006134;1.021479,-0.01171492;-0.05554213;1.124571,-0.1317299;0.1650983;1.19426,0.01984136;0.211138;1.232995,0.04522629;-0.2591437;1.335397,0
2330,0.1910375;-0.2610843;1.003423,0.1406321;-0.2005534;1.021106,-0.01159672;-0.05557572;1.124546,-0.1317846;0.1651588;1.194298,0.01971517;0.2112361;1.233307,0.04513872;-0.2589694;1.335648,0
2448,0.1908465;-0.2605963;1.00174,0.1412575;-0.1999866;1.019865,-0.0115898;-0.0553857;1.124213,-0.1318714;0.1652787;1.194167,0.01935315;0.211824;1.233226,0.04499602;-0.2586624;1.335372,0
2557,0.1329834;-0.2873707;1.080791,0.1263847;-0.2514393;1.09238,-0.0008388247;-0.06878117;1.117804,-0.1318732;0.1654087;1.193925,0.01923692;0.2120764;1.233493,0.04489728;-0.2580277;1.336108,0
2661,0.1938915;-0.2602219;1.005859,0.1460736;-0.199746;1.021145,-0.003728379;-0.06303162;1.121348,-0.1318664;0.1655405;1.19395,0.0192775;0.2122471;1.233776,0.04515444;-0.2579674;1.336053,0
2673,0.2004672;-0.2694938;0.9909286,0.1570492;-0.2134597;1.012251,0.001258208;-0.0688168;1.118315,-0.1318615;0.1655637;1.193956,0.01929555;0.2122849;1.233814,0.04518632;-0.2579527;1.335995,0
2697,0.197598;-0.2665691;0.994296,0.1523758;-0.2084486;1.014494,-0.003093333;-0.0639474;1.120796,-0.1318443;0.165601;1.193979,0.01930907;0.2123068;1.233899,0.04520631;-0.2578849;1.336115,0
2731,0.1935789;-0.2635396;0.9970514,0.1470082;-0.20392;1.016661,-0.004779682;-0.06204248;1.121537,-0.1318387;0.1656175;1.193974,0.01931886;0.2123124;1.233903,0.04532272;-0.2579722;1.335732,0
2766,0.1934154;-0.2627663;0.9990814,0.1461425;-0.2029551;1.016834,-0.005573043;-0.06109968;1.122107,-0.1318361;0.1656439;1.193992,0.01934708;0.2123518;1.233994,0.04535191;-0.257954;1.335727,0
2800,0.1931567;-0.2616716;0.9975656,0.1460266;-0.202256;1.016454,-0.005836668;-0.06071223;1.122106,-0.131834;0.1656564;1.193988,0.01935041;0.2123565;1.233993,0.04562702;-0.2585243;1.333711,0
2831,0.1926329;-0.2618043;0.999073,0.1452989;-0.201704;1.016562,-0.006814078;-0.05959743;1.122619,-0.1318334;0.1656608;1.19399,0.01935473;0.2123709;1.234021,0.04564862;-0.2585542;1.333673,0
2865,0.192767;-0.2615479;0.9986277,0.1451844;-0.2013406;1.0163,-0.007425657;-0.05874661;1.122974,-0.1318329;0.1656693;1.193986,0.01935438;0.2123794;1.234037,0.04562961;-0.2585547;1.33346,0
2897,0.1927063;-0.2611362;0.9987258,0.1446208;-0.2005721;1.016501,-0.008276986;-0.05782268;1.123145,-0.1318325;0.1656809;1.193982,0.01933681;0.2123904;1.234049,0.04564527;-0.2585657;1.333413,0
2931,0.1919829;-0.2589215;0.9982942,0.1440412;-0.1998082;1.016045,-0.008472574;-0.05765711;1.12299,-0.131842;0.1656993;1.193965,0.01929275;0.2124137;1.234063,0.04557492;-0.2584902;1.333452,0
2964,0.1921833;-0.2572422;1.003895,0.1441031;-0.1997287;1.016102,-0.0004586233;-0.06686788;1.118861,-0.1318665;0.1657821;1.194083,0.01923351;0.2124791;1.234251,0.04559221;-0.2584429;1.333747,0
2998,0.1917699;-0.2545501;1.001175,0.1451913;-0.1995921;1.015283,0.001011223;-0.06700436;1.117178,-0.1319289;0.1658893;1.194204,0.01917973;0.2125344;1.234308,0.04541768;-0.2580166;1.334541,0
3033,0.1908959;-0.2419261;1.001837,0.1418032;-0.1879732;1.00913,-0.007591042;-0.05788997;1.118171,-0.1320009;0.1659609;1.19425,0.01915642;0.2125362;1.234306,0.04531643;-0.2579853;1.334604,0
3064,0.1844033;-0.2318458;1.005855,0.122287;-0.1863812;1.004157,-0.01274389;-0.05369096;1.118889,-0.1321631;0.1660999;1.194475,0.01914899;0.2125371;1.234294,0.0453896;-0.2581367;1.334226,0
3097,0.1808873;-0.148806;0.9777226,0.1386576;-0.1547142;0.9969283,-0.01598821;-0.05201836;1.118179,-0.1323846;0.1663255;1.194763,0.01903066;0.2131611;1.233857,0.04539838;-0.257892;1.334042,0
3131,0.1905735;-0.1093455;0.9647344,0.1409186;-0.1140628;0.9730731,-0.0176171;-0.05141153;1.115838,-0.1326678;0.166676;1.195184,0.01900266;0.2131683;1.233928,0.04544641;-0.2576185;1.334014,0
3165,0.19168;-0.06664539;0.964272,0.1479235;-0.07190607;0.9881887,-0.03133215;-0.0341226;1.113552,-0.1331433;0.1674413;1.196117,0.01881512;0.2132182;1.234134,0.04155509;-0.2575638;1.333354,0
3197,0.1976967;-0.01604679;0.9554415,0.155531;-0.03332203;0.9755685,-0.03389245;-0.02826464;1.108353,-0.1334013;0.1677586;1.196301,0.01872316;0.2132478;1.234148,0.03962516;-0.2567165;1.332858,0
3232,0.181888;0.0277875;0.9603413,0.1417807;0.008760415;0.9799321,-0.04002273;-0.02089067;1.103963,-0.1337843;0.1682588;1.196561,0.01859005;0.2132562;1.234181,0.03839634;-0.2550197;1.333015,0
3266,0.1791731;0.07316449;0.9636877,0.1432392;0.03958722;0.9681659,-0.03605936;-0.01210708;1.088434,-0.1343318;0.1691745;1.196927,0.01845333;0.2132798;1.234197,0.03666779;-0.2528906;1.333396,0
3297,0.1773324;0.1204848;0.9725841,0.1433941;0.0817785;0.9688962,-0.03108039;0.0008006906;1.079245,-0.1347739;0.1701887;1.19724,0.0180435;0.2141062;1.234126,0.03622068;-0.251655;1.333687,0
3330,0.1773549;0.176134;0.9861529,0.1451514;0.136293;0.9868471,-0.02288902;0.01738967;1.066173,-0.135386;0.1716768;1.197207,0.01790428;0.214075;1.234043,0.03587311;-0.2512449;1.333281,0
3364,0.168109;0.21537;1.007208,0.1340147;0.181508;1.003742,-0.02383815;0.02683648;1.064895,-0.1359987;0.1736619;1.197467,0.01773584;0.2140781;1.234137,0.03485239;-0.2509311;1.334428,0
3398,0.1515777;0.2381736;1.024666,0.1269483;0.187173;0.9976831,-0.02441107;0.04218245;1.06406,-0.1370773;0.1870473;1.198439,0.01718196;0.2161959;1.234318,0.03442531;-0.2487469;1.337803,0
3431,0.1369133;0.2536481;1.034688,0.1161579;0.197721;0.9998258,-0.0291169;0.04579537;1.063971,-0.137945;0.1935868;1.19841,0.01619403;0.2180867;1.23389,0.03356923;-0.2473965;1.339161,0
3467,0.1221486;0.2676902;1.048488,0.09108753;0.2220929;1.012081,-0.03273008;0.04853934;1.06267,-0.1377293;0.1982971;1.198094,0.01564965;0.220869;1.232816,0.03326399;-0.2468549;1.339644,0
3498,0.1115276;0.2751425;1.056811,0.08894377;0.22599;1.01364,-0.03465578;0.05145557;1.060632,-0.1370767;0.2016733;1.197651,0.01488575;0.2243219;1.232076,0.03286765;-0.2462937;1.341152,0
3531,0.1048259;0.2811519;1.058821,0.0882129;0.2301679;1.012966,-0.03515251;0.05472214;1.056287,-0.1358686;0.2041796;1.195539,0.01349574;0.2272542;1.23003,0.03271807;-0.2461179;1.341564,0
3565,0.1016292;0.2875541;1.063701,0.08912759;0.2357109;1.010828,-0.03457307;0.06020757;1.052446,-0.1345184;0.2074721;1.194722,0.01189552;0.2319451;1.225499,0.03247093;-0.2461905;1.341743,0
3597,0.09853847;0.2916937;1.063734,0.08895923;0.2415234;1.008027,-0.03270563;0.06401625;1.045882,-0.1347109;0.2034328;1.194672,0.01210399;0.2309949;1.225442,0.0324857;-0.2469112;1.341788,0
3630,0.09541289;0.2936785;1.064507,0.09061676;0.2478148;1.005277,-0.03009528;0.06946546;1.041383,-0.1341751;0.2037164;1.193556,0.01212616;0.2304941;1.225178,0.03248433;-0.2474337;1.342205,0
3669,0.09491055;0.2967307;1.066611,0.09246204;0.253937;1.004788,-0.02683804;0.0745295;1.039375,-0.1306407;0.2114336;1.189308,0.009860944;0.241207;1.215319,0.03205246;-0.2472754;1.342882,0
3698,0.09407669;0.2978826;1.066042,0.0933559;0.2575752;1.004038,-0.02527438;0.07766168;1.03762,-0.1306477;0.2113621;1.189359,0.009868313;0.2410868;1.215334,0.03148748;-0.2475582;1.343966,0
3731,0.09471776;0.3009291;1.066225,0.0935657;0.2599391;1.002903,-0.02487158;0.07988461;1.035982,-0.130667;0.2113388;1.189395,0.009884879;0.2409064;1.215206,0.03128564;-0.2477828;1.344088,0
3763,0.0924632;0.3010786;1.065659,0.09398045;0.2617345;1.002754,-0.02407099;0.08141527;1.035307,-0.1306748;0.211335;1.189448,0.009872409;0.2408265;1.21516,0.03127035;-0.2477304;1.345178,0
3799,0.09327804;0.3022926;1.0662,0.09393536;0.262893;1.002837,-0.02373583;0.08231218;1.034887,-0.1306631;0.2113301;1.189534,0.009917187;0.240727;1.215085,0.03102996;-0.2478697;1.345996,0
3831,0.09396248;0.3060041;1.066879,0.09404635;0.2646966;1.002559,-0.02322654;0.08384637;1.034024,-0.1306539;0.211323;1.189579,0.009928728;0.2406377;1.214972,0.03092827;-0.2478964;1.346215,0
3867,0.09523837;0.3077894;1.067024,0.09446367;0.2657406;1.002016,-0.02282012;0.08493938;1.033414,-0.1306303;0.211321;1.189567,0.009958814;0.2403707;1.214483,0.03078098;-0.2483586;1.345668,0
3900,0.09425501;0.3059039;1.066177,0.09483771;0.2668343;1.001388,-0.02247639;0.08609632;1.03273,-0.1306145;0.2113206;1.189558,0.009978034;0.2403126;1.214342,0.03069086;-0.2484457;1.345785,0
3932,0.09373384;0.3045281;1.066145,0.09526907;0.2681499;1.001201,-0.02181386;0.08728509;1.032236,-0.1305698;0.2113238;1.189543,0.009989888;0.2402438;1.214228,0.03057197;-0.2486765;1.345781,0
