Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
924,-0.1174409;0.0005875455;1.425348,0.05460999;-0.03600481;1.41686,0.08999132;-0.2289715;1.252421,0.0441952;-0.1643732;1.080162,0.02520504;-0.12161;1.074404,-0.04448868;-0.4428835;1.317094,0
964,-0.1172951;0.000173762;1.424443,0.05494519;-0.03628748;1.415971,0.08872645;-0.2292915;1.251219,0.03954034;-0.1644839;1.079989,0.01385753;-0.1230097;1.068476,-0.04461813;-0.4427845;1.316974,0
1005,-0.1174449;-1.372944E-05;1.423979,0.05502215;-0.03679898;1.415036,0.1053143;-0.2561051;1.297006,0.04601954;-0.1781947;1.111696,0.005094352;-0.1276132;1.067024,-0.04524923;-0.4424178;1.31685,0
1050,-0.1172733;-0.000315886;1.422279,0.05496092;-0.03728285;1.413704,0.112619;-0.2197443;1.291497,0.03748186;-0.1765722;1.107236,-0.003428061;-0.1348528;1.061698,-0.04613816;-0.4418142;1.315569,0
1091,-0.1172768;-0.0005383648;1.421429,0.05608439;-0.04053137;1.411278,0.1064957;-0.2164712;1.282093,0.02789245;-0.1798518;1.10399,-0.01817257;-0.1451612;1.055074,-0.04661125;-0.44181;1.315031,0
1130,-0.1173268;-0.0005911583;1.421397,0.0566281;-0.04215519;1.410887,0.1052813;-0.2161685;1.280961,0.02439744;-0.1848376;1.105374,-0.02192563;-0.1541786;1.056495,-0.04669466;-0.4417867;1.315022,0
1170,-0.1173581;-0.0006116864;1.421381,0.05653916;-0.04214454;1.410795,0.1045237;-0.2157787;1.280379,0.02154849;-0.1889303;1.105956,-0.02583866;-0.162603;1.056444,-0.04694501;-0.4417578;1.315148,0
1213,-0.1173948;-0.0007584011;1.421103,0.05629033;-0.04200389;1.410447,0.1032134;-0.2150731;1.279758,0.01785586;-0.1949402;1.105085,-0.02771473;-0.1697908;1.050359,-0.04719694;-0.4417344;1.31502,0
1253,-0.1173977;-0.0007802244;1.421164,0.05615795;-0.04205902;1.410248,0.1024785;-0.2103194;1.283947,0.01427285;-0.2042401;1.101896,-0.03055052;-0.1850779;1.044528,-0.04690483;-0.4414131;1.315422,0
1295,-0.1173934;-0.0008178133;1.420955,0.05594193;-0.04198858;1.409989,0.1015942;-0.2084271;1.28635,0.01459892;-0.2104859;1.100209,-0.03002124;-0.1924341;1.037471,-0.04693779;-0.4409723;1.315309,0
1334,-0.1174963;-0.0008149159;1.421233,0.05583933;-0.04196871;1.409946,0.1011712;-0.2204437;1.294303,0.01395184;-0.2175068;1.100507,-0.02918648;-0.2006575;1.037559,-0.04711746;-0.4403871;1.315806,0
1371,-0.1175616;-0.0009444556;1.420623,0.05549554;-0.04189855;1.409404,0.09993463;-0.2256089;1.292384,0.01367683;-0.2210305;1.092644,-0.02553861;-0.2080025;1.029878,-0.04793455;-0.4407453;1.314968,0
1406,-0.1176101;-0.0009988626;1.42053,0.05533852;-0.04181959;1.409288,0.1007903;-0.2347085;1.290721,0.01613125;-0.2264116;1.091492,-0.02255932;-0.2147944;1.026073,-0.04850748;-0.4411138;1.314754,0
1449,-0.1177133;-0.001060224;1.420336,0.05532113;-0.04225191;1.409087,0.1006763;-0.2347237;1.2916,0.02137991;-0.2333387;1.086443,-0.0152584;-0.2284457;1.014779,-0.04944087;-0.4418969;1.314249,0
1497,-0.1177735;-0.001091109;1.420306,0.05529344;-0.04283401;1.408991,0.1008634;-0.2354647;1.292271,0.02453545;-0.2357052;1.084466,-0.01079599;-0.2368046;1.01136,-0.04951635;-0.442304;1.314141,0
1546,-0.1179498;-0.001286957;1.419085,0.05516263;-0.04324798;1.408435,0.1007563;-0.2358699;1.292585,0.02746479;-0.2399686;1.081218,-0.004545554;-0.2430148;1.004768,-0.0502743;-0.4433818;1.312221,0
1585,-0.1180022;-0.00155546;1.419671,0.05521268;-0.04376893;1.408724,0.1005787;-0.2373461;1.296007,0.03904049;-0.2534876;1.085226,0.007417474;-0.2594797;1.00801,-0.04963726;-0.4553249;1.334808,0
