Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
566,-7036;14080;-4128,2507;-1356;-2040,-0.05782325;0.05808996;1.71316,-0.02493284;-0.1353513;1.733723,0.1304103;-0.1541751;1.671869,0.1840892;-0.298899;1.533212,0.1612654;-0.3860021;1.402103,0.1510458;-0.4047118;1.345516,-0.01737917;-0.5754558;1.660052,0
600,-6616;14440;-4884,956;-1146;217,-0.05803072;0.05820041;1.71317,-0.0250717;-0.1352766;1.733676,0.1303871;-0.1543698;1.671881,0.1862138;-0.2960932;1.536019,0.1613969;-0.3852536;1.40189,0.1513945;-0.4031486;1.342725,-0.01739516;-0.5754371;1.660047,0
634,-6908;13124;-4316,-327;-825;-1172,-0.05843239;0.05834265;1.713474,-0.02515141;-0.1352106;1.733732,0.1303098;-0.1545217;1.672249,0.1878397;-0.2940467;1.538251,0.1619434;-0.3836715;1.400579,0.1520699;-0.4029421;1.342345,-0.01735399;-0.5753715;1.66012,0
668,-7232;14060;-4188,12;-597;-1100,-0.05925616;0.05862932;1.714465,-0.02539204;-0.1350706;1.734252,0.1300616;-0.1546473;1.673174,0.1833977;-0.298421;1.532279,0.1625935;-0.3821598;1.400371,0.1522265;-0.4032884;1.342703,-0.01721311;-0.5753469;1.660429,0
701,-7084;13616;-3748,-1052;-917;-1014,-0.05945054;0.05879329;1.714599,-0.02548605;-0.1349815;1.734276,0.1298984;-0.1548619;1.673236,0.1805646;-0.2970487;1.529067,0.1638499;-0.3830094;1.39687,0.1523475;-0.4003441;1.338932,-0.01719265;-0.5753496;1.660434,0
732,-7208;13804;-3884,206;-807;-1098,-0.05976895;0.05889938;1.71467,-0.02568037;-0.1349119;1.734231,0.1297304;-0.1551449;1.673141,0.1785084;-0.2963858;1.527267,0.1642788;-0.3801757;1.393594,0.1531693;-0.3967461;1.337704,-0.01715089;-0.5752081;1.660301,0
766,-7184;13512;-3728,43;-828;-563,-0.06037679;0.05923468;1.715266,-0.0259285;-0.1346923;1.734455,0.1295103;-0.1541353;1.67149,0.1778565;-0.2966421;1.526785,0.1644583;-0.3783386;1.390405,0.1540065;-0.394458;1.335487,-0.01698989;-0.5746965;1.660646,0
799,-7460;13704;-3840,558;-854;-646,-0.06112708;0.0597554;1.716434,-0.02627338;-0.1344076;1.735091,0.1293212;-0.1541841;1.672913,0.1775406;-0.2959386;1.527368,0.1646864;-0.3767863;1.388183,0.1547848;-0.3908789;1.334805,-0.01677495;-0.5745668;1.661147,0
834,-7100;13456;-3976,241;-619;-454,-0.06154389;0.06006488;1.71698,-0.02642339;-0.1341929;1.735383,0.1292537;-0.1543368;1.67365,0.1784051;-0.2945782;1.526869,0.1640867;-0.3731835;1.383226,0.160023;-0.380289;1.344335,-0.01631067;-0.5743253;1.661323,0
868,-7220;13680;-4056,20;-736;-812,-0.06191181;0.06012549;1.717154,-0.02656585;-0.1341313;1.735432,0.1291579;-0.1534841;1.671895,0.1806178;-0.2926296;1.524841,0.1629412;-0.3688252;1.371971,0.1549203;-0.3749467;1.326183,-0.01600199;-0.5739608;1.661122,0
901,-6964;13612;-3676,-74;-522;-720,-0.06218538;0.06035714;1.717652,-0.02666375;-0.1340077;1.735627,0.1286252;-0.1541645;1.673368,0.1798663;-0.2899559;1.522896,0.1618771;-0.3649118;1.360441,0.1527176;-0.3707727;1.312117,-0.01565206;-0.5736988;1.661132,0
934,-7232;13664;-3640,-154;-647;-791,-0.06252751;0.06051653;1.718039,-0.02669599;-0.1339716;1.735653,0.1284001;-0.1543719;1.673594,0.1780928;-0.2862967;1.518923,0.160365;-0.3588983;1.347215,0.1505025;-0.3607487;1.299557,-0.01556437;-0.573675;1.661111,0
968,-7104;13524;-3428,0;-598;-659,-0.06278089;0.06064435;1.718308,-0.02673174;-0.1339009;1.735727,0.1280898;-0.1546461;1.674084,0.1812073;-0.2751675;1.523419,0.1630466;-0.3434077;1.359917,0.1531155;-0.3477773;1.30413,-0.01539769;-0.5736355;1.661081,0
1000,-7540;13708;-3376,24;-740;-715,-0.06323084;0.06087156;1.718995,-0.02682691;-0.1338555;1.735849,0.1278901;-0.1547515;1.674434,0.1916363;-0.2659532;1.536469,0.1632226;-0.3357931;1.343733,0.1519507;-0.3380011;1.293406,-0.01542217;-0.5735453;1.660945,0
1033,-7384;13668;-3496,120;-855;-566,-0.06337948;0.06099148;1.719252,-0.02717371;-0.1337156;1.736059,0.1277222;-0.1549344;1.674635,0.1940555;-0.2632189;1.538545,0.1715049;-0.3096367;1.371669,0.1597646;-0.3214217;1.319624,-0.01788696;-0.5723876;1.66091,0
1066,-7376;14012;-3424,317;-1095;-464,-0.06381617;0.06144242;1.720751,-0.027445;-0.1336317;1.73678,0.1276693;-0.1541314;1.67334,0.1950336;-0.2610685;1.539477,0.1708987;-0.301358;1.380633,0.1634265;-0.3101845;1.326209,-0.01801745;-0.5726587;1.661093,0
1101,-7604;15468;-2776,648;-1016;-330,-0.06399752;0.06155888;1.720991,-0.0277204;-0.1335273;1.73695,0.1273542;-0.1533073;1.672105,0.1968557;-0.2560948;1.539267,0.1706582;-0.2961731;1.36728,0.1621268;-0.2981796;1.315378,-0.02031696;-0.5726711;1.660792,0
1133,-7164;18704;-2472,242;-2044;473,-0.0643881;0.06182707;1.721773,-0.02824228;-0.1334362;1.737554,0.1256057;-0.1532667;1.675668,0.1980758;-0.2510584;1.539442,0.1701087;-0.2922466;1.362524,0.163654;-0.2874105;1.315904,-0.02365421;-0.5746749;1.661143,0
1167,-8048;21544;-2356,-4805;-1693;-319,-0.06450949;0.06195297;1.721702,-0.02840989;-0.1333471;1.737322,0.125442;-0.1518647;1.673185,0.1989533;-0.245212;1.534658,0.1724519;-0.2835163;1.361714,0.1678246;-0.2769426;1.32084,-0.02393317;-0.5748711;1.659575,0
1199,-8272;22332;-2540,-1039;-2510;4776,-0.0646254;0.06221766;1.721547,-0.02867754;-0.1330725;1.737075,0.1250774;-0.1509428;1.671826,0.1997134;-0.2392617;1.527675,0.1733097;-0.273408;1.351787,0.1681829;-0.2728369;1.316022,-0.02425119;-0.5742443;1.658698,0
1233,-8324;22088;-2832,-2268;-1885;8114,-0.06490852;0.06253481;1.721819,-0.02898396;-0.1328;1.737232,0.1249033;-0.1503057;1.671369,0.2003896;-0.2353493;1.525466,0.1742441;-0.268912;1.352396,0.1665039;-0.2692754;1.317196,-0.02418597;-0.5737971;1.658723,0
1265,-8240;20624;-2744,-2547;-1649;10647,-0.0651218;0.06262144;1.722091,-0.0290168;-0.1327439;1.737308,0.1247221;-0.1492486;1.670968,0.2033162;-0.2269277;1.528732,0.1765566;-0.2670778;1.349015,0.1636464;-0.2608591;1.314094,-0.02394957;-0.5731683;1.658904,0
1300,-7516;18868;-2340,-2918;-2157;12362,-0.06523511;0.06248138;1.722546,-0.02930932;-0.1327822;1.737743,0.1247555;-0.1469105;1.671005,0.2023824;-0.2284331;1.495609,0.146746;-0.2187942;1.295994,0.06648568;-0.2056213;1.103066,-0.02349929;-0.5721928;1.659194,0
1333,-6632;18016;-2544,-3154;-2584;13185,-0.06528985;0.06256463;1.722841,-0.02937666;-0.1327643;1.737849,0.1250229;-0.1436744;1.671287,0.2019736;-0.2268115;1.494015,0.1460712;-0.2130415;1.29471,0.06314906;-0.1834722;1.105505,-0.02202544;-0.5712481;1.659515,0
1366,-5396;17940;-2452,-3784;-2772;13758,-0.06535311;0.06254131;1.722976,-0.02949119;-0.1327754;1.737964,0.1258596;-0.1385407;1.672834,0.2010702;-0.2243176;1.496092,0.1454204;-0.2044869;1.29722,0.0598097;-0.1626322;1.108853,-0.02124187;-0.5708619;1.659702,0
1399,-3856;17352;-2388,-5328;-2584;14271,-0.06581298;0.06369969;1.722651,-0.02872456;-0.1321671;1.73676,0.1276516;-0.1277745;1.681406,0.1976864;-0.2181539;1.504817,0.1427603;-0.1974819;1.305828,0.1236164;-0.1861438;1.246516,-0.0163595;-0.5693144;1.662338,0
1432,-2812;16932;-2056,-4655;-2346;15233,-0.06621096;0.06430405;1.722103,-0.02853704;-0.1318981;1.735892,0.1304699;-0.1227039;1.684779,0.1967688;-0.2149909;1.5077,0.1376299;-0.1691127;1.314235,0.1230876;-0.1740981;1.258806,-0.01628126;-0.5695428;1.662579,0
1465,-976;15840;-1432,-4661;-1674;15170,-0.06699652;0.06354453;1.721,-0.03265433;-0.1322563;1.737019,0.1346975;-0.1202605;1.683725,0.1861963;-0.2056879;1.498026,0.1308227;-0.1621997;1.30289,0.1140255;-0.1523835;1.242792,-0.01520902;-0.5695708;1.662266,0
