Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
5603,11476;-10072;2580,4731;-3450;-5249,-0.1032118;0.09436318;1.672807,-0.2750436;-0.4408918;1.317392,-0.2775996;-0.4251801;1.368825,-0.2774655;-0.3373475;1.547306,-0.234669;-0.1806667;1.663189,-0.06476417;-0.1107593;1.68807,-0.01242678;-0.5195247;1.608693,2
5637,12664;-9932;2532,1720;-2371;-5129,-0.1030956;0.09474267;1.673595,-0.2775095;-0.4404191;1.317168,-0.2786506;-0.4239951;1.368246,-0.2777747;-0.3373789;1.547341,-0.2347948;-0.1806745;1.663109,-0.06459913;-0.1106679;1.688408,-0.01241338;-0.5195038;1.608678,2
5667,12668;-9572;2768,2430;-2362;-4935,-0.1030017;0.09476661;1.673884,-0.2805533;-0.4339858;1.31593,-0.279564;-0.4224848;1.367512,-0.2779246;-0.3372599;1.547294,-0.2349395;-0.1805714;1.663084,-0.06454965;-0.1106421;1.68858,-0.01234136;-0.5194944;1.608719,2
5699,13340;-9016;2832,2201;-2378;-4615,-0.1031432;0.09463514;1.674488,-0.2813009;-0.4316917;1.318892,-0.2806619;-0.4198242;1.367074,-0.2781485;-0.3360649;1.547561,-0.2339062;-0.1804734;1.664457,-0.06435733;-0.1105745;1.688901,-0.01229957;-0.519466;1.608825,2
5733,13612;-8332;2728,1556;-2133;-4329,-0.1031808;0.0947955;1.675406,-0.2819346;-0.4283602;1.318591,-0.2822458;-0.4185709;1.366057,-0.2787079;-0.3362744;1.547222,-0.2346608;-0.1807057;1.664231,-0.06432085;-0.1104491;1.689295,-0.01231612;-0.5193869;1.609004,2
5766,13984;-8424;2952,774;-2198;-3805,-0.1031807;0.09487715;1.675444,-0.2796862;-0.4211039;1.319813,-0.2825921;-0.4171259;1.364459,-0.2796077;-0.335763;1.546078,-0.2350326;-0.1807876;1.663732,-0.06420217;-0.1103837;1.689253,-0.01220892;-0.5194188;1.608952,2
5799,14288;-7188;2228,217;-2317;-3155,-0.1033855;0.09507997;1.676667,-0.2829247;-0.4138493;1.312368,-0.281998;-0.4111941;1.363011,-0.2805944;-0.334186;1.546634,-0.2340276;-0.1806367;1.665485,-0.06410675;-0.1102622;1.689757,-0.01215743;-0.5193495;1.609191,2
5832,14288;-7844;2484,1018;-2324;-2036,-0.1033033;0.09507966;1.67687,-0.2693605;-0.4364778;1.297618,-0.2802358;-0.4029544;1.358643,-0.2818041;-0.3341965;1.545666,-0.2348859;-0.1810482;1.664928,-0.06412826;-0.1102625;1.690107,-0.01213496;-0.5193481;1.609229,2
5866,14436;-7584;2440,1103;-2081;-1156,-0.1032503;0.09501783;1.677109,-0.2613491;-0.4378489;1.19589,-0.2678353;-0.4026192;1.286784,-0.2833305;-0.3333976;1.544317,-0.2357439;-0.1811014;1.664483,-0.0640321;-0.1101563;1.690326,-0.01211574;-0.5193402;1.609294,2
5900,14332;-7684;2092,2120;-2165;-289,-0.1032861;0.09507439;1.677968,-0.2619472;-0.4336928;1.193668,-0.2679258;-0.4019398;1.287309,-0.2844946;-0.3317086;1.544499,-0.2349072;-0.1808905;1.665812,-0.06402909;-0.1101019;1.690605,-0.01206893;-0.519317;1.609381,2
5933,14096;-7908;2112,1622;-1866;184,-0.1034409;0.09498926;1.679817,-0.2654791;-0.4189937;1.175208,-0.2902807;-0.3853453;1.35355,-0.2858346;-0.3303703;1.545203,-0.2342857;-0.1807607;1.667248,-0.0641071;-0.1100505;1.691572,-0.01200222;-0.5192145;1.609548,2
