Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
567,-5368;13708;-6580,1028;-371;-881,-0.05913696;0.2304661;1.147078,-0.07046405;0.01180138;1.217846,0.09430537;-0.01461456;1.209488,0.1286505;-0.2569021;1.149081,0.1518261;-0.3235638;0.9532687,0.156861;-0.3449745;0.9059917,-0.07055318;-0.4570737;1.274338,0
599,-5340;13676;-6564,1215;-569;-907,-0.0589508;0.230686;1.147356,-0.07043642;0.01200228;1.217943,0.09439704;-0.01475318;1.209607,0.1286242;-0.2517357;1.148328,0.1467746;-0.3157163;0.9039858,0.1529356;-0.3259684;0.9032153,-0.07058433;-0.4570146;1.274358,0
634,-5376;13764;-6532,940;-383;-872,-0.05883421;0.2308675;1.147531,-0.07033858;0.01219676;1.217917,0.09445029;-0.0148385;1.209643,0.128407;-0.2511001;1.147714,0.1471423;-0.3110747;0.902396,0.1640362;-0.3220887;0.9055623,-0.07060918;-0.4569702;1.274355,0
664,-5292;13636;-6468,1294;-417;-976,-0.058545;0.2314018;1.148315,-0.07024487;0.0126009;1.218287,0.09452343;-0.01493771;1.209873,0.1282834;-0.2500243;1.147853,0.1546978;-0.2854744;0.9636863,0.1275964;-0.3393858;0.9251069,-0.07061075;-0.4567424;1.274734,0
701,-5460;13624;-6856,1389;-478;-817,-0.05842412;0.2315452;1.148371,-0.07009027;0.01279029;1.218161,0.09459363;-0.014404;1.209259,0.1276199;-0.2492643;1.147831,0.1533507;-0.2743168;0.9580489,0.1394111;-0.4077066;0.8816916,-0.07056931;-0.4566206;1.274655,0
734,-5308;13836;-6916,1208;-590;-988,-0.0581369;0.2319944;1.149268,-0.07002542;0.01297834;1.21833,0.09465164;-0.01452443;1.209481,0.1266825;-0.2476612;1.148795,0.1451106;-0.272828;0.8974848,0.1388583;-0.2805248;0.8091623,-0.07064793;-0.4565262;1.274867,0
768,-5368;13680;-6588,984;-403;-1061,-0.05795839;0.232321;1.149921,-0.06995746;0.01332432;1.218746,0.0947047;-0.01466663;1.20974,0.1261841;-0.2475384;1.148984,0.1447293;-0.2696591;0.8973982,0.137263;-0.2663012;0.8076084,-0.07085386;-0.4563204;1.275225,0
799,-5224;13792;-6736,1224;-511;-1028,-0.05785841;0.2323833;1.149863,-0.06986403;0.01344469;1.218516,0.09472626;-0.01475301;1.209726,0.1255647;-0.2483141;1.148935,0.1411531;-0.2567951;0.8963346,0.1348492;-0.24938;0.8020748,-0.07079408;-0.4562185;1.275069,0
832,-5412;13556;-6460,913;-290;-956,-0.05759696;0.2327731;1.150624,-0.06986492;0.01372054;1.218869,0.09479418;-0.01486046;1.210009,0.1239856;-0.2507496;1.151569,0.1428882;-0.2357677;0.8995181,0.1339356;-0.2362332;0.8061495,-0.07087055;-0.4561204;1.275271,0
865,-5272;13628;-6620,1343;-503;-1121,-0.05744046;0.2329577;1.15082,-0.06978105;0.01384838;1.21895,0.09482857;-0.01462584;1.209857,0.1229351;-0.2496874;1.153845,0.141101;-0.2288947;0.9021589,0.1329195;-0.2218158;0.8051843,-0.07072708;-0.4560772;1.275292,0
