Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,348;12056;10088,1024;-560;-940,-0.06399061;0.2312513;1.157179,-0.07114868;0.009722801;1.227142,0.09266397;-0.02822853;1.20996,0.1279433;-0.2519633;1.092944,0.1279725;-0.4162141;0.9666871,0.130932;-0.454496;0.9230115,-0.07236297;-0.4594586;1.276627,0
31,228;12144;10008,1276;-534;-856,-0.06439919;0.2314138;1.157301,-0.07149617;0.0100039;1.227288,0.09178679;-0.02584486;1.208283,0.1267321;-0.2495449;1.091007,0.1279052;-0.416402;0.9657986,0.130584;-0.4555306;0.9243658,-0.07245793;-0.4591439;1.27646,0
64,408;11988;10080,1037;-398;-818,-0.06483096;0.2316998;1.157644,-0.07173395;0.01021377;1.22749,0.09133462;-0.02429011;1.207689,0.1254532;-0.2477206;1.08953,0.1280411;-0.416327;0.9647603,0.1304971;-0.4560812;0.922722,-0.07247862;-0.4590119;1.276418,0
98,216;12096;10096,1259;-189;-905,-0.06539068;0.2321473;1.158387,-0.0721076;0.01078627;1.228003,0.09101745;-0.02294894;1.207244,0.1237933;-0.246072;1.087984,0.1281288;-0.4163075;0.9643169,0.1311154;-0.453932;0.9242212,-0.07252323;-0.4586581;1.276429,0
132,376;11832;10156,1063;-294;-875,-0.06589154;0.2325033;1.158613,-0.07236331;0.01119649;1.228125,0.09102112;-0.02313543;1.207287,0.1219916;-0.2448375;1.084615,0.1280525;-0.4164699;0.9624655,0.1308565;-0.4532627;0.9214039,-0.07250915;-0.4584802;1.276073,0
164,124;12148;10348,1071;-170;-1023,-0.06632637;0.2329046;1.158807,-0.07255983;0.01159585;1.228069,0.0910065;-0.02334883;1.207235,0.1199475;-0.2428599;1.079785,0.1277483;-0.4167047;0.9594874,0.1298264;-0.4536177;0.9186417,-0.07261606;-0.4581953;1.275701,0
196,316;12048;10480,1205;-273;-947,-0.06721018;0.2337882;1.159874,-0.07296398;0.01235043;1.228477,0.09033153;-0.02046734;1.205953,0.1188845;-0.2405521;1.079423,0.1276868;-0.4172521;0.9583322,0.1321231;-0.4535019;0.920428,-0.07279884;-0.4575012;1.275438,0
229,228;12064;10508,1300;-433;-984,-0.06806339;0.234733;1.161162,-0.07326994;0.01299415;1.228814,0.08980233;-0.0186351;1.204968,0.1178234;-0.2389662;1.07873,0.1276753;-0.4176312;0.9571392,0.1329236;-0.4513699;0.9191363,-0.07275471;-0.4570037;1.275355,0
262,-40;12060;10484,1092;-569;-817,-0.06879701;0.2355043;1.162079,-0.07346254;0.01348231;1.22894,0.08927722;-0.01691809;1.203782,0.1166963;-0.2372856;1.077421,0.1275391;-0.4177178;0.9559057,0.131771;-0.4508449;0.916332,-0.07271298;-0.4566522;1.275034,0
297,376;12112;10572,1120;-280;-1060,-0.06955674;0.2363349;1.163252,-0.07407773;0.01431687;1.229551,0.08878602;-0.01604961;1.203244,0.115966;-0.2362028;1.076395,0.1274823;-0.4176902;0.9554719,0.1322307;-0.4518951;0.9174597,-0.07299689;-0.4561269;1.275015,0
327,96;11920;10388,1058;-472;-974,-0.07008229;0.2368777;1.163698,-0.07419465;0.01471922;1.229496,0.08844123;-0.01508218;1.202232,0.1149337;-0.2341867;1.07323,0.127179;-0.4173215;0.9531956,0.1298021;-0.4511951;0.9154093,-0.07314695;-0.4554446;1.27432,0
363,-100;11924;10148,1247;-713;-857,-0.07049897;0.2372924;1.164261,-0.07437034;0.01508696;1.2296,0.08833156;-0.01390975;1.201179,0.1142812;-0.2325559;1.071182,0.1268221;-0.4160661;0.9514846,0.1306401;-0.4497687;0.9127923,-0.07298589;-0.4550565;1.273847,0
397,212;11976;10112,1465;-450;-1050,-0.07140249;0.2383302;1.165838,-0.07465111;0.01575489;1.230156,0.08814048;-0.01363355;1.201008,0.114021;-0.2316941;1.069925,0.1266794;-0.4157662;0.9496514,0.1320773;-0.4487154;0.9112623,-0.07290081;-0.4548545;1.273894,0
