Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
12068,0.1119307;-0.2418828;0.8657162,0.04042327;-0.1993834;0.8987987,-0.09157765;-0.08858664;0.9668636,-0.1905293;0.1198479;1.037831,-0.02473299;0.1558765;1.074767,-0.01258892;-0.3536483;1.216724,2
12098,0.1164762;-0.2473;0.8652313,0.04132476;-0.198998;0.8986583,-0.09147114;-0.0882449;0.9663222,-0.1905304;0.1199505;1.037823,-0.02348058;0.1556167;1.07462,-0.01282766;-0.3534401;1.216749,2
12133,0.1169922;-0.2498125;0.8633845,0.04355296;-0.200105;0.8973163,-0.09116141;-0.08766613;0.9651543,-0.1904988;0.1200324;1.037711,-0.02246238;0.1553449;1.07428,-0.01274951;-0.353177;1.216738,2
12167,0.1164105;-0.2523588;0.8686546,0.04448061;-0.2010304;0.8976384,-0.09099194;-0.08724107;0.9650971,-0.1904891;0.1200762;1.037717,-0.02378976;0.1557125;1.074385,-0.01282743;-0.353161;1.216684,2
12201,0.1174651;-0.2574643;0.8720067,0.04605772;-0.2038344;0.8986871,-0.09072989;-0.08731763;0.9650563,-0.1904804;0.1201018;1.037716,-0.02444327;0.1558567;1.074491,-0.0127986;-0.3531674;1.216632,2
12234,0.1224983;-0.2661637;0.8739569,0.05112195;-0.2119476;0.8997556,-0.09049004;-0.08738495;0.9652002,-0.190457;0.1201291;1.037721,-0.02494225;0.1559953;1.074529,-0.01275507;-0.3532509;1.216551,2
12269,0.1200282;-0.2714181;0.8812497,0.05067779;-0.2130365;0.9019143,-0.09017833;-0.08758964;0.9658232,-0.190439;0.1201472;1.037737,-0.02556573;0.1561816;1.074837,-0.01280285;-0.35331;1.216537,2
12299,0.1239311;-0.2798412;0.8830309,0.05578724;-0.221485;0.9034958,-0.08961783;-0.08824594;0.9664049,-0.1904217;0.1201634;1.037747,-0.02389121;0.1557633;1.074845,-0.01289063;-0.3533459;1.216549,2
12332,0.1275055;-0.2878545;0.8869495,0.05915834;-0.2276377;0.9055327,-0.0895755;-0.08811572;0.9675102,-0.1903984;0.1201736;1.03777,-0.02478159;0.1560942;1.075261,-0.01302505;-0.3534453;1.216632,2
12367,0.1303982;-0.2979288;0.8900188,0.06543082;-0.2370228;0.90592,-0.08910514;-0.08866616;0.9683782,-0.1903741;0.1201751;1.037768,-0.02532861;0.1562568;1.075309,-0.01293951;-0.3535458;1.216538,2
12399,0.1290984;-0.3008297;0.8932868,0.0655704;-0.2380206;0.9070101,-0.08880229;-0.08931831;0.969498,-0.1903239;0.1201683;1.037765,-0.02570719;0.1563405;1.075279,-0.0129541;-0.3535975;1.216507,2
12434,0.13101;-0.3083812;0.8979478,0.06851006;-0.2442599;0.9095339,-0.08903415;-0.08988117;0.9714571,-0.1902876;0.120184;1.037802,-0.02390942;0.1557669;1.075293,-0.01298328;-0.3537526;1.21654,2
12467,0.1306753;-0.3099907;0.8996495,0.0692175;-0.2462274;0.9097745,-0.0890596;-0.08992649;0.9718314,-0.1902431;0.1201839;1.037783,-0.0243432;0.1557952;1.075023,-0.0129395;-0.3539883;1.216278,2
12500,0.1313052;-0.3113717;0.8994554,0.06982125;-0.2477088;0.9099413,-0.08904489;-0.09013736;0.9721212,-0.1902168;0.1201723;1.037775,-0.02485674;0.1557212;1.074697,-0.01296622;-0.3543956;1.215864,2
12533,0.1319673;-0.3126055;0.9019243,0.07003931;-0.2489246;0.9109491,-0.08948444;-0.09062222;0.973851,-0.1901741;0.1201708;1.037852,-0.025217;0.1558148;1.074858,-0.01292638;-0.3544655;1.215964,2
12566,0.1323725;-0.3117453;0.9007016,0.07015977;-0.2493625;0.9112884,-0.0901869;-0.09046545;0.975071,-0.1901274;0.1201823;1.037899,-0.023445;0.1553057;1.074821,-0.01290701;-0.3545412;1.215992,2
12600,0.132386;-0.3108322;0.8983508,0.06959668;-0.2487317;0.9116827,-0.09030706;-0.09044977;0.9753543,-0.1901021;0.120161;1.037919,-0.02419982;0.1553377;1.074894,-0.01290058;-0.3546146;1.215986,2
