Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
768,-0.07964884;-0.09700978;1.272051,0.08188008;-0.1133123;1.264257,0.001268108;-0.2977705;1.118189,-0.1031155;-0.3887379;0.9843891,-0.2104464;-0.4133047;0.8989854,-0.05746757;-0.5514338;1.30859,0
802,-0.08046855;-0.09720394;1.270793,0.08226666;-0.1134448;1.263032,0.02373271;-0.2753539;1.14476,-0.08074057;-0.3650048;1.00991,-0.2113563;-0.4048786;0.8898654,-0.05735004;-0.5512695;1.307997,0
833,-0.07989127;-0.09692446;1.271496,0.08246116;-0.1135522;1.262733,0.02409293;-0.2751525;1.146031,-0.08091012;-0.3630747;1.010406,-0.2114797;-0.4031691;0.8888584,-0.05712643;-0.5512426;1.308192,0
866,-0.07936941;-0.09663008;1.272005,0.08274259;-0.1136551;1.262144,0.004537155;-0.2935888;1.12677,-0.09901565;-0.3768416;0.9870385,-0.2097755;-0.4033822;0.8851716,-0.05731645;-0.5512554;1.308172,0
898,-0.07874179;-0.09637964;1.272403,0.08272308;-0.1135459;1.262241,-0.01492898;-0.2929358;1.096508,-0.1119611;-0.4095391;0.9793656,-0.1993855;-0.4082692;0.8889019,-0.05740263;-0.551105;1.308453,0
931,-0.0781036;-0.09599924;1.273042,0.08270214;-0.1134493;1.262363,0.02464147;-0.2751084;1.154504,-0.09568577;-0.3778951;1.006892,-0.14244;-0.4004248;0.9552573,-0.05771087;-0.550915;1.308852,0
966,-0.0777058;-0.09583049;1.272875,0.08317998;-0.1137511;1.260771,0.02474566;-0.2751311;1.154504,-0.09514952;-0.3782368;1.007384,-0.133806;-0.4033599;0.9678658,-0.0579858;-0.5508019;1.308734,0
998,-0.0775952;-0.09574708;1.273012,0.08318158;-0.1135807;1.261014,0.01669108;-0.2869325;1.148813,-0.1234421;-0.4164463;0.9860453,-0.1819571;-0.4401703;0.910938,-0.05847145;-0.5506078;1.308926,0
1031,-0.07747778;-0.09573087;1.273111,0.08316769;-0.1134524;1.261215,0.0229401;-0.2831289;1.156262,-0.1214724;-0.4192519;0.9908055,-0.1687535;-0.4501808;0.9368007,-0.05860864;-0.5507212;1.308892,0
1066,-0.07729446;-0.09573077;1.273174,0.08352494;-0.1137479;1.260818,0.009715324;-0.3032298;1.14259,-0.120927;-0.4262474;0.9918181,-0.170184;-0.4599941;0.9350471,-0.05882466;-0.5507471;1.308949,0
1098,-0.07720755;-0.09574704;1.273168,0.08349431;-0.113594;1.260955,0.008463298;-0.3074153;1.143436,-0.1171595;-0.4330426;0.9973401,-0.1645851;-0.4694049;0.9440864,-0.05891197;-0.5508593;1.30887,0
1132,-0.07707337;-0.09573345;1.273225,0.08386397;-0.1137593;1.260727,0.008965979;-0.3075908;1.144645,-0.1080104;-0.4387763;1.02134,-0.1469221;-0.4692055;0.9736699,-0.05892146;-0.5510597;1.308988,0
1166,-0.07696165;-0.0957689;1.273335,0.08408314;-0.1138757;1.260641,0.01015882;-0.3089218;1.146343,-0.1039454;-0.4402729;1.028764,-0.1399771;-0.4717196;0.9832848,-0.05902908;-0.5511992;1.309143,0
1199,-0.07682107;-0.09580404;1.273002,0.0840379;-0.1138042;1.260702,0.01049044;-0.309798;1.146356,-0.1029973;-0.4405027;1.029682,-0.1391341;-0.4690732;0.9832035,-0.05882868;-0.5514334;1.308874,0
1232,-0.07658982;-0.09602683;1.273733,0.08426622;-0.1139024;1.260832,0.01200636;-0.311512;1.149513,-0.1018088;-0.4410369;1.031832,-0.1417828;-0.4688233;0.9839277,-0.05898104;-0.5517623;1.309292,0
1265,-0.0764683;-0.09605189;1.273752,0.08444156;-0.1139202;1.260753,0.01240675;-0.3118373;1.1495,-0.1014733;-0.4405646;1.031298,-0.142416;-0.4621976;0.9797371,-0.0589807;-0.5517897;1.3093,0
1298,-0.07634746;-0.09600602;1.27391,0.08438934;-0.1134325;1.261502,0.01259185;-0.3119554;1.149306,-0.1038045;-0.4403829;1.024844,-0.1486707;-0.4583536;0.9735041,-0.0590535;-0.551765;1.309582,0
1331,-0.0762825;-0.096059;1.273915,0.08431821;-0.1131544;1.261814,0.01288139;-0.3123335;1.146988,-0.110393;-0.4368552;1.016409,-0.1784096;-0.4584255;0.9386889,-0.05904459;-0.5517704;1.309571,0
1365,-0.07616565;-0.09601705;1.273869,0.08469994;-0.1128983;1.261587,0.01199815;-0.3128548;1.141354,-0.1283148;-0.4267419;0.9954198,-0.182112;-0.4362398;0.9358829,-0.05891493;-0.5517418;1.309445,0
1399,-0.07591602;-0.09591553;1.273872,0.08515547;-0.1125657;1.261365,0.01262;-0.3121832;1.138981,-0.1065886;-0.3899649;1.009394,-0.1307485;-0.3948107;0.9937521,-0.05815988;-0.5512171;1.309247,0
1434,-0.07565075;-0.09586412;1.273913,0.08508492;-0.1121116;1.261899,0.0123643;-0.3098147;1.134012,-0.1359856;-0.3806106;1.004355,-0.2093811;-0.380034;0.9243996,-0.05734205;-0.5508919;1.30868,0
1468,-0.07549933;-0.09573958;1.273947,0.08499418;-0.111752;1.262251,0.05920867;-0.2755274;1.159675,-0.07629281;-0.3374215;1.037506,-0.2152904;-0.3461961;0.934755,-0.05705917;-0.5505085;1.308344,0
1497,-0.07514874;-0.09567837;1.274002,0.08496485;-0.1113677;1.262505,0.01203062;-0.297722;1.091599,-0.1505361;-0.3365674;0.997714,-0.2258954;-0.3041534;0.9430873,-0.0571543;-0.5495389;1.308126,0
1531,-0.07478078;-0.09536905;1.274335,0.0857646;-0.110525;1.262799,0.01161209;-0.2956312;1.091005,-0.2039946;-0.2781292;0.9846472,-0.2340874;-0.2602675;0.9618597,-0.05731989;-0.5476391;1.309183,0
1566,-0.0745208;-0.0951516;1.274186,0.08649253;-0.1094738;1.261888,0.05945759;-0.2634766;1.143841,-0.1604029;-0.2682668;1.007481,-0.2327154;-0.2185876;0.9772328,-0.05728443;-0.54618;1.309511,0
1598,-0.07418668;-0.09500684;1.274373,0.08635439;-0.1092191;1.262102,0.059685;-0.2632119;1.143951,-0.1621961;-0.2366203;1.013433,-0.2354148;-0.1747326;0.9998197,-0.05750277;-0.5459107;1.309895,0
1634,-0.07382438;-0.09479712;1.27423,0.08625627;-0.1090527;1.262126,0.05826153;-0.2611898;1.141669,-0.1708773;-0.2037664;1.037057,-0.2299184;-0.140545;1.024384,-0.05767175;-0.5456835;1.310154,0
1668,-0.07369977;-0.09473854;1.274136,0.08599398;-0.108818;1.261944,0.05463106;-0.256272;1.136096,-0.107129;-0.1895199;1.056323,-0.2204921;-0.1085036;1.045195,-0.05770553;-0.5456963;1.310177,0
1700,-0.07338922;-0.09463471;1.274268,0.08571412;-0.1084669;1.261858,0.05202404;-0.2491071;1.128387,-0.1686649;-0.1341371;1.061556,-0.215083;-0.0826733;1.073873,-0.05781196;-0.5457944;1.310813,0
1731,-0.07320847;-0.09427336;1.274325,0.0853788;-0.107944;1.261656,0.05014474;-0.2400374;1.119474,-0.1623142;-0.1247641;1.078397,-0.2085224;-0.05806508;1.093547,-0.05776653;-0.5456476;1.311341,0
1764,-0.07362272;-0.09234684;1.274144,0.08508285;-0.1072572;1.261398,0.04934148;-0.2346269;1.1148,-0.1063668;-0.127628;1.092269,-0.1764193;-0.06471155;1.103478,-0.05810467;-0.545369;1.31216,0
1798,-0.07423604;-0.08962677;1.272859,0.0847261;-0.106477;1.260946,0.04951372;-0.2289525;1.109836,-0.1083058;-0.1290191;1.069988,-0.1412225;-0.08094361;1.108526,-0.05824333;-0.5452296;1.312404,0
1830,-0.07732737;-0.08994607;1.270783,0.08427423;-0.1056612;1.260549,0.05039188;-0.2239374;1.105618,-0.1118573;-0.1299331;1.070668,-0.1258537;-0.08184997;1.113767,-0.05857219;-0.5451804;1.312843,0
1867,-0.0793121;-0.09055384;1.268623,0.08371327;-0.104696;1.260021,0.05112247;-0.2190225;1.101699,-0.09291838;-0.09591793;1.087888,-0.1325183;-0.05321584;1.126569,-0.05867719;-0.5451349;1.312919,0
1899,-0.07989963;-0.09081428;1.267637,0.08323058;-0.1039092;1.259898,0.05130357;-0.2163557;1.10002,-0.09177289;-0.09204548;1.090899,-0.1272198;-0.04979633;1.133491,-0.05894986;-0.5453798;1.313999,0
1932,-0.08116136;-0.09239095;1.265699,0.08272628;-0.1030728;1.259171,0.05205198;-0.2118108;1.096362,-0.09115639;-0.08788512;1.094222,-0.1250982;-0.04307397;1.135019,-0.05888687;-0.5455739;1.314047,0
1965,-0.0817983;-0.09317029;1.265018,0.08247068;-0.1024944;1.259055,0.05312511;-0.2100266;1.095153,-0.08259639;-0.08073653;1.113477,-0.1314607;-0.02874293;1.145801,-0.0589653;-0.5460188;1.314845,0
1998,-0.08235367;-0.09367263;1.264208,0.08220739;-0.1018853;1.258772,0.05475581;-0.2086349;1.093995,-0.08191591;-0.07999113;1.110694,-0.1275689;-0.03062424;1.144399,-0.0590791;-0.5463485;1.315369,0
2032,-0.0825408;-0.09391996;1.263865,0.08210477;-0.101024;1.258752,0.0591974;-0.2055079;1.091753,-0.08169515;-0.08204596;1.110706,-0.1267133;-0.03238178;1.144626,-0.05904895;-0.5465997;1.316168,0
2067,-0.08291565;-0.09437773;1.263434,0.08199967;-0.09994365;1.258876,0.06426845;-0.2019655;1.089652,-0.08051995;-0.08389279;1.111543,-0.1298206;-0.03095654;1.143258,-0.05904857;-0.5467033;1.316321,0
