Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
563,12432;-8932;3216,1831;-798;-670,-0.06969564;0.03116977;1.238433,-0.2037145;-0.2933454;0.8067278,-0.2016974;-0.275949;0.8693771,-0.2769904;-0.311277;1.09076,-0.2338136;-0.2279675;1.266084,-0.0633187;-0.1879503;1.28424,-0.06917498;-0.6123212;1.296193,0
596,12460;-8968;3140,995;-1153;-320,-0.06926373;0.03161041;1.239445,-0.2037881;-0.2736918;0.8091848,-0.2020645;-0.2690146;0.8718204,-0.2804542;-0.305948;1.090252,-0.2323884;-0.2267671;1.266245,-0.06293428;-0.1873999;1.284796,-0.06797622;-0.6113429;1.296145,0
629,12308;-7828;2896,321;-874;708,-0.06859736;0.0320168;1.2409,-0.2066901;-0.2595332;0.8127897,-0.2354099;-0.2963184;0.8741966,-0.2871126;-0.2966299;1.089942,-0.2311628;-0.2252257;1.266978,-0.06250446;-0.1869515;1.285397,-0.06733743;-0.6108824;1.296175,0
664,11336;-7728;2908,-320;-1267;914,-0.06817523;0.03256073;1.242647,-0.2074529;-0.2449407;0.816148,-0.2363557;-0.288115;0.8749493,-0.2897891;-0.2891267;1.089915,-0.2294259;-0.2236303;1.267838,-0.06206718;-0.1865452;1.286075,-0.06671968;-0.6106642;1.296391,0
698,11696;-7820;3160,-1578;-1369;1719,-0.06780942;0.0329441;1.243559,-0.2062922;-0.2307591;0.8183398,-0.2356053;-0.2697953;0.8702376,-0.310904;-0.2798741;1.097824,-0.2273751;-0.2216383;1.268334,-0.06168451;-0.1862502;1.286562,-0.06630878;-0.6103607;1.296393,0
730,12008;-7636;2596,-2641;-1612;3023,-0.06723548;0.03373434;1.245483,-0.2044378;-0.2179035;0.8222526,-0.2513008;-0.2748441;0.8808585,-0.2939264;-0.3575015;1.053154,-0.2256674;-0.2202777;1.269547,-0.06117768;-0.1857712;1.287617,-0.06578465;-0.6100406;1.296767,0
760,11160;-9588;2176,-1597;-1809;5469,-0.06686897;0.03404471;1.246187,-0.2059554;-0.2099548;0.8222291,-0.2572993;-0.2801656;0.8957736,-0.2959211;-0.3681518;1.099707,-0.2237821;-0.2188019;1.270284,-0.06091949;-0.1855297;1.287971,-0.06547212;-0.6099184;1.296771,0
794,10964;-11040;952,-4135;-1959;5146,-0.06656584;0.0341957;1.246632,-0.2060709;-0.2041429;0.8233952,-0.2544102;-0.265745;0.8856881,-0.295645;-0.3676311;1.100191,-0.2277611;-0.2205063;1.269278,-0.06053026;-0.1853043;1.288434,-0.0649884;-0.6097622;1.296808,0
829,10244;-11600;428,-3210;-2016;5532,-0.06608544;0.03451954;1.247925,-0.2048571;-0.1980653;0.824544,-0.2545433;-0.2640735;0.886043,-0.2953219;-0.3665332;1.10092,-0.2228685;-0.2186898;1.271106,-0.06021884;-0.1850982;1.289143,-0.06474005;-0.6096725;1.297,0
862,10400;-12544;-276,-4196;-1884;6009,-0.06577309;0.03468926;1.24841,-0.2040269;-0.1950245;0.8241052,-0.2546998;-0.2624763;0.8868974,-0.2952986;-0.3654662;1.101334,-0.2205379;-0.2177887;1.271956,-0.05996376;-0.1849553;1.289317,-0.06452278;-0.6095673;1.297038,0
898,8876;-12788;-484,-3415;-1894;6652,-0.06548756;0.03477872;1.248802,-0.2042227;-0.1950563;0.8252079,-0.254882;-0.2617823;0.8879404,-0.2951722;-0.3643915;1.101104,-0.2192092;-0.2169937;1.272474,-0.05970349;-0.1848306;1.289558,-0.06444743;-0.6095041;1.297055,0
928,8708;-13548;-1132,-4476;-2019;6432,-0.06530105;0.03478042;1.248785,-0.2031509;-0.195885;0.8229202,-0.2547826;-0.2606093;0.8871503,-0.295153;-0.3641047;1.100912,-0.2184842;-0.2165871;1.272277,-0.05956053;-0.1847634;1.289482,-0.06409687;-0.6093698;1.296723,0
963,7524;-13528;-2332,-4016;-2190;6558,-0.06503614;0.03478212;1.248952,-0.2026758;-0.2009114;0.8236303,-0.2550304;-0.2603719;0.8869769,-0.2951675;-0.3640641;1.101067,-0.2180752;-0.2162317;1.272445,-0.0593651;-0.1846513;1.289603,-0.06399678;-0.6093343;1.296729,0
996,7068;-14472;-3176,-5150;-2047;7087,-0.06480934;0.03482484;1.248923,-0.2020786;-0.2073417;0.8198172,-0.2555061;-0.2645071;0.8894209,-0.2975511;-0.366493;1.092537,-0.2179402;-0.2160191;1.272334,-0.05908691;-0.1845435;1.289511,-0.06374888;-0.6091445;1.296589,0
1028,5372;-14616;-4532,-4367;-1549;7561,-0.06447601;0.03490267;1.249486,-0.2015792;-0.2161016;0.8226764,-0.2476003;-0.2665286;0.889385,-0.3003277;-0.3697448;1.083491,-0.2178975;-0.2159695;1.272583,-0.0587901;-0.1844812;1.290017,-0.06360015;-0.6091511;1.296888,0
1062,5208;-16324;-3652,-3646;-1202;7756,-0.06436004;0.0348718;1.249463,-0.2001732;-0.2260556;0.8180929,-0.2447812;-0.2697052;0.8855194,-0.300564;-0.3712855;1.074921,-0.2179391;-0.2159276;1.272434,-0.0587074;-0.1844703;1.290034,-0.06348682;-0.6090917;1.296919,0
1098,4296;-14848;-4304,-2738;-1462;7741,-0.06426945;0.03482734;1.249464,-0.1994829;-0.2381116;0.81716,-0.2445583;-0.2766447;0.8817803,-0.3040895;-0.3741682;1.078851,-0.2181473;-0.2159877;1.272461,-0.05856436;-0.1844508;1.290112,-0.0633393;-0.6090639;1.297019,0
1128,3004;-15916;-3868,-4027;-1855;8181,-0.06408411;0.03469939;1.249327,-0.1983894;-0.2508616;0.8123115,-0.2444033;-0.2867205;0.8763751,-0.3064764;-0.3704832;1.073185,-0.2213709;-0.217336;1.271375,-0.05849579;-0.1844394;1.290046,-0.06330869;-0.608991;1.296999,0
1163,1532;-15184;-4960,-3819;-2144;8712,-0.0640148;0.03469447;1.249296,-0.1974069;-0.2665107;0.8092309,-0.2544117;-0.3024942;0.8791622,-0.306315;-0.3708083;1.070817,-0.2233981;-0.218459;1.270615,-0.05847375;-0.1844421;1.290055,-0.06329709;-0.6089519;1.297019,0
1196,512;-15740;-4636,-2728;-2784;9732,-0.06396925;0.03467582;1.249287,-0.1978171;-0.2855199;0.8072403,-0.208537;-0.3411241;0.867092,-0.3049676;-0.3719448;1.069171,-0.2248879;-0.2194836;1.270091,-0.05845853;-0.1844427;1.290047,-0.06323835;-0.6088122;1.297076,0
1228,-500;-16504;-4856,-3748;-3377;9956,-0.0638508;0.03446872;1.248956,-0.1979266;-0.3055125;0.8050848,-0.2055702;-0.3175136;0.8594189,-0.2691587;-0.3109181;1.09828,-0.2258799;-0.2202909;1.269735,-0.05845446;-0.1844862;1.290006,-0.06325761;-0.6088091;1.297119,0
1260,-1616;-16740;-6260,-1682;-4122;10341,-0.06382515;0.03430518;1.248549,-0.1980581;-0.3271274;0.8049644,-0.2050975;-0.3353759;0.8607229,-0.2673539;-0.3171826;1.101016,-0.2259258;-0.2208628;1.269642,-0.05847765;-0.1845557;1.289956,-0.06344392;-0.6088659;1.297193,0
1297,-2608;-18088;-6904,-3348;-4602;9037,-0.06383776;0.03405317;1.247923,-0.1988876;-0.3487511;0.807054,-0.2340207;-0.3822964;0.9397982,-0.3170158;-0.3704612;1.187641,-0.225884;-0.221485;1.269324,-0.05855433;-0.1847328;1.289725,-0.06365387;-0.6091256;1.29718,0
1328,-3624;-17020;-8516,-4241;-3630;7319,-0.063804;0.03396311;1.24762,-0.2012302;-0.3721584;0.8118008,-0.2667127;-0.3924545;0.9324445,-0.3116463;-0.374875;1.189592,-0.2256929;-0.2218722;1.269089,-0.05861522;-0.1849074;1.289522,-0.06400242;-0.6094273;1.297167,0
1361,-4212;-17812;-8544,-1335;-3419;7381,-0.06393521;0.03383458;1.246773,-0.2036442;-0.3980902;0.8159007,-0.2651258;-0.3991224;0.9356081,-0.307657;-0.3789678;1.192972,-0.2254489;-0.2223817;1.268729,-0.05870013;-0.1850964;1.28933,-0.06409481;-0.6098776;1.297147,0
1396,-4784;-16784;-8752,-2564;-2805;5000,-0.06407973;0.03358148;1.245604,-0.188747;-0.4287521;0.7943113,-0.2386611;-0.4093598;0.9433553,-0.3047762;-0.3819474;1.195002,-0.2251241;-0.2229531;1.267905,-0.05890042;-0.1854692;1.288484,-0.06490627;-0.6105383;1.296666,0
1428,-5212;-17800;-8636,269;-2745;4738,-0.06415873;0.03347402;1.245522,-0.2244994;-0.4523985;0.8460569,-0.2805323;-0.4755722;1.02958,-0.3025965;-0.3859235;1.200879,-0.2250849;-0.223634;1.268133,-0.05903722;-0.1856766;1.288512,-0.06574279;-0.6115923;1.29703,0
1462,-5584;-16080;-8648,-256;-1249;2807,-0.06448114;0.03308448;1.244378,-0.2368441;-0.4704614;0.8798651,-0.281826;-0.4908221;1.036634,-0.301864;-0.3901424;1.201601,-0.2250093;-0.2240701;1.267917,-0.05920054;-0.1859196;1.288067,-0.0663745;-0.6121242;1.296802,0
1498,-5832;-14960;-7788,-776;-1141;1421,-0.06479132;0.03298231;1.243782,-0.2622527;-0.496698;0.9389077,-0.2775806;-0.5186657;1.05673,-0.3019958;-0.3943217;1.202971,-0.2250161;-0.2245944;1.267591,-0.05938148;-0.186156;1.287724,-0.06668296;-0.6124506;1.296858,0
1528,-5628;-13788;-7568,-553;-901;1150,-0.06544762;0.03244524;1.242472,-0.2652194;-0.5120925;0.9411417,-0.280446;-0.5196272;1.054928,-0.3016376;-0.398589;1.204537,-0.225068;-0.225017;1.267434,-0.05952368;-0.1863192;1.287453,-0.06687605;-0.6126402;1.296902,0
1564,-6096;-14728;-7740,-70;-1471;2093,-0.06594574;0.03228449;1.241802,-0.2818927;-0.5198288;1.001956,-0.2811565;-0.5356962;1.067962,-0.3016795;-0.4024499;1.206144,-0.2251475;-0.2254337;1.267385,-0.05981015;-0.1865424;1.287056,-0.06696931;-0.6128398;1.296941,0
1595,-6484;-15448;-8208,1300;-1722;1318,-0.06656846;0.03210606;1.24103,-0.2869424;-0.5286934;1.022069,-0.2817513;-0.5456795;1.076621,-0.3017044;-0.4062567;1.208159,-0.2252759;-0.2258328;1.267428,-0.06021841;-0.1868142;1.28658,-0.06713199;-0.6130743;1.297127,0
1629,-6632;-15280;-8184,-706;-1032;-72,-0.06720157;0.03191291;1.24021,-0.2853211;-0.5440109;1.045664,-0.2820861;-0.5516205;1.082042,-0.3019913;-0.4094153;1.210312,-0.2253273;-0.2261331;1.267386,-0.06055868;-0.1871392;1.286173,-0.06720102;-0.6132321;1.297235,0
1661,-6520;-14108;-8500,435;-943;-258,-0.0676548;0.03169305;1.239955,-0.2926;-0.5438462;1.053387,-0.2833071;-0.5581872;1.088967,-0.3030104;-0.4130562;1.213645,-0.2254567;-0.2265509;1.267747,-0.06078569;-0.1873254;1.286086,-0.06750994;-0.6135423;1.297871,0
1697,-6708;-13640;-8040,1081;-922;-303,-0.06828821;0.0312806;1.239125,-0.2924936;-0.5515291;1.055301,-0.2841295;-0.5599694;1.09102,-0.303438;-0.4140348;1.214729,-0.2255236;-0.2269657;1.267668,-0.06100845;-0.1875713;1.285793,-0.06771426;-0.6136755;1.297968,0
1731,-6652;-13376;-7972,602;-880;-285,-0.06876264;0.03124229;1.238831,-0.2925687;-0.5535324;1.058094,-0.284874;-0.5634732;1.094631,-0.3040161;-0.4157318;1.216002,-0.2256647;-0.2273044;1.267684,-0.06123715;-0.1877862;1.285531,-0.06780146;-0.6137667;1.298003,0
