Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,15176;1004;-796,904;-2419;-4362,-0.168031;0.1346141;1.290224,-0.1764165;-0.08224747;1.329086,-0.01097586;-0.1037535;1.353497,0.04084673;-0.3511356;1.302284,0.1130029;-0.4511199;1.153487,0.1263778;-0.45324;1.051066,-0.1553119;-0.544916;1.391717,0
31,14924;1688;-1144,1126;-3091;-5844,-0.167955;0.1345624;1.290102,-0.1764163;-0.08224688;1.329086,-0.01093105;-0.1037798;1.353494,0.04093308;-0.3511006;1.301919,0.1238258;-0.4840813;1.102607,0.1254595;-0.457779;1.051261,-0.1554221;-0.5448806;1.391687,0
66,14964;2948;-1424,442;-3690;-6667,-0.1677415;0.1344934;1.289554,-0.1762788;-0.08229243;1.328628,-0.01104752;-0.1036418;1.353205,0.04087047;-0.3508468;1.3009,0.1181517;-0.4414202;1.069385,0.1266886;-0.4481521;1.044969,-0.1553684;-0.5448268;1.391314,0
97,15040;3960;-1932,1140;-4686;-7512,-0.1677438;0.1344935;1.289663,-0.1762489;-0.08229286;1.328654,-0.01069495;-0.1038454;1.353818,0.04129878;-0.3507962;1.29998,0.1192023;-0.4363125;1.066708,0.1284449;-0.4503065;1.043494,-0.155324;-0.5448841;1.391524,0
132,15280;5376;-3384,2192;-4743;-7344,-0.1677435;0.1345069;1.289697,-0.1762941;-0.08226106;1.328811,-0.01054874;-0.1037886;1.354242,0.04113537;-0.3508163;1.30049,0.1189625;-0.4346178;1.066556,0.1275104;-0.4479896;1.044802,-0.1554759;-0.5447282;1.391876,0
165,15372;6408;-3664,1090;-4160;-7218,-0.1677193;0.1345004;1.289597,-0.1762496;-0.08225338;1.328796,-0.01068129;-0.1036784;1.354086,0.04117967;-0.350597;1.299857,0.1091428;-0.4355786;1.123497,0.1276072;-0.4472045;1.042676,-0.155488;-0.5447268;1.391866,0
198,14988;6508;-3896,2209;-3862;-7704,-0.1676809;0.1344748;1.28918,-0.1762224;-0.08222891;1.328676,-0.01086972;-0.1035654;1.353771,0.04119114;-0.3503063;1.298668,0.1183866;-0.4456114;1.069077,0.125861;-0.4434978;1.03734,-0.1556365;-0.5446979;1.391724,0
231,14108;7160;-3744,1297;-3974;-7922,-0.1676883;0.1344846;1.289122,-0.1762118;-0.08223667;1.328667,-0.01098741;-0.1034561;1.353691,0.04131838;-0.3500672;1.298093,0.1190287;-0.4429369;1.067654,0.1265755;-0.4384747;1.036002,-0.155655;-0.5446859;1.391681,0
267,13660;7892;-4444,2186;-4352;-7881,-0.1676494;0.1344011;1.288604,-0.1761621;-0.08218487;1.328294,-0.01118384;-0.103233;1.353337,0.04107154;-0.3497059;1.29681,0.119941;-0.4399644;1.065704,0.1263349;-0.4325925;1.032702,-0.1557179;-0.5445064;1.391251,0
298,12964;8548;-4880,2025;-4199;-7819,-0.1676736;0.1343928;1.28835,-0.1761529;-0.08216355;1.327989,-0.01117044;-0.1031775;1.353305,0.04217204;-0.3487327;1.292864,0.1214679;-0.4294724;1.058313,0.1279303;-0.4221018;1.022777,-0.1557372;-0.5444193;1.390933,0
331,12344;8476;-5156,1682;-3764;-9055,-0.1676795;0.1343946;1.288359,-0.1761641;-0.08215968;1.327996,-0.01132929;-0.1030092;1.353245,0.044339;-0.3476622;1.290733,0.1185166;-0.4102491;1.09157,0.129025;-0.4116464;1.020257,-0.1557905;-0.54439;1.390973,0
365,11800;9344;-4708,-352;-3752;-9491,-0.1677601;0.1344164;1.288557,-0.176209;-0.08215831;1.328093,-0.01125613;-0.1027507;1.35401,0.04487649;-0.3468548;1.289264,0.1201784;-0.4064018;1.081362,0.1287781;-0.4023215;1.022452,-0.1559673;-0.5444331;1.391034,0
399,11108;10056;-5300,2175;-5188;-9403,-0.1677828;0.1344275;1.288566,-0.176277;-0.08213002;1.328016,-0.01141792;-0.1026119;1.353863,0.04604813;-0.3459401;1.286866,0.121672;-0.3932847;1.068496,0.1293709;-0.386788;1.014188,-0.1562294;-0.5445014;1.39094,0
432,10952;11264;-5644,1252;-4683;-10030,-0.1682723;0.134766;1.289596,-0.1766119;-0.08203611;1.329018,-0.01136573;-0.102469;1.355601,0.04807607;-0.3446303;1.285486,0.1205182;-0.3814652;1.068284,0.1306843;-0.3744745;1.014718,-0.1565621;-0.5447896;1.391609,0
466,10068;11388;-6060,1443;-5348;-9980,-0.1684708;0.1349182;1.289817,-0.1767022;-0.08197311;1.329077,-0.01140507;-0.102226;1.355932,0.04897084;-0.3435154;1.283075,0.1173469;-0.3712151;1.06388,0.1313113;-0.3579018;1.007701,-0.1567336;-0.5447977;1.391692,0
501,9776;12576;-6500,1794;-5411;-10421,-0.1686931;0.1350686;1.289892,-0.1767405;-0.08189647;1.329124,-0.01141088;-0.1020524;1.356195,0.04956205;-0.3426452;1.281112,0.1179864;-0.3612228;1.062476,0.132429;-0.34412;1.00886,-0.1569012;-0.5447677;1.39173,0
531,8920;13392;-7332,329;-5402;-9846,-0.1691524;0.1353825;1.290215,-0.1768666;-0.08180673;1.329244,-0.01167358;-0.1017897;1.356035,0.05070908;-0.3411772;1.277673,0.1213515;-0.3537826;1.059914,0.1329878;-0.3285482;1.00514,-0.1570379;-0.544787;1.391789,0
565,8100;13744;-7448,1514;-5114;-9725,-0.1697266;0.1357176;1.290999,-0.1774652;-0.08168363;1.329835,-0.0119975;-0.1010504;1.357247,0.05091633;-0.3398254;1.277121,0.120943;-0.3435162;1.066066,0.1348294;-0.3126457;1.005707,-0.1573115;-0.5447979;1.392017,0
598,7268;14332;-7412,1165;-4892;-9304,-0.1699754;0.1358169;1.291022,-0.1774903;-0.08165698;1.329807,-0.01223107;-0.1007035;1.357254,0.05471978;-0.3359916;1.269027,0.1210944;-0.3248234;1.06387,0.133595;-0.294223;0.9979365,-0.1575262;-0.5447109;1.391801,0
631,6292;14424;-7828,806;-5119;-8862,-0.1702715;0.1359411;1.291125,-0.1776323;-0.08156099;1.329869,-0.01257833;-0.1004114;1.356897,0.05610434;-0.3345111;1.266501,0.1200555;-0.3181714;1.066288,0.1333974;-0.2811549;0.9988839,-0.1577814;-0.5447294;1.391758,0
665,5504;15128;-8524,1653;-4636;-8569,-0.1706176;0.1360646;1.291269,-0.1777521;-0.08147354;1.32998,-0.01286946;-0.10023;1.356618,0.06200363;-0.3308776;1.261642,0.1185815;-0.3079807;1.069052,0.1323749;-0.2679906;0.9989017,-0.1579751;-0.5447841;1.391729,0
701,4916;15168;-8592,1322;-4062;-7479,-0.1712197;0.1364419;1.291952,-0.1778794;-0.08136833;1.330286,-0.0130314;-0.09999948;1.356956,0.06358091;-0.3297466;1.261043,0.1183072;-0.2952895;1.067433,0.1323425;-0.2559854;1.001111,-0.1580753;-0.5447837;1.391797,0
735,4128;14992;-8352,956;-3892;-7409,-0.1715974;0.1365928;1.292282,-0.1780595;-0.08128056;1.330456,-0.01324808;-0.09972224;1.357274,0.06364369;-0.3286633;1.259392,0.1175773;-0.2851859;1.066708,0.1312228;-0.2466711;1.000839,-0.158145;-0.5447565;1.391804,0
767,3452;15100;-8612,1927;-3460;-7020,-0.1720751;0.1367771;1.292732,-0.1782629;-0.08117232;1.33071,-0.01341148;-0.09964795;1.357149,0.06437492;-0.3268122;1.255369,0.1171814;-0.2774082;1.066262,0.1314479;-0.2376408;0.9989611,-0.1581738;-0.5447636;1.391817,0
799,3152;15396;-8512,1132;-3522;-6689,-0.1723593;0.1368369;1.292849,-0.178446;-0.0810646;1.33071,-0.01361038;-0.09951595;1.357229,0.06436104;-0.3265217;1.255201,0.1170103;-0.2745167;1.066044,0.1311167;-0.2339862;0.9987365,-0.1582385;-0.5447175;1.391733,0
830,2400;15556;-8760,653;-3228;-5855,-0.1732221;0.1371743;1.294262,-0.1791222;-0.08072397;1.332069,-0.01420597;-0.09900022;1.358953,0.0652734;-0.3246994;1.254945,0.116986;-0.2718285;1.067717,0.1322668;-0.2311095;1.002887,-0.1584748;-0.5445927;1.392404,0
865,2068;15468;-8696,1519;-3108;-4894,-0.1736839;0.1373104;1.294506,-0.1795306;-0.0805017;1.332588,-0.0144474;-0.0987632;1.359566,0.06664421;-0.3243732;1.256761,0.1168566;-0.2703754;1.068279,0.1328937;-0.2334581;1.000949,-0.1585765;-0.5445764;1.392613,0
900,1988;15564;-9152,1939;-2617;-4255,-0.1740766;0.1373799;1.294349,-0.1796327;-0.08043383;1.332474,-0.01457932;-0.09858877;1.359481,0.06618437;-0.3242095;1.256402,0.1167964;-0.2699018;1.068115,0.1315641;-0.2380083;1.00217,-0.1586959;-0.5445076;1.392357,0
935,1256;15160;-8844,263;-1759;-3979,-0.1744769;0.1374185;1.294565,-0.1798782;-0.08034748;1.332639,-0.01472029;-0.09849297;1.359675,0.06604447;-0.3241854;1.256776,0.1170075;-0.2699397;1.069221,0.1324876;-0.2387086;1.004731,-0.1587861;-0.5445042;1.392436,0
965,1056;15016;-8800,1706;-1558;-3587,-0.1747771;0.1374526;1.294612,-0.1800705;-0.08030777;1.332763,-0.01498916;-0.09821948;1.36003,0.06607682;-0.3238375;1.257209,0.117144;-0.2703952;1.069354,0.1332168;-0.2437583;1.006171,-0.1588784;-0.5444944;1.392462,0
998,744;15572;-8256,884;-1301;-3167,-0.1750261;0.1374182;1.294329,-0.1801767;-0.08027889;1.332422,-0.01516272;-0.09806992;1.359818,0.06606088;-0.3237635;1.257322,0.1172253;-0.2717398;1.069578,0.1323472;-0.2494259;1.005743,-0.1590957;-0.5444427;1.392002,0
1031,636;14964;-8300,1397;-1356;-2680,-0.1756226;0.1376659;1.295153,-0.1804512;-0.08020815;1.33299,-0.01550979;-0.09794236;1.360928,0.06545831;-0.3239405;1.258979,0.1179529;-0.2773835;1.072319,0.1344194;-0.256983;1.009985,-0.1593914;-0.5444382;1.392466,0
1066,444;15272;-8360,1014;-1316;-2166,-0.1757585;0.1376705;1.295076,-0.1805482;-0.08018521;1.332935,-0.01566941;-0.09795199;1.36018,0.06552536;-0.3243478;1.259452,0.118275;-0.2855058;1.073102,0.1331762;-0.2655958;1.009121,-0.1595172;-0.5445053;1.392452,0
1100,44;14920;-8404,1295;-989;-1672,-0.1758668;0.1376507;1.294979,-0.1806044;-0.08018018;1.332883,-0.01578873;-0.09799356;1.359499,0.06562329;-0.324852;1.260175,0.1186246;-0.2920003;1.073863,0.1353289;-0.2734989;1.005251,-0.1596066;-0.544534;1.39234,0
1134,-8;14752;-8596,1448;-905;-1582,-0.1759153;0.1376434;1.294986,-0.180795;-0.08018534;1.333068,-0.01584858;-0.09792028;1.359666,0.06136803;-0.3276529;1.264221,0.1190391;-0.2972783;1.074018,0.135831;-0.2839627;1.00729,-0.1596945;-0.5445482;1.392413,0
1168,-300;14568;-8704,1340;-538;-1315,-0.1759286;0.137644;1.295,-0.1808087;-0.08018196;1.333063,-0.01588236;-0.09790473;1.359799,0.06029055;-0.32842;1.265593,0.1201622;-0.301908;1.074587,0.1370587;-0.2929802;1.005633,-0.1597219;-0.5445572;1.392431,0
1199,128;14504;-8336,1138;-335;-1054,-0.1759419;0.1376539;1.295003,-0.1808357;-0.08017927;1.333056,-0.01595341;-0.09798611;1.359304,0.05634177;-0.3316531;1.270839,0.1209638;-0.3108684;1.076122,0.1368776;-0.3039177;1.008196,-0.1597576;-0.5445566;1.392446,0
