Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
11065,0.02016935;-0.1534728;1.238747,0.01541271;-0.09073686;1.233709,-0.03634176;0.1210068;1.348247,-0.02043908;0.389066;1.471421,0.1256813;0.3677797;1.457031,0.1299165;-0.1119246;1.496654,2
11101,0.02565481;-0.1538233;1.235344,0.01689555;-0.09298766;1.231812,-0.03819128;0.1214677;1.347429,-0.02042629;0.3890663;1.471392,0.1256468;0.3677716;1.456949,0.1300032;-0.1119286;1.496525,2
11131,0.03215827;-0.1590672;1.239685,0.02352093;-0.09457258;1.231573,-0.03955012;0.1212555;1.348769,-0.02036806;0.3891995;1.471703,0.1256218;0.3678095;1.457051,0.1301699;-0.1119011;1.497262,2
11165,0.08297434;-0.1630996;1.226671,0.04577441;-0.1022192;1.221558,-0.03932485;0.1213591;1.348341,-0.02034458;0.3891565;1.471648,0.1256195;0.3677983;1.457041,0.1307895;-0.1121196;1.497896,2
11198,0.1340521;-0.1846743;1.218971,0.07779095;-0.1076679;1.212524,-0.03893869;0.1217024;1.347335,-0.02034928;0.3891124;1.471598,0.1255936;0.3677497;1.456954,0.1323221;-0.1123733;1.49849,2
11231,0.1458221;-0.1730466;1.227373,0.09190657;-0.1021654;1.216454,-0.03857768;0.1224687;1.346296,-0.0203374;0.3893566;1.471801,0.1256203;0.3677514;1.456989,0.1354147;-0.1124302;1.501273,2
11266,0.09660445;-0.07423776;1.21523,0.05857506;-0.01524859;1.233264,-0.04054993;0.1375521;1.350666,-0.02035708;0.3893386;1.471799,0.1256125;0.3677604;1.457006,0.1345451;-0.1126729;1.501989,2
11300,0.1455937;-0.09968814;1.22559,0.1168775;-0.03785165;1.231126,-0.0414814;0.1410531;1.353861,-0.02036473;0.3894945;1.472124,0.1255769;0.3678374;1.457269,0.1345764;-0.1124766;1.503469,2
11333,0.1389507;-0.05785172;1.213582,0.09652517;-0.006863728;1.237464,-0.0490145;0.1421154;1.3828,-0.02043158;0.3893852;1.47213,0.1255405;0.3678862;1.45739,0.1350094;-0.1123791;1.504369,2
11366,0.1577037;-0.04420694;1.210566,0.1080749;-0.007242417;1.233396,-0.0417567;0.1489938;1.363215,-0.02050975;0.3892796;1.47211,0.1255111;0.3679425;1.457433,0.1348875;-0.1121725;1.504673,2
11464,0.1977321;-0.009569447;1.213063,0.1440496;0.01114714;1.232483,-0.03889389;0.1486758;1.360311,-0.0209568;0.3887028;1.472019,0.125304;0.3680546;1.457658,0.131677;-0.1114841;1.504743,2
11482,0.1825833;0.02709934;1.220632,0.1220672;0.05873403;1.244125,-0.03813615;0.1486955;1.358528,-0.02110198;0.3883592;1.471764,0.1252596;0.3680565;1.457622,0.1316468;-0.1113744;1.504816,2
11508,0.2169482;0.03549896;1.223186,0.1583747;0.06413212;1.248124,-0.03775009;0.1493059;1.358708,-0.02115929;0.3882945;1.471784,0.125303;0.3681359;1.457934,0.1326503;-0.1105087;1.507085,2
11536,0.229252;0.05296294;1.223988,0.1688562;0.07077169;1.246886,-0.03610209;0.1505387;1.357968,-0.02127179;0.3877168;1.471375,0.125315;0.3681825;1.458058,0.1327922;-0.1102928;1.507693,2
11567,0.2482083;0.0686875;1.22529,0.1929014;0.08220319;1.241634,-0.03496926;0.1526858;1.357773,-0.02129519;0.3876289;1.471265,0.1252717;0.3682656;1.458104,0.1320605;-0.1090434;1.508563,2
11599,0.2561253;0.08644417;1.229731,0.1983521;0.08997056;1.243768,-0.03201198;0.156338;1.355342,-0.02138102;0.3875195;1.471183,0.1252311;0.3683986;1.458269,0.1309866;-0.1077395;1.509088,2
11632,0.2605587;0.1034737;1.233699,0.2010212;0.1042747;1.246559,-0.03006211;0.158101;1.35358,-0.02148071;0.3872018;1.470865,0.125216;0.368499;1.458405,0.1303375;-0.1071581;1.509389,2
11667,0.2386374;0.123581;1.246176,0.1676735;0.1332014;1.263542,-0.02688362;0.1603316;1.351437,-0.02158262;0.3866462;1.470217,0.125182;0.3685864;1.458575,0.1298821;-0.1067171;1.510264,2
11700,0.2398548;0.137633;1.248893,0.1686233;0.1352451;1.263673,-0.0263114;0.1615399;1.350904,-0.02162286;0.3863166;1.469899,0.1251951;0.3686282;1.458678,0.1298203;-0.1066783;1.510372,2
11733,0.2436156;0.1520648;1.256107,0.1712223;0.1427982;1.266871,-0.02566589;0.1627085;1.350951,-0.02163957;0.3860176;1.469684,0.125228;0.3686918;1.45886,0.1296821;-0.1066297;1.510934,2
11770,0.250654;0.1668779;1.259214,0.1781323;0.157639;1.272889,-0.02528462;0.163179;1.350641,-0.02160319;0.3858308;1.469418,0.1252436;0.3687214;1.458912,0.1296148;-0.1066005;1.511441,2
11799,0.2481802;0.1801489;1.263523,0.1756164;0.1633354;1.273598,-0.02472158;0.1646391;1.350564,-0.02156225;0.3856286;1.46912,0.1253055;0.3687513;1.458985,0.1295606;-0.1065989;1.511602,2
11831,0.2531261;0.1933677;1.262882,0.1826842;0.1740374;1.272656,-0.0239664;0.1657716;1.349619,-0.02147685;0.3852911;1.468299,0.1252565;0.3687623;1.458929,0.1295371;-0.1065852;1.511573,2
11867,0.24899;0.206541;1.273248,0.1772406;0.1842326;1.276155,-0.02326549;0.167147;1.350069,-0.02136098;0.3850743;1.46794,0.1253252;0.3687978;1.459026,0.1296016;-0.1067004;1.512139,2
11898,0.2446082;0.2176552;1.2756,0.1773468;0.1895642;1.277018,-0.02298974;0.1678488;1.349966,-0.02128179;0.384992;1.467603,0.125358;0.368853;1.459104,0.1295536;-0.1067074;1.512431,2
11933,0.2420255;0.2290753;1.280098,0.1767046;0.1971186;1.277587,-0.02293625;0.1691708;1.35016,-0.02120399;0.3850978;1.467537,0.1253605;0.3688579;1.459119,0.129472;-0.1068009;1.512716,2
11966,0.2400631;0.2406993;1.28538,0.1759122;0.2074069;1.280404,-0.02296192;0.1707038;1.350688,-0.02112623;0.3852912;1.467587,0.1253562;0.3689084;1.459217,0.1293635;-0.1068577;1.512963,2
11998,0.2383599;0.2517044;1.288784,0.1774329;0.2160395;1.282859,-0.0210462;0.1731024;1.350079,-0.02107133;0.3852873;1.467436,0.1254007;0.3689233;1.459294,0.1295007;-0.1072888;1.513587,2
12031,0.2360035;0.2628902;1.292786,0.1770057;0.2248755;1.284641,-0.02037008;0.174507;1.349383,-0.02102977;0.3853192;1.467186,0.1254095;0.3689211;1.459306,0.1296779;-0.1076006;1.513859,2
12066,0.2304569;0.2735708;1.302327,0.1749961;0.2344829;1.287501,-0.02066777;0.1767898;1.350939,-0.0209202;0.3856337;1.467367,0.1254535;0.3689795;1.459502,0.1298405;-0.1081954;1.515174,2
12097,0.2264775;0.2828823;1.301212,0.1721877;0.2453473;1.287529,-0.02012302;0.1773357;1.350722,-0.0208848;0.385667;1.467127,0.1254695;0.3689724;1.459503,0.1299526;-0.1085475;1.515267,2
12130,0.2217788;0.2901885;1.305605,0.1698965;0.2543871;1.287554,-0.01944809;0.1783582;1.350324,-0.02088578;0.3856908;1.466855,0.1254745;0.3689696;1.459505,0.1300745;-0.1091494;1.515147,2
12165,0.2185338;0.2956049;1.310204,0.1673323;0.2623348;1.28883,-0.01921193;0.1791338;1.350555,-0.02088004;0.3857032;1.466811,0.1254805;0.3689678;1.459517,0.1299405;-0.1095698;1.515126,2
12199,0.2164297;0.2977114;1.308524,0.1662778;0.2638734;1.287901,-0.0195402;0.179681;1.350621,-0.02090428;0.3857347;1.466641,0.1254594;0.3689167;1.459453,0.1298187;-0.110003;1.514998,2
12231,0.2132878;0.2980303;1.314438,0.1649801;0.2643934;1.288494,-0.021202;0.1817946;1.352489,-0.0208957;0.3857723;1.466633,0.1254501;0.3689032;1.459481,0.1297657;-0.1103682;1.515232,2
12264,0.210876;0.2971519;1.311924,0.1629746;0.263985;1.287557,-0.02273776;0.183019;1.355536,-0.02091271;0.3857495;1.466485,0.1253859;0.3688187;1.459399,0.1294553;-0.1106578;1.515043,2
12298,0.2091061;0.296734;1.315517,0.1611471;0.2639332;1.28782,-0.02395775;0.1834075;1.358308,-0.02092442;0.3857535;1.466474,0.1253868;0.3687851;1.459438,0.1293491;-0.1109137;1.51531,2
12331,0.1977524;0.2916995;1.311491,0.1380987;0.2593767;1.282332,-0.01654539;0.1747286;1.406958,-0.02091206;0.3857557;1.466448,0.1253823;0.3687728;1.459441,0.1291898;-0.1110896;1.5154,2
12364,0.2073736;0.2953514;1.309827,0.1572108;0.2642514;1.287763,-0.02768468;0.1849205;1.360472,-0.02093434;0.3856497;1.466116,0.1253804;0.3687703;1.459433,0.1290234;-0.1113492;1.514886,2
12399,0.2059488;0.2962943;1.31409,0.1572467;0.2645616;1.288191,-0.02786118;0.1852797;1.360333,-0.02093359;0.3856572;1.466104,0.1253812;0.3687776;1.459456,0.1288699;-0.1115139;1.515046,2
12434,0.2054916;0.2967474;1.3169,0.1568709;0.2654143;1.289468,-0.02878376;0.1863545;1.360262,-0.02103846;0.3860679;1.466569,0.1253289;0.368878;1.459787,0.1287294;-0.1115217;1.515544,2
12467,0.2047219;0.2970541;1.316303,0.1572503;0.2645159;1.289871,-0.02986412;0.188373;1.359976,-0.02103653;0.386072;1.466558,0.1253012;0.3689014;1.459901,0.1286189;-0.1115842;1.515917,2
12499,0.2015045;0.294682;1.314054,0.1514151;0.2618913;1.291751,-0.03861659;0.1911215;1.359525,-0.02104728;0.3860741;1.46642,0.1252901;0.3689147;1.45991,0.1285469;-0.1116164;1.515926,2
12531,0.1979685;0.2934479;1.316003,0.1488971;0.2614172;1.291718,-0.04136882;0.1927472;1.361288,-0.02105318;0.386354;1.466527,0.1252637;0.3689236;1.459996,0.1283524;-0.1116682;1.516095,2
12566,0.1950457;0.2905079;1.31228,0.1435832;0.263145;1.290609,-0.04743016;0.1947382;1.358198,-0.0210799;0.3862376;1.466097,0.125192;0.3689186;1.459954,0.1281467;-0.1116671;1.516023,2
12599,0.1906348;0.2883196;1.314268,0.1397642;0.2616153;1.292517,-0.05314926;0.196189;1.357369,-0.0210769;0.3863766;1.466059,0.1251175;0.3689098;1.459992,0.127242;-0.1118727;1.51614,2
12633,0.1904336;0.2868327;1.311859,0.1377653;0.261514;1.293554,-0.05611468;0.1972129;1.356379,-0.02114228;0.3864279;1.465904,0.125095;0.3689336;1.460026,0.1271182;-0.1118449;1.51629,2
12666,0.1874387;0.2847326;1.313325,0.1341028;0.2611978;1.295924,-0.06149679;0.1990729;1.3551,-0.02120351;0.3865616;1.465817,0.125018;0.3689899;1.460116,0.1270273;-0.1118169;1.516333,2
12698,0.1828703;0.2813801;1.311761,0.1277475;0.2613606;1.299387,-0.06999604;0.2020455;1.353531,-0.02132867;0.386758;1.465585,0.1249818;0.3690354;1.460152,0.1267396;-0.1117246;1.516246,2
12730,0.1936292;0.2806588;1.314849,0.1419326;0.2715449;1.307759,-0.08048275;0.2055505;1.353332,-0.02157856;0.3871342;1.465518,0.124952;0.3691627;1.460289,0.1266547;-0.1116563;1.516395,2
12764,0.1935975;0.2785259;1.317245,0.1420289;0.271235;1.307765,-0.0941743;0.2096632;1.356146,-0.02173827;0.3877199;1.465717,0.1249083;0.3692466;1.460389,0.1265787;-0.1114781;1.516787,2
12798,0.1884757;0.272605;1.312941,0.1406532;0.2683827;1.304168,-0.1012394;0.2142749;1.358101,-0.02255159;0.3902078;1.466645,0.1248828;0.3692933;1.460391,0.1261869;-0.1109594;1.516807,2
12832,0.1788706;0.2690171;1.317194,0.1282873;0.2647725;1.305555,-0.1155927;0.2202001;1.367118,-0.02360736;0.3931283;1.469147,0.1248282;0.3694713;1.460659,0.1260605;-0.1104589;1.517561,2
