Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.03604191;0.05427285;1.308923,0.1414323;0.02843563;1.340073,0.1631355;-0.212154;1.343381,0.03792907;-0.3791957;1.215127,-0.006597769;-0.4327687;1.222845,-0.05170548;-0.4468156;1.446576,0
35,-0.03621768;0.05426662;1.309311,0.1418594;0.02793497;1.340107,0.163124;-0.212651;1.343822,0.03799402;-0.3798289;1.215688,-0.00767899;-0.4328643;1.225263,-0.05187814;-0.4467989;1.447098,0
65,-0.03626006;0.05424325;1.309226,0.1422252;0.0274497;1.339801,0.162522;-0.2133172;1.342496,0.03721726;-0.3807197;1.214864,-0.007758518;-0.4324433;1.220754,-0.05194172;-0.4467913;1.447076,0
131,-0.03631497;0.05422801;1.309264,0.1424543;0.0271523;1.339681,0.1621935;-0.2136604;1.342391,0.03691032;-0.3809422;1.21457,-0.01042563;-0.4317969;1.221719,-0.05197676;-0.4468057;1.447168,0
147,-0.03635613;0.05419635;1.309343,0.1426497;0.02685178;1.339616,0.1621269;-0.2139736;1.342398,0.03092896;-0.3773546;1.215441,-0.01485596;-0.4286954;1.221287,-0.05201247;-0.4468558;1.447236,0
168,-0.03645555;0.05421252;1.309786,0.138964;0.0316127;1.343144,0.1617298;-0.2092888;1.341876,0.03343237;-0.3769572;1.217792,-0.01495556;-0.4276117;1.222697,-0.05186619;-0.4467997;1.447641,0
198,-0.03648875;0.05419749;1.309768,0.137324;0.03306979;1.343387,0.1610448;-0.2078195;1.341207,0.03197497;-0.3740617;1.215889,-0.01545316;-0.4249147;1.21838,-0.05184774;-0.446795;1.447626,0
231,-0.0364443;0.05411569;1.309596,0.1390668;0.03014621;1.34133,0.1607635;-0.2108129;1.340562,0.0304318;-0.3746549;1.213264,-0.01967478;-0.4217481;1.214195,-0.05178238;-0.4469542;1.447244,0
270,-0.03651275;0.05412253;1.309832,0.1399614;0.02925522;1.341024,0.1599914;-0.2118746;1.33992,0.02842764;-0.3748239;1.212744,-0.02698074;-0.4177918;1.214187,-0.05169772;-0.4470968;1.447452,0
299,-0.03651325;0.05412277;1.309832,0.1406077;0.02785776;1.340185,0.158654;-0.2135619;1.33718,0.003463738;-0.3664418;1.21526,-0.02865602;-0.4028929;1.216928,-0.05163769;-0.4471516;1.447383,0
334,-0.03650038;0.05409769;1.309773,0.1377202;0.03047367;1.340788,0.1575964;-0.2109937;1.334983,0.0155464;-0.3628733;1.205019,-0.04476295;-0.4011675;1.197552,-0.05145473;-0.4472159;1.447304,0
368,-0.03645122;0.05407193;1.310141,0.1358172;0.03235897;1.342379,0.1570174;-0.2091209;1.334244,0.01582246;-0.3628706;1.205649,-0.04912758;-0.3970266;1.197929,-0.05069279;-0.4474054;1.447944,0
399,-0.03644241;0.05405884;1.310173,0.1377459;0.03007286;1.341012,0.1564572;-0.2115874;1.333254,-0.002429724;-0.3505488;1.208513,-0.0493322;-0.3835656;1.198433,-0.0502876;-0.4476738;1.44825,0
432,-0.03637497;0.05398386;1.310021,0.1389062;0.02855868;1.33962,0.1557681;-0.2132888;1.330634,-0.004417437;-0.3483729;1.203098,-0.05393296;-0.37456;1.190444,-0.04970143;-0.4478701;1.448279,0
465,-0.03632447;0.05397937;1.310186,0.1361296;0.03162958;1.340692,0.1553066;-0.2101337;1.329898,-0.02195338;-0.3504896;1.199897,-0.06577318;-0.3746552;1.189859,-0.04873462;-0.4479084;1.449667,0
498,-0.03614486;0.05386803;1.309943,0.1380233;0.02938933;1.338982,0.1540626;-0.2126635;1.325919,-0.0126664;-0.3343296;1.192842,-0.07315487;-0.3683475;1.17892,-0.0485207;-0.4480207;1.449777,0
533,-0.03610397;0.05382539;1.309915,0.1388991;0.02811084;1.338259,0.1537512;-0.214024;1.324622,-0.01447416;-0.3346411;1.192519,-0.07861271;-0.3626641;1.178798,-0.0482231;-0.4481364;1.450194,0
568,-0.03607571;0.05378954;1.309909,0.1395277;0.02728595;1.337776,0.1533273;-0.2149145;1.323893,-0.01643114;-0.3331233;1.191531,-0.08331554;-0.3554557;1.175328,-0.04804869;-0.4485951;1.450317,0
599,-0.03596185;0.05374599;1.309795,0.136481;0.0297974;1.337429,0.152801;-0.2122789;1.322824,-0.01816853;-0.3292003;1.190861,-0.08766749;-0.3478855;1.173085,-0.04787714;-0.448677;1.450336,0
632,-0.03586292;0.05369636;1.309693,0.1349784;0.03099906;1.337253,0.1517848;-0.2110794;1.321014,-0.02233997;-0.3240277;1.189685,-0.08140862;-0.3337002;1.175665,-0.04775505;-0.4487554;1.450348,0
664,-0.03565926;0.05358977;1.309473,0.1370771;0.02941973;1.336153,0.1520128;-0.2127743;1.320174,-0.02654426;-0.3119799;1.183349,-0.09697305;-0.3320513;1.167953,-0.04759521;-0.4488647;1.450292,0
698,-0.03554924;0.05349901;1.309431,0.1355936;0.03078252;1.336418,0.1519965;-0.2113321;1.319417,-0.02749952;-0.3104299;1.183793,-0.1006487;-0.3245235;1.168302,-0.04706739;-0.4492525;1.450241,0
731,-0.03543333;0.05337196;1.309097,0.1378547;0.02851591;1.335307,0.1508917;-0.2137974;1.315321,-0.03249259;-0.3065101;1.180341,-0.09198252;-0.3100798;1.168309,-0.04692363;-0.4496615;1.449686,0
767,-0.03530799;0.05324234;1.308919,0.1388004;0.02771869;1.33487,0.1299358;-0.2215542;1.265323,-0.07770157;-0.3055575;1.166441,-0.1169522;-0.3125686;1.161321,-0.04677615;-0.4499215;1.449416,0
801,-0.03529847;0.05322516;1.309165,0.1394448;0.02734577;1.334945,0.1440724;-0.2151247;1.306961,-0.05194758;-0.2858551;1.176483,-0.1037584;-0.298641;1.170744,-0.04736396;-0.4501566;1.449781,0
834,-0.0352737;0.05321109;1.309115,0.1399566;0.02653515;1.334612,0.1265859;-0.2200563;1.263856,-0.0863903;-0.2902689;1.165375,-0.123803;-0.2980028;1.158961,-0.04784855;-0.450367;1.449689,0
865,-0.03518998;0.05318343;1.308971,0.1403679;0.02619488;1.334278,0.141028;-0.2157319;1.296767,-0.06319313;-0.2815325;1.174916,-0.1100446;-0.2840603;1.163145,-0.04756916;-0.4504272;1.44948,0
898,-0.03518254;0.05319831;1.308982,0.1406511;0.02591539;1.334168,0.1279266;-0.2171689;1.264706,-0.08521304;-0.2872837;1.166498,-0.1127843;-0.2784016;1.164431,-0.04748368;-0.4504566;1.449487,0
933,-0.03495804;0.05310082;1.308614,0.140983;0.02540712;1.333809,0.1278797;-0.2171518;1.264121,-0.08725289;-0.2794539;1.164754,-0.1142669;-0.2711859;1.159699,-0.04623949;-0.4512254;1.447764,0
965,-0.03489337;0.05308205;1.308607,0.1411757;0.02520928;1.333676,0.06841181;-0.2134086;1.256377,-0.136762;-0.2850705;1.142934,-0.1572404;-0.2775163;1.149491,-0.04630039;-0.4511993;1.447766,0
999,-0.034801;0.05309629;1.308682,0.1412936;0.0249992;1.333667,0.06588106;-0.2131987;1.255603,-0.1394624;-0.2834175;1.141515,-0.1601513;-0.2727742;1.149937,-0.04629447;-0.4511653;1.447776,0
1034,-0.03478599;0.05311176;1.30876,0.1414357;0.0249269;1.33366,0.06580437;-0.2131971;1.255634,-0.142583;-0.2764033;1.142977,-0.1614415;-0.2680465;1.150106,-0.04635353;-0.4508525;1.448186,0
1069,-0.03469338;0.05309677;1.30864,0.1415819;0.02468275;1.333494,0.06570137;-0.213258;1.255409,-0.1436192;-0.2697194;1.140671,-0.1622102;-0.2617238;1.146301,-0.04629948;-0.4508281;1.448125,0
1098,-0.03461805;0.05304594;1.308345,0.1417375;0.02442761;1.333242,0.06589916;-0.2128614;1.25527,-0.1437306;-0.2668033;1.139793,-0.1632813;-0.2558981;1.143275,-0.04637167;-0.4507821;1.448072,0
1134,-0.03461676;0.05308479;1.308404,0.1418139;0.0242602;1.333202,0.06410079;-0.2121128;1.255016,-0.1459945;-0.2630872;1.138971,-0.1739652;-0.2528262;1.148722,-0.04660067;-0.4505299;1.448642,0
1166,-0.03460721;0.05309713;1.308396,0.1418898;0.02406417;1.333053,0.06432839;-0.2117633;1.255192,-0.1462858;-0.2606884;1.139179,-0.1748938;-0.2471512;1.147546,-0.04728313;-0.4501154;1.448943,0
1197,-0.03456633;0.05311947;1.308414,0.1419593;0.02391373;1.332965,0.06441882;-0.2115806;1.255506,-0.1492575;-0.2483878;1.14054,-0.1683707;-0.2413637;1.146022,-0.04716056;-0.4500258;1.449204,0
1234,-0.03451837;0.05311197;1.30822,0.1420842;0.02368207;1.332728,0.1282309;-0.2160185;1.279165,-0.08981;-0.2351137;1.167647,-0.1348822;-0.2322973;1.148747,-0.04733174;-0.4498847;1.449304,0
1267,-0.03436467;0.05307433;1.308444,0.1422495;0.02352635;1.332685,0.1283485;-0.216262;1.279717,-0.09216462;-0.2532822;1.179094,-0.1328429;-0.2266634;1.154938,-0.0476676;-0.4494556;1.45058,0
1300,-0.0342849;0.05308696;1.308349,0.142417;0.02335637;1.33253,0.1285281;-0.2164839;1.279908,-0.08868791;-0.2183702;1.164787,-0.134379;-0.2164382;1.150813,-0.04776091;-0.4493192;1.450762,0
1333,-0.0342334;0.05311029;1.308318,0.1394374;0.02402084;1.33183,0.1291616;-0.2161305;1.280165,-0.0881071;-0.2180982;1.165147,-0.1342841;-0.2110824;1.151057,-0.04783645;-0.4491125;1.451023,0
1364,-0.03415844;0.05313284;1.308167,0.140174;0.02285079;1.331466,0.1294816;-0.2173043;1.280017,-0.08851885;-0.2096853;1.166623,-0.1358209;-0.2051436;1.150027,-0.04798852;-0.4489107;1.451231,0
1398,-0.03385207;0.05297909;1.307796,0.1407583;0.02202245;1.330979,0.1282181;-0.2178747;1.278359,-0.0995497;-0.2039231;1.158011,-0.1384796;-0.2011841;1.144045,-0.04810167;-0.4488108;1.451177,0
1431,-0.03380184;0.05302207;1.307755,0.1411566;0.02127315;1.330741,0.1285915;-0.2186447;1.278318,-0.09640428;-0.2020848;1.160523,-0.139394;-0.1971937;1.147758,-0.0483251;-0.4485073;1.451564,0
1467,-0.03374481;0.05302131;1.307754,0.1414582;0.02075621;1.330621,0.1288569;-0.2191843;1.278399,-0.09338909;-0.1980132;1.164387,-0.1396056;-0.1922877;1.149896,-0.04840446;-0.4481952;1.452017,0
