Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,-6440;-7824;7060,-18935;-9397;-8562,0.0988666;0.4796319;1.265348,-0.04392453;-0.1664637;1.223612,-0.04236325;-0.106806;1.254097,-0.0513954;0.07124125;1.333183,-0.0224355;0.3104124;1.364125,0.1109456;0.3111679;1.340864,0.1115984;-0.07588678;1.498785,0
34,-5072;-7716;7120,-31737;-4871;-8744,0.09946997;0.4798604;1.265761,-0.04417312;-0.1694241;1.222996,-0.04255806;-0.1098403;1.253616,-0.05147165;0.07112404;1.333257,-0.02191617;0.3103619;1.363599,0.1111881;0.31126;1.341153,0.1119896;-0.0758452;1.498968,0
66,-3952;-16228;6596,-32768;-1105;-10417,0.09998255;0.4798647;1.265719,-0.04393688;-0.1692286;1.218982,-0.04228824;-0.1109248;1.253082,-0.05167246;0.07017658;1.332134,-0.02135794;0.3102922;1.362682,0.1112951;0.3113032;1.341122,0.11193;-0.07585667;1.498965,0
102,-4364;-23540;284,-32768;3596;-12933,0.1008075;0.480122;1.266462,-0.04410159;-0.1716061;1.221373,-0.04246701;-0.1123816;1.252576,-0.05169645;0.07015418;1.33212,-0.02105457;0.3103499;1.362522,0.1116502;0.3116126;1.341723,0.1121626;-0.07578035;1.499208,0
134,-4772;-26260;-2344,-15905;2987;-15747,0.1013532;0.4800975;1.266446,-0.04536226;-0.1716813;1.213666,-0.04285225;-0.1137378;1.248897,-0.05174112;0.07045741;1.330997,-0.02049795;0.3103714;1.361835,0.1117174;0.3116326;1.34171,0.1120866;-0.07579628;1.4992,0
166,-3496;-19920;-5852,-17049;5102;-17445,0.1020707;0.4801157;1.266486,-0.04621362;-0.1736838;1.209817,-0.04333025;-0.1145553;1.246924,-0.05187181;0.07018694;1.329623,-0.02009617;0.3104272;1.361398,0.1118507;0.3116254;1.341738,0.1119033;-0.0758131;1.499202,0
199,-2500;-18416;-7224,-7724;4565;-18630,0.1028008;0.4801053;1.266348,-0.04791323;-0.1734039;1.203805,-0.04391098;-0.1163191;1.242495,-0.05182059;0.0682057;1.324421,-0.01974923;0.3104369;1.360896,0.1119566;0.3116636;1.34165,0.111609;-0.07587809;1.49884,0
233,-752;-17880;-8212,-11002;6964;-19800,0.1039715;0.4805399;1.266974,-0.04971915;-0.1742672;1.203496,-0.04401808;-0.1173379;1.240339,-0.05169803;0.06778179;1.322932,-0.01953324;0.310485;1.360783,0.1123258;0.311809;1.341945,0.1117332;-0.07583939;1.498794,0
267,716;-16948;-8744,-6471;7063;-21716,0.1048347;0.4806089;1.266688,-0.0451532;-0.2309208;1.165469,-0.04485476;-0.1635699;1.195107,-0.05132955;0.0656493;1.314935,-0.0191033;0.3105197;1.360189,0.1125708;0.31192;1.341577,0.1113573;-0.07597779;1.498058,0
304,2652;-10264;-9476,-5797;8852;-21294,0.1057787;0.4808393;1.266693,-0.04592499;-0.2279657;1.157724,-0.04506222;-0.165313;1.193323,-0.05127311;0.06514876;1.310649,-0.0187431;0.3105325;1.359794,0.1129002;0.3121092;1.341334,0.1111242;-0.07599995;1.497638,0
333,4136;-11156;-5836,4223;8355;-19917,0.1077987;0.4819828;1.268741,-0.05120539;-0.209069;1.15336,-0.04597327;-0.1648466;1.190925,-0.0509928;0.06534602;1.308877,-0.01829343;0.3108238;1.35984,0.1136793;0.3128379;1.342636,0.1109624;-0.07584532;1.497954,0
367,7484;-6156;-5272,4708;6113;-18576,0.1089321;0.4824864;1.269459,-0.04022491;-0.2209048;1.148398,-0.04829156;-0.1585318;1.179874,-0.05120501;0.06866314;1.303919,-0.01796352;0.3109426;1.359792,0.1143235;0.3133624;1.343272,0.110967;-0.07581348;1.497929,0
400,7572;-7096;-5104,9699;2169;-18574,0.1099769;0.482851;1.269929,-0.05489978;-0.1873293;1.117245,-0.05148731;-0.1498157;1.162978,-0.05199435;0.07270303;1.295701,-0.01770551;0.3109568;1.359681,0.1145806;0.3137894;1.343681,0.1108966;-0.07575963;1.497807,0
