Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
599,440;-15072;-10588,-9206;-1429;-2416,0.1141752;0.5010765;1.302365,-0.09099819;0.05128111;0.8834044,-0.08096512;0.06754261;0.91857,-0.04696793;0.1863412;1.143518,-0.01610006;0.327456;1.365037,0.1162723;0.3324761;1.37295,0.101077;-0.06635078;1.510613,0
632,912;-13316;-12112,5006;-2694;-1671,0.1156821;0.5012578;1.302505,-0.09539542;0.07194858;0.8746061,-0.08386613;0.07414924;0.907584,-0.03383523;0.2183365;1.118427,-0.01227873;0.3293083;1.357541,0.1162906;0.3327118;1.373156,0.1002912;-0.06630558;1.511055,0
665,524;-13736;-11492,5809;-1748;-524,0.1176154;0.5016281;1.303226,-0.09913255;0.09168071;0.8671829,-0.08758084;0.09407955;0.9020534,-0.03555125;0.2203554;1.123596,-0.0121657;0.3292854;1.363474,0.1163624;0.3326949;1.373148,0.09986721;-0.06639746;1.511754,0
699,136;-15160;-11112,14595;-2614;-413,0.1197347;0.5021842;1.304149,-0.104281;0.1127155;0.8568888,-0.09053225;0.1145318;0.8957161,-0.03681737;0.2228103;1.126172,-0.01159215;0.3296636;1.366796,0.1165679;0.3327105;1.373203,0.0995779;-0.06646412;1.512678,0
733,452;-14932;-9900,20298;-2221;-62,0.1212773;0.5023234;1.304315,-0.1083772;0.1392344;0.8468059,-0.09069353;0.1610946;0.8988432,-0.03683995;0.2269172;1.127274,-0.01062042;0.3297381;1.369542,0.1168182;0.332709;1.373118,0.0991935;-0.06654295;1.513036,0
765,172;-17336;-7264,24631;-2468;-542,0.1231335;0.50238;1.304279,-0.1125728;0.1705865;0.8396828,-0.09885801;0.1735375;0.8789521,-0.03967191;0.2441105;1.122299,-0.00974969;0.3288209;1.371063,0.1173589;0.3327226;1.372902,0.09910227;-0.0665153;1.513199,0
799,340;-16572;-5452,28505;-2503;-1600,0.1249408;0.5023333;1.304069,-0.1160862;0.2097508;0.8294507,-0.1003531;0.2113559;0.8714238,-0.04037774;0.249357;1.121745,-0.008194729;0.3270894;1.372497,0.1199439;0.33399;1.373381,0.09906599;-0.06651711;1.513366,0
832,564;-15492;-2992,27824;-655;-1629,0.1264052;0.5024838;1.304407,-0.1184207;0.2527271;0.8189952,-0.1019606;0.2474322;0.8641931,-0.04932979;0.2975657;1.113413,-0.0009628872;0.3222239;1.372266,0.1219574;0.3340896;1.373513,0.09931116;-0.06653535;1.513548,0
901,108;-15644;552,18109;1876;-852,0.1300199;0.5020941;1.302169,-0.1183017;0.3542294;0.8062983,-0.1027589;0.3532059;0.8637335,-0.03555957;0.324022;1.109818,0.002216748;0.3200529;1.371553,0.1234668;0.3338656;1.372692,0.1003567;-0.06680293;1.513349,0
931,-556;-16760;2948,18848;952;-865,0.1315823;0.5021867;1.301448,-0.1151174;0.4026554;0.8266246,-0.08732259;0.3898623;0.9352858,-0.03639795;0.3449382;1.117174,0.002633687;0.3203104;1.37149,0.123624;0.3337734;1.372519,0.1008187;-0.06648847;1.513614,0
965,-100;-15364;4696,21070;-723;-271,0.1341343;0.5020992;1.298135,-0.1193992;0.435656;0.8232399,-0.0962846;0.4559542;0.9114114,-0.04016548;0.3648287;1.117274,0.003195881;0.3208778;1.370668,0.1238087;0.3338221;1.371982,0.1010609;-0.06602733;1.513323,0
1000,-272;-14196;6472,21076;-1359;194,0.1360235;0.5024126;1.297459,-0.1033425;0.4923961;0.9457365,-0.06952728;0.4956393;0.9582816,-0.04148345;0.39976;1.12369,0.003196774;0.3224997;1.370442,0.1237721;0.333968;1.371842,0.101638;-0.06495667;1.5137,0
1033,-88;-12576;7868,20654;-1208;837,0.1375467;0.5024569;1.29698,-0.05977089;0.4868626;1.03471,-0.05033186;0.4455756;1.084089,-0.04186799;0.4192369;1.133406,0.003409548;0.3238328;1.370351,0.1238821;0.3343864;1.371382,0.1021993;-0.06405617;1.514087,0
1067,-184;-10984;9484,12125;349;774,0.13996;0.5021967;1.296154,-0.05283739;0.513304;1.059842,-0.04290109;0.4670396;1.106229,-0.03902115;0.4472512;1.14317,0.003437398;0.3265417;1.370123,0.1239231;0.3348597;1.371027,0.1029735;-0.06248485;1.514445,0
1098,-592;-11436;10556,4237;961;251,0.1410045;0.5024485;1.295938,-0.05420202;0.6311049;0.9670779,-0.05143265;0.5768468;0.9949632,-0.03702533;0.4724246;1.156289,0.007451065;0.3463765;1.366453,0.1248427;0.3410695;1.37129,0.1038214;-0.05748418;1.516009,0
1132,-880;-12264;10940,69;141;-532,0.1424539;0.5018715;1.293909,-0.027641;0.6797225;1.004109,-0.0294097;0.63109;1.043727,-0.03495742;0.4886477;1.170692,0.007028795;0.3457631;1.366686,0.1245803;0.3409193;1.370798,0.1044142;-0.05638546;1.515905,0
1167,-720;-13044;10708,-520;-323;-744,0.1430838;0.5018789;1.292909,-0.02646236;0.6936047;0.988565,-0.02706642;0.6486923;1.03236,-0.02907869;0.5176126;1.171777,0.006852855;0.3458374;1.366875,0.1244048;0.3406385;1.370584,0.1048235;-0.05394454;1.516442,0
1201,-568;-13192;10344,-29;-271;-1019,0.1400195;0.5031076;1.290172,-0.02060279;0.7089086;0.9916694,-0.02185443;0.663775;1.035218,-0.02578464;0.5321025;1.173866,0.01136048;0.3650237;1.362743,0.1243273;0.3418896;1.369498,0.1050775;-0.04800328;1.516218,0
1233,-524;-13172;10144,443;-613;-1045,0.1351914;0.5051315;1.287929,-0.0151848;0.7203826;1.004657,-0.01637707;0.6755497;1.048497,-0.02008832;0.5448179;1.18801,0.01144952;0.3744508;1.362906,0.1230794;0.3431696;1.36797,0.105127;-0.04212816;1.514801,0
1265,-588;-12960;9792,1172;-641;-1024,0.1297865;0.5078173;1.28736,0.0149899;0.7716595;1.086288,0.008048004;0.7184146;1.115105,-0.01673287;0.5571041;1.209948,0.01086876;0.3742596;1.363818,0.1227107;0.3428879;1.36791,0.1055663;-0.03987066;1.514566,0
1297,-560;-12636;9688,982;-574;-1200,0.118246;0.5135835;1.289211,0.02160905;0.7821986;1.06195,0.01423188;0.7328907;1.097018,-0.01419773;0.5846701;1.211972,0.009482443;0.3947006;1.372314,0.12135;0.3446546;1.36873,0.1070402;-0.03053374;1.513383,0
1331,-636;-12780;9712,1255;-402;-1001,0.1070829;0.5196401;1.294137,0.04066275;0.7844688;1.063272,0.02935189;0.7368717;1.099626,-0.01260016;0.5953957;1.219294,0.009724929;0.4019384;1.375147,0.1185089;0.3487241;1.370409,0.1074178;-0.02585372;1.512288,0
1363,-456;-12556;9552,462;-390;-1171,0.09922801;0.5277579;1.300053,0.05066929;0.8006856;1.074033,0.03860812;0.753415;1.110552,-0.007052181;0.6147276;1.232144,0.01118546;0.4090585;1.37886,0.1153264;0.3546177;1.372877,0.1077105;-0.02252394;1.5127,0
