Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
598,-128;9636;12456,-243;1013;-2270,0.05675917;0.1958013;1.211307,0.05219617;0.005345713;1.25508,0.2056243;-0.03490856;1.229236,0.2352694;-0.06223296;1.035837,0.2522325;-0.02229343;0.8007539,0.2515753;-0.02433887;0.7405789,0.06957263;-0.4339053;1.306515,0
630,-208;9532;12628,-2240;1022;-2236,0.05675922;0.1960858;1.211517,0.05107199;0.006752654;1.255687,0.2024436;-0.03102728;1.229972,0.239526;-0.01835965;1.010377,0.249749;0.02947913;0.8286783,0.2529188;0.0501825;0.7338426,0.07043815;-0.4308572;1.310704,0
664,-340;9076;12920,-2436;1282;-2276,0.0568179;0.196299;1.211276,0.05031636;0.007769196;1.255621,0.200446;-0.02853673;1.229398,0.2391718;0.01642657;0.9804171,0.2518013;0.09401608;0.8095775,0.2535559;0.1330706;0.7162619,0.07116729;-0.4294373;1.311766,0
697,-600;9036;13520,-1345;1052;-2335,0.05682112;0.1964186;1.210243,0.05008808;0.004759622;1.247692,0.1991383;-0.02696425;1.228749,0.2389188;0.04860538;0.9874642,0.2517389;0.1473259;0.8068618,0.2524021;0.1996966;0.7169045,0.07096922;-0.4284765;1.311765,0
733,-768;9060;13832,-2679;619;-2369,0.05683658;0.1964966;1.210231,0.04896973;0.006018087;1.249227,0.1883979;-0.01039077;1.228135,0.2405212;0.07875488;0.9939747,0.2564228;0.2164177;0.79153,0.2535013;0.257253;0.7301722,0.07173207;-0.4263604;1.312236,0
763,-1048;8472;14004,-3836;263;-1600,0.05695285;0.1966533;1.209337,0.04922113;0.004480918;1.244719,0.1896571;-0.01098774;1.227268,0.2390633;0.1106398;1.007724,0.2535843;0.2583587;0.8047319,0.2516466;0.3087581;0.7426223,0.07193092;-0.424408;1.312145,0
800,-1012;6996;13680,-839;53;-1455,0.0572554;0.196684;1.207974,0.04958403;0.00386929;1.242379,0.1899848;-0.008631568;1.226447,0.2386915;0.1268778;1.015153,0.2508991;0.3001517;0.833907,0.2490329;0.3547416;0.775203,0.07151528;-0.4218886;1.311986,0
831,-1248;7804;13712,2369;-67;-1417,0.05819186;0.1967657;1.206404,0.04738988;0.00527122;1.243056,0.1863931;0.01472278;1.226656,0.2419937;0.1564277;1.021398,0.2466268;0.3265474;0.8621659,0.2461869;0.3831579;0.8196452,0.0708721;-0.4151121;1.312208,0
864,-1096;7992;13920,-94;-1000;-799,0.05914976;0.1967919;1.205855,0.04652463;0.007404873;1.244566,0.1865961;0.01807364;1.227435,0.2407328;0.1810468;1.038673,0.2431367;0.344749;0.9046476,0.2453079;0.4042042;0.861039,0.07102808;-0.4112028;1.312245,0
896,-972;7488;13540,166;-683;-1031,0.06227872;0.1957258;1.204373,0.04705811;0.008877516;1.244155,0.1891464;0.02275712;1.228143,0.2383203;0.1927254;1.044438,0.2394231;0.3576713;0.9287319,0.2418764;0.4260353;0.897791,0.06977925;-0.4054346;1.310943,0
934,-1136;7404;13456,218;-496;-1189,0.06730232;0.1961395;1.199845,0.05484194;0.01699063;1.241258,0.1895532;0.02426569;1.228406,0.2331655;0.2071434;1.056501,0.2349656;0.4279839;0.9425564,0.2368658;0.4610625;0.9263701,0.06953011;-0.4005173;1.310388,0
966,-1100;7524;13700,751;-635;-1113,0.07111441;0.1977812;1.196864,0.05854959;0.02123075;1.239602,0.1940901;0.0313741;1.230087,0.22978;0.22443;1.068257,0.2272804;0.4198552;0.9833589,0.2314304;0.4715827;0.9613492,0.06943898;-0.3948704;1.310094,0
1000,-972;7580;13728,475;-493;-1199,0.0748125;0.1995272;1.194927,0.05994641;0.01969965;1.237463,0.1964716;0.0363288;1.231375,0.2263296;0.2381629;1.079976,0.2233823;0.427341;1.002723,0.2246487;0.4843186;0.9934388,0.0707549;-0.3927429;1.30988,0
1032,-924;7608;13920,726;-495;-1211,0.0750399;0.1997177;1.194907,0.06202904;0.02107658;1.236798,0.198786;0.04198593;1.232788,0.21832;0.2596936;1.105047,0.2165784;0.4624309;1.038981,0.2183803;0.5055354;1.021392,0.07168882;-0.3894771;1.309952,0
1064,-856;7748;14124,772;-536;-1174,0.07792997;0.203843;1.193235,0.07672021;0.03839055;1.235794,0.2030167;0.0570605;1.234764,0.2190742;0.2753467;1.107806,0.2136919;0.4735246;1.053079,0.2125881;0.5192778;1.048151,0.07267227;-0.3808855;1.309482,0
1097,-1016;8104;14324,879;-487;-1014,0.08581167;0.2066883;1.194579,0.07503428;0.03531105;1.235271,0.2029967;0.05685437;1.234875,0.217022;0.2805604;1.118423,0.2121246;0.4892427;1.07606,0.2082298;0.5341718;1.077267,0.07268452;-0.3800348;1.309325,0
1132,-1048;8148;14480,1507;-781;-433,0.08962044;0.2077936;1.195487,0.07644451;0.03865264;1.236443,0.2025607;0.05884684;1.237173,0.2136796;0.2882809;1.13355,0.2056637;0.5159343;1.113723,0.2049973;0.5536612;1.104531,0.07288857;-0.3782014;1.309285,0
1168,-868;7740;14132,1778;-1194;-202,0.09127424;0.2077744;1.196635,0.07644439;0.03962937;1.237561,0.2016582;0.06459636;1.241704,0.2121564;0.2977308;1.148106,0.2054485;0.5194259;1.126522,0.2020634;0.5597075;1.128132,0.07256407;-0.376459;1.309195,0
1199,-888;7568;13784,1177;-1250;-264,0.0934187;0.2087424;1.198031,0.07594401;0.03972327;1.238251,0.2003755;0.067224;1.244294,0.2098228;0.3035411;1.160485,0.2036412;0.5311049;1.156653,0.2008251;0.573038;1.157222,0.07231809;-0.3756185;1.30901,0
1232,-864;7408;13736,722;-979;-414,0.09268931;0.2089533;1.19778,0.07379281;0.03892067;1.238991,0.1989221;0.07480983;1.247401,0.2089232;0.3134863;1.172505,0.2038471;0.5276884;1.169519,0.1984797;0.5753112;1.174525,0.07197639;-0.3745129;1.308355,0
1264,-672;6784;13192,612;-1135;-322,0.08828048;0.2077277;1.195411,0.0709141;0.03434999;1.238441,0.1989169;0.07382356;1.247089,0.208605;0.3160978;1.188423,0.2020521;0.5445475;1.197419,0.1971029;0.5900049;1.199009,0.07196684;-0.3745438;1.308364,0
1298,-372;7068;13348,941;-220;-858,0.08379877;0.206302;1.193346,0.06903047;0.03139962;1.238133,0.1984464;0.0745888;1.247747,0.2083512;0.3181184;1.19675,0.2013994;0.5484219;1.208859,0.1971803;0.5937674;1.218743,0.07196824;-0.3745562;1.308141,0
1331,-572;7320;13936,-262;-103;-1420,0.08102362;0.2057505;1.192127,0.0673299;0.02954121;1.238164,0.1977923;0.07639935;1.248614,0.2083604;0.3209344;1.205661,0.2016186;0.5526325;1.222481,0.1972736;0.6007208;1.233641,0.07197914;-0.3744641;1.30805,0
1367,-876;7220;14288,-1334;-601;-1298,0.08015386;0.2051062;1.192352,0.06605627;0.0284043;1.238276,0.1973978;0.07748948;1.249747,0.2079357;0.316268;1.216575,0.2019281;0.5326006;1.234676,0.1994507;0.5863373;1.242603,0.07191854;-0.3744255;1.30801,0
1401,-1040;6900;14008,659;-648;-1193,0.0794603;0.2049251;1.192994,0.06591712;0.02830001;1.23834,0.1973253;0.0791928;1.251697,0.2095569;0.3248585;1.224276,0.2025596;0.5438327;1.242137,0.1990354;0.593086;1.250103,0.07185929;-0.3743622;1.308016,0
1431,-976;7204;14132,1695;-848;-815,0.0791861;0.2050584;1.193882,0.06515116;0.02764799;1.238412,0.1970663;0.07952793;1.252172,0.2080605;0.3067316;1.226814,0.2032828;0.5476484;1.245786,0.2005171;0.5941743;1.251451,0.07184052;-0.3743559;1.308007,0
1465,-796;7144;13836,1583;-460;-901,0.07888623;0.204783;1.194336,0.06416482;0.026992;1.238225,0.1969774;0.07958133;1.252305,0.2081798;0.3046843;1.226218,0.2037487;0.5455768;1.245559,0.2010431;0.5923819;1.247159,0.07168923;-0.3741767;1.307686,0
1496,-860;7572;14112,1344;-544;-814,0.07877288;0.204648;1.194647,0.06399913;0.0268051;1.238365,0.1968065;0.07965738;1.252611,0.2094732;0.3254046;1.227888,0.2053926;0.5390589;1.245249,0.2032888;0.590407;1.246196,0.07158393;-0.3741574;1.307674,0
1531,-928;7424;13984,1129;-644;-530,0.08077041;0.2060905;1.196684,0.06380457;0.02655637;1.238334,0.1966227;0.07948703;1.252712,0.2095569;0.3251593;1.226492,0.2063002;0.5429543;1.243495,0.2046236;0.5883777;1.239151,0.07127476;-0.3741917;1.307307,0
1565,-812;7276;14340,2052;-919;-319,0.08204395;0.2078605;1.199273,0.06385477;0.02651113;1.238498,0.196129;0.07808995;1.252976,0.2099142;0.3237016;1.22623,0.2076973;0.5445715;1.242359,0.2075145;0.5903068;1.239007,0.07125621;-0.3744118;1.307771,0
1601,-820;7240;14076,2146;-1033;-313,0.08362122;0.2085893;1.20166,0.06351542;0.02609064;1.238637,0.1961634;0.07820136;1.253236,0.2136996;0.316433;1.217976,0.2087872;0.5456473;1.240361,0.2100355;0.5928864;1.23579,0.07127101;-0.3744611;1.308144,0
1633,-448;7336;14124,321;-486;-606,0.08613202;0.2093714;1.203523,0.06352011;0.02609805;1.238636,0.1961685;0.07822191;1.253336,0.2139816;0.3162805;1.217217,0.2109331;0.5346418;1.232126,0.2118682;0.589801;1.225772,0.07129449;-0.3744906;1.308149,0
1667,-348;6848;14312,343;-423;-721,0.08743125;0.2093344;1.204639,0.06369136;0.02617825;1.238696,0.1962325;0.07817291;1.253412,0.2150667;0.3225418;1.214649,0.2136896;0.5252239;1.226282,0.2169982;0.5885081;1.222227,0.07136962;-0.3744794;1.308266,0
1698,-352;7144;14040,647;-825;-720,0.08805323;0.2094051;1.205142,0.06384122;0.02634371;1.238673,0.1963955;0.07833353;1.253606,0.2160483;0.3224773;1.213342,0.2161891;0.5642602;1.222819,0.2204115;0.6013014;1.217335,0.07136082;-0.3744566;1.308228,0
1733,-300;7016;14064,269;-769;-987,0.08805083;0.210194;1.204551,0.06456783;0.02664468;1.238815,0.1964988;0.07781851;1.253645,0.2178813;0.3215828;1.211304,0.2271184;0.5386481;1.206017,0.2280482;0.5857608;1.207922,0.07138253;-0.3744566;1.308239,0
1764,-528;6976;13956,277;-922;-869,0.08796811;0.2093792;1.204775,0.06699839;0.02913052;1.238971,0.1969855;0.07816663;1.254029,0.220565;0.3212643;1.208049,0.2276978;0.5387687;1.203634,0.2324312;0.5836027;1.196708,0.07141393;-0.374424;1.308263,0
1800,-376;7104;13776,1311;-1153;-534,0.08929338;0.2090154;1.205536,0.06847679;0.03115129;1.239863,0.1972356;0.07787654;1.253982,0.2236956;0.3196175;1.200796,0.2312891;0.5361718;1.193088,0.2387306;0.5823417;1.182197,0.07146414;-0.3744552;1.308281,0
1832,-232;7232;14028,861;-671;-629,0.08940035;0.2080518;1.205921,0.07201798;0.03541873;1.240824,0.1976086;0.07565799;1.253574,0.2264975;0.3157138;1.192433,0.2353298;0.5325908;1.182054,0.2433574;0.5771391;1.165147,0.07142542;-0.3745473;1.308266,0
1866,-248;6832;14056,883;-639;-592,0.09040969;0.2080487;1.206747,0.07231671;0.03570968;1.241182,0.1981867;0.0735985;1.253559,0.2301809;0.3108378;1.181457,0.2410784;0.5270621;1.164936,0.2489906;0.5717713;1.151053,0.07144791;-0.3748351;1.308354,0
1896,-184;6796;14160,1071;-860;-604,0.08963685;0.2067389;1.207996,0.07361604;0.0371176;1.241984,0.1983054;0.07294191;1.253324,0.2328438;0.3077722;1.173512,0.2455824;0.516548;1.144027,0.2519258;0.5604671;1.127523,0.07168892;-0.3750266;1.308947,0
1931,-196;6852;14112,867;-675;-803,0.08979028;0.206369;1.208154,0.07365185;0.03712303;1.242055,0.1984383;0.07101684;1.252471,0.2341069;0.30195;1.160665,0.2481815;0.5046728;1.124372,0.2541199;0.5501566;1.106794,0.07171757;-0.3751557;1.308933,0
1964,-128;6856;13972,960;-638;-884,0.08968031;0.2063053;1.208073,0.07379065;0.0373368;1.242174,0.1984881;0.06984533;1.252182,0.2358035;0.2955413;1.147149,0.2503453;0.4944618;1.103259,0.2556074;0.540424;1.084638,0.07203837;-0.3752869;1.309157,0
1999,-136;6884;14184,884;-610;-835,0.08878116;0.206139;1.207688,0.07378541;0.03734502;1.242202,0.1980956;0.0670734;1.250829,0.2358482;0.2865698;1.132096,0.2538982;0.4918918;1.080872,0.2595467;0.5314848;1.060332,0.07211427;-0.3756202;1.309111,0
2034,-96;6804;14312,1087;-590;-871,0.08856183;0.2057303;1.207968,0.07344008;0.03712496;1.242545,0.1983895;0.06549288;1.250344,0.2358739;0.2809726;1.123649,0.2557874;0.4874717;1.061874,0.2638482;0.521134;1.039151,0.07216395;-0.3759737;1.30948,0
2066,-200;6792;14020,1637;-510;-1065,0.08837679;0.2051961;1.2079,0.07319868;0.03684986;1.242707,0.1987392;0.06462519;1.249812,0.2365058;0.2690858;1.10474,0.2539683;0.4654668;1.031901,0.2668928;0.504472;1.011044,0.07213421;-0.3762955;1.309538,0
2097,-204;6272;14168,2781;-746;-1418,0.08285167;0.2047312;1.207229,0.07289268;0.03650818;1.242838,0.1986335;0.0620732;1.248361,0.2377984;0.2570961;1.095489,0.2513025;0.4169164;1.005408,0.2682629;0.482014;0.982752,0.07200534;-0.3771546;1.309724,0
2132,-344;6844;13640,4859;-1004;-1619,0.08081744;0.2034459;1.208243,0.07174072;0.03530072;1.243572,0.1982715;0.06011559;1.246924,0.2366434;0.2450146;1.083866,0.2627057;0.4496787;0.9663995,0.2723129;0.4773808;0.9475264,0.072064;-0.3781017;1.310012,0
2163,0;8164;14116,3007;-915;-1299,0.07991967;0.2031615;1.209401,0.07119761;0.03464159;1.244267,0.197435;0.05726695;1.245509,0.2369972;0.2302117;1.073576,0.264696;0.4339578;0.9480977,0.2733997;0.4524655;0.9165767,0.0718411;-0.3797464;1.310782,0
2201,-44;8084;13972,468;-247;-1539,0.07847752;0.2012782;1.211315,0.0691704;0.03280991;1.24568,0.1969406;0.05502486;1.244356,0.2358658;0.2174813;1.053223,0.2600352;0.3890584;0.913355,0.2706432;0.4229637;0.8835512,0.07175557;-0.3811378;1.311373,0
2234,-328;7900;14140,607;-152;-1423,0.07556973;0.2013537;1.212746,0.06846563;0.03212634;1.246335,0.1967316;0.05376901;1.243492,0.2330445;0.1870828;1.04547,0.2568629;0.3669033;0.8924378,0.2639484;0.3981402;0.8468996,0.07109497;-0.3827268;1.312559,0
2267,-128;8144;14372,534;-319;-947,0.07275622;0.2007822;1.213942,0.06760632;0.03112114;1.246917,0.1962093;0.05160352;1.242122,0.2323714;0.1720576;1.028728,0.2505894;0.3261521;0.8549666,0.2579476;0.3761106;0.8028049,0.07164698;-0.3850815;1.312471,0
2299,-88;7972;13980,426;-375;-682,0.06913027;0.2011617;1.216031,0.06663835;0.02996951;1.247903,0.1955104;0.04806105;1.241395,0.2308854;0.1561471;1.013173,0.2481975;0.3075259;0.8133525,0.2507569;0.3450015;0.7633023,0.07239554;-0.3882665;1.312843,0
2331,-68;7688;14412,506;-422;-631,0.0664817;0.202616;1.217289,0.06609976;0.02967617;1.248184,0.192617;0.03541403;1.238414,0.2258001;0.1323105;1.003919,0.241565;0.2601951;0.7968445,0.2421093;0.3040742;0.7370077,0.07388121;-0.3931893;1.313941,0
