Time_Stamp,ElbowExtensionAngle,TrunkFlexionAngle,TrunkRotationAngle,TrimmingId
0,169.817739596602,6.16984716330912,8.03034922297672,0
34,169.43441670468,6.10426227828632,8.03775185463019,0
68,169.454227455495,6.08709021855223,7.95723346377318,0
100,169.699136769238,6.05791820002167,7.93178654833406,0
133,169.695634029425,6.04361225940513,7.88062717517678,0
167,169.692993117222,6.03853703692512,7.82853546306347,0
200,169.796490047771,6.01950136639343,7.82914008995173,0
233,169.840528860664,5.99548067875223,7.80388115844467,0
269,169.916710620957,5.98231007464864,7.81203319976534,0
301,165.564540588516,5.97543693168423,7.79211289764156,0
332,170.255824843034,5.97289693001531,7.78147687768092,0
367,170.305401721637,5.90868264924333,7.94864746796982,0
400,170.289044590347,5.89607961995471,7.92644434935451,0
432,170.283617535277,5.8858422095592,7.92083475841274,0
467,170.260250311443,5.87320003046651,7.91515049485495,0
501,170.23285513556,5.85951111334495,7.90710646537854,0
535,170.142750380357,5.8383988410414,7.95246558216112,0
568,170.157256276135,5.81940207345146,7.89673162009925,0
600,170.11605974332,5.80493940053664,7.93861450020897,0
633,170.533871923377,5.79396642813295,7.92933314299702,0
667,170.287082887008,5.78300088624623,8.03506122765583,0
701,170.350378878639,5.78345268932966,8.07186570857987,0
732,170.359967116781,5.73169644414359,8.20038838498293,0
769,160.161017121236,5.72705455953299,8.20188076354264,0
800,157.355378859217,5.72354756312625,8.30654802829309,0
832,147.858364927846,5.71621930529081,8.32710128957836,0
867,143.620848168771,5.69270822641211,8.32840521892783,0
901,137.647932710699,5.69351730393389,8.35624474099246,0
934,133.957173694918,5.69262016968541,8.38261537608081,0
967,124.582990606907,5.71615970907197,8.3237919192748,0
1000,113.327383593057,5.97799772686973,7.60688155235502,0
1033,106.823358411302,6.05723354348887,7.2578666351831,0
1068,108.484263269073,6.18716248809129,6.71934818711629,0
1099,111.533983248314,6.23755709022576,6.32936713615854,0
1133,104.475078024527,6.32012427935304,5.71243275588768,0
1169,104.441896383255,6.45558613321996,5.38728828218633,0
1200,100.686827062883,6.51481642285503,5.16860373267546,0
1233,110.255816135303,6.58038356264775,5.00330091558816,0
1266,105.785057365009,6.67232543211388,4.92831267160028,0
1300,108.956249088629,6.7360010385291,4.68003556797006,0
1336,107.825971907046,6.8755802315536,4.41704860777429,0
1369,108.309575574863,6.9529374390843,4.16784660595974,0
1400,106.5292861233,7.03251556577751,3.89956543655452,0
1433,105.722836234182,7.11858880592426,3.42446081199917,0
1467,104.632872703585,7.11949612137686,3.177130112748,0
1500,103.091582721183,7.10903627298057,2.98687277247798,0
1532,96.4518780467286,7.08125289892743,1.14761823311367,0
1570,91.9707514856733,7.04222661447308,2.79960537847812,0
1602,90.9858318364736,6.9783255814062,3.63254652949275,0
1633,92.0096817558653,6.96247186060303,4.04308798857604,0
1667,91.1924721996799,6.93830934596845,4.76660961669178,0
