Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-2348;-15684;-5104,853;-713;-965,-0.1057116;-0.08342315;0.9035355,-0.1447094;-0.05632619;0.9835675,-0.1987727;0.03433292;1.166438,-0.1553277;0.2528135;1.301826,0.007035881;0.2684042;1.308213,0.01311688;-0.2474292;1.294492,0
32,1023,-2352;-15692;-5336,977;-717;-902,-0.1066041;-0.08231809;0.9050991,-0.1521751;-0.05229785;0.9980648,-0.1988648;0.0342919;1.166394,-0.1553513;0.2527775;1.30175,0.007047974;0.2684256;1.308181,0.01309326;-0.2474514;1.294472,0
65,1023,-2368;-15844;-5528,990;-303;-889,-0.1069808;-0.08245482;0.9042982,-0.152288;-0.0518056;0.9982485,-0.1989012;0.03429162;1.166271,-0.1553678;0.2527419;1.301681,0.006993416;0.2684004;1.308135,0.01314505;-0.2475064;1.294404,0
101,1020,-2236;-15552;-4968,1248;-233;-816,-0.1067284;-0.08181903;0.9032297,-0.1506008;-0.05381196;0.9942153,-0.1983143;0.03574045;1.163321,-0.1553805;0.2526612;1.301524,0.006941394;0.268303;1.308017,0.01328246;-0.2475719;1.29427,0
134,1023,-2336;-15736;-4928,959;-535;-537,-0.1068036;-0.08291654;0.9079721,-0.1512129;-0.05206382;0.9968899,-0.1987171;0.03520804;1.164302,-0.1553863;0.2526342;1.301523,0.006990536;0.2683548;1.308097,0.01337263;-0.2476524;1.294582,0
165,1023,-2400;-15832;-5284,1007;-677;-639,-0.1069943;-0.08267968;0.9056107,-0.1487217;-0.05400582;0.9916065,-0.1988332;0.03504652;1.16454,-0.1553916;0.2526079;1.301494,0.006997752;0.2683699;1.308102,0.01331287;-0.2477044;1.294556,0
199,1019,-2240;-16076;-5508,983;-384;-730,-0.1065029;-0.08179972;0.905095,-0.1475692;-0.05519146;0.9880386,-0.1989884;0.03490262;1.164723,-0.1553981;0.2525732;1.301442,0.007005997;0.2683754;1.308093,0.01328639;-0.2476943;1.294551,0
232,1023,-2472;-16020;-5400,1296;-230;-865,-0.1067312;-0.08115994;0.9030823,-0.1483792;-0.05402488;0.9894082,-0.1990639;0.03479193;1.164746,-0.1554492;0.2525253;1.30135,0.007030572;0.2683803;1.308029,0.01314188;-0.2477334;1.294327,0
265,1023,-2404;-15944;-5192,989;-243;-1057,-0.1058885;-0.08306566;0.9036195,-0.1473097;-0.05533795;0.986964,-0.1990625;0.03468652;1.164838,-0.1554472;0.2524991;1.301308,0.007049059;0.2683865;1.30802,0.01315834;-0.2477491;1.294323,0
300,1020,-2540;-15668;-5240,1335;-278;-996,-0.1061259;-0.08213706;0.9072298,-0.1469083;-0.05578975;0.986264,-0.1991458;0.03452904;1.165242,-0.1554684;0.2525302;1.301369,0.007082548;0.2684269;1.308044,0.01310845;-0.2476652;1.294481,0
333,1023,-2548;-15532;-5112,1124;-355;-893,-0.1058925;-0.08185454;0.9060774,-0.1482143;-0.05410852;0.989927,-0.1990888;0.03444606;1.165403,-0.1554654;0.2525459;1.301381,0.007093697;0.2684332;1.308036,0.01310299;-0.2476641;1.294479,0
365,1023,-2700;-15780;-4976,1333;-433;-876,-0.1054491;-0.08198953;0.9064662,-0.1465692;-0.05545456;0.987138,-0.1990826;0.03442344;1.165436,-0.1554691;0.2525444;1.301382,0.007121013;0.2684433;1.308033,0.0131401;-0.2476714;1.294451,0
400,1020,-2464;-15692;-5104,1056;-535;-1065,-0.1057483;-0.08349922;0.9098005,-0.1460382;-0.05597178;0.986621,-0.1990986;0.03412462;1.166151,-0.1554943;0.2525856;1.301517,0.007156547;0.2684821;1.308094,0.01312516;-0.2476768;1.294552,0
431,1023,-2460;-15572;-5120,1015;-628;-1055,-0.1054995;-0.0830063;0.9046637,-0.1472391;-0.05405326;0.9899512,-0.1991131;0.03409651;1.166212,-0.1554964;0.2525907;1.301517,0.007093895;0.2683118;1.307868,0.0131746;-0.2477347;1.294354,0
466,1022,-2076;-15628;-5412,946;-460;-838,-0.1065542;-0.08368813;0.907293,-0.14739;-0.05350552;0.9908103,-0.199155;0.03398408;1.166517,-0.1554923;0.252619;1.301564,0.007118776;0.2683331;1.307872,0.0131809;-0.247742;1.294361,0
499,1023,-2464;-15920;-5532,1266;-464;-736,-0.1068362;-0.08328102;0.907263,-0.1463194;-0.0543856;0.9892862,-0.1992467;0.03388827;1.166785,-0.1554943;0.252636;1.301605,0.007075863;0.2682764;1.30795,0.01317649;-0.2477114;1.294325,0
532,1023,-2340;-15888;-5540,1231;-139;-933,-0.107948;-0.083394;0.9077194,-0.1460492;-0.05450696;0.9889485,-0.1993326;0.03371343;1.16715,-0.155487;0.2526433;1.301621,0.007010977;0.2682117;1.308037,0.01316872;-0.2477102;1.294324,0
566,1021,-2768;-15792;-4976,1221;55;-960,-0.1101156;-0.08198994;0.9073267,-0.1517067;-0.05150004;1.001348,-0.1992937;0.03367041;1.167212,-0.1554861;0.2526423;1.301624,0.007041041;0.2682389;1.308035,0.01322693;-0.2477185;1.294319,0
599,1020,-2688;-16076;-4852,1458;-604;-869,-0.1120886;-0.08148861;0.907874,-0.1523695;-0.05035485;1.003167,-0.1996157;0.0317789;1.170677,-0.1554853;0.2526431;1.301626,0.007069108;0.2682518;1.30804,0.01326524;-0.2477169;1.294393,0
631,1023,-2808;-16040;-4940,1024;-475;-1295,-0.1138428;-0.08090588;0.9089209,-0.1517259;-0.05417136;1.005396,-0.1996838;0.03181354;1.170714,-0.1554718;0.2526446;1.301692,0.007161183;0.2683364;1.308184,0.0140937;-0.2473384;1.296116,0
665,1023,-2528;-15760;-5248,1078;-853;-1328,-0.1152131;-0.0798312;0.9089821,-0.1518834;-0.05357429;1.006139,-0.1996223;0.03095679;1.172281,-0.1554965;0.2526317;1.301757,0.00718776;0.2682567;1.308493,0.0148466;-0.24742;1.296521,0
699,1023,-2308;-15744;-5372,1388;-626;-1052,-0.1161765;-0.07954679;0.9097946,-0.1512861;-0.05125217;1.006217,-0.1997152;0.03022842;1.173706,-0.1554935;0.2526392;1.301786,0.007128642;0.2682517;1.30894,0.01501816;-0.2472892;1.297086,0
732,1023,-2336;-15424;-5212,1278;-582;-1035,-0.1157565;-0.07868779;0.9075284,-0.1509873;-0.05111425;1.006293,-0.1996709;0.03016477;1.173808,-0.1554878;0.2526399;1.301782,0.007077939;0.2681921;1.308877,0.01505704;-0.2472625;1.297087,0
767,1021,-2304;-15588;-5352,1263;-606;-913,-0.117602;-0.07849797;0.9090903,-0.148007;-0.04718695;1.005579,-0.1997238;0.03002708;1.174136,-0.1554912;0.2526522;1.301811,0.007119023;0.2682239;1.308899,0.01518131;-0.2472503;1.297273,0
799,1023,-2348;-15444;-5312,1287;-374;-895,-0.1189668;-0.07967211;0.9127473,-0.1484136;-0.04743372;1.005845,-0.1996564;0.02967751;1.174595,-0.1555227;0.2525744;1.301798,0.007180377;0.2682404;1.308939,0.01558707;-0.2473572;1.297492,0
831,1023,-2160;-15604;-5192,1078;-398;-834,-0.1209515;-0.08035236;0.9115726,-0.1484639;-0.04815399;1.00637,-0.1997034;0.02960125;1.174819,-0.1555303;0.25258;1.301852,0.007172539;0.2681984;1.308982,0.01570418;-0.247441;1.297526,0
865,1020,-2480;-15768;-5244,1211;-388;-832,-0.1223468;-0.08215364;0.914092,-0.1499218;-0.0470796;1.010884,-0.2004664;0.02713849;1.181153,-0.1555381;0.2525848;1.301983,0.007022202;0.2681577;1.309547,0.01602953;-0.2474393;1.298162,0
899,1023,-2496;-15724;-5292,1124;-367;-827,-0.1242351;-0.07994277;0.9176365,-0.1386429;-0.06444581;0.9681249,-0.2002396;0.02710923;1.180805,-0.155541;0.2525785;1.301989,0.006965918;0.2680981;1.309619,0.0161042;-0.2474734;1.298178,0
931,1023,-2492;-15904;-5320,1504;-294;-685,-0.126015;-0.08293688;0.9212273,-0.1466542;-0.05556069;0.999855,-0.2000345;0.02700298;1.180704,-0.1555804;0.2525705;1.302111,0.007023668;0.2681395;1.309654,0.01613174;-0.2474463;1.298301,0
966,1021,-2496;-15732;-4996,1403;-185;-913,-0.1282009;-0.08270443;0.9247972,-0.1403404;-0.06430472;0.986871,-0.1990959;0.0290054;1.175985,-0.15558;0.2525851;1.302129,0.007011802;0.268113;1.309625,0.01607494;-0.2473651;1.298354,0
1000,1023,-2512;-15780;-5060,1264;-568;-1007,-0.1275969;-0.08564151;0.926689,-0.1392793;-0.06654213;0.9858183,-0.1984117;0.02969358;1.174435,-0.1555851;0.2525886;1.302132,0.006992681;0.26805;1.309616,0.01606133;-0.2474166;1.298346,0
