Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
24167,1023,-2276;-15144;-5376,1911;50;-1075,-0.6208871;0.2954694;0.9657612,-0.4899999;0.2516387;1.046468,-0.2916965;0.1697471;1.179746,-0.1577496;0.2494022;1.296221,-0.001983722;0.2839848;1.314035,-0.0007270051;-0.253185;1.285429,2
24214,1023,-2464;-15268;-4520,1061;177;-948,-0.6192293;0.296189;0.9622903,-0.4898761;0.2526409;1.046209,-0.291703;0.1701372;1.179281,-0.157763;0.2493967;1.296058,-0.00201869;0.2838925;1.313925,-0.0006264566;-0.2533201;1.285036,2
24262,1019,-2516;-15236;-4728,1519;-642;-658,-0.6208426;0.2982443;0.9654934,-0.4899949;0.2537441;1.046317,-0.2918318;0.1707109;1.179034,-0.1577542;0.2494104;1.296043,-0.002046625;0.2838701;1.313926,-0.0006162438;-0.2533776;1.284963,2
24310,1023,-2540;-15772;-4912,988;-340;-573,-0.6231092;0.3004752;0.968533,-0.4901608;0.2558971;1.047179,-0.2921527;0.1712793;1.179029,-0.157761;0.2494125;1.296042,-0.002020089;0.2835423;1.31373,-0.0005034919;-0.2534672;1.284975,2
24358,1023,-2532;-15800;-4836,1120;-549;-599,-0.62276;0.3008361;0.9672819,-0.4902739;0.2565765;1.047495,-0.2922966;0.1714554;1.179033,-0.157767;0.2493931;1.296008,-0.001997896;0.2832377;1.313496,-0.0004626739;-0.2535746;1.284903,2
24406,1022,-2508;-16144;-4976,1184;-476;-760,-0.6233001;0.3012937;0.9680719,-0.490343;0.2574541;1.047958,-0.2924151;0.1715849;1.179033,-0.1578088;0.2493971;1.295997,-0.001991842;0.2828104;1.313136,-0.000467905;-0.2537341;1.284727,2
24453,1022,-2856;-16148;-5264,889;-625;-968,-0.6220621;0.3004044;0.9658415,-0.4903727;0.2576848;1.047945,-0.2924254;0.1716551;1.178871,-0.1578472;0.249383;1.295931,-0.002002543;0.2823601;1.312669,-0.0005436909;-0.2538844;1.284416,2
24501,1023,-2344;-15868;-5528,1160;-989;-1329,-0.6240921;0.3014087;0.9689624,-0.4907698;0.2585721;1.048753,-0.2927803;0.1718407;1.179084,-0.1578825;0.2493439;1.295888,-0.002067597;0.2821492;1.312592,-0.0005987299;-0.2541184;1.28432,2
24549,1018,-2344;-15796;-5484,1039;-86;-1038,-0.6250401;0.3020033;0.9701508,-0.4909525;0.2588813;1.049119,-0.2929334;0.1718606;1.179182,-0.1579057;0.2493115;1.295852,-0.002118298;0.2819855;1.312505,-0.0006178957;-0.2542315;1.284342,2
24597,1023,-2604;-15500;-5220,1499;-545;-1211,-0.6255084;0.3025091;0.9701343,-0.4911307;0.2591978;1.049486,-0.2930648;0.171931;1.179283,-0.1579104;0.2493039;1.295842,-0.002193154;0.281717;1.312328,-0.000650862;-0.2543709;1.284348,2
